Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff
1 mit opencourseware,B,Exact match,existing searches,0.3399769578835681,0.27436388999000044,1.934148356474985e-07,0.2743637,1.934148356474985e-07
admissions mit edu,USA,Phrase match,existing searches,2.600000094926958,1.6386206049200003,1.5572471890326445,1.6386205,1.091237966655001e-07
admissions mit edu,USA,Broad match,existing searches,2.600000094926619,1.6386206049200003,1.5572471890326445,1.6386205,1.091237966655001e-07
ai diploma,USA,Phrase match,existing,1.4299999519475142,1.3607261149800005,0.6224577991879168,1.3607261,-3.1077680429092425e-09
ai diploma,USA,Broad match,existing,1.4299999519475142,1.3939015759800004,0.6224577917430925,1.3939016,-1.0552592355494994e-08
ai engineer pack,USA,Exact match,existing searches,2.6000000949269566,1.1851786915699998,1.0756012890975037,1.1851786,5.406542213926002e-08
ai engineer pack,USA,Phrase match,existing searches,2.600000094926956,1.4253886231700001,1.1367903241435109,1.4253887,-7.063950913099859e-08
ai engineer pack,USA,Broad match,existing searches,2.600000094926956,1.5895322097700004,1.1367902888219719,1.5895323,-4.635640338257474e-08
ai meta ai,USA,Phrase match,existing searches,2.6000000949269553,1.741437861820002,1.4229090904195503,1.7414377,1.882512763451416e-07
ai meta ai,USA,Broad match,existing searches,2.6000000949269584,1.7414378618200013,1.4229090904195496,1.7414377,1.882512756790078e-07
ai ready prompt,USA,Phrase match,existing searches,2.600000094926956,1.6415813573600004,1.1893970378638457,1.6415813,6.04392240699525e-08
ai ready prompt,USA,Broad match,existing searches,2.600000094926956,1.8057249439600007,1.1893970621469514,1.8057249,8.472232981837635e-08
ai software for animation video,USA,Exact match,existing searches,1.1599999959746903,0.9703338985700007,0.47599636962598524,0.9703339,2.434438428622343e-08
ai storebuilder com,USA,Phrase match,existing searches,1.4299999519475142,1.30714107545,0.6224577525435058,1.3071412,-1.0935682381862932e-07
ai valley ai,USA,Phrase match,existing searches,2.6000000949269566,1.72064822067,1.1893970285771045,1.7206482,5.1152482916094755e-08
ai valley ai,USA,Broad match,existing searches,2.6000000949269397,1.8847918072700005,1.1893970528602105,1.8847917,7.543558888656321e-08
aistudio google com,USA,Phrase match,existing searches,2.6000000949269566,1.54775099489,1.1367902908017888,1.547751,4.503038075753807e-08
aiu university,USA,Phrase match,existing searches,1.4299999519475142,1.3063299922700002,0.6224577693696096,1.3063301,-9.253071997505913e-08
app ai,USA,Phrase match,existing searches,2.6000000949269566,1.6689932634899998,1.1893969466755772,1.6689931,1.4806488990437572e-07
app ai,USA,Broad match,existing searches,2.600000094926956,1.6689932634899998,1.1893969466755772,1.6689931,1.4806488990437572e-07
