Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost
admissions mit edu,USA,Broad match,existing searches,2.5999999207937226,1.806120832790001,1.3988885482441027,1.8061209,-3.970755746429688e-08,0.74749804
adobe generative ai content creation course,USA,Broad match,new,2.5999999207937226,2.9088889062900005,1.2805198133487163,2.9088883,5.662936626293913e-07,0.5674981
ai,USA,Broad match,existing searches,2.5999999207937226,2.0643626487800004,1.39888847237314,2.064363,-3.539970991894848e-07,0.43538797
ai and machine learning courses,USA,Broad match,existing searches,2.5999999207937226,3.27235828407,1.280519471241936,3.2723587,-3.7185956536234244e-07,0.56749815
ai camp,USA,Broad match,existing searches,2.5999999207937186,2.22226781811,1.398888480322372,2.2222679,-4.8024643373167926e-08,0.43538785
ai engineer pack,USA,Broad match,existing searches,2.5999999207937226,1.8758546784100003,1.4430672302421996,1.8758547,-5.219607857043229e-08,0.5674983
ai for everyone coursera,USA,Broad match,existing searches,2.5999999207937226,2.1376802396900003,1.2805192542201822,2.1376803,-5.2439516284863437e-08,0.5674982
ai meta ai,USA,Broad match,existing searches,2.599999920793722,2.08630343951,1.3988884953380945,2.0863035,-3.300892092994445e-08,0.6153878
ai ready prompt,USA,Broad match,existing searches,2.5999999207937226,1.9126450614100003,1.3988884882097743,1.912645,7.907204868651263e-08,0.5674982
ai studio,USA,Broad match,existing searches,2.5999999207937226,2.42844023529,1.280519149932334,2.4284406,-3.355412987460227e-07,0.43538785
ai upskilling programs,USA,Broad match,existing,2.5999999207937226,1.9828036061600005,1.2805193892792022,1.9828037,-9.619443064323718e-08,0.5674982
ai valley ai,USA,Broad match,existing searches,2.5999999207937226,2.07363386388,1.3988885426061963,2.0736341,-2.837640429298461e-07,0.56749797
ai2 appinventor mit edu,USA,Broad match,existing searches,2.5999999207936826,2.2430615243100003,1.398888510146029,2.2430615,-1.8200986051652993e-08,0.7474984
aistudio google com,USA,Broad match,existing searches,2.59999992079367,2.2430615243100003,1.398888510146029,2.2430615,-1.8200986051652993e-08,0.56749815
