Day,Budget,t_Clicks_OptCost,t_Clicks_ActCost,tm1_Clicks_OptCost,Actual_Clicks,Opt_Cost,Act_Cost,Opt_Conv,Act_Conv,Opt_Purch,Act_Purch,N_Opt,N_Obs,Avg_Cost_Change,Pct_New_Keywords,Eval_CV_MSE,Eval_Train_MSE,Eval_Train_R2,Eval_Best_Params,Hist_MSE,Hist_R2,Hist_Bias,Opt_Cost_Region_B,Act_Cost_Region_B,Opt_Clicks_Region_B,Act_Clicks_Region_B,Opt_Conv_Region_B,Act_Conv_Region_B,Opt_Purch_Region_B,Act_Purch_Region_B,Opt_Cost_Region_USA,Act_Cost_Region_USA,Opt_Clicks_Region_USA,Act_Clicks_Region_USA,Opt_Conv_Region_USA,Act_Conv_Region_USA,Opt_Purch_Region_USA,Act_Purch_Region_USA,Opt_Cost_Region_A,Act_Cost_Region_A,Opt_Clicks_Region_A,Act_Clicks_Region_A,Opt_Conv_Region_A,Act_Conv_Region_A,Opt_Purch_Region_A,Act_Purch_Region_A,Opt_Cost_Origin_new,Act_Cost_Origin_new,Opt_Clicks_Origin_new,Act_Clicks_Origin_new,Opt_Conv_Origin_new,Act_Conv_Origin_new,Opt_Purch_Origin_new,Act_Purch_Origin_new,Opt_Cost_Origin_existing,Act_Cost_Origin_existing,Opt_Clicks_Origin_existing,Act_Clicks_Origin_existing,Opt_Conv_Origin_existing,Act_Conv_Origin_existing,Opt_Purch_Origin_existing,Act_Purch_Origin_existing,Opt_Cost_Origin_existing searches,Act_Cost_Origin_existing searches,Opt_Clicks_Origin_existing searches,Act_Clicks_Origin_existing searches,Opt_Conv_Origin_existing searches,Act_Conv_Origin_existing searches,Opt_Purch_Origin_existing searches,Act_Purch_Origin_existing searches
2025-07-01,840,179.14597,99.426636,456.1483700380023,115,840.2100127698282,819.96,8.459326893519133,4.411806161453173,0.11677967662665534,0.055461176037207474,405,39,,,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.2297251224517822,0.9075252413749696,-0.0001656160563478,12.400000026540525,42.00999999999999,10.483685,21.687492,0.41845226751724773,0.8656479052436304,0.002874999188206478,0.005947481273346177,815.2700125196495,682.06,166.81203,67.44527,7.9836796753444625,3.2279531332123694,0.11323405527510974,0.045782676456876094,12.540000223638074,95.88999999999999,1.8502464,10.29388,0.057194950657422125,0.3182051229971735,0.000670622163339126,0.0037310183069852003,41.800000591380346,0.0,9.64906,0.0,0.45973222820490395,0.0,0.006511167381333925,0.0,32.730000495849865,819.96,7.5731497,99.426636,0.3624535118341692,4.411806161453173,0.005140747457646109,0.055461176037207474,765.680011682598,0.0,161.92374,0.0,7.637141130658472,0.0,0.10512776146399237,0.0
2025-07-02,840,195.26974,92.323555,435.3517673483133,92,840.3300000000081,663.99,9.198868963126447,4.123237781899537,0.1270569189279007,0.051585599302226635,340,35,0.2953561238464242,0.5411764705882353,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.225740909576416,0.9080442190170288,-0.0003310337872456,18.62997704668918,41.42,10.747875,21.738739,0.4289973374400071,0.8676934715754618,0.0029474496677973517,0.005961535448696523,802.7700226356033,532.93,180.89865,63.34697,8.657870971641906,3.0318074382578297,0.12279623933250666,0.04300070456325814,18.930000317715617,89.64,3.6232014,7.237848,0.11200065404453413,0.2237368720662457,0.0013132299275966865,0.002623359290271965,96.96000343077993,0.0,23.959972,0.0,1.1467324222260442,0.0,0.016264325193946598,0.0,23.66000066331046,663.99,6.769865,92.323555,0.3114416384102323,4.123237781899538,0.003955618297963594,0.051585599302226635,719.7099959059177,0.0,164.53989,0.0,7.740694715159285,0.0,0.10683697281383567,0.0
2025-07-03,840,179.43652,82.62128,536.403048459872,90,840.3300000000214,703.2199999999999,8.500301461335296,3.71248358699916,0.11894711633690389,0.04743957703196926,446,31,0.08768488626913397,0.6816143497757847,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.2503727674484253,0.9062002897262572,5.730663194585529e-06,8.750000167674651,40.480000000000004,4.767043,16.121431,0.19027470663694945,0.6434807799414552,0.0013072927776521309,0.0044210698891287556,818.5799993910043,589.22,171.7362,59.791042,8.2193532712451,2.861619563680253,0.11657665894538351,0.04058689739905233,13.000000441342545,73.52,2.933271,6.7088113,0.09067348345324748,0.2073832433774522,0.0010631646138682404,0.002431609743788174,68.68000125382866,0.0,13.373362,0.0,0.6400536259028702,0.0,0.009078002951238518,0.0,48.6600009586512,703.2199999999999,8.5683155,82.62128,0.39003461747557366,3.71248358699916,0.005442057922020559,0.04743957703196926,722.9899977875416,0.0,157.49484,0.0,7.470212643732179,0.0,0.10442704732836419,0.0
2025-07-04,840,214.09692,102.41919,665.6456678127265,93,840.2400008919468,874.5600000000001,9.198384030445537,4.6199758177930565,0.10337626534033131,0.059409821586929694,461,28,0.11811212228028002,0.754880694143167,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.2684431076049805,0.9049569964408876,-0.0003063084003202,141.08000093486044,47.76,87.35759,18.936459,3.4868445509383776,0.7558415178049736,0.023956556175040493,0.00519305048338036,558.0700001769584,745.43,105.837616,75.731064,5.065423871354329,3.6245141681251445,0.07184387525117594,0.05140717743553422,141.08999978012804,81.37,20.901726,7.7516685,0.6461156081528302,0.2396201318629383,0.007575833914114885,0.002809593668015118,53.44999929910209,0.0,8.457476,0.0,0.40477762768489906,0.0,0.0057410384849166775,0.0,38.72999989226979,874.5600000000001,5.3415613,102.41919,0.22790924263006998,4.6199758177930565,0.0030306487467972824,0.059409821586929694,748.060001700575,0.0,200.29788,0.0,8.565697183123707,0.0,0.09460457687183307,0.0
2025-07-05,840,203.6434,116.57531,561.0733039244681,99,840.3000091376698,920.9100000000001,9.193467145577724,5.387571514076443,0.11718378144945799,0.07242509483935097,331,31,0.20910022445943585,0.46827794561933533,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.239557147026062,0.907539427280426,-7.89449853063293e-05,60.65999962667061,33.65,41.871075,12.207036,1.6712679664542727,0.4872391841019881,0.011482537961473652,0.0033476034604063027,718.4300088939881,844.6300000000001,148.77518,98.77667,7.120429973470675,4.727484372217534,0.10099041970440018,0.06705081472257353,61.210000617011055,42.63,12.997163,5.591601,0.4017692056527755,0.1728479577569217,0.004710823783584158,0.0020266766563711413,33.930000438791225,0.0,7.8777637,0.0,0.3770323978197039,0.0,0.00534752258498917,0.0,23.120000274865692,920.9100000000001,5.4228797,116.57531,0.2562647639279674,5.387571514076443,0.0035812297214185686,0.07242509483935097,783.2500084240129,0.0,190.34276,0.0,8.560169903806337,0.0,0.10825502827736039,0.0
2025-07-06,840,208.98329,86.747826,443.5734186803809,86,840.2500000338008,637.0300000000001,9.729867604301546,3.905041948670367,0.13111763559008424,0.04916455598464629,424,23,0.08762661068133351,0.5778301886792453,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.2663254737854004,0.9058564901351928,-0.0001624242482411,29.00998367088522,52.53000000000001,22.09824,19.961174,0.882042888335392,0.796742642875168,0.006060123901283498,0.00547406389996722,781.8400157808405,534.47,181.1879,61.586563,8.671714363532795,2.947553791789597,0.12299258280648255,0.04180571898652259,29.400000582074995,50.03,5.697139,5.200089,0.17611035243335935,0.16074551400560164,0.0020649288823182013,0.001884773098156477,222.49000578420143,0.0,60.879726,0.0,2.862487573875696,0.0,0.03895456929234758,0.0,27.24000062383038,637.0300000000001,8.147797,86.747826,0.37522675555164364,3.905041948670367,0.00525587811169202,0.04916455598464629,590.5199936257688,0.0,139.95575,0.0,6.492153255737626,0.0,0.08690718790556916,0.0
2025-07-07,840,177.7299,121.68319,482.784231352231,119,840.3299999999988,1131.88,8.457842044949665,5.467013151931476,0.1189184483513025,0.0713867836184968,500,27,0.2700464064421023,0.662,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.2441868782043457,0.9085034728050232,-0.0003095253898961,9.860002122592277,38.09,3.215051,17.768679,0.128327531140341,0.7092300278588376,0.0008816813206486327,0.0048728036926261155,820.6099957548251,956.4100000000001,173.16808,91.193436,8.287883027082252,4.364548480506284,0.11754862957496906,0.061903225578902175,9.860002122581275,137.38,1.3467712,12.721071,0.04163148672707025,0.39323464356635457,0.00048813745568480427,0.004610754346968515,159.29000138064862,0.0,34.357975,0.0,1.6381590706900928,0.0,0.023206415178024374,0.0,27.560002076559815,1131.88,6.0941067,121.68319,0.29166599360786766,5.467013151931476,0.004136754552422362,0.0713867836184968,653.4799965427903,0.0,137.27783,0.0,6.528016339804774,0.0,0.0915752695361301,0.0
2025-07-08,840,207.52701,100.031105,513.0956081110015,108,840.259998248101,783.9399999999999,9.551493664323532,4.536800410752837,0.12693138369038526,0.059293264644076166,373,34,1.0138047673334325,0.4316353887399464,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.2584818601608276,0.9085464477539062,-0.0002037529511143,40.439999913767494,41.92,26.660522,15.332192,1.0641446557038816,0.6119786092578055,0.007311264052731697,0.004204632502662682,759.2999984247901,672.43,170.896,77.09359,8.179140540126724,3.689725117544904,0.11600631409145815,0.05233207679916266,40.51999990954336,69.59,9.9704895,7.605336,0.30820846849292566,0.2350966839501273,0.0036138055461954056,0.0027565553422508227,145.4199999407303,0.0,36.779503,0.0,1.7529146115131793,0.0,0.024828905740782538,0.0,33.699999947810475,783.9399999999999,8.573324,100.031105,0.37761980215308155,4.536800410752837,0.005209244219617026,0.059293264644076166,661.1399983595602,0.0,162.1742,0.0,7.420959064399572,0.0,0.09689323109731485,0.0
2025-07-09,840,232.8247,116.72653,501.6502534860049,108,840.3300000000118,771.9599999999998,10.4021060742841,5.35978719596911,0.12973942415600878,0.07075211968689861,306,34,0.017738619001473267,0.5849673202614379,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.2573786973953247,0.9092403650283812,7.408021727792406e-06,76.65000762763738,32.019999999999996,56.481014,16.585001,2.254418129006764,0.6619839852544036,0.015489103044483473,0.004548197173130752,686.2799931454433,682.43,159.1041,94.53599,7.614775482291775,4.524524151488471,0.10800181657240335,0.06417219110699224,77.39999922693104,57.51,17.239626,5.605547,0.5329124629855612,0.17327905922623557,0.006248504539121965,0.0020317314067756233,154.7999984538534,0.0,38.825665,0.0,1.8582095355104689,0.0,0.026355341122531947,0.0,25.799999742310362,771.9599999999998,6.3949814,116.72653,0.28377905937360964,5.35978719596911,0.003924977074088594,0.07075211968689861,659.7300018038479,0.0,187.6041,0.0,8.260117433045298,0.0,0.099459105247584,0.0
2025-07-10,840,194.76056,132.30272,405.9677361931401,129,839.7450075452223,915.0099999999998,9.26518444795837,5.882656531332551,0.13006707889140637,0.07760410701772058,324,52,0.0038759970713246215,0.4012345679012346,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.2567341327667236,0.9096389412879944,-0.0001572436620223,5.764992548035632,36.989999999999995,4.2581997,14.891266,0.16996441564029433,0.5943791561472154,0.0011677498126347074,0.0040837144975912,828.8000149040364,773.3599999999999,189.18738,97.877045,9.05457076180153,4.684428253974915,0.12842270830336014,0.06644014156542362,5.180000093150261,104.65999999999998,1.3149967,19.534412,0.04064927051654609,0.6038491212104201,0.00047662077541150836,0.007080250954705764,165.76000298080774,0.0,40.95031,0.0,1.959895587872955,0.0,0.027797573845054678,0.0,33.670000605476204,915.0099999999998,8.166781,132.30272,0.3908648581705858,5.882656531332551,0.005543711014843095,0.07760410701772058,640.3150039589384,0.0,145.64346,0.0,6.91442372805579,0.0,0.09672579014731346,0.0
