Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff
ai courses for executives,USA,Broad match,existing,9.999999960802112,10.807503505089999,9.824200971463442,10.807503,7.585079675465067e-07
ai for executives,USA,Broad match,existing,9.999999960802112,9.42004248389,8.860815315329972,9.420041,1.399600449758509e-06
ai for executives course,USA,Broad match,existing,9.999999960802112,9.42004248389,8.860815315329972,9.420041,1.399600449758509e-06
ai generated courses,USA,Broad match,existing,9.999999960802114,10.853191793760073,9.82420092900635,10.85319,1.3717019680115072e-06
ai short course,USA,Broad match,existing,9.999999960802112,10.54989727816,9.547409022659206,10.549896,1.0379256245585111e-06
artificial intelligence specialist certification,USA,Broad match,existing,9.999999960802112,10.33876259561,9.824200823263503,10.338762,3.1228480423806104e-07
artificial intelligence stanford online,USA,Broad match,existing,9.999999960802114,9.959164365610002,9.268915399392961,9.959164,6.998385178036415e-07
artificial intelligence training,USA,Broad match,existing,1.2799999482773528,1.8463561591000035,0.5196276959270909,1.8463559,2.440304234241353e-07
best ai ml courses for working professionals,USA,Broad match,existing,9.999999960802112,10.756468830795999,9.824200926514383,10.756469,5.7907815431690324e-08
best place to study artificial intelligence,USA,Broad match,existing,9.999999960802112,10.00817232238,9.139308739768916,10.008172,2.8716271494033663e-07
best prompting courses,USA,Broad match,existing,9.999999960802112,10.76188964638,9.824200938074641,10.761889,1.8867736351069198e-07
controllable video generation,USA,Broad match,existing,0.5799999989964528,1.5939390762,0.0903263194708741,1.5939386,4.871039307463576e-07
gen ai courses,USA,Broad match,existing,9.999999960802114,9.82212039378,9.32260754254175,9.82212,6.809504107252451e-07
generative ai crash course,USA,Broad match,existing,9.999999960802112,10.416272472380001,9.547408889768917,10.416272,3.089888878093916e-07
google generative ai course,USA,Broad match,existing,9.999999960802112,10.399403355089998,9.416100821463441,10.399403,7.366817946774518e-07
mba in ai,USA,Broad match,existing,9.999999960802114,10.702222012310001,9.82420083168027,10.702222,1.4188763763911538e-07
mit professional development,USA,Exact match,existing,13.92000046272151,12.784776686609998,11.18740367788197,12.784775,1.906336560608679e-06
mit professional development,USA,Phrase match,existing,13.92000046272151,13.29680843561,11.725634290865127,13.296806,2.1001607812820566e-06
mit professional development,USA,Broad match,existing,13.92000046272151,19.98222540541,18.245651947692103,19.982224,1.8946678110864923e-06
mit professional development,A,Broad match,existing,13.92000046272151,20.303745826609997,18.625087818034558,20.303743,2.464183239681006e-06
mit xpro ai,USA,Exact match,existing,60.27999937483424,46.746111664590124,45.308290157136206,46.746113,-1.1588962038899808e-06
mit xpro ai,USA,Phrase match,existing,7.919999879495677,3.9670508913199996,2.4738008789222334,3.9670503,5.773704145894953e-07
mit xpro ai,USA,Broad match,existing,60.27999937483422,54.62522337659,53.028601028758274,54.625225,-1.6905486717178064e-06
no code ai and machine learning building data science solutions,USA,Broad match,existing,9.999999960802052,10.00817232238,9.139308739768916,10.008172,2.8716271494033663e-07
online course generative ai,USA,Broad match,existing,6.8399998718764214,7.40301747059,5.1330272648252295,7.403017,4.265226172250891e-07
professional ai certificate,USA,Broad match,existing,9.999999960802112,10.348368680796,9.416100776514384,10.348369,3.608164433899219e-08
professional certificate in ai,USA,Broad match,existing,9.999999960802114,10.399403355090069,9.416100821463512,10.399403,7.366818657317253e-07
