Location,Region,Opt_Conversions,Act_Conversions,Opt_Purchases,Act_Purchases,Opt_Clicks,Act_Clicks,Opt_Spend,Act_Spend
"Alberta, Canada",USA,0.0,0.0,1.0696993045686828e-05,6.626551038723587e-06,0.01575839607775568,0.009761978478594478,0.02469588943670083,0.01989522914326326
Australia,A,0.0002861634425814851,0.011932581178091187,3.556113820719537e-06,0.0001482845483737319,0.009811318031365203,0.4091170689631264,0.04954669386558915,1.258853085745494
Austria,B,0.0,0.0,3.6939088278870803e-07,2.559882124085105e-06,0.0013469838540890238,0.009334610165476336,0.0018628717109550592,0.013340879689521346
Belgium,A,0.0005723268851629702,0.02386516235618237,4.489593698658416e-06,0.00018720924232183656,0.01238678901459857,0.5165102995659471,0.06255270100530631,1.5893020207536863
Brazil,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"British Columbia, Canada",USA,0.0,0.0,4.991930087987187e-05,3.092390484737674e-05,0.07353918169619318,0.04555589956677423,0.1152474840379372,0.09284440266856188
Canada,A,0.0006132073769603252,0.025569816810195396,5.319353590159641e-06,0.00022180897027570731,0.01467609655525045,0.6119709489906765,0.07411359624061044,1.883034407427635
Chile,B,0.0008081903124534144,0.005600766099285801,5.122220241336751e-06,3.549703212064679e-05,0.018678176110034465,0.12943992762793852,0.025831821058576822,0.18499353169469598
China,B,0.0010775870832712192,0.00746768813238107,1.2534663955963494e-05,8.686533341062124e-05,0.04570765211542088,0.31675443828183036,0.06321344672507502,0.45270051746442436
Colombia,B,0.0017959784721186985,0.012446146887301782,1.2091394896617042e-05,8.379347486171911e-05,0.04409127149051405,0.30555290608325875,0.060978000671928934,0.4366914618369987
Denmark,A,4.088049179735501e-05,0.0017046544540130263,3.244953861406578e-06,0.00013530965039103035,0.008952827703620748,0.37331932542885277,0.0452113581523501,1.1487034407427634
Egypt,B,0.04161731114517054,0.2884083387460005,0.0002454971807013753,0.0017012976596669609,0.8952054694275652,6.203781915975573,1.2380645391007323,8.866348641655886
France,A,0.0012264147539206504,0.05113963362039079,1.4876409483343397e-05,0.0006203236940301118,0.04104401376454443,1.7114730718290785,0.2072703360043813,5.266202075368651
Germany,A,0.0014308172129074257,0.05966290589045593,1.5395009415531662e-05,0.0006419485240012811,0.04247483097745186,1.7711359777195346,0.21449589552644638,5.449784817039869
Hong Kong,B,0.0003591956944237397,0.0024892293774603563,3.890917298707724e-06,2.696409170702978e-05,0.014188229929737717,0.09832456040968408,0.019622248688726626,0.14052393272962485
Hungary,B,0.0,0.0,3.0043791800148255e-06,2.0820374609225524e-05,0.010955468679924061,0.07592149601254088,0.015151356582434482,0.10850582147477361
India,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ireland,A,0.0,0.0,6.964056232242427e-07,2.9039057389855835e-05,0.001921383114475686,0.08011875933861225,0.009702894215344543,0.24652539595849263
Israel,A,0.002248427048854526,0.09375599497071645,1.6580380689104843e-05,0.000691376706792525,0.04574527032124026,1.9075083340405765,0.23101146014830942,5.869402512288366
Italy,A,0.0002861634425814851,0.011932581178091185,2.341108265307029e-06,9.762066101270684e-05,0.006459117703982093,0.2693354037340582,0.03261824012817952,0.8287449481157837
Japan,A,0.00049056590156826,0.020455853448156317,4.5488622623370745e-06,0.00018968065146139876,0.012550310981787988,0.5233289173819992,0.06337847923639946,1.6102829055161112
"Manitoba, Canada",USA,0.0,0.0,7.131328697124552e-06,4.417700692482392e-06,0.010505597385170453,0.006507985652396318,0.016463926291133885,0.01326348609550884
Mexico,A,0.0026572319668280763,0.11080253951084673,4.354757716289467e-05,0.0018158678652933254,0.1201477653924264,5.009979440344285,0.6067405552956939,15.415705079191698
Netherlands,A,0.00024528295078413007,0.010227926724078159,1.3335426827698264e-06,5.5606705640149464e-05,0.003679244261761951,0.15341890086117238,0.01858001019959593,0.4720699071545603
Norway,A,0.0,0.0,4.445142275899421e-07,1.853556854671649e-05,0.0012264147539206504,0.0511396336203908,0.006193336733198644,0.15735663571818675
"Ontario, Canada",USA,0.02101119477034091,0.013015971304792637,0.00021393986091373658,0.00013253102077447176,0.31516792155511364,0.19523956957188957,0.4939177887340166,0.3979045828652652
Poland,B,8.979892360593492e-05,0.0006223073443650891,1.649945943122896e-06,1.1434140154246804e-05,0.00601652788159764,0.04169459207246097,0.008320826975599264,0.059589262613195346
