Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost
ai executive education,USA,Broad match,existing,70.62000325814317,44.41584668383024,42.96250567659757,44.415844,2.7202071919418813e-06,43.82166
ai for enterprise,USA,Broad match,existing,3.120000052561565,2.8536607083599987,1.38816643326692,2.8536603,3.632824840948956e-07,1.1663345
ai graphic design course,USA,Broad match,existing,0.0199910616472847,1.17082939815,4.596658080835425e-07,1.1708289,4.596658080835425e-07,0.0
ai short course,USA,Broad match,existing,64.12999802581962,37.04204053695008,34.80416889006898,37.04204,-1.2416143704285787e-06,33.0578
ai strategy course,USA,Broad match,existing,1.949999934472212,2.142692036659998,0.9791171026542608,2.1426914,6.628349247250753e-07,0.9688916
applied gen ai for digital transformation mit,USA,Phrase match,existing,9.66000035815705,6.183637460100001,5.31489237152273,6.1836376,-1.589185538719562e-07,1.9546218
applied gen ai for digital transformation mit,USA,Broad match,existing,9.660000358156957,8.26700886220001,7.312559864225614,8.267008,1.0344412206819698e-06,3.5909233
artificial intelligence short course online,USA,Broad match,existing,9.660000358156932,9.290163239430012,7.280520399998251,9.290161,2.106617513319975e-06,4.818113
artificial intelligence workshop,USA,Broad match,existing,1.949999934472359,2.30736696065,0.97911714852384,2.3073661,8.279137935218728e-07,0.96889174
best course on artificial intelligence,USA,Broad match,existing,1.9499999344724444,2.19434205905,0.9791170777420168,2.1943414,6.379226809016814e-07,0.96889174
course in generative ai,USA,Broad match,existing,2.580000037169331,2.186440280299999,1.1334072860296742,2.1864398,5.27721263576808e-07,1.0505996
course on machine learning and artificial intelligence,USA,Broad match,existing,1.9499999344724408,2.5825772702999985,0.9791171968289292,2.582577,2.8017243502986844e-07,0.96889186
courses about ai,USA,Broad match,existing,1.1300000212467771,2.4651727331600024,0.3335578096828295,2.465172,6.807765795535659e-07,0.08788037
generative ai courses,USA,Broad match,existing,0.7199999984678104,1.5835029812599992,0.0895704956795548,1.5835027,3.3099907392752925e-07,0.10926032
generative ai courses online,USA,Broad match,new,1.949999934472439,2.246449905959999,0.9791171136778948,2.2464495,4.354399796291375e-07,0.9688915
learning chatgpt,USA,Broad match,existing,1.9499999344723995,2.15737982489,0.9791171143187104,2.1573794,4.360807954739698e-07,1.1334298
machine learning engineer training,USA,Broad match,existing,1.9499999344719008,2.255716938260329,0.9791170542271264,2.255716,8.528263695239957e-07,0.9688916
mit ai certificate,USA,Broad match,existing,1.949999934472438,2.331586524959998,0.9791170806850956,2.331586,6.408657595713407e-07,0.96889174
mit applied generative ai,USA,Broad match,existing,2.580000037169331,2.47317347466,1.133407329907497,2.473173,5.71599086285346e-07,1.0506
mit artificial intelligence course,USA,Broad match,existing,1.949999934472438,2.432458121459999,0.9791171142273328,2.4324574,6.744079970033567e-07,0.9688916
mit generative ai certificate,USA,Broad match,existing,1.949999934472439,3.006424430159999,0.9791173966211808,3.0064235,9.568018448646851e-07,0.9688915
mit professional development,USA,Broad match,existing,1.9499999344724408,4.293006752629998,0.9791177259881528,4.2930064,3.324945003768676e-07,1.1334298
mit xpro ai,USA,Exact match,existing,70.62000325814323,39.384610171960006,37.65056824271501,39.384605,4.764245161936742e-06,38.999924
mit xpro ai,USA,Broad match,existing,70.6200032581432,61.51858324266036,59.30816954827865,61.518578,5.666976768736731e-06,53.011223
mit xpro ai course,USA,Broad match,existing,1.9499999344724015,2.432458121459999,0.9791171142273328,2.4324574,6.744079970033567e-07,0.9688914
online course generative ai,USA,Phrase match,existing,9.66000035815701,7.20679183733,5.282852847690718,7.206792,-4.041658208109311e-08,3.1818118
online course generative ai,USA,Broad match,existing,9.660000358156982,9.29016323943002,7.280520399998256,9.290161,2.106617518649045e-06,4.818113
prompt engineering course,USA,Broad match,existing,1.949999934472448,2.19434205905,0.9791170777420168,2.1943414,6.379226809016814e-07,0.9688916
stanford ai professional program,USA,Broad match,existing,3.1200000525617284,2.71641624245,1.3881664303238406,2.7164156,5.987579836386203e-07,1.1663346
