Location,Region,Opt_Conversions,Act_Conversions,Opt_Purchases,Act_Purchases,Opt_Clicks,Act_Clicks,Opt_Spend,Act_Spend
"Alberta, Canada",USA,0.0,0.0,9.56194287724763e-06,5.19697132754082e-06,0.014086284107036929,0.00765597698664949,0.024959994497810504,0.01781196267681515
Australia,A,0.0,0.006473783141989841,0.0,8.044881448131113e-05,0.0,0.2219582791539374,0.0,0.654593118514473
Austria,B,0.0,0.0,0.0,1.9955718414909096e-06,0.0,0.007276852719996602,0.0,0.011332470892626132
Belgium,A,0.0,0.012947566283979682,0.0,0.00010156662828265531,0.0,0.280222327431846,0.0,0.8264238121245222
Brazil,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"British Columbia, Canada",USA,0.0,0.0,4.462240009382227e-05,2.425253286185716e-05,0.06573599249950567,0.035727892604364285,0.11647997432311569,0.08312249249180403
Canada,A,0.0,0.013872392447121086,0.0,0.00012033801832829454,0.0,0.33201259256776466,0.0,0.9791622064445659
Chile,B,0.0,0.004366111631997961,0.0,2.7671929535340613e-05,0.0,0.10090569105061954,0.0,0.15714359637774902
China,B,0.0,0.005821482175997282,0.0,6.771640448792487e-05,0.0,0.24692786896521804,0.0,0.3845485122897801
Colombia,B,0.0,0.009702470293328802,0.0,6.532171827813577e-05,0.0,0.2381956457012221,0.0,0.3709495472186287
Denmark,A,0.0,0.0009248261631414057,0.0,7.340954321419639e-05,0.0,0.20253692972796786,0.0,0.5973162206444567
Egypt,B,0.0,0.22483049287216167,0.0,0.0013262570458548585,0.0,4.836196317709741,0.0,7.531560155239327
France,A,0.0,0.027744784894242175,0.0,0.00033654420724681816,0.0,0.9285254677939714,0.0,2.738381212452212
Germany,A,0.0,0.0323689157099492,0.0,0.00034827632602534275,0.0,0.9608943835039206,0.0,2.8338427089022398
Hong Kong,B,0.0,0.0019404940586657605,0.0,2.102002339703758e-05,0.0,0.07664951531729754,0.0,0.11936869340232859
Hungary,B,0.0,0.0,0.0,1.6230650977459396e-05,0.0,0.05918506878930569,0.0,0.09217076326002586
India,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ireland,A,0.0,0.0,0.0,1.5754559502590097e-05,0.0,0.043466829667646076,0.0,0.128191152375751
Israel,A,0.0,0.050865438972777316,0.0,0.0003750925975191131,0.0,1.034880476555233,0.0,3.0520404150737304
Italy,A,0.0,0.006473783141989841,0.0,5.296213620019649e-05,0.0,0.14612253377634213,0.0,0.43094046968869476
Japan,A,0.0,0.011097913957696869,0.0,0.0001029074418573438,0.0,0.28392163208441157,0.0,0.8373336974330967
"Manitoba, Canada",USA,0.0,0.0,6.374628584831753e-06,3.46464755169388e-06,0.009390856071357952,0.005103984657766326,0.016639996331873668,0.011874641784543434
Mexico,A,0.0,0.060113700604191384,0.0,0.0009851627740023892,0.0,2.718064093472592,0.0,8.016038230475152
Netherlands,A,0.0,0.005548956978848435,0.0,3.0168305430491672e-05,0.0,0.08323435468272652,0.0,0.2454724194429274
Norway,A,0.0,0.0,0.0,1.0056101810163891e-05,0.0,0.027744784894242175,0.0,0.08182413981430912
"Ontario, Canada",USA,0.018781712142715904,0.010207969315532651,0.0001912388575449526,0.00010393942655081639,0.28172568214073856,0.15311953973298978,0.49919988995621006,0.35623925353630304
Poland,B,0.0,0.00048512351466644006,0.0,8.913554225326063e-06,0.0,0.032503275482651486,0.0,0.05061836998706339
Portugal,B,0.0,0.00048512351466644006,0.0,7.051020506601213e-06,0.0,0.025711546277321324,0.0,0.04004139715394566
"Quebec, Canada",USA,0.0,0.0,7.012091443314929e-05,3.811112306863268e-05,0.10329941678493748,0.05614383123542959,0.18303995965061037,0.13062105962997778
Romania,B,0.0,0.003880988117331521,0.0,2.9268387008533342e-05,0.0,0.10672717322661683,0.0,0.16620957309184994
Saudi Arabia,B,0.0,0.0024256175733322004,0.0,4.403561863556607e-05,0.0,0.16057588335459166,0.0,0.2500698576972833
Singapore,B,0.0,0.006306605690663722,0.0,2.06209090287394e-05,0.0,0.07519414477329822,0.0,0.11710219922380335
South Africa,B,0.0,0.019404940586657603,0.0,0.00014368117258734548,0.0,0.5239333958397553,0.0,0.8159379042690815
Spain,A,0.0,0.031444089546807795,0.0,0.0003714053601887197,0.0,1.0247073887606777,0.0,3.0220382304751503
Sweden,A,0.0,0.0,0.0,1.0391305203836021e-05,0.0,0.02866961105738358,0.0,0.08455161114145276
Switzerland,A,0.0,0.0018496523262828116,0.0,2.245862737603269e-05,0.0,0.06196335293047419,0.0,0.18274057891862372
Taiwan,B,0.0,0.00048512351466644006,0.0,1.8093184696184244e-05,0.0,0.06597679799463585,0.0,0.10274773609314358
Turkiye,B,0.0,0.01582958028356594,0.0,0.00022736215180719761,0.0,0.8290760865649461,0.0,1.2911461836998706
United Arab Emirates,B,0.0,0.0033958646026650808,0.0,3.153003509555637e-05,0.0,0.11497427297594631,0.0,0.17905304010349288
United Kingdom,A,0.0,0.0,0.0,3.184432239885232e-05,0.0,0.08785848549843356,0.0,0.2591097760786456
United States,USA,9.783487763701427,5.317382256307536,0.1387055433773541,0.07538726607730713,204.33563725667767,111.0576021683375,362.0696801852392,258.3803305898806
