Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost
ai generated courses,A,Broad match,existing,1.816872055721288,1.7070755538300006,0.7533390697792499,1.7070752,3.156021564088008e-07,0.55426085
chatgpt prompt engineering for developers,A,Broad match,existing searches,0.6968720538424722,1.5494241587499995,0.3869511954168698,1.5494239,2.2572082492011705e-07,0.0
cursos inteligencia artificial,USA,Broad match,existing searches,15.74687237898991,16.18439567435,14.80494833338473,16.184395,8.379242188993885e-07,13.334299
d id,B,Broad match,existing searches,10.006872037825,21.09865540525,19.06525892278235,21.098658,-2.202782226845557e-06,10.456027
deeplearning specialization,USA,Broad match,existing searches,15.746872378989895,17.11618496105,15.515838872640575,17.116184,7.26430858577487e-07,14.507266
deeplearning specialization,A,Broad match,existing searches,15.746872378989895,18.10357367255,16.328638665454662,18.103575,-1.0802576184687496e-06,14.818585
edx cs50,B,Broad match,existing searches,10.006872037825012,20.96093177315,19.393315072023903,20.960934,-1.912152733041239e-06,10.275004
favird,B,Broad match,existing searches,10.006872037825008,21.13082606205,19.85037166484846,21.130829,-2.7953718770845626e-06,9.665015
google generative ai courses online,A,Broad match,new,0.4268720503164186,1.42147802805,0.1339830109983031,1.4214779,1.1419349355001884e-07,0.0
harvard generative ai online course,A,Broad match,new,0.4268720503164186,1.32083658755,0.133983059527234,1.3208364,1.6272242442383344e-07,0.0
https labs openai com,B,Broad match,existing searches,10.00687203782502,21.28051693935,19.50046892661654,21.28052,-2.546123631930186e-06,8.70333
ia que gera cursos,B,Broad match,existing searches,15.74687237898976,32.59523561245,29.76694228893315,37.847992,-5.252756330909378,28.05741
introduction to prompt engineering for generative ai 2023 course,A,Broad match,new,0.4268720503164186,1.2462651316499995,0.1339830939150144,1.2462649,1.971102048248241e-07,0.0
labs openai com,B,Broad match,existing searches,10.006872037825003,21.02253588115,19.500468930351964,21.022537,-1.3502953137844995e-06,8.70333
labs openai com photo,B,Broad match,existing searches,10.006872037825012,20.85289396625,18.83731545787293,20.852896,-1.7704443351362895e-06,10.131937
large language models course,USA,Broad match,existing searches,15.746872378989904,16.61147944945,15.677797603785024,16.611477,2.551256642391309e-06,12.740169
large language models course,A,Broad match,existing searches,15.746872378989902,17.53578954935,16.42751866578982,17.53579,5.9603905810945454e-08,12.740169
mit ai certificate,USA,Exact match,existing,1.4168720294995245,2.2586187678500003,1.768887158028681,2.2586186,1.746340578812067e-07,0.4345436
mit ai certificate,USA,Phrase match,existing,1.4168720295011874,2.73938214055,1.7688872145742,2.7393823,-1.2644829139318858e-07,0.4345441
mit ai certificate,USA,Broad match,existing,1.4168720295011568,2.76899805735,1.8896088309133847,2.7689981,-8.870712875364006e-08,0.43454385
mit ai certificate,A,Exact match,existing,1.4168720295011634,2.43320758955,1.7688870610427672,2.4332075,7.764814435873292e-08,0.4345436
mit ai certificate,A,Phrase match,existing,1.4168720295011634,2.91397096225,1.7688870579836429,2.913971,1.498437507407857e-08,0.4345441
mit ai certificate,A,Broad match,existing,1.4168720295011514,2.94358687905,1.8896087935321169,2.943587,-1.8569304183202465e-07,0.43454385
mit certificate in ai,USA,Exact match,existing searches,1.4168720294995245,2.37887619395,1.7688872065041688,2.378876,2.231095459492849e-07,0.43454385
mit certificate in ai,USA,Phrase match,existing searches,1.4168720295011537,2.44858893775,1.7688869538213194,2.448589,-1.4878259291251086e-07,0.43454385
mit certificate in ai,USA,Broad match,existing searches,1.416872029501148,2.88925548345,1.8896088793888728,2.8892555,-4.023164068556184e-08,0.4345436
mit certificate in ai,A,Exact match,existing searches,1.4168720295011634,2.55346501565,1.7688871095182557,2.553465,1.2612363287090034e-07,0.4345436
mit certificate in ai,A,Phrase match,existing searches,1.416872029501163,2.62317775945,1.768886976044696,2.623178,-2.457685059908954e-07,0.4345441
mit certificate in ai,A,Broad match,existing searches,1.4168720295011497,3.06384430515,1.889608842007605,3.0638444,-1.372175537639464e-07,0.43454385
mit certification,USA,Broad match,existing searches,1.4168720295011636,2.97577389572,1.7556256899628586,2.975774,-1.5403891140408632e-07,0.4345441
mit certification,A,Phrase match,existing searches,1.4168720295011656,2.26502966535,1.6349040831318291,2.26503,-2.4187656322283146e-07,0.43454385
mit certification,A,Broad match,existing searches,1.416872029501162,3.15036271742,1.755625592976946,3.1503627,-1.2606244936819166e-08,0.4345441
mit certifications,USA,Exact match,existing searches,1.4168720295011594,2.324606507349999,1.6349042945394827,2.3246062,3.271589590347901e-07,0.25454378
mit certifications,USA,Phrase match,existing searches,1.416872029501164,2.39431925115,1.6349040418566343,2.3943193,-4.473317893882722e-08,0.25454372
mit certifications,USA,Broad match,existing searches,1.4168720295011834,3.27965230322,1.7556257901203294,3.2796524,-5.3881440642555864e-08,0.25454396
mit certifications,A,Exact match,existing searches,1.4168720295011612,2.499195329049999,1.6349043167628592,2.499195,2.301730459564056e-07,0.25454378
