Location,Region,Opt_Conversions,Act_Conversions,Opt_Purchases,Act_Purchases,Opt_Clicks,Act_Clicks,Opt_Spend,Act_Spend
"Alberta, Canada",USA,0.0,0.0,5.956456631277169e-06,7.645148194948834e-06,0.008774821336682767,0.011262536379578173,0.010335347541301698,0.019494944863476926
Australia,A,0.0968938255622568,0.009575408068854324,0.0012040862701259065,0.00011899228170274102,3.322074019277376,0.3282997052178625,3.9259685758858702,0.8826652102676134
Austria,B,0.0,0.0,6.677468753682449e-05,2.639651152045901e-06,0.24349389810303051,0.009625487925935377,0.14533458191409854,0.015009702457956015
Belgium,A,0.19378765112451357,0.019150816137708644,0.0015201589160339568,0.00015022775564971054,4.194118449337687,0.4144783778375514,4.956535327055912,1.114364827962862
Brazil,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"British Columbia, Canada",USA,0.0,0.0,2.779679761262679e-05,3.5677358243094556e-05,0.04094916623785291,0.05255850310469814,0.04823162185940792,0.09097640936289232
Canada,A,0.20762962620483597,0.020518731576116406,0.0018011123790633349,0.00017799262138035011,4.969269053835741,0.491081642388386,5.872594661429281,1.3203200436919718
Chile,B,0.1460963388618183,0.005775292755561226,0.0009259423338439662,3.660316264170316e-05,3.376448720362023,0.13347343257297056,2.0153062025421664,0.2081345407503234
China,B,0.1947951184824244,0.007700390340748303,0.0022658877304162443,8.957216242609092e-05,8.262559608962835,0.3266248902867405,4.931686812951744,0.5093292367399741
Colombia,B,0.32465853080404067,0.012833983901247169,0.0021857581053720547,8.640458104363581e-05,7.970366931239198,0.315074304775618,4.757285314654825,0.49131759379042683
Denmark,A,0.013841975080322397,0.0013679154384077603,0.0010987287214898895,0.00010858045705375119,3.031392542590605,0.29957348101129955,3.5824463254958565,0.8054320043691972
Egypt,B,7.523149805056631,0.29739549195165,0.04437845733697355,0.0017543121556497054,161.82604467927405,6.397099275576651,96.58936314010988,9.975448253557566
France,A,0.415259252409672,0.04103746315223282,0.005037094230026708,0.0004977843784564666,13.897342980643689,1.3733871001613915,16.42363520912256,3.6924827962861824
Germany,A,0.484469127811284,0.04787704034427162,0.0052126901444200695,0.0005151374195381164,14.381812108454973,1.4212641405056632,16.996172293105914,3.821204806116876
Hong Kong,B,0.06493170616080814,0.002566796780249434,0.0007033600420545513,2.7804325468216824e-05,2.5648023933519215,0.10138847281985265,1.5308575961618378,0.15810219922380336
Hungary,B,0.0,0.0,0.0005431007919661726,2.146916270330666e-05,1.9804170379046482,0.07828730179760773,1.1820545995680014,0.12207891332470892
India,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ireland,A,0.0,0.0,0.00023580022789965668,2.3302655166786784e-05,0.6505728287751528,0.06429202560516474,0.7688355127776497,0.1728552703440743
Israel,A,0.7613086294177319,0.07523534911242681,0.005614052234462038,0.00055480151343903,15.489170114880764,1.5306973755782838,18.30482848506787,4.115426542872747
Italy,A,0.09689382556225679,0.009575408068854324,0.0007926901278328883,7.833658545430452e-05,2.187032062690939,0.21613063926842616,2.5845959791248645,0.5810879300928454
Japan,A,0.16610370096386878,0.016414985260893123,0.0015402270205360552,0.00015221096034475623,4.2494863496589765,0.41995003959118243,5.021968136654009,1.1290759148006553
"Manitoba, Canada",USA,0.0,0.0,3.970971087518113e-06,5.096765463299223e-06,0.005849880891121845,0.007508357586385449,0.0068902316942011325,0.012996629908984618
Mexico,A,0.899728380220956,0.08891450349650443,0.01474503978291683,0.0014571596496848161,40.681564761067534,4.020303473480408,48.076756852202394,10.808971054068817
Netherlands,A,0.08305185048193439,0.008207492630446562,0.0004515323512972149,4.462210563852788e-05,1.2457777572290158,0.12311238945669843,1.4722382159572014,0.330999453850355
Norway,A,0.0,0.0,0.0001505107837657383,1.4874035212842628e-05,0.415259252409672,0.04103746315223281,0.4907460719857338,0.11033315128345167
"Ontario, Canada",USA,0.01169976178224369,0.015016715172770898,0.00011912913262554338,0.00015290296389897668,0.17549642673365534,0.22525072759156348,0.20670695082603396,0.3898988972695385
Poland,B,0.016232926540202034,0.0006416991950623585,0.0002982602709978161,1.1790441812471691e-05,1.0876060781935364,0.04299384606917802,0.6491611325496401,0.06704333764553687
Portugal,B,0.01623292654020203,0.0006416991950623584,0.00023593722929677986,9.326767403895516e-06,0.8603451066307077,0.034010057338305,0.5135155227631482,0.05303428201811125
"Quebec, Canada",USA,0.0,0.0,4.368068196269924e-05,5.606442009629145e-05,0.06434868980234029,0.08259193345023993,0.07579254863621246,0.14296292899883078
Romania,B,0.12986341232161627,0.005133593560498868,0.000979362083873426,3.871488356333988e-05,3.5712438388444476,0.14117382291371888,2.131573868073445,0.22014230271668822
Saudi Arabia,B,0.08116463270101017,0.0032084959753117923,0.0014734947716459272,5.824830208847954e-05,5.373098684806873,0.21240243356564065,3.2070497742377744,0.3312141009055627
Singapore,B,0.21102804502262645,0.008342089535810662,0.0006900051045471864,2.7276395237807642e-05,2.5161036137313153,0.09946337523466557,1.5017906797790181,0.15510025873221214
South Africa,B,0.6493170616080813,0.02566796780249434,0.004807777502651363,0.00019005488294730486,17.531560663418198,0.6930351306673472,10.464089897815095,1.080698576972833
Spain,A,0.47062715273096156,0.046509124905863855,0.005558864947081268,0.0005493477005276544,15.336908388997218,1.5156503057557986,18.124888258673103,4.074971054068815
Sweden,A,0.0,0.0,0.00015552780989126292,1.536983638660405e-05,0.4291012274899944,0.04240537859064058,0.5071042743852583,0.11401092299290007
Switzerland,A,0.027683950160644795,0.0027358308768155207,0.0003361407504101488,3.32186786420152e-05,0.9274123303816006,0.09165033437331994,1.0959995607681388,0.24641070453304206
Taiwan,B,0.016232926540202034,0.0006416991950623584,0.0006054238336672087,2.3932837111882834e-05,2.2076780094674766,0.08727109052848075,1.3177002093544934,0.1360879689521345
Turkiye,B,0.5296803930067924,0.020938644734884757,0.007607862733362203,0.00030074425458976293,27.742071457205274,1.0966639243615706,16.558453366079625,1.7101054333764552
United Arab Emirates,B,0.11363048578141424,0.004491894365436509,0.001055040063081827,4.170648820232523e-05,3.847203590027882,0.15208270922977896,2.296286394242757,0.23715329883570502
United Kingdom,A,0.0,0.0,0.00047661748192483796,4.7101111507334984e-05,1.314987632630628,0.12995196664873723,1.5540292279548238,0.349388312397597
United States,USA,6.094464411179649,7.822282017072224,0.08640435989330662,0.11090051971592778,127.28755830992023,163.37435272216098,149.92455143412244,282.7936701895963
