Keyword,Region,Match type,Cost,Clicks,t_Clicks_ActCost
mit professional development,USA,Broad match,34.58,38,34.730114
generative ai course,USA,Broad match,7.439999999999999,6,5.356454
generative ai online course,USA,Broad match,0.94,1,0.0
online ai and ml courses,USA,Phrase match,22.26,14,12.802459
mit xpro ai,USA,Broad match,29.58,29,28.046003
mit artificial intelligence course,USA,Phrase match,21.7,10,8.25091
generative ai certificate course,USA,Broad match,2.76,3,1.5092347
generative ai fundamentals course,USA,Broad match,5.92,4,2.6285956
generative ai online course,USA,Broad match,1.66,2,0.33135784
generative ai online program,USA,Broad match,4.56,4,2.2069416
generative ai certificate program,USA,Broad match,1.22,1,0.054469466
generative ai foundations course,USA,Broad match,12.76,11,9.481142
mit generative ai certificate,USA,Broad match,9.1,10,8.664924
online course generative ai,USA,Broad match,2.23,1,0.8797451
professional certificate in ai,USA,Phrase match,3.96,1,0.74677294
mit professional development,A,Broad match,2.37,3,1.0782127
generative ai course,A,Broad match,9.85,5,3.6693876
generative ai courses,A,Broad match,0.83,1,0.0
online ai and ml courses,A,Phrase match,6.72,8,7.087769
mit xpro ai,A,Broad match,6.09,7,6.2756567
generative ai certificate course,A,Broad match,0.64,1,0.0
generative ai fundamentals course,A,Broad match,2.16,3,1.4958482
generative ai online course,A,Broad match,2.52,3,1.6455129
generative ai online program,A,Broad match,5.04,8,5.7693434
generative ai foundations course,A,Broad match,10.32,8,7.0130954
online course generative ai,A,Broad match,1.1,1,0.091602564
mit professional development,B,Broad match,3.96,9,6.1069217
generative ai course,B,Broad match,6.75,15,12.590239
generative ai courses,B,Broad match,0.6,2,0.0
online ai and ml courses,B,Phrase match,1.36,2,0.59534705
mit xpro ai,B,Broad match,0.82,1,0.0
mit artificial intelligence course,B,Phrase match,0.76,2,0.0
generative ai online program,B,Broad match,1.92,4,2.0516024
mit generative ai certificate,B,Broad match,0.62,1,0.0
generative ai certification online,B,Broad match,1.75,5,2.4789596
online course generative ai,B,Broad match,1.98,6,3.455528
prompt engineering course,B,Phrase match,0.2,1,0.0
mit ai course,USA,Phrase match,10.6,10,8.768436
stanford ai professional program,USA,Phrase match,0.89,1,0.0
