Day,Budget,t_Clicks_OptCost,t_Clicks_ActCost,tm1_Clicks_OptCost,Actual_Clicks,Opt_Cost,Act_Cost,Opt_Cost_USA,Opt_Cost_A,Opt_Cost_B,Opt_Cost_new,Opt_Cost_existing,Opt_Cost_existing_searches,Act_Cost_USA,Act_Cost_A,Act_Cost_B,Act_Cost_new,Act_Cost_existing,Act_Cost_existing_searches,N_Opt,N_Obs,Eval_CV_MSE,Eval_Train_MSE,Eval_Train_R2,Eval_Best_Params,Hist_MSE,Hist_R2,Hist_Bias
2025-12-01,300,169.58783,221.91217,464.83400473456277,322,299.9879044954917,355.41,0.0,0.0,299.9879044954917,275.5636286516649,24.424275843826884,0.0,300.35,35.54,19.52,0.0,355.41,0.0,147,31,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-01,350,207.37172,221.91217,531.9623488956604,322,349.9999937833803,355.41,0.003803278043314,1.1982850475601423,348.7979054577769,316.7557177859061,33.244275997474276,0.0,300.35,35.54,19.52,0.0,355.41,0.0,149,31,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-01,400,225.85898,221.91217,592.5819479102086,322,399.9999938499111,355.41,0.0,45.53483180728458,354.46516204262645,358.75429272412424,41.24570112578684,0.0,300.35,35.54,19.52,0.0,355.41,0.0,185,31,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-01,450,239.60217,221.91217,653.1548941686726,322,449.9999996037096,355.41,0.0,97.12209303047264,352.877906573237,408.0660132658437,41.933986337865896,0.0,300.35,35.54,19.52,0.0,355.41,0.0,229,31,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-01,500,253.0339,221.91217,713.231717025144,322,499.99999999999926,355.41,0.0,147.38906084989358,352.61093915010565,452.1663034028575,47.83369659714167,0.0,300.35,35.54,19.52,0.0,355.41,0.0,270,31,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-01,550,279.70645,221.91217,770.5989525995024,322,549.9999990117134,355.41,0.0,179.74275713402085,370.25724187769254,495.5980186570868,54.40198035462654,0.0,300.35,35.54,19.52,0.0,355.41,0.0,297,31,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-02,300,262.6423,200.57773,206.0129382834859,292,299.99999134296917,350.34000000000003,0.0,0.0,299.99999134296917,299.99999134296917,0.0,0.0,297.8,37.61,14.93,0.0,350.34000000000003,0.0,29,32,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-02,350,294.56973,200.57773,238.81214525126572,292,349.7175403358463,350.34000000000003,0.0,0.0,349.7175403358463,349.7175403358463,0.0,0.0,297.8,37.61,14.93,0.0,350.34000000000003,0.0,33,32,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-02,400,321.37408,200.57773,271.3102086652764,292,399.8770965529792,350.34000000000003,0.0,0.0,399.8770965529792,387.54383738904596,12.33325916393324,0.0,297.8,37.61,14.93,0.0,350.34000000000003,0.0,39,32,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-02,450,355.49695,200.57773,304.17765990508565,292,449.9999991674647,350.34000000000003,0.0,0.0,449.9999991674647,404.2238346462661,45.77616452119871,0.0,297.8,37.61,14.93,0.0,350.34000000000003,0.0,42,32,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
