Region,Hour Group,Clicks,Conversions,ConversionRate,AvgConversionRate,BidAdjustment,BidAdjustmentPct,GoogleAdsFormat
USA,15 - 17,7003,10.67,0.0015236327288305012,0.0006137763082345022,1.4823909108078102,148.239091080781,+148%
USA,12 - 14,9116,4.33,0.00047498903027643705,0.0006137763082345022,-0.22612029186541915,-22.612029186541914,-23%
USA,6 - 8,6091,3.0,0.0004925299622393696,0.0006137763082345022,-0.19754158700568258,-19.754158700568258,-20%
USA,9 - 11,9848,7.0,0.000710804224207961,0.0006137763082345022,0.1580835145829511,15.80835145829511,+16%
USA,0 - 2,5654,3.0,0.0005305978068623983,0.0006137763082345022,-0.13551924415486605,-13.551924415486605,-14%
A,0 - 2,1323,0.0,0.0,0.00032605151613955004,,,No adjustment (insufficient data)
A,12 - 14,1972,1.0,0.0005070993914807302,0.00032605151613955004,,,No adjustment (insufficient data)
A,15 - 17,1702,1.0,0.0005875440658049354,0.00032605151613955004,,,No adjustment (insufficient data)
A,18 - 20,946,0.0,0.0,0.00032605151613955004,,,No adjustment (insufficient data)
A,21 - 23,656,0.0,0.0,0.00032605151613955004,,,No adjustment (insufficient data)
A,3 - 5,1661,1.0,0.0006020469596628537,0.00032605151613955004,,,No adjustment (insufficient data)
A,6 - 8,1811,0.0,0.0,0.00032605151613955004,,,No adjustment (insufficient data)
A,9 - 11,2197,1.0,0.0004551661356395084,0.00032605151613955004,,,No adjustment (insufficient data)
B,0 - 2,1574,3.0,0.0019059720457433292,0.00025150905432595576,,,No adjustment (insufficient data)
B,12 - 14,2638,1.0,0.0003790750568612585,0.00025150905432595576,,,No adjustment (insufficient data)
B,15 - 17,2238,0.0,0.0,0.00025150905432595576,,,No adjustment (insufficient data)
B,18 - 20,1119,0.0,0.0,0.00025150905432595576,,,No adjustment (insufficient data)
B,21 - 23,588,0.0,0.0,0.00025150905432595576,,,No adjustment (insufficient data)
B,3 - 5,2224,0.0,0.0,0.00025150905432595576,,,No adjustment (insufficient data)
B,6 - 8,2711,0.0,0.0,0.00025150905432595576,,,No adjustment (insufficient data)
B,9 - 11,2812,0.0,0.0,0.00025150905432595576,,,No adjustment (insufficient data)
USA,18 - 20,4925,3.0,0.0006091370558375635,0.0006137763082345022,,,No adjustment (insufficient data)
USA,21 - 23,3490,0.0,0.0,0.0006137763082345022,,,No adjustment (insufficient data)
USA,3 - 5,4380,0.0,0.0,0.0006137763082345022,,,No adjustment (insufficient data)
