Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost
ai,USA,Exact match,existing searches,1.3699999677467434,1.7763187176000008,0.8670041447888741,1.776319,-3.093470206660953e-07,0.40990436
ai,USA,Phrase match,existing searches,1.3699999677467432,1.7763187176,0.8670041447888732,1.776319,-3.0934702155427374e-07,0.40990424
ai,USA,Broad match,existing searches,1.369999967745923,1.7763187176000004,0.8670041447888737,1.776319,-3.0934702111018453e-07,0.40990424
ai classes,USA,Exact match,existing,1.3699999677467578,1.7100488850700004,0.8232297608481987,1.7100493,-3.865135567160394e-07,0.5324874
ai classes,USA,Phrase match,existing,1.3699999677468395,1.7100488850700002,0.8232297608481984,1.7100493,-3.86513556938084e-07,0.5324875
ai classes,USA,Broad match,existing,1.369999967746859,1.7100488850700002,0.8232297608481984,1.7100493,-3.86513556938084e-07,0.5324874
ai course,USA,Exact match,existing searches,1.3699999677469652,1.7959644663699998,0.8670041430362596,1.7959648,-3.7070427993946e-07,0.45810026
ai course,USA,Phrase match,existing searches,1.3699999677469732,1.7959644663700003,0.86700414303626,1.7959648,-3.707042794953708e-07,0.45810032
ai course,USA,Broad match,existing searches,1.3699999677469628,1.7959644663700003,0.86700414303626,1.7959648,-3.707042794953708e-07,0.4581002
ai learning,USA,Exact match,existing,1.369999967746958,2.77867471462,1.1328452754567917,2.7786753,-6.031442825182864e-07,0.81820846
ai learning,USA,Phrase match,existing,1.369999967747794,2.77867471462,1.132845275456792,2.7786753,-6.031442820741972e-07,0.81820834
ai learning,USA,Broad match,existing,1.369999967746959,2.77867471462,1.132845275456792,2.7786753,-6.031442820741972e-07,0.8182087
ai learning,A,Exact match,existing,1.369999967747035,2.9961194680200007,1.2589873955712705,2.9961202,-7.464422795422365e-07,0.962602
ai learning,A,Phrase match,existing,1.369999967747035,2.9961194680200003,1.2589873955712698,2.9961202,-7.464422799863257e-07,0.96260214
ai learning,A,Broad match,existing,1.3699999677470345,2.9961194680200003,1.2589873955712698,2.9961202,-7.464422799863257e-07,0.96260214
ai machine learning engineer salary,USA,Exact match,existing searches,1.1900000341914485,1.1536764489000009,0.7199638174359961,1.1536763,1.774614020177978e-07,0.31041533
ai machine learning engineer salary,USA,Phrase match,existing searches,1.1900000341914485,1.1536764488999998,0.7199638174359952,1.1536763,1.774614011296194e-07,0.31041533
ai machine learning engineer salary,USA,Broad match,existing searches,1.1900000341914485,1.1536764489000002,0.7199638174359957,1.1536763,1.774614015737086e-07,0.3104151
algorithm and data structures,USA,Exact match,existing searches,1.3699999677469608,2.7117882127200006,1.449088847104156,2.7117884,-2.031888128861681e-07,0.74360025
algorithm and data structures,USA,Phrase match,existing searches,1.3699999677469608,2.71178821272,1.4490888471041554,2.7117884,-2.031888133302573e-07,0.74360025
algorithm and data structures,USA,Broad match,existing searches,1.369999967746952,2.71178821272,1.4490888471041554,2.7117884,-2.031888133302573e-07,0.7436005
algorithm and data structures,A,Exact match,existing searches,1.3699999677469643,2.9292329661200003,1.575230967218633,2.9292336,-5.849053903439483e-07,0.8879937
algorithm and data structures,A,Phrase match,existing searches,1.369999967746964,2.9292329661200007,1.5752309672186335,2.9292336,-5.849053898998591e-07,0.8879937
algorithm and data structures,A,Broad match,existing searches,1.369999967746964,2.9292329661200007,1.5752309672186335,2.9292336,-5.849053898998591e-07,0.88799405
algoverse,USA,Exact match,existing searches,1.0,2.65398793431,0.6079190275259423,2.6539884,-4.270486426705134e-07,0.11350989
algoverse,USA,Phrase match,existing searches,1.0,2.65398793431,0.6079190275259423,2.6539884,-4.270486426705134e-07,0.113509774
algoverse,USA,Broad match,existing searches,1.0,2.65398793431,0.6079190275259423,2.6539884,-4.270486426705134e-07,0.113509655
algoverse ai research,USA,Exact match,existing searches,1.190000034191458,2.7560491388,0.7778551404632079,2.7560496,-4.942261231377643e-07,0.41121447
algoverse ai research,USA,Phrase match,existing searches,1.190000034191458,2.7560491387999995,0.7778551404632075,2.7560496,-4.942261235818535e-07,0.41121435
algoverse ai research,USA,Broad match,existing searches,1.1900000341914652,2.7560491387999995,0.7778551404632075,2.7560496,-4.942261235818535e-07,0.41121435
