Location,Region,Opt_Conversions,Act_Conversions,Opt_Purchases,Act_Purchases,Opt_Clicks,Act_Clicks,Opt_Spend,Act_Spend
"Alabama, United States",USA,0.009085055948126936,0.0071349637881061665,0.00017271863462053446,0.00013564486675535827,0.2180413427550465,0.171239130914548,0.4440332994696668,0.6088888888888888
"Alaska, United States",USA,0.0,0.0,1.5292795773693155e-05,1.2010222577297347e-05,0.01930574388976974,0.015161798049725606,0.03931544839054341,0.053912037037037036
Argentina,B,0.22091319025226763,0.06172422854747123,0.0,0.0,10.564025118061943,2.95164041596556,7.22433936484661,1.9789364065537352
Aruba,B,0.0,0.0,0.0,0.0,0.005321927011618107,0.0014869725017458738,0.0036394656749856977,0.0009969452929741737
Australia,A,0.026858740185557728,0.01194683177501354,0.000466912579443617,0.00020768383035515433,0.9490088198897063,0.4221213893838117,3.705015981795919,0.7868947641264904
Austria,B,0.0,0.0,0.0,0.0,0.0026609635058090536,0.0007434862508729369,0.0018197328374928488,0.0004984726464870869
Bahrain,B,0.013304817529045268,0.0037174312543646845,0.0,0.0,0.34060332874355886,0.09516624011173593,0.23292580319908465,0.06380449875034712
Belgium,A,0.0005595570871991193,0.0002488923286461154,3.5238685241027695e-05,1.5674251347558817e-05,0.07162330716148727,0.03185821806670277,0.27962384768271087,0.059388284085018145
Bolivia,B,0.11176046724398025,0.031226422536663353,0.0,0.0,3.0414812871397485,0.849804784747767,2.079954633254326,0.5697542349347404
Bosnia and Herzegovina,B,0.0,0.0,0.0,0.0,0.04257541609294486,0.01189578001396699,0.02911572539988558,0.00797556234379339
Brazil,B,0.21819900747634247,0.06096587257158084,0.0,0.0,8.07336327662467,2.255737285148491,5.521069428953304,1.5123660094418219
Brazil,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"California, United States",USA,0.1249195192867454,0.0981057520864598,0.004371040862610297,0.003432804206063989,5.518035856493599,4.333598630800983,11.237280219391204,15.409328703703704
Cambodia,B,0.058541197127799184,0.016356697519204613,0.0,0.0,6.391634340953347,1.7858539745967945,4.370998275657823,1.1973312968619827
Canada,A,0.0526039617675892,0.023398367816021306,0.0008925298246204046,0.00039699939741238814,1.8140840766995445,0.806908929470706,7.0823477670886605,1.50419388284085
Chile,B,0.07716794166846257,0.021561101275315173,0.0,0.0,3.249036440592855,0.9077967123158561,2.2218937945787687,0.6086351013607332
China,A,0.010631584656783266,0.004728954244276192,0.0002078531824763743,9.245359193286646e-05,0.422465600835335,0.1879137081278171,1.6493437890659899,0.35029808190772416
China,B,0.18094551839501566,0.05055706505935971,0.0,0.0,24.597946647698894,6.8727869030694295,16.821610349783896,4.607881144126631
Colombia,B,0.058594416397915364,0.016371567244222073,0.0,0.0,1.3703962054916627,0.3828954191995626,0.9371624113088173,0.2567134129408498
"Colorado, United States",USA,0.010220687941642805,0.008026834261619438,0.0003931148090061123,0.00030873336860464355,0.49627118116643393,0.38974739692529936,1.0106382909804394,1.3858564814814813
"Connecticut, United States",USA,0.02498390385734908,0.019621150417291962,0.00038231989434232887,0.0003002555644324337,0.48264359724424355,0.3790449512431402,0.9828862097635854,1.347800925925926
Costa Rica,B,0.02660963505809054,0.00743486250872937,0.0,0.0,0.9765736066319227,0.2728594540703679,0.6678419513598756,0.1829394612607609
Croatia,B,0.015965781034854323,0.004460917505237623,0.0,0.0,0.9845564971493499,0.2750899128229867,0.6733011498723541,0.18443487920022217
Denmark,A,0.008952913395185908,0.003982277258337847,0.00018059826186026694,8.033053815623894e-05,0.36706944920262224,0.1632733675918517,1.4330722193738932,0.304364955935718
Ecuador,B,0.13304817529045268,0.037174312543646844,0.0,0.0,3.8504141929057005,1.0758246050131397,2.6331534158521523,0.7212899194668148
El Salvador,B,0.015965781034854323,0.004460917505237622,0.0,0.0,0.7929671247310981,0.22155890276013523,0.5422803855728691,0.14854484865315193
Finland,A,0.005595570871991193,0.002488923286461154,0.00012333539834359696,5.4859879716455855e-05,0.25068157506520544,0.11150376323345969,0.978683466889488,0.2078589942975635
"Florida, United States",USA,0.031797695818444285,0.024972373258371587,0.0010965834145959974,0.0008612036071603216,1.384335400095842,1.0871901072126773,2.8191489169454367,3.865810185185185
France,A,0.055384960490968825,0.0246353626893925,0.0011590223817556766,0.0005155359232283017,2.355735337108292,1.0478367036001457,9.197003115189162,1.9533177812337998
Germany,A,0.04868146658632338,0.02165363259221204,0.0010544075349463757,0.0004690029895402365,2.1431036439726268,0.9532576187146219,8.366869817381113,1.777008812856402
Ghana,B,1.1230330379916529,0.3137809373184143,0.0,0.0,35.21519103587702,9.839297044052449,24.082344371380362,6.596787003610109
Greece,B,0.002660963505809054,0.000743486250872937,0.0,0.0,0.21021611695891526,0.05873541381896202,0.14375889416193507,0.03937933907247987
Hong Kong,B,0.018626744540663376,0.005204403756110559,0.0,0.0,0.9632687891028775,0.26914202281600325,0.6587432871724114,0.18044709802832548
Iceland,A,0.0016786712615973578,0.0007466769859383461,5.175681894775943e-05,2.3021556666727012e-05,0.10519673239343443,0.04679175778546969,0.4106975262839816,0.08722654224987039
Iceland,B,0.0026609635058090536,0.000743486250872937,0.0,0.0,0.018626744540663376,0.005204403756110559,0.012738129862449942,0.0034893085254096086
"Illinois, United States",USA,0.02384827186383321,0.018729279943778692,0.0009751406246284341,0.0007658283102229602,1.2310250809712,0.9667875932883857,2.506938003255827,3.437685185185185
India,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,B,0.7558200741900036,0.21117983469794907,0.0,0.0,20.08229157834093,5.611090735338056,13.73352372455853,3.7619730630380452
Ireland,A,0.0011191141743982385,0.0004977846572922308,7.43316016802928e-06,3.306287393625688e-06,0.01510804135437622,0.006720092873445115,0.058983155370571826,0.012527216174183514
Israel,A,0.03021608270875244,0.01344018574689023,0.00043387631203015354,0.00019298921971681795,0.881861969425812,0.39225430994627786,3.4428686245933777,0.7312182477967859
Italy,A,0.06546817920229694,0.029120402451595497,0.0016072144096649975,0.0007148928075550653,3.266694275068458,1.4530334146360215,12.753468927903642,2.708662519440124
Japan,A,0.034692539406345396,0.015431324376059156,0.0007738745641603816,0.00034422125420302996,1.5729149721167242,0.6996363358242303,6.140801842469533,1.304222395023328
"Kansas, United States",USA,0.003406895980547601,0.0026756114205398127,0.00011964363752359937,9.39623295753263e-05,0.15103905513761032,0.11861877297726503,0.30758556682013377,0.42178240740740736
Luxembourg,A,0.005036013784792074,0.0022400309578150387,7.460690390873833e-05,3.318532902490968e-05,0.15163997063096132,0.06744982106309727,0.5920161150157394,0.12573613271124934
"Maryland, United States",USA,0.01703447990273801,0.013378057102699065,0.0006270046267214194,0.0004924191256691912,0.7915354994805595,0.6216337200387498,1.61193338401228,2.2103935185185186
"Massachusetts, United States",USA,0.06813791961095203,0.05351222841079626,0.001976368959694345,0.0015521446471954278,2.49498348975436,1.9594394303086562,5.080943536119052,6.967337962962962
Mexico,A,0.054830998974641706,0.02438895928403285,0.0012027954360785157,0.0005350062823240975,2.444704913972952,1.0874105838548782,9.54434836348253,2.027089165370658
Mexico,B,0.09845564971493499,0.02750899128229867,0.0,0.0,6.6018504579122625,1.8445893884157567,4.514757169819758,1.2367106359344626
"Michigan, United States",USA,0.028390799837896677,0.022296761837831774,0.0006360003889412389,0.0004994839624793662,0.8028918194157181,0.6305524247738826,1.6350601183596585,2.2421064814814815
"Missouri, United States",USA,0.00794942395461107,0.006243093314592897,0.00023838769882521683,0.00018721817546963511,0.3009424782817048,0.2363456754810168,0.6128584602055297,0.8403935185185184
"Montana, United States",USA,0.001135631993515867,0.0008918704735132709,3.418389643531411e-05,2.684637987866466e-05,0.04315401575360295,0.0338910779935043,0.08788159052003822,0.12050925925925925
Morocco,B,0.5827243981371247,0.16281605407866448,0.0,0.0,12.352192593965627,3.4512631765521733,8.447199831641804,2.3139100249930573
"Nebraska, United States",USA,0.0,0.0,6.926736909261017e-05,5.4399243438346804e-05,0.08744366350072176,0.06867402646052186,0.17807585447481428,0.2441898148148148
Netherlands,A,0.03245431105754892,0.014435755061474693,0.0005492279457488302,0.0002442979018623425,1.116316388962243,0.4965401956490002,4.358199813492251,0.9256220839813375
