Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff
ai and data management,USA,Broad match,existing searches,1.0200000246865435,1.1533723282400004,0.6978594171586863,1.1533722,1.596990457652936e-07
ai and machine learning online courses,USA,Broad match,new,1.0200000246865435,1.202901138010001,0.6978591811084507,1.2029009,2.5147435644967686e-07
ai certificate programs,USA,Broad match,existing,1.0200000246865435,1.2169285116400006,0.6978592572416547,1.2169284,1.4879362608688496e-07
ai engineering,USA,Phrase match,existing,1.0200000246865435,1.5674316258400003,0.8103740186660806,1.5674313,2.951591531186182e-07
ai engineering,USA,Broad match,existing,1.0200000246865435,1.5260341367400003,0.8805183372176004,1.5260339,2.584135843086699e-07
ai for engineering design,USA,Broad match,existing searches,1.0200000246865435,1.0158768357399999,0.6978592933777867,1.0158768,6.572046862274306e-08
ai machine learning training,USA,Broad match,existing,1.0200000246865435,1.3320720415400003,0.697859249620292,1.3320719,1.4117226343479672e-07
ai tools,USA,Phrase match,existing searches,1.0200000246865435,1.5747624721100009,0.8103740300705111,1.5747623,1.2774964930351018e-07
ai tools,USA,Broad match,existing searches,1.0200000246865435,1.5333649830100002,0.8805182890173855,1.5333649,9.100407982742809e-08
andrewng,USA,Phrase match,existing searches,1.0200000246865435,1.6968442809599993,0.8103740227240679,1.6968441,1.8000785084737458e-07
andrewng,USA,Broad match,existing searches,1.0200000246865435,1.5505057010399996,0.8805183801400362,1.5505055,1.8212673058570772e-07
applied data science program mit,USA,Exact match,existing,0.6000000109212141,1.1727150510200004,0.7482212017425041,1.1727151,-1.684346395691705e-08
applied data science program mit,USA,Phrase match,existing,0.6000000109211392,1.3521319059200265,0.8989527252979257,1.3521318,6.235313199098869e-08
applied data science program mit,USA,Broad match,existing,1.0200000246865442,1.4725287235000015,1.218803075573671,1.4725287,2.7439820859953556e-08
applied data science program mit,A,Phrase match,existing,0.6000000109211788,1.9196734159200006,0.8989525764195734,1.9196734,-2.6920575546540704e-08
applied data science program mit,A,Broad match,existing,0.600000010921274,1.7202199520000019,0.8989527644046345,1.72022,-1.7749448799619927e-08
apply for mit,USA,Exact match,existing searches,0.6000000109211641,1.3065944301499999,0.7482212173356688,1.3065945,-6.085494397289892e-08
apply for mit,USA,Phrase match,existing searches,0.6000000109211641,1.8135937551499997,0.8989527324678097,1.8135937,9.918371235428936e-09
apply for mit,USA,Broad match,existing searches,1.0200000246865435,1.8393095108300002,1.218803045394972,1.8393096,-6.234352278866595e-08
apply for mit,A,Phrase match,existing searches,0.6000000109212741,2.1057398121499995,0.89895258356571,2.1057398,-1.9774438975161956e-08
apply for mit,A,Broad match,existing searches,0.6000000109212741,1.8116052863300003,0.8989526745975174,1.8116053,-4.795192110051971e-08
artificial intelligence and machine learning course,USA,Broad match,existing,1.0200000246865435,1.1710109562099995,0.6978592426003041,1.1710109,1.0434995312280648e-07
artificial intelligence and python,USA,Broad match,existing searches,1.0200000246865435,1.1088533558400002,0.6978593029530373,1.1088533,1.5691074439772024e-08
artificial intelligence and robotics,USA,Broad match,existing searches,1.0200000246865435,1.0340169217100013,0.6978592719545234,1.0340167,1.9330881717571913e-07
artificial intelligence engineering,USA,Phrase match,existing searches,1.0200000246865435,1.53957655764,0.8103740487136084,1.5395763,2.656020361424538e-07
artificial intelligence engineering,USA,Broad match,existing searches,1.0200000246865435,1.4981790685399998,0.8805183076604832,1.4981788,2.2885646711046093e-07
artificial intelligence with java,USA,Broad match,existing searches,1.0200000246865435,1.0630812495399995,0.6978592425037904,1.0630811,1.0425343943687437e-07
artificial intelligence with python mit,USA,Broad match,existing searches,1.0200000246865435,1.045593774740001,0.697859263841411,1.0455937,3.618409283312474e-08
basic ai programming tutorial,USA,Broad match,existing searches,1.0200000246865435,1.0756499124099994,0.6978593123485828,1.0756499,5.4888942280229e-08
best online course on python,USA,Broad match,existing searches,1.0200000246865435,1.1098257262100004,0.6978593129504942,1.1098256,1.1509549846522305e-07
best place to learn python,USA,Broad match,existing searches,1.0200000246865435,1.3794779299400002,0.6978592394492775,1.3794779,7.139660418431504e-08
best python machine learning course,USA,Broad match,new,1.0200000246865435,0.9780714398400006,0.6978593653217968,0.97807133,1.0786215631775065e-07
big data course,USA,Broad match,existing searches,0.5900000168845101,0.9593796561100011,0.379359407220078,0.9593794,2.8112907457522596e-07
big data mit,USA,Exact match,existing searches,0.6000000109212174,2.101882704539999,0.9713771427113858,2.1018827,8.388265637648828e-09
big data mit,USA,Phrase match,existing searches,0.6000000109212564,2.40592322334,1.122108673893894,2.4059231,9.521194810346856e-08
big data mit,USA,Broad match,existing searches,1.0200000246865435,2.752388412840001,1.4406085561581774,2.7523885,-6.448543832249243e-08
big data mit,A,Exact match,existing searches,0.6000000109212741,2.48586408154,0.9713770534180517,2.4858642,-8.090506842250988e-08
big data mit,A,Phrase match,existing searches,0.6000000109212741,2.6980692803399995,1.122108524991794,2.6980693,-5.369015187994819e-08
big data mit,A,Broad match,existing searches,0.6000000109212742,2.72603459134,1.1221085287560766,2.7260346,-4.992586921659381e-08
