Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,Bid,t_Clicks_OptCost
100 page machine learning book,A,Exact match,existing searches,0.4099999961676938,0.9078694714500002,0.0489812625838808,0.9078696,-1.0595783672684433e-07,10.881712044585116,-0.0004348755
ai algorithms,USA,Broad match,existing searches,0.4099999961676938,1.0555141574000002,0.2876685267542482,1.0555141,6.018625509085497e-08,1.8528269360288323,0.0
ai and machine learning course free,USA,Exact match,new,0.4099999961676938,0.7597247691899999,0.273439321115659,0.7597245,2.7139489489069746e-07,1.949244142515093,0.07497847
ai and machine learning course free,USA,Phrase match,new,0.4099999961676938,0.7860322543899997,0.273439283065079,0.786032,2.3334431487054285e-07,1.9492444137631355,0.07497847
ai and machine learning course free,USA,Broad match,new,0.4099999961676938,0.8380849754900004,0.2734392082780863,0.8380848,1.5855732216074617e-07,1.949244946891243,0.07497847
ai and machine learning course online,USA,Exact match,new,0.4099999961676938,0.93519733573,0.2734392705063062,0.9351971,2.2078554207105586e-07,1.949244503289844,0.06374502
ai and machine learning course online,USA,Phrase match,new,0.4099999961676938,1.032267188830001,0.2734393237062522,1.032267,2.1438084329972185e-07,1.9492441240477472,0.06374502
ai and machine learning course online,USA,Broad match,new,0.4099999961676938,1.17053103576,0.3491820705920008,1.1705308,2.3970897466973895e-07,1.5264242923880873,0.06374502
ai and machine learning courses for beginners,USA,Exact match,new,0.4099999961676938,0.7139627036800008,0.3619619605292897,0.71396244,2.679576497355285e-07,1.4725304124184948,0.0
ai and machine learning courses for beginners,USA,Phrase match,new,0.409999996167694,0.7402701888800017,0.3619619820833556,0.7402699,2.895117156009875e-07,1.4725303247324426,0.0
ai and machine learning courses for beginners,USA,Broad match,new,0.4099999961676938,0.7923229099800008,0.3619619072963612,0.79232264,2.743293660012469e-07,1.4725306289802509,0.0
ai and machine learning courses online,USA,Exact match,new,0.4099999961676938,0.8497724469100001,0.305250757495022,0.84977233,1.1281118417194592e-07,1.746105396730077,0.0
ai and machine learning courses online,USA,Phrase match,new,0.4099999961676938,0.94684230001,0.3052508702996119,0.9468421,2.256157740632148e-07,1.7461047514618,0.0
ai and machine learning courses online,USA,Broad match,new,0.4099999961676938,0.9001992018400007,0.3809936316190534,0.900199,2.057729535653863e-07,1.3989735018745302,0.0
ai and machine learning free online course,USA,Exact match,new,0.4099999961676938,0.6266436261400006,0.3619617504342816,0.6266435,1.472696087301273e-07,1.4725312671256252,0.0
ai and machine learning free online course,USA,Phrase match,new,0.4099999961676946,0.6529511113400005,0.3619618315929912,0.6529509,2.2842831837177613e-07,1.4725309369561816,0.0
ai and machine learning free online course,USA,Broad match,new,0.4099999961676938,0.6063080131700004,0.437704592912432,0.6063078,2.0858549720781386e-07,1.2177162489237,0.0
ai and ml degree,USA,Exact match,existing searches,0.4099999961676938,0.4082348027999999,0.2692635336692931,0.40823483,-3.18710206004269e-08,1.9794733722562945,0.1823452
ai and ml degree,USA,Phrase match,existing searches,0.409999996167697,0.5486792974000001,0.2692635707383179,0.54867923,6.480264902464229e-08,1.9794730997458203,0.18234515
ai and ml degree,USA,Broad match,existing searches,0.409999996167693,0.7248624016299997,0.2692635704532419,0.72486234,6.45175729507841e-08,1.979473101841518,0.18234515
ai bootcamp stanford,USA,Exact match,existing searches,0.4099999961676995,0.7365617676300039,0.2734392805618276,0.7365615,2.904457082619772e-07,1.949244431607888,0.18234527
ai bootcamp stanford,USA,Phrase match,existing searches,0.5100000197723844,0.99083705773,0.3974908195937086,0.99083686,1.989806104329972e-07,1.6679631151778018,0.18234539
ai bootcamp stanford,USA,Broad match,existing searches,0.510000019772553,1.1670201619599996,0.3974907597039876,1.1670201,7.948624469733545e-08,1.667963366489467,0.18234539
ai courses for mechanical engineers,USA,Broad match,existing searches,0.4099999961677033,0.932575349540004,0.3091509387199967,0.9325753,6.41052811944931e-08,1.724076909566694,0.0
ai courses for non technical,USA,Broad match,existing searches,0.4099999961676938,0.8299527510600002,0.285089586635104,0.82995254,2.1304654196363526e-07,1.869587736644366,0.0
