Location,Region,Opt_Conversions,Act_Conversions,Opt_Purchases,Act_Purchases,Opt_Clicks,Act_Clicks,Opt_Spend,Act_Spend
"Alabama, United States",USA,0.03079410655949,0.010524397740480813,0.0005854356945826971,0.00020008237905392876,0.73905855742776,0.2525855457715395,1.2837288113470624,0.8262523540489642
"Alaska, United States",USA,0.0,0.0,5.183545212450964e-05,1.771562731206661e-05,0.06543747643891626,0.02236434519852173,0.11366348850468783,0.07315776051475205
Argentina,B,0.0,0.03890322285015701,0.0,0.0,0.0,1.860344431644463,0.0,1.2972415069887995
Aruba,B,0.0,0.0,0.0,0.0,0.0,0.000937201225009805,0.0,0.0006535221697676571
Australia,A,0.0075760040249302244,0.021957104218268336,0.00013170132168214882,0.0003817024959784467,0.2676854755475346,0.7758176823788145,0.41103162218144607,1.3583825816485227
Austria,B,0.0,0.0,0.0,0.0,0.0,0.0004686006125049025,0.0,0.00032676108488382855
Bahrain,B,0.0,0.0023430030625245122,0.0,0.0,0.0,0.05998087840062752,0.0,0.041825418865130054
Belgium,A,0.00015783341718604633,0.0004574396712139237,9.93972239110557e-06,2.880773554554315e-05,0.02020267739981393,0.058552277915382235,0.031021254504260083,0.1025194401244168
Bolivia,B,0.0,0.019681225725205906,0.0,0.0,0.0,0.5356105000931036,0.0,0.37348792002221604
Bosnia and Herzegovina,B,0.0,0.0,0.0,0.0,0.0,0.00749760980007844,0.0,0.005228177358141257
Brazil,B,0.0,0.03842525022540201,0.0,0.0,0.0,1.4217342583398744,0.0,0.9913931315375359
Brazil,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"California, United States",USA,0.42341896519298755,0.1447104689316112,0.014815791874881903,0.005063543124078334,18.70357047157024,6.392256077624535,32.48769944966342,20.91020931418707
Cambodia,B,0.0,0.010309213475107857,0.0,0.0,0.0,1.125578671236776,0.0,0.7848801258909561
Canada,A,0.014837919549660216,0.043003903490820956,0.0002517545311872208,0.00072964592686446,0.5116959385171622,1.4830194140755404,0.7857102117407123,2.596625194401244
Chile,B,0.0,0.013589417762642175,0.0,0.0,0.0,0.572161347868486,0.0,0.3989752846431547
China,A,0.00299883492653488,0.008691353753064549,5.862883129128676e-05,0.00016992062763191465,0.11916422997546497,0.34536695176651233,0.18297693086497155,0.6047045101088646
China,B,0.0,0.031864841650333375,0.0,0.0,0.0,4.33174406199532,0.0,3.0205794686661114
Colombia,B,0.0,0.010318585487357954,0.0,0.0,0.0,0.24132931544002484,0.0,0.1682819587151717
"Colorado, United States",USA,0.034643369879426254,0.011839947458040916,0.0013324760340241595,0.00045539583149253583,1.6821280708121413,0.5748952265737645,2.9218202633263863,1.880584784996861
"Connecticut, United States",USA,0.08468379303859751,0.028942093786322242,0.001295886303112741,0.00044289068280166534,1.6359369109729065,0.5591086299630433,2.8415872126171955,1.828944012868801
Costa Rica,B,0.0,0.004686006125049025,0.0,0.0,0.0,0.17197642478929923,0.0,0.11992131815236508
Croatia,B,0.0,0.0028116036750294154,0.0,0.0,0.0,0.17338222662681393,0.0,0.12090160140701657
Denmark,A,0.0025253346749767413,0.0073190347394227785,5.0941077254416046e-05,0.00014763964467090862,0.10353872167404639,0.3000804243163339,0.15898392933433292,0.525412130637636
Ecuador,B,0.0,0.023430030625245124,0.0,0.0,0.0,0.6780650862945939,0.0,0.4728232898268999
El Salvador,B,0.0,0.002811603675029415,0.0,0.0,0.0,0.13964298252646096,0.0,0.09737480329538092
Finland,A,0.0015783341718604634,0.004574396712139237,3.47890283688695e-05,0.00010082707440940102,0.07070937089934876,0.2049329727038378,0.10857439076491028,0.3588180404354588
"Florida, United States",USA,0.10777937295821502,0.03683539209168286,0.003716906831751603,0.0012703146878476,4.692251987002289,1.6036551057057642,8.150340734542027,5.245841768675455
France,A,0.015622351633074866,0.045277378656754165,0.00032692368176995664,0.00094750442692763,0.664478686353255,1.9258210158106186,1.0203084489291792,3.3719284603421458
Germany,A,0.013731507295186029,0.03979725139561136,0.00029741513092136195,0.0008619814620267988,0.6045019878225574,1.7519939407493277,0.9282140996196571,3.0675738724727837
Ghana,B,0.0,0.19776820250156904,0.0,0.0,0.0,6.20146050588988,0.0,4.3243561973525875
Greece,B,0.0,0.00046860061250490254,0.0,0.0,0.0,0.0370194483878873,0.0,0.025814125705822456
Hong Kong,B,0.0,0.0032802042875343176,0.0,0.0,0.0,0.16963342172677473,0.0,0.11828751272794595
Iceland,A,0.000473500251558139,0.001372319013641771,1.4598967261936308e-05,4.23113615825165e-05,0.02967268243097671,0.08599865818821766,0.045562467553131994,0.15057542768273716
Iceland,B,0.0,0.00046860061250490254,0.0,0.0,0.0,0.003280204287534318,0.0,0.0022873275941868
"Illinois, United States",USA,0.08083452971866126,0.02762654406876214,0.003305272358998144,0.0011296317650753064,4.172601438810895,1.4260558938351504,7.247718914063623,4.664883082234777
India,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,B,0.0,0.13310131797589253,0.0,0.0,0.0,3.5365288225744997,0.0,2.4660659076182543
Ireland,A,0.0003156668343720926,0.0009148793424278473,2.0966601918738313e-06,6.076631716638008e-06,0.004261502264023251,0.01235087112277594,0.006543545871992361,0.021625194401244167
Israel,A,0.008523004528046503,0.024701742245551876,0.00012238283194048735,0.0003546952439045,0.24874546548520904,0.7209249218331437,0.38194919608370226,1.2622706065318818
Italy,A,0.01846650981076742,0.05352044153202906,0.00045334452593183064,0.001313902813397507,0.9214314895321385,2.6705328005468862,1.4148600296552372,4.675847589424572
Japan,A,0.009785671865534872,0.028361259615263267,0.00021828562219841998,0.0006326448798322014,0.4436697357099762,1.2858629157823394,0.6812558313396491,2.2514230171073093
"Kansas, United States",USA,0.01154778995980875,0.003946649152680305,0.0004055361842682225,0.00013859873132381526,0.5119520215515213,0.17496811243549354,0.8892496453602047,0.5723518910860013
Luxembourg,A,0.001420500754674417,0.004116957040925313,2.1044255999918824e-05,6.099137760032963e-05,0.042772856057418554,0.12396615089897331,0.06567781227073814,0.21705287713841367
"Maryland, United States",USA,0.05773894979904376,0.01973324576340153,0.0021252535371048954,0.0007263407197947311,2.6829365339955666,0.916938153139391,4.660203028692201,2.9994681811048336
"Massachusetts, United States",USA,0.23095579919617504,0.07893298305360612,0.006698969901032217,0.0022894843061535496,8.456831513899942,2.8902627294795438,14.689334367341125,9.454564697112367
Mexico,A,0.015466096550060683,0.04482451338225239,0.00033927068067765814,0.0009832890359256095,0.6895741996858364,1.9985539235336327,1.0588426635086898,3.499276827371695
Mexico,B,0.0,0.017338222662681393,0.0,0.0,0.0,1.162598119624663,0.0,0.8106942515967787
"Michigan, United States",USA,0.09623158299840628,0.03288874293900255,0.0021557449795310776,0.0007367616770371233,2.7214291671949296,0.930093650314992,4.7270639042831935,3.0425021578782174
"Missouri, United States",USA,0.02694484323955375,0.00920884802292071,0.0008080232242938267,0.00027615536692339124,1.0200547797831063,0.34862067515342693,1.7718132031613099,1.1404003844946642
"Montana, United States",USA,0.00384926331993625,0.0013155497175601017,0.00011586748121949213,3.959963752109007e-05,0.14627200615757752,0.049990889267283865,0.25407132724577275,0.1635291117388575
Morocco,B,0.0,0.1026188481324486,0.0,0.0,0.0,2.1752440432477576,0.0,1.516824956030732
"Nebraska, United States",USA,0.0,0.0,0.00023478410668160247,8.024137076641935e-05,0.29639327563509127,0.10129732825212784,0.5148287420506448,0.33136162115505335
Netherlands,A,0.009154338196790688,0.026531500930407577,0.00015491989195512198,0.00044899556572936396,0.31487766728616245,0.9125921440717778,0.4834953338749911,1.5978615863141523
"New Hampshire, United States",USA,0.011547789959808753,0.003946649152680305,0.0004238310497239318,0.0001448513056692505,0.5350476014711388,0.18286141074085413,0.9293661707148003,0.5981722771500314
"New Mexico, United States",USA,0.007698526639872501,0.0026310994351202033,0.0003597990206289493,0.00012296729546022706,0.45421307175247755,0.155234866672092,0.7889583319737153,0.507800925925926
"New York, United States",USA,0.2540513791157926,0.08682628135896672,0.0067630019301272,0.002311368316362573,8.537666043618605,2.917889273548306,14.829742206082212,9.544936048336472
New Zealand,A,0.0023675012577906948,0.006861595068208855,4.612652422122428e-05,0.00013368589776603616,0.09375304980851151,0.27171916470107066,0.14395800918383192,0.47575427682737165
Nicaragua,B,0.0,0.0023430030625245127,0.0,0.0,0.0,0.21508768113975027,0.0,0.14998333796167732
"North Dakota, United States",USA,0.0038492633199362506,0.0013155497175601019,0.00010367090424901928,3.543125462413322e-05,0.13087495287783252,0.04472869039704346,0.22732697700937565,0.1463155210295041
Norway,A,0.0022096678406046486,0.006404155396994931,6.07254914831606e-05,0.00017599725934855265,0.12342573223948823,0.3577178228892883,0.18952047673696393,0.6263297045101088
"Ohio, United States",USA,0.034643369879426254,0.011839947458040918,0.0018752237092102015,0.0006408888704071157,2.367296941760794,0.8090630762994626,4.111943848846059,2.6465895715630885
"Oregon, United States",USA,0.05004042315917126,0.017102146328281324,0.0011647731006801578,0.0003980805666593791,1.4704185882156477,0.5025399921079589,2.5540854475759263,1.6438979127432518
Panama,B,0.0,0.000937201225009805,0.0,0.0,0.0,0.0923143206634658,0.0,0.06437193372211422
"Pennsylvania, United States",USA,0.10777937295821502,0.03683539209168285,0.002628362337136901,0.0008982865142942012,3.318064981785048,1.1340038565368078,5.763407475943582,3.709528797865662
Peru,B,0.0,0.035613646550372594,0.0,0.0,0.0,1.4193912552773498,0.0,0.9897593261131167
Poland,B,0.0,0.005623207350058832,0.0,0.0,0.0,0.2914695809780494,0.0,0.2032453947977414
Portugal,B,0.0,0.0,0.0,0.0,0.0,0.0028116036750294154,0.0,0.0019605665093029713
Qatar,B,0.0,0.0023430030625245127,0.0,0.0,0.0,0.047328661862995156,0.0,0.03300286957326669
Russia,B,0.0,0.0004686006125049025,0.0,0.0,0.0,0.009840612862602953,0.0,0.0068619827825604
Saudi Arabia,B,0.0,0.007029009187573538,0.0,0.0,0.0,0.7774084161456333,0.0,0.5420966398222716
Singapore,B,0.0,0.006560408575068635,0.0,0.0,0.0,0.1879088456144659,0.0,0.13103119503841526
Slovakia,A,0.0007891670859302316,0.0022871983560696185,6.90344781694754e-05,0.00020007872578115516,0.14031390787839518,0.4066638677091782,0.21545230667411883,0.7120295489891135
Slovakia,B,0.0,0.0,0.0,0.0,0.0,0.012652216537632368,0.0,0.008822549291863371
South Africa,B,0.0,0.016518171590797815,0.0,0.0,0.0,0.7497609800078441,0.0,0.5228177358141257
"South Carolina, United States",USA,0.011547789959808753,0.003946649152680305,0.0005762882618548425,0.00019695609188121114,0.7275107674679514,0.24863889661885924,1.2636705486697646,0.8133421610169492
"South Dakota, United States",USA,0.0,0.0,0.00011586748121949213,3.959963752109007e-05,0.14627200615757752,0.049990889267283865,0.25407132724577275,0.1635291117388575
South Korea,A,0.03313712593821042,0.09603945897136328,0.0007166695152149478,0.002077082744920451,1.4566446072100216,4.221710725633302,2.2366809204673146,7.391811819595645
Spain,A,0.007891670859302317,0.022871983560696186,0.00027132335964470986,0.0007863611562197481,0.5514699596480459,1.5982942112214493,0.8467833065459743,2.7984603421461896
Sweden,A,0.0022096678406046486,0.0064041553969949325,8.883626887050605e-05,0.0002574691364382919,0.18056142926083701,0.5233109838687288,0.2772524621318245,0.9162674961119751
Switzerland,A,0.003208753371392322,0.009299748515779067,6.313276799975649e-05,0.0001829741328009889,0.12831856817225568,0.37189845269691996,0.1970334368122144,0.6511586314152411
Taiwan,B,0.0,0.014526618987651979,0.0,0.0,0.0,0.39456171572912796,0.0,0.27513283347218365
"Tennessee, United States",USA,0.05388968647910752,0.018417696045841425,0.0009055958400576098,0.00030950243009904613,1.1432312060210665,0.39071826611535027,1.985768005052487,1.2781091101694915
"Texas, United States",USA,0.24250358915598377,0.0828796322062864,0.007199029556821604,0.0024603880049287805,9.088110698369487,3.1060128831594,15.785852727033408,10.160321916195857
Thailand,B,0.0,0.024362545844129883,0.0,0.0,0.0,1.4924929508281146,0.0,1.040734055354994
United Arab Emirates,B,0.0,0.0028116036750294154,0.0,0.0,0.0,0.07450749738827951,0.0,0.051955012496528744
United Kingdom,A,0.019255676896697653,0.055807639888098684,0.0003903670660944352,0.0011313788014644171,0.7934285881942549,2.299549227192394,1.2183112999446517,4.026290824261275
United States,USA,3.630625163363872,1.240826493602688,0.08799830284196167,0.03007488260154367,111.08973941336019,37.966764848784536,192.96048695560532,124.19605696798493
"Vermont, United States",USA,0.007698526639872502,0.0026310994351202033,0.00012806405818996503,4.3768020418046924e-05,0.16166905943732254,0.055253088137524276,0.2808156774821699,0.18074270244821095
"Virginia, United States",USA,0.10008084631834252,0.03420429265656264,0.0033510095226374176,0.0011452632009388943,4.23034038860994,1.4457891395985518,7.3480102274501125,4.729434047394853
"Washington, United States",USA,0.10008084631834252,0.03420429265656265,0.0032534369068736345,0.0011119161377632397,4.107163962371979,1.4036915486366286,7.134055425558936,4.591725321720025
"West Virginia, United States",USA,0.0,0.0,0.00013721149091781964,4.6894307590764554e-05,0.17321684939713128,0.05919973729020458,0.3008739401594677,0.193652895480226
"Wisconsin, United States",USA,0.007698526639872502,0.0026310994351202038,0.0007409420509562261,0.00025322926099012865,0.9353709867445089,0.31967858136710475,1.624719276861126,1.0457256355932205
"Wyoming, United States",USA,0.0,0.0,6.098288485236428e-05,2.0841914484784247e-05,0.07698526639872501,0.026310994351202033,0.13372175118198565,0.0860679535467671
