Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff
ai and cloud computing,USA,Phrase match,existing searches,1.1099999545887425,1.00751120515,0.5636178321374572,1.0075109,3.046525633987329e-07
ai and cloud computing,USA,Broad match,existing searches,1.1099999545887425,2.3331427576100006,0.5636178257023468,2.333143,-2.3822435002429643e-07
ai ml bootcamp,USA,Phrase match,existing searches,1.9799999458412394,1.4478995623809998,1.0199949863178437,1.4478993,2.2079774786298856e-07
ai ml bootcamp,USA,Broad match,existing searches,1.9799999458412394,1.5680032586210004,1.0967288529031507,1.5680032,8.097817816299369e-08
ai research programs,USA,Broad match,existing searches,1.9799999458412394,1.2927076965800004,1.0210229009619431,1.2927076,1.3413340615997527e-07
ai tools for scientific research,USA,Broad match,existing searches,1.9799999458412385,2.401020569541,1.1734517047186124,2.4010205,4.265501374334235e-08
ai training,USA,Broad match,existing searches,0.29000000758690947,0.8697942728000005,0.11472650708726251,0.8697941,2.020793279378097e-07
ai with machine learning course,USA,Broad match,new,1.1099999545887427,2.202788321151001,0.56361779369281,2.2027884,-3.181530772167207e-08
aiml course online,USA,Broad match,existing searches,1.109999954588727,2.291400520051,0.6393237988595937,2.2914004,8.746433000084153e-08
aiml training,USA,Broad match,existing searches,1.9799999458412394,1.5748634869209996,1.096728854810404,1.5748634,5.3083109019524954e-08
andrej karpathy machine learning course,USA,Phrase match,new,1.1099999545887425,0.9671416034830005,0.6319654038083942,0.96714145,1.5403155395610213e-07
andrej karpathy machine learning course,USA,Broad match,new,1.1099999545887422,2.1372093227900013,0.631965425351952,2.1372094,-9.264578970658022e-08
andrewng,USA,Broad match,existing searches,1.1099999545887425,2.3003274039,0.5562593773573363,2.3003273,1.0287460927571601e-07
applied machine learning online course download,USA,Phrase match,new,1.1099999545887402,1.1606851949240007,0.631965412094716,1.1606851,1.325155534193101e-07
applied machine learning online course download,USA,Broad match,new,1.109999954588727,2.3307529142311028,0.6319653442314079,2.3307528,6.465224533513947e-08
artificial intelligence and machine learning course,USA,Phrase match,existing,1.1099999545887425,0.9757507691700003,0.5636178801376364,0.97575057,2.0364113062498745e-07
artificial intelligence and machine learning course,USA,Broad match,existing,1.1099999545887425,2.2363238667300007,0.5636177395632527,2.2363238,3.3264424548207217e-08
artificial intelligence and machine learning course in india,USA,Broad match,new,1.3500000274546373,2.3481147513209994,0.6403514370738681,2.348115,-2.160251919569589e-07
artificial intelligence and machine learning free course with certificate,USA,Phrase match,new,1.1099999545887425,0.9289838957740043,0.5562594520999168,0.9289838,8.82102225707726e-08
artificial intelligence course in pakistan,USA,Exact match,existing searches,1.109999954588742,0.7887842705110005,0.5636178603032521,0.7887841,1.838067463788562e-07
artificial intelligence course in pakistan,USA,Phrase match,existing searches,1.1099999545887362,1.257730247111,0.6393238917299879,1.2577301,1.2073007948920633e-07
artificial intelligence course in pakistan,USA,Broad match,existing searches,1.1099999545887234,2.4984871895409997,0.6393237860299523,2.4984872,-4.45746008992387e-08
artificial intelligence for dummies,USA,Broad match,existing searches,0.2900000075870022,0.7234576395900006,0.11472636975357486,0.7234576,6.47456402935731e-08
artificial intelligence free course with certificate,USA,Phrase match,existing searches,1.1099999545887425,0.8475373112930007,0.5636179768813796,0.84753704,2.705825514759397e-07
artificial intelligence free course with certificate,USA,Broad match,existing searches,1.3699999686342281,2.5587302976900004,0.792780333166685,2.5587304,-6.615582481828142e-08
artificial intelligence free course with certificate,A,Broad match,existing searches,1.3699999686342277,3.136579360290001,1.107566203399132,3.1365793,8.515877558679108e-08
artificial intelligence machine learning course,USA,Phrase match,new,1.1099999545887425,1.0033277584600004,0.6319653703259978,1.0033276,1.5035147993280873e-07
artificial intelligence machine learning course,USA,Broad match,new,1.1099999545887425,2.328959310920001,0.6319652446815978,2.3289592,8.431172471290438e-08
artificial intelligence training,USA,Broad match,existing,0.2900000075869186,0.8040729463000007,0.11472651361414865,0.80407274,2.0860621408047564e-07
artificial neural network,USA,Broad match,existing searches,0.2900000075869782,0.7308468819000007,0.11472648385541451,0.7308467,1.7884747993690553e-07
automation bootcamp,USA,Broad match,existing searches,1.9799999458412394,1.2927076965800133,1.021022900961956,1.2927076,1.3413341903856235e-07
aws certified machine learning engineer associate course,USA,Broad match,new,1.1099999545887425,2.469741110361,0.6393237157229383,2.469741,4.327674663073822e-09
aws machine learning engineer course,USA,Phrase match,new,1.1099999545887425,1.2389695505910006,0.6319653849415865,1.2389693,2.245717134474745e-07
aws machine learning engineer course,USA,Broad match,new,1.3699999686342281,2.547588713421,0.7627974822656043,2.5475888,-1.1180483028283561e-07
aws training,USA,Phrase match,existing searches,0.290000007586954,0.7464025498800004,0.11472617401406415,0.7464027,-1.30993870417484e-07
aws training,USA,Broad match,existing searches,1.9799999458411008,1.84405657798,1.2491576984519543,1.8440564,2.1010585449232622e-07
bootcamp machine learning,USA,Phrase match,existing searches,1.9799999458412394,1.4592697219400006,1.0199949936418133,1.4592695,1.983193951282658e-07
bootcamp machine learning,USA,Broad match,existing searches,1.9799999458412394,1.57937341818,1.0967288602271192,1.5793734,5.84998243180479e-08
computer science online course,USA,Broad match,existing searches,0.29000000758697997,0.6986286256200009,0.11472650502979098,0.6986284,2.0002185641132542e-07
course cs50,USA,Broad match,existing searches,1.1099999545886985,2.3644491736,0.5562594238822878,2.364449,1.49399560722685e-07
course cs50,A,Broad match,existing searches,0.29000000758689726,2.1859793818000006,0.11472632050544496,2.1859794,1.54975103860977e-08
cs231n,USA,Broad match,existing searches,1.1099999545887425,2.249100165820001,0.5562592320202575,2.2491002,-4.246246954053845e-08
cs50,A,Broad match,existing searches,0.29000000758692224,2.185979381800001,0.1147263205054454,2.1859794,1.549751083018691e-08
deepfake,USA,Broad match,existing searches,0.2900000075870022,0.7987180666300007,0.11472645562612493,0.7987179,1.5061819036432667e-07
download python for data science and machine learning bootcamp course,USA,Phrase match,new,1.1099999545887425,0.9674876191830004,0.6393238761638964,0.9674875,1.0516398796234228e-07
download python for data science and machine learning bootcamp course,USA,Broad match,new,1.10999995458874,2.144567775090001,0.6393238776519516,2.144568,-1.9137118068002223e-07
google free machine learning course with certificate,USA,Phrase match,new,1.1099999545887331,1.0175960946740004,0.6319653976620527,1.0175961,-3.092872180587847e-08
google free machine learning course with certificate,USA,Broad match,new,1.1099999545887278,2.357853576451138,0.6319653241928371,2.3578534,1.6382296408323782e-07
great learning,USA,Broad match,existing searches,1.9799999458412216,2.0474902034100007,1.2755645156200837,2.04749,3.218944977234628e-07
great learning academy,USA,Broad match,existing searches,1.9799999458412394,1.7603555469000012,1.1988416461431652,1.7603555,7.433530391232068e-08
great learning online,USA,Broad match,existing searches,1.9799999458412394,1.878291008841,1.1988416293968778,1.8782909,1.1719366121987207e-07
how can i learn machine learning,USA,Broad match,existing searches,0.29000000758692224,0.9972825388100006,0.11472645799182435,0.9972824,1.5298388977846855e-07
how do i learn how to use ai,USA,Broad match,existing searches,1.9799999458412394,1.7659905408510006,1.1734517072328365,1.7659904,1.6437852745632142e-07
how long does it take to become an ai expert,USA,Phrase match,existing searches,1.9799999458412394,1.6819130882240003,1.1859902843452161,1.681913,6.999737678370366e-08
how to artificial intelligence,USA,Phrase match,existing searches,1.1099999545887425,1.095492466674001,0.6319654428817341,1.0954925,-1.5511362860820554e-08
how to artificial intelligence,USA,Broad match,existing searches,1.109999954588699,2.3797354089610008,0.6319652187220481,2.3797352,1.7756146464265044e-07
how to artificial intelligence,A,Broad match,existing searches,0.2900000075869258,2.1255596530610013,0.11472638966378446,2.1255596,8.46558498857064e-08
how to become a machine learning engineer,USA,Exact match,existing searches,1.1099999545887425,0.8384016693830001,0.5562593878507125,0.8384015,1.729726302190926e-07
how to become a machine learning engineer,USA,Phrase match,existing searches,1.1099999545887425,0.926495463293,0.5562594241313179,0.92649525,2.0925323562792641e-07
