Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff
a1wizard,B,Broad match,existing searches,4.609999986285763,11.78272948449,10.228222705772959,11.782728,1.2892995702173948e-06
about machine learning course,USA,Broad match,new,1.3699999682323019,1.4366946513900003,0.915999561096116,1.4366946,2.935020537719879e-08
ai and cloud computing,B,Broad match,existing searches,0.4100000088875399,1.722909899290001,0.16800818019667818,1.7229096,3.295497055244567e-07
ai hackathon 2025,USA,Broad match,existing searches,0.8300000037907913,1.1030325330500008,0.5792009867433907,1.1030326,-5.590873941585528e-08
ai machine learning online course,A,Broad match,new,11.429999761909057,10.9657490741,9.24706010925625,10.965747,2.1945223629415977e-06
ai online courses,A,Broad match,existing searches,11.42999976190906,11.76086746328,9.857115970779695,11.760867,3.444445511036065e-07
ai technology,USA,Broad match,existing searches,1.5500000494388713,1.4440543636600007,1.1876306518832673,1.4440542,1.1771120922432488e-07
ai with matlab,USA,Broad match,existing searches,0.8300000037907072,0.8281126241500011,0.5792011241728893,0.8281126,2.1916114367748207e-08
aiml course online,USA,Broad match,existing searches,1.369999968232303,1.4523506986600005,0.9159996139508331,1.4523506,8.220492242472233e-08
analytics vidhya machine learning free course,USA,Broad match,new,1.3699999682322999,1.4032055992100003,0.9580776351902249,1.4032055,8.525583772289735e-08
andrej karpathy machine learning course,USA,Broad match,new,1.3699999682323016,1.4609082405100011,0.9159995977411413,1.4609082,6.599523061368018e-08
andrew ng,USA,Broad match,existing searches,1.550000049438877,1.335198890480001,1.1133052372064185,1.335199,-1.0797123195516178e-07
andrew ng machine learning free course,USA,Broad match,new,1.3699999682322956,1.4794574229100008,0.9159995762684603,1.4794574,4.452254964704139e-08
andrewng,USA,Broad match,existing searches,1.5500000494388786,2.054905589540001,1.414413031060692,2.054906,-3.018784560104848e-07
andrewng,A,Broad match,existing searches,1.550000049438874,2.6787270301400006,1.5146775239525616,2.6787271,-1.1982337833060797e-07
applied machine learning online course download,USA,Broad match,new,1.3699999682323019,1.53490040201,0.9159995664959315,1.5349004,-2.4854623914549734e-08
artificial intelligence,USA,Broad match,existing searches,1.5500000494388733,1.4945745120600002,1.1133051763132351,1.4945747,-1.5396325414585021e-07
artificial intelligence ai and machine learning course,USA,Broad match,new,1.3699999682323005,1.3859834777100009,0.9159995125515383,1.3859835,1.0607950073904249e-08
artificial intelligence and education,USA,Broad match,existing,1.5500000494388766,1.4641384061599998,1.1133052285934715,1.4641386,-2.2089230733435272e-07
artificial intelligence and machine learning course,USA,Broad match,existing,1.3699999682323019,1.182349450780001,0.9159995390902427,1.1823494,7.344332031422596e-09
artificial intelligence and machine learning course in india,USA,Broad match,new,1.3699999682323007,1.6423841538900004,0.9159995737546549,1.6423842,-1.759590051442217e-08
artificial intelligence and machine learning free course with certificate,USA,Broad match,new,1.36999996823228,1.4014946813099998,0.9159995014184135,1.4014947,-6.01298195679334e-08
artificial intelligence course in pakistan,USA,Broad match,existing searches,1.369999968232302,1.507773615310001,0.91599956888895,1.5077736,-2.24616054644855e-08
artificial intelligence learning,USA,Broad match,existing searches,1.5500000494388715,1.18639982716,1.1133051388040773,1.1864,-2.2872531491024972e-07
artificial intelligence machine learning course,USA,Broad match,new,1.2899999696296631,1.119201421580001,0.8528515098902427,1.1192014,-1.5766987715437608e-10
aws certified machine learning engineer associate course,USA,Broad match,new,1.3699999682322992,1.5409211735700001,0.9159995536778798,1.5409211,8.15366139050866e-08
aws machine learning,B,Broad match,existing searches,4.609999986285751,11.75884248407,10.619578496528801,11.758841,1.9231569137190263e-06
aws machine learning engineer course,USA,Broad match,new,1.3699999682322974,1.5603412331100004,0.9159995854850309,1.5603411,1.1334376504024135e-07
aws machine learning engineer course,A,Broad match,new,0.41000000888753396,1.2484209130100001,0.0805224964908351,1.2484207,1.9767796888281453e-07
aws training,B,Broad match,existing searches,4.609999986285763,11.79507718716,10.619578463176236,11.795075,1.7705950590141128e-06
best ai certification courses online,A,Broad match,existing searches,11.429999761909059,10.7942894291,9.247060139091456,10.794288,1.747520411043979e-06
big data and machine learning in quantitative investment,USA,Broad match,existing searches,1.3699999682323007,1.5582345309699999,0.9580775680984484,1.5582345,7.776870591946761e-08
convolutional neural network,A,Broad match,existing searches,11.429999761909057,11.438634573600002,9.246550499579616,11.438634,6.548377946558048e-07
courera,USA,Broad match,existing searches,1.5500000494388744,1.550963668660001,1.1876307414329808,1.5509636,2.8446988320496303e-08
courera,A,Broad match,existing searches,1.5500000494388748,1.9411477617600008,1.2878951601364657,1.9411479,-1.6170954264538295e-07
courera,B,Broad match,existing searches,4.609999986285761,11.31337244406,10.428266238119754,11.313371,1.7394091216260676e-06
coursera,USA,Exact match,existing searches,0.8300000037907922,1.8117122529399996,0.5670269606960421,1.8117125,-2.5049322793790907e-07
coursera,USA,Broad match,existing searches,1.5500000494388737,1.8344977660700006,1.232768492273919,1.8344979,-1.6254938417503695e-07
coursera,A,Broad match,existing searches,1.5500000494388764,2.2246818591700004,1.3330329705820487,2.2246826,-7.1033378379326e-07
coursera ai,USA,Broad match,existing searches,0.8300000037907902,1.5566198182500008,0.5792008591092233,1.5566194,4.125035408808486e-07
coursera ai for everyone,USA,Broad match,existing searches,0.8300000037907926,1.663192238,0.579200948861206,1.6631918,4.426508788402117e-07
cs231n,USA,Broad match,existing searches,1.3699999682322817,1.1725645276600007,0.9159995528751497,1.1725646,-9.808005052569513e-08
cs50,USA,Broad match,existing searches,1.3699999682323005,1.0220500371600008,0.91599950857409,1.02205,1.4081082300165804e-08
deep learning,A,Broad match,existing searches,11.429999761909059,11.33301015704,9.2117623886379,11.333011,-5.164829488535361e-07
deep mind,A,Broad match,existing searches,11.429999761909045,11.67446766146,9.555546858389931,11.674467,5.74668007402579e-07
deepfake,USA,Broad match,existing searches,1.5500000494388826,1.8603174027600005,1.18763046828887,1.8603177,-3.0430176711782053e-07
deepfake,A,Broad match,existing searches,8.670000077352777,7.950270148460002,6.9876636588016465,7.950271,-9.811481520571874e-07
deeplearn ai,A,Broad match,existing searches,11.429999761909059,10.61994365686,9.443321504531509,10.619942,1.9454342190527996e-06
edx,USA,Broad match,existing searches,1.5500000494388828,1.8096903486200004,1.1876306457467705,1.8096904,-7.63457719266114e-09
