Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost
2020 machine learning roadmap,B,Broad match,existing searches,0.0366675612174509,1.0774264486900016,1.3433605872137377e-07,1.0774263,1.3433605872137377e-07,0.0
ai bootcamp stanford,USA,Phrase match,existing searches,0.8299999918751407,0.7689842475000002,0.6876094681563951,0.76898426,-1.0674896078199936e-08,0.2039541
ai bootcamp stanford,USA,Broad match,existing searches,0.8299999918751405,0.9816606977000002,0.739170927645183,0.9816606,9.322307148451615e-08,0.2039541
ai bootcamp stanford,A,Broad match,existing searches,0.6600000066804821,1.0559468424000005,0.5510079419292666,1.0559468,1.546518579864653e-08,0.13977408
applied data science program mit,USA,Exact match,existing,0.8299999918751407,2.67553021839,1.3941631548676607,2.6755302,2.3153793549113292e-08,0.06374502
applied data science program mit,USA,Phrase match,existing,0.8299999918751407,2.88191356539,1.3941631543563695,2.8819134,1.4185179209036394e-07,0.21406043
applied data science program mit,USA,Broad match,existing,0.8299999918751407,3.0077208027900006,1.4194804177344589,3.0077207,9.394295474862703e-08,0.21406043
applied data science program mit,A,Exact match,existing,0.5999999757827652,3.0215532500000006,1.2060001808853156,3.0215528,4.488677984859635e-07,-0.0004348755
applied data science program mit,A,Phrase match,existing,0.599999975782913,3.021553250000001,1.206000180885316,3.0215528,4.488677989300527e-07,0.14988053
applied data science program mit,A,Broad match,existing,1.609999954266962,4.013459364860002,2.0974164409326947,4.013459,1.5923256047045697e-07,0.78763986
applied data science program mit,B,Exact match,existing,0.6799999975558776,3.2606419755900005,1.5090741350138286,3.2606416,4.007303813224894e-07,0.26619816
applied data science program mit,B,Phrase match,existing,0.6799999975558779,3.2606419755900005,1.5090741350138286,3.2606416,4.007303813224894e-07,0.55772483
applied data science program mit,B,Broad match,existing,0.6799999975558779,3.6511697719900007,1.6312491844503278,3.6511693,4.719106549977426e-07,0.5577247
apply for mit,USA,Exact match,existing searches,0.8299999918751407,2.5569199424,1.3405851226062988,2.5569198,1.292438720490452e-07,0.07497835
apply for mit,USA,Phrase match,existing searches,0.8299999918751407,2.7633032894,1.3405851220950074,2.763303,2.479418701462066e-07,0.22529387
apply for mit,USA,Broad match,existing searches,0.8299999918751407,2.7232376848000004,1.340585044457288,2.7232378,-6.811442831988758e-08,0.22529387
apply for mit,A,Exact match,existing searches,0.8299999918751411,3.1340718341000007,1.3405854773647712,3.1340716,2.45583765323687e-07,0.07497859
apply for mit,A,Phrase match,existing searches,0.8299999918751407,3.1340718341000016,1.340585477364772,3.1340716,2.455837662118654e-07,0.22529387
apply for mit,A,Broad match,existing searches,0.8299999918751417,3.094006229500001,1.3405853997270518,3.0940058,4.063646250607178e-07,0.22529387
artificial intelligence and machine learning course free,B,Broad match,new,0.4099999982187216,1.4987586278899996,0.2520339031204073,1.4987586,7.343138141990836e-08,0.07497859
artificial intelligence course in pakistan,USA,Phrase match,existing searches,0.8299999918751402,0.8245549067000006,0.7068206234911536,0.82455474,1.653174017679504e-07,0.22529382
artificial intelligence course in pakistan,USA,Broad match,existing searches,0.8299999918751405,0.9423271996000004,0.7068206203201008,0.9423272,-1.766424118088139e-09,0.22529387
artificial intelligence course in pakistan,A,Broad match,existing searches,0.4800000245539886,1.0360228861,0.4297479832794129,1.0360227,2.2298354496186334e-07,0.07497859
artificial intelligence for materials science,A,Broad match,existing searches,1.6099999542669616,2.1240193019,1.3996425638285586,2.1240191,1.559344240398275e-07,0.81453305
artificial intelligence training,USA,Exact match,existing,0.8299999918751406,0.88564207684,0.8450020356078909,0.88564193,1.44352512165824e-07,0.13872337
artificial intelligence training,USA,Phrase match,existing,0.8299999918751408,1.09202542384,0.8450019158873099,1.0920253,1.438412207122042e-07,0.28903884
artificial intelligence training,USA,Broad match,existing,0.8299999918751412,1.0599947637400016,0.8450018531164512,1.0599947,6.61692007852821e-08,0.28903896
artificial intelligence training,A,Exact match,existing,0.4800000245539886,1.1256979236399998,0.567929399946915,1.1256977,1.9166825904193277e-07,0.074543476
artificial intelligence training,A,Phrase match,existing,0.4800000245539887,1.1256979236399998,0.567929399946915,1.1256977,1.9166825904193277e-07,0.074543715
artificial intelligence training,A,Broad match,existing,1.6099999542669652,2.048676046200003,1.522938104934897,2.048676,3.2253469672838264e-08,0.9432399
aws training,USA,Exact match,existing searches,0.829999991875139,0.7590618250999999,0.6940222201977324,0.75906175,7.135015245296472e-08,0.1387235
