Location,Region,Opt_Conversions,Act_Conversions,Opt_Purchases,Act_Purchases,Opt_Clicks,Act_Clicks,Opt_Spend,Act_Spend
"Alabama, United States",USA,0.003070104219445027,0.012375037174739704,5.836664209366935e-05,0.00023526542229385667,0.07368250126668065,0.2970008921937529,0.44443188951676615,1.1072316384180791
"Alaska, United States",USA,0.0,0.0,5.167879768710307e-06,2.0830792598935227e-05,0.0065239714663206825,0.026296953996321877,0.03935074021763034,0.09803613465160077
Argentina,B,0.19845116599728937,0.0816333156426674,0.0,0.0,9.489895555399167,3.9036890279618115,7.22710923919705,2.511797648801259
Aruba,B,0.0,0.0,0.0,0.0,0.004780803806246432,0.0019665939687465044,0.0036408610776811332,0.0012653892437285937
Australia,A,0.035203551907084886,0.0346580968118196,0.0006119788609948517,0.0006024966647435947,1.2438588340503327,1.224586087350959,3.7051460169297723,1.8771176775531364
Austria,B,0.0,0.0,0.0,0.0,0.002390401903123216,0.0009832969843732522,0.0018204305388405666,0.0006326946218642969
Bahrain,B,0.011952009515616079,0.004916484921866261,0.0,0.0,0.30597144359977163,0.12586201399977628,0.23301510897159253,0.08098491159863
Belgium,A,0.0007334073313976018,0.000722043683579575,4.618708384866805e-05,4.5471446395743e-05,0.09387613841889303,0.0924215914981856,0.2796336616550772,0.14166925868325558
Bolivia,B,0.10039687993117508,0.041298473343676596,0.0,0.0,2.732229375269836,1.1239084531386274,2.080752105894768,0.7231699527908914
Bosnia and Herzegovina,B,0.0,0.0,0.0,0.0,0.038246430449971454,0.015732751749972036,0.029126888621449066,0.01012311394982875
Brazil,B,0.19601295605610375,0.08063035271860669,0.0,0.0,7.252479374075838,2.9833230505884476,5.5231862548422805,1.919595482736277
Brazil,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"California, United States",USA,0.042213933017369115,0.17015676115267098,0.001477101635068434,0.005953930661072133,1.8647045502854231,7.516288204007529,11.247367453968577,28.021034016007537
Cambodia,B,0.05258884186871076,0.02163253365621155,0.0,0.0,5.741745371301965,2.3618793564645517,4.372674154295042,1.519732481718041
Canada,A,0.06894762322468853,0.06787932669331584,0.0011698322331045452,0.001151706478242178,2.377706568391025,2.3408656221649817,7.082596336607501,3.5882166925868324
Chile,B,0.06932165519057328,0.028515612546824314,0.0,0.0,2.918680723713447,1.200605617919741,2.2227456879243324,0.7725201332963065
China,A,0.013934739296554434,0.013718829988011924,0.00027243162738862793,0.00026821048459989034,0.5537225352051893,0.5451429811025791,1.649401676168619,0.8356272680145153
China,B,0.1625473294123787,0.06686419493738116,0.0,0.0,22.09687519247101,9.089597323546345,16.8280599010422,5.8486290845135604
