Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost
6 s191,USA,Phrase match,existing searches,0.4099999919004649,1.03710575101,0.254464697810232,1.037106,-2.8612989244614084e-07,0.1387235
6 s191,USA,Broad match,existing searches,0.8299999904899567,1.4521516755000003,0.5048154189959415,1.4521521,-4.574879757246464e-07,0.16033214
a course in machine learning,USA,Broad match,new,0.8299999904899559,1.125930160500001,0.3643147053493967,1.1259303,-1.4879565335412792e-07,0.08535373
a1wizard,USA,Broad match,existing searches,0.8299999904899559,1.1254556145299994,0.3783536519636237,1.125456,-3.610025323119714e-07,0.21406043
about machine learning course,USA,Phrase match,new,0.4099999919004793,0.7143063121399996,0.1925454311928865,0.71430624,7.68265840944693e-08,0.0
about machine learning course,USA,Broad match,new,0.829999990489906,1.04995190493,0.4428961812628551,1.0499521,-2.444611744145675e-07,0.15031546
ai and cloud computing,USA,Phrase match,existing searches,0.4099999919004684,1.6574878323999995,0.254464351030981,1.6574883,-5.13699853987859e-07,0.0
ai and cloud computing,USA,Broad match,existing searches,0.8299999904899398,2.275750912000001,0.504815257359803,2.2757514,-4.4031017987222754e-07,0.15031528
ai hackathon 2025,USA,Broad match,existing searches,0.8299999904899559,1.0191369097000007,0.3643146793609504,1.0191371,-2.343887444133941e-07,0.1603322
ai in process engineering,USA,Phrase match,existing searches,0.4099999919004793,0.3736206392599999,0.3025918776943146,0.37362072,-7.94575751306148e-08,0.0
ai in process engineering,USA,Broad match,existing searches,0.8299999904899202,1.1052325530600002,0.5529427095007351,1.1052327,-1.6254668921966697e-07,0.02160871
ai in process engineering,A,Phrase match,existing searches,0.4099999919004489,0.6627348452600001,0.3025916307958125,0.6627351,-2.593008519014006e-07,0.0
ai learning,USA,Broad match,existing,0.829999990489954,2.05636031142,0.3643143843722707,2.0563607,-4.101681345680674e-07,0.08535373
ai learning path,USA,Broad match,existing searches,0.8299999904899559,1.3010990334600003,0.3643146468251736,1.3010993,-2.669245211528448e-07,0.08535373
ai logic tutor,USA,Broad match,existing searches,0.8299999904899559,1.201930430120001,0.364314701741705,1.2019305,-9.279870027967264e-08,0.08535373
ai machine learning training,USA,Phrase match,existing,0.40999999190048,1.21472832557,0.3025918304566273,1.2147285,-1.490470042941894e-07,0.18234521
ai machine learning training,USA,Broad match,existing,0.8299999904899558,1.443593959130001,0.5529425542723656,1.4435943,-3.7737970348672434e-07,0.20395386
ai with machine learning course,USA,Broad match,new,0.8299999904899167,1.05031404793,0.4222204476568676,1.0503142,-1.4007354010026068e-07,0.21406054
analytics and machine learning course,USA,Broad match,new,0.829999990489956,1.2127763166000007,0.3643146886397956,1.2127764,-1.0590060961490624e-07,0.21406054
andrew ng,USA,Broad match,existing searches,5.850003371101747,3.255529481030001,2.35758973941852,3.2555294,7.734347740040448e-08,1.42782
andrew ng ai course,USA,Broad match,existing,0.8299999904899559,0.9349764010300002,0.4222202917923293,0.93497676,-3.5554272315163615e-07,0.09658718
andrew ng artificial intelligence course,USA,Broad match,existing searches,0.8299999904899551,0.93655230713,0.4302926273356885,0.9365526,-2.770412951269563e-07,0.02160871
andrew ng course introduction to machine learning,USA,Phrase match,new,0.4099999919004816,0.6893795956400004,0.2544647384908762,0.68937963,-3.683299154566555e-08,0.0
andrew ng course introduction to machine learning,USA,Broad match,new,0.8299999904899558,1.0250251884300108,0.5048156375724668,1.0250255,-2.985160951762822e-07,0.02160871
andrew ng course machine learning,USA,Phrase match,new,0.4099999919004794,0.9176549339700008,0.2544648075509333,0.91765493,2.424743184015199e-09,0.0
andrew ng course machine learning,USA,Broad match,new,0.8299999904899559,1.0110752680300004,0.5048155882356888,1.0110756,-3.478528731726272e-07,0.02160871
andrew ng course on machine learning,USA,Phrase match,existing searches,0.4099999919004792,0.6754296752400002,0.2544647189564308,0.67542976,-8.616975932795867e-08,0.0
andrew ng course on machine learning,USA,Broad match,existing searches,0.8299999904899559,1.0110752680300004,0.5048155882356888,1.0110756,-3.478528731726272e-07,0.02160871
andrew ng coursera machine learning course,USA,Phrase match,new,0.4099999919004793,0.6135102356400002,0.1925452793564308,0.6135103,-7.500987164732464e-08,0.0
andrew ng coursera machine learning course,USA,Broad match,new,0.8299999904899559,0.94915582843,0.4428961486356886,0.9491561,-2.770883409386471e-07,0.02160871
andrew ng education,USA,Phrase match,existing,0.4099999919004794,0.91292046105,0.2544646123561525,0.91292065,-1.927700377102326e-07,0.0
andrew ng education,USA,Broad match,existing,0.8299999904899558,1.322906784420001,0.5048153322982665,1.3229073,-5.44185650763751e-07,0.02160871
andrew ng free machine learning course,USA,Phrase match,new,0.4099999919004595,0.7622758313399998,0.2544648214561191,0.7622758,1.6329928964609053e-08,0.0
andrew ng free machine learning course,USA,Broad match,new,0.8299999904898565,1.0979214241299995,0.5048155715260874,1.0979217,-3.0495782987749465e-07,0.1503154
andrew ng machine learning,USA,Phrase match,existing searches,0.40999999190048,0.85573549437,0.1925453679509325,0.8557355,1.3584630087493112e-08,0.0
andrew ng machine learning,USA,Broad match,existing searches,0.829999990489956,0.94915582843,0.4428961486356886,0.9491561,-2.770883409386471e-07,0.02160871
andrew ng machine learning course,USA,Phrase match,new,0.409999991900464,0.9176549339700008,0.2544648075509333,0.91765493,2.424743184015199e-09,0.0
andrew ng machine learning course,USA,Broad match,new,0.8299999904899344,1.0110752680300004,0.5048155882356888,1.0110756,-3.478528731726272e-07,0.02160871
andrew ng machine learning course coursera,USA,Phrase match,new,0.4099999919004793,0.6754296752399999,0.2544647189564305,0.67542976,-8.616975966102559e-08,0.0
andrew ng machine learning course coursera,USA,Broad match,new,0.8299999904899211,1.0110752680300084,0.5048155882356968,1.0110756,-3.4785286517902136e-07,0.02160871
andrew ng machine learning course download,USA,Broad match,new,0.8299999904899238,0.92848009103,0.4222204112356885,0.9284803,-2.3609936394830563e-07,0.02160871
andrew ng machine learning course free,USA,Broad match,new,0.8299999904899559,0.9284800910300004,0.4222204112356887,0.9284803,-2.3609936372626095e-07,0.09658712
andrew ng machine learning course free download,USA,Broad match,new,0.8299999904899238,0.9284800910300004,0.4222204112356887,0.9284803,-2.3609936372626095e-07,0.02160871
andrew ng machine learning course github,USA,Phrase match,new,0.4099999919004791,0.50997652814,0.2544647078236853,0.5099766,-9.73025048311982e-08,0.0
andrew ng machine learning course github,USA,Broad match,new,0.8299999904898812,0.84562212093,0.5048155771029431,0.8456223,-1.8017168457173938e-07,0.02160871
andrew ng machine learning course notes,USA,Broad match,new,0.8299999904899324,0.827783991200001,0.4302926553311655,0.8277842,-1.8944117330388369e-07,0.02160871
andrew ng machine learning course on coursera,USA,Phrase match,new,0.4099999919004793,0.6754296752400005,0.2544647189564312,0.67542976,-8.616975899489179e-08,0.0
andrew ng machine learning course on coursera,USA,Broad match,new,0.8299999904899544,1.01107526803,0.5048155882356886,1.0110756,-3.4785287339467175e-07,0.02160871
andrew ng machine learning course reddit,USA,Phrase match,new,0.4099999919004773,0.6754296752400002,0.2544647189564308,0.67542976,-8.616975932795867e-08,0.0
andrew ng machine learning course reddit,USA,Broad match,new,0.8299999904899262,1.0110752680300024,0.5048155882356908,1.0110756,-3.478528711742257e-07,0.02160871
andrew ng machine learning course review,USA,Phrase match,new,0.409999991900482,0.5099765281400002,0.2544647078236854,0.5099766,-9.730250472017589e-08,0.0
andrew ng machine learning course review,USA,Broad match,new,0.8299999904899262,0.8456221209300002,0.5048155771029433,0.8456223,-1.8017168434969482e-07,0.02160871
andrew ng machine learning course slides,USA,Phrase match,new,0.4099999919004802,0.5099765281400002,0.2544647078236854,0.5099766,-9.730250472017589e-08,0.0
andrew ng machine learning course slides,USA,Broad match,new,0.8299999904899559,0.8456221209300002,0.5048155771029433,0.8456223,-1.8017168434969482e-07,0.02160871
andrew ng machine learning course slides,A,Phrase match,new,0.4099999919004529,0.7990907341400708,0.2544645577828015,0.799091,-2.473433886596155e-07,0.0
andrew ng machine learning coursera,USA,Phrase match,existing searches,0.4099999919004797,0.8377073245700001,0.1925453382189869,0.83770734,-1.614731559573812e-08,0.0
andrew ng machine learning coursera,USA,Broad match,existing searches,0.8299999904899558,0.9311276586300004,0.4428960891014207,0.93112785,-1.876109968490525e-07,0.02160871
andrew ng machine learning courses,USA,Phrase match,new,0.4099999919004854,0.6754296752400003,0.2544647189564309,0.67542976,-8.616975921693638e-08,0.0
andrew ng machine learning courses,USA,Broad match,new,0.8299999904899398,1.0110752680300008,0.5048155882356893,1.0110756,-3.47852872728538e-07,0.02160871
andrew ng machine learning free course,USA,Broad match,new,0.8299999904898969,1.0153262471299995,0.4222203945260874,1.0153265,-2.528089650954968e-07,0.15031546
andrew ng machine learning specialization course,USA,Phrase match,new,0.409999991900443,0.6754296752400002,0.2544647189564308,0.67542976,-8.616975932795867e-08,0.0
andrew ng machine learning specialization course,USA,Broad match,new,0.8299999904899096,1.01107526803,0.5048155882356884,1.0110756,-3.478528736167164e-07,0.02160871
andrew ng stanford university,USA,Broad match,existing searches,0.8299999904899559,0.85211843093,0.3783535941418224,0.85211873,-2.996150439971146e-07,0.02160871
andrew ngs machine learning course,USA,Broad match,new,0.8299999904899371,0.93655230713,0.4302926273356885,0.9365526,-2.770412951269563e-07,0.02160871
apple ai,USA,Broad match,existing searches,6.330000191623127,3.87515494166,2.8155538731632963,3.875155,-3.0416415608414133e-08,2.0419602
