Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff
2020 machine learning roadmap,USA,Phrase match,existing searches,0.4799999757645884,0.7923813818399997,0.3462243734304996,0.79238135,3.561426120679556e-08
ai and data management,USA,Phrase match,existing searches,0.47999997576459136,0.5563610951400002,0.3462243835425576,0.5563611,1.5923996787847727e-08
ai and machine learning in finance course,USA,Broad match,new,0.8299999773519969,1.1951998442399998,0.6207647889841099,1.1951998,-2.9813747026707915e-09
ai and ml degree,USA,Exact match,existing searches,0.560000026733471,0.93086922923,0.4177223519411817,0.93086934,-1.1166660640604675e-07
ai and ml degree,USA,Phrase match,existing searches,0.8299999773519978,1.261007610930001,0.6069552937875144,1.2610078,-1.7486711811898203e-07
ai bootcamp stanford,USA,Exact match,existing searches,0.47999997576458836,0.4045021381399997,0.373448241146601,0.4045021,4.4348038019670355e-08
ai bootcamp stanford,USA,Phrase match,existing searches,0.4799999757645929,0.6158637931400002,0.3734482755714119,0.61586374,5.269581682121327e-08
ai course,USA,Broad match,existing,0.8299999773519956,2.18683589444,0.6207643841250587,2.1868362,-3.482357811002146e-07
ai machine learning training,USA,Exact match,existing,0.8299999773519976,0.9192523744400004,0.6520993497665385,0.9192525,-1.4039917195507456e-07
ai machine learning training,USA,Phrase match,existing,0.8299999773519976,1.0006416674400005,0.6520994241977367,1.0006417,-3.61656513625519e-08
ai machine learning training,USA,Broad match,existing,0.56000002673347,1.0735265672399998,0.4628664910986424,1.0735266,-5.3624868323609576e-08
ai ml bootcamp,USA,Exact match,existing searches,0.4799999757645834,0.5394033125400006,0.3734480968474805,0.53940344,-1.260281146109321e-07
ai ml bootcamp,USA,Phrase match,existing searches,0.4799999757645828,0.8793751165399999,0.3734481498728246,0.87937516,-4.320044810768309e-08
ai ml bootcamp,USA,Broad match,existing searches,0.47999997576458336,1.13873100544,0.3451941039660009,1.1387311,-1.1657690679456323e-07
ai ml course,USA,Broad match,existing,0.56000002673347,0.9637875035399998,0.4315319731826389,0.96378756,-5.2154580321150945e-08
applied data science program mit,USA,Exact match,existing,0.8299999773519979,1.8808066217400004,1.3328037826515604,1.8808066,5.645527134667816e-08
applied data science program mit,USA,Phrase match,existing,0.8299999773519975,2.0908060637400014,1.3328038421556814,2.0908065,-4.204824106679439e-07
applied data science program mit,USA,Broad match,existing,0.8299999773519976,2.3529238195399995,1.3871552438716646,2.3529239,-5.054667040482741e-08
applied data science program mit,A,Exact match,existing,0.5999999969608887,2.3207466162100014,1.014829233969706,2.3207467,-4.4022542500243844e-08
applied data science program mit,A,Phrase match,existing,0.5999999969608886,2.3207466162100006,1.0148292339697051,2.3207467,-4.4022543388422264e-08
applied data science program mit,A,Broad match,existing,0.5999999969608645,2.5828643720100004,1.0691805760810453,2.5828645,-1.5092395955207394e-07
apply for mit,USA,Exact match,existing searches,0.8299999773519975,2.1608787673100007,1.226184715567447,2.160879,-1.294032561105496e-07
apply for mit,USA,Phrase match,existing searches,0.8299999773519976,2.3708782093100007,1.226184477048343,2.3708782,-1.0294491481488421e-08
apply for mit,USA,Broad match,existing searches,0.8299999773519975,2.30500625581,1.280535926525332,2.3050063,-9.83025882916877e-09
apply for mit,A,Exact match,existing searches,0.5999999969608886,2.510737345310001,1.0369519449193758,2.510737,4.0301874104642366e-07
apply for mit,A,Phrase match,existing searches,0.5999999969608886,2.510737345310001,1.0369519449193758,2.510737,4.0301874104642366e-07
apply for mit,A,Broad match,existing searches,0.5999999969608886,2.4448653918100005,1.0913035136056548,2.4448652,1.6506439504127002e-07
artificial intelligence diploma,USA,Broad match,existing,0.8299999773519973,1.3816652170299997,0.5787012449383249,1.3816653,-1.319766531615585e-07
artificial intelligence masters,USA,Exact match,existing,0.8299999773519975,0.9875513313300015,0.6069553194529416,0.98755133,-1.900790636000238e-10
artificial intelligence masters,USA,Phrase match,existing,0.8299999773519974,1.1989129863300012,0.606955357603042,1.1989132,-2.3026088014077573e-07
artificial intelligence stanford,USA,Broad match,existing searches,0.8299999773519978,1.2271155888300003,0.6207648689012588,1.2271158,-1.6148280490568823e-07
aspen hysys training,USA,Exact match,existing,0.829999977351997,0.7234740058399997,0.6069552997567019,0.72347397,3.9718326072524235e-08
aspen hysys training,USA,Phrase match,existing,0.8299999773519806,0.9348356608399999,0.6069553379068029,0.9348356,4.8066104652022545e-08
automation bootcamp,USA,Phrase match,existing searches,0.479999975764591,0.7943852516400003,0.519491878389039,0.7943853,-6.23477316441523e-08
automation bootcamp,USA,Broad match,existing searches,0.479999975764521,1.0565030074399993,0.49123776915493456,1.0565032,-1.692491486959824e-07
aws training,USA,Exact match,existing searches,0.4799999757644571,0.6945000849400002,0.43688621741871414,0.6945002,-1.229610008257609e-07
aws training,USA,Phrase match,existing searches,0.4799999757644571,1.0344718889399993,0.4368863300487029,1.0344722,-3.381565583104873e-07
aws training,USA,Broad match,existing searches,0.4799999757645955,1.0473412476399995,0.4912377796987153,1.0473413,-9.910072318319862e-08
azure machine learning studio,USA,Exact match,existing searches,0.8299999773519616,1.0141905813400003,0.6669393449012491,1.0141904,1.4593045438715535e-07
azure machine learning studio,USA,Phrase match,existing searches,0.8299999773519386,1.0251237450400008,0.6669394372263564,1.0251236,1.4884859456110178e-07
azure machine learning studio,USA,Broad match,existing searches,0.829999977351998,1.1294431095400013,0.6669393484869159,1.1294432,-5.910013545218362e-08
best data science and machine learning course,USA,Broad match,new,0.8299999773519967,1.8741784298399993,0.5935409271697112,1.8741784,2.0263583255797357e-08
best data science certification,USA,Broad match,existing searches,0.8299999773519977,1.3916143098300002,0.5935408988421462,1.3916147,-3.6569185035695284e-07
best online course for data science and machine learning,USA,Broad match,new,0.8299999773519974,1.3721883135399997,0.5935408907494724,1.3721884,-1.3536594511975863e-07
best way to learn data science,USA,Broad match,existing searches,0.47999997576442865,1.3594248551299999,0.3179703015258739,1.3594251,-2.127716114408429e-07
big data and machine learning in quantitative investment,USA,Exact match,existing searches,0.8299999773519958,1.319109828140001,0.6490187951581285,1.31911,-2.0775630016345303e-07
big data and machine learning in quantitative investment,USA,Phrase match,existing searches,0.8299999773519976,1.65908163214,0.6490188183811498,1.6590817,-6.53239893289026e-08
big data and machine learning in quantitative investment,USA,Broad match,existing searches,0.8299999773519889,1.9211993879399996,0.6207646793447237,1.9211994,-5.301611616381763e-08
big data course,USA,Exact match,existing searches,0.47999997576458875,0.8377942787300005,0.3462243126521959,0.8377943,-2.5164042516401253e-08
big data course,USA,Phrase match,existing searches,0.4799999757645954,1.0491559337300007,0.3462244700115864,1.0491561,-1.360255534876842e-07
big data machine learning course,USA,Broad match,new,0.8299999773519976,1.6890447684399994,0.5935408421628388,1.6890448,-6.474328917427385e-08
big data mit,USA,Exact match,existing searches,0.8299999773519976,3.0311025228300004,1.603516324976912,3.031103,-3.7290669396838894e-07
big data mit,USA,Phrase match,existing searches,0.829999977351989,3.11249181583,1.603516429210432,3.112492,-2.686731739309778e-07
big data mit,USA,Broad match,existing searches,0.8299999773519976,3.3746095716299997,1.575262290174006,3.37461,-3.7557459009462946e-07
big data mit,A,Exact match,existing searches,0.5999999969608886,2.97948578231,1.2855419241633324,2.979486,-2.0630694352874457e-07
big data mit,A,Phrase match,existing searches,0.5999999969608899,2.97948578231,1.2855419241633324,2.979486,-2.0630694352874457e-07
big data mit,A,Broad match,existing searches,0.5999999969608886,3.241603538110001,1.2572875467083287,3.2416039,-3.132083583601286e-07
boosting machine learning,USA,Broad match,existing,0.8299999773519972,1.1870261888400004,0.6207648377314494,1.1870263,-7.344332475511806e-08
bootcamp for data science,USA,Exact match,existing searches,0.4799999757644571,0.7019933576299997,0.5194918329431863,0.70199347,-1.0779358428081309e-07
