Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff
a1wizard,USA,Broad match,existing searches,0.8799999833799703,0.9139009568199996,0.48607222766732017,0.91390073,2.2382592002045953e-07
adversarial machine learning course,USA,Broad match,new,1.0199999577266303,1.0174394949799999,0.6676434382325633,1.0174395,1.0383747417463951e-08
ai certificate programs,USA,Broad match,existing,1.01999995772663,1.2786064938899995,0.6676435069438935,1.2786063,1.9830436714940447e-07
ai course,USA,Broad match,existing,1.01999995772663,1.39515220489,0.6357050475070349,1.3951522,-6.299269994514134e-09
ai course online,USA,Broad match,existing,1.01999995772663,1.6437794478899999,0.6357049258715672,1.6437795,-6.833009291717929e-08
ai courses online,USA,Broad match,existing,1.0199999577266308,1.6531933078899999,0.6357049474850316,1.6531934,-4.671662856559067e-08
ai data model,USA,Exact match,existing,0.9499999698066875,0.9177892385000003,0.647130358027817,0.91778886,3.753179323995326e-07
ai data model,USA,Phrase match,existing,0.9499999698066875,1.1232447365,0.6471303740217438,1.1232445,2.1249792481192742e-07
ai data model,USA,Broad match,existing,1.01999995772663,1.20165021249,0.8287016553515569,1.20165,1.8902961174127597e-07
ai learning,USA,Broad match,existing,1.01999995772663,1.6221606738899998,0.6357049949501805,1.6221607,7.485203568080578e-10
ai machine learning course,USA,Broad match,new,1.01999995772663,1.1098869523799997,0.6676434955394845,1.1098869,6.769066862588602e-08
ai machine learning course free,USA,Broad match,new,1.0199999577266303,1.23885842308,0.6676435683627453,1.2388583,8.09092846054682e-08
ai masters,USA,Broad match,existing,1.01999995772663,1.0958975488799996,0.6676434511798806,1.0958977,-1.2568054730266454e-07
ai ml bootcamp,USA,Broad match,existing searches,1.0199999577266303,1.2793444371799998,0.667643425522285,1.2793444,-2.3265309678777157e-09
ai online master degree,USA,Exact match,existing searches,0.9499999698066878,1.2588070212200002,0.6471305666759328,1.258807,7.732656759351642e-08
ai online master degree,USA,Phrase match,existing searches,0.9499999698066878,1.76652898152,0.6471306260359913,1.7665288,1.3668662601773462e-07
ai online master degree,USA,Broad match,existing searches,1.01999995772663,1.5271302620899998,0.8287017504704319,1.5271302,1.592758525070792e-08
ai training,USA,Phrase match,existing searches,0.8799999833799704,1.2883668307100002,0.5651409987245266,1.2883669,-8.308547094770802e-08
ai training,USA,Broad match,existing searches,1.019999957726627,1.63199628218,0.7467122159797437,1.6319964,-1.1102373531635124e-07
ai training courses,USA,Broad match,existing,1.0199999577266299,1.4690989898799998,0.6676435517429453,1.469099,-5.491980492600135e-08
analytics and machine learning course,USA,Broad match,new,1.0199999577266299,1.3312615323899992,0.6676435042260893,1.3312614,1.3598191817010274e-07
analyticsvidhya review,USA,Exact match,existing searches,0.9499999698066875,0.9463207345200001,0.6471303920937,0.9463204,3.199768482398113e-07
analyticsvidhya review,USA,Phrase match,existing searches,0.9499999698066875,1.3657910528199997,0.647130400182518,1.365791,8.964708708703029e-08
andrewng,USA,Exact match,existing searches,0.8799999833799703,0.8034730829999995,0.5651410647438121,0.803473,8.72419428921134e-08
andrewng,USA,Phrase match,existing searches,0.8799999833799703,1.0971802229999998,0.5651411171078184,1.0971801,9.490246566379312e-08
andrewng,USA,Broad match,existing searches,1.01999995772663,1.2704627502899997,0.7467122663002841,1.2704628,-1.0985501397442476e-09
aprendizaje no supervisado,USA,Exact match,existing searches,0.9499999698066874,1.1363725734200003,0.8244952631439688,1.1363727,-1.1201243377279013e-07
aprendizaje no supervisado,USA,Phrase match,existing searches,0.9499999698066879,1.64409453372,0.8244953821086718,1.6440946,-5.265237557061653e-08
aprendizaje no supervisado,USA,Broad match,existing searches,1.01999995772663,1.65979911939,1.0060665811667333,1.6597992,-9.878779549943317e-08
aprendizaje profundo,USA,Broad match,existing searches,1.0199999577266299,1.1250651830899998,0.6676434034574315,1.1250651,9.481790508303334e-08
artificial intelligence course online with certificate,USA,Broad match,existing searches,1.0199999577266299,0.9979023809899996,0.6676434751023959,0.9979021,2.8567215903940735e-07
artificial intelligence online course,USA,Broad match,existing,1.01999995772663,1.3546076749899996,0.6357049082854402,1.3546076,9.28977144099008e-08
artificial intelligence program,USA,Broad match,existing,1.01999995772663,1.26238727758,0.6480357069737683,1.2623873,1.8841992410756347e-09
artificial intelligence programs,USA,Phrase match,existing,0.8799999833799705,1.0982024152900003,0.5651410301352762,1.0982022,1.867438577107805e-07
artificial intelligence programs,USA,Broad match,existing,1.01999995772663,1.27148494258,0.7467122985370314,1.2714849,9.074284190724313e-08
artificial intelligence training,USA,Phrase match,existing,0.8799999833799703,1.24782305841,0.5651410806611292,1.2478229,1.7766506599237175e-07
automation bootcamp,USA,Broad match,existing searches,1.0199999577266299,1.2459406935799995,0.6676434957612434,1.2459406,1.2751707223479514e-07
aws academy machine learning foundations course,USA,Broad match,new,1.0199999577266299,1.1673598657899995,0.6676433752828737,1.1673597,1.5605031444820838e-07
bayesian optimization python,USA,Broad match,existing searches,1.0199999577266299,1.4681533957799997,0.6676434065183725,1.4681535,-8.093508818696193e-08
best site to learn data science,USA,Exact match,existing searches,0.9499999698066875,1.02210580732,0.6471305730499042,1.0221056,2.3271215088271902e-07
best site to learn data science,USA,Phrase match,existing searches,0.9499999698066879,1.2275613053199994,0.6471305592415082,1.2275611,1.8910143251282818e-07
best site to learn data science,USA,Broad match,existing searches,1.0199999577266299,1.57830634829,0.8287019443173742,1.5783062,1.5016988275107224e-07
best way to learn data science,USA,Exact match,existing searches,0.9499999698066875,1.0291241006000003,0.6471305982215365,1.0291239,1.982791384413929e-07
best way to learn data science,USA,Phrase match,existing searches,0.9499999698066874,1.2345795985999999,0.647130524808496,1.2345794,1.5466842029354666e-07
best way to learn data science,USA,Broad match,existing searches,1.0199999577266299,1.57830634829,0.8287019443173742,1.5783062,1.5016988275107224e-07
big data analytics courses,USA,Exact match,existing searches,0.9499999698066875,1.0415746058400006,0.647130557435307,1.0415745,1.2769058654882315e-07
big data analytics courses,USA,Phrase match,existing searches,0.9499999698066877,1.35727397592,0.6471307078116322,1.3572738,1.588576221678295e-07
big data analytics courses,USA,Broad match,existing searches,1.01999995772663,1.5515337113899998,0.8287019257111363,1.5515336,1.315636448673274e-07
big data and machine learning in quantitative investment,USA,Broad match,existing searches,1.0199999577266299,1.8207777380899997,0.6676433920816989,1.8207778,-3.576711704589286e-08
big data course,USA,Exact match,existing searches,0.9499999698066875,1.0415746058400002,0.6471305574353066,1.0415745,1.2769058610473394e-07
big data course,USA,Phrase match,existing searches,0.9499999698066873,1.3572739759199999,0.647130707811632,1.3572738,1.588576219457849e-07
big data course,USA,Broad match,existing searches,1.0199999577266317,1.5515337113899998,0.8287019257111363,1.5515336,1.315636448673274e-07
blackbox ai,USA,Broad match,existing searches,1.01999995772663,1.34458786668,0.6357048791807629,1.3445878,6.379303707504391e-08
boosting,USA,Broad match,existing searches,1.01999995772663,1.17847111298,0.6357048995629468,1.178471,1.437798657910605e-07
bootcamp for data science,USA,Broad match,existing searches,1.0199999577266312,0.87759139878,0.6676434848948835,0.8775913,8.684838992412125e-08
bootcamp gratis,USA,Broad match,existing searches,1.0199999577266305,1.24594069358,0.6676434957612438,1.2459406,1.2751707267888435e-07
bootcamp machine learning,USA,Broad match,existing searches,1.0199999577266305,1.2100703916799995,0.667643388296363,1.2100704,2.005219190692742e-08
bootcamp mit,USA,Broad match,existing searches,1.0199999577266305,1.3009668416799998,0.6676434106649851,1.3009669,-1.718383080273611e-08
