Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost,Bid
academy openai con,USA,Broad match,existing searches,0.8799999840009285,1.03801654295,0.5540534408477205,1.0380163,2.236750977768765e-07,0.34919655,2.0647827354900072
ai and cloud computing,USA,Broad match,existing searches,1.0399999655964796,1.3489830221899997,0.791268083072568,1.3489828,2.1121587856498539e-07,1.1293597,1.708649677901175
ai and data management,USA,Broad match,existing searches,1.0399999655532046,1.2594821175899995,0.7912682613697544,1.2594819,2.106991305872441e-07,0.59292424,1.708649292818514
ai data model,USA,Phrase match,existing,1.0999999942053935,1.4292595993099997,0.9461129318295308,1.4292593,2.990780660905301e-07,0.6283839,1.5114474650523715
ai data model,USA,Broad match,existing,1.0999999942053935,1.5958843239500002,1.1130098410798983,1.5958841,2.392484621527302e-07,0.82849,1.2848044461849084
ai machine learning training,USA,Broad match,existing,0.8799999840009256,1.06772658549,0.6086747380321142,1.0677263,3.310268041900599e-07,0.39281824,1.879493114663886
ai online master degree,USA,Exact match,existing searches,1.099999994205393,1.6701433175099996,0.9693812244428304,1.6701434,-4.8349985792839334e-08,0.60677516,1.4751678250101552
ai online master degree,USA,Phrase match,existing searches,1.0999999942043104,1.69418133451,0.969381165042074,1.6941814,-1.0775074210656045e-07,0.62838376,1.4751679154025419
ai online master degree,USA,Broad match,existing searches,1.0999999942053948,1.78887560995,1.1362783017911255,1.7888757,-8.90932738695227e-08,0.8284899,1.2584944992902634
ai with matlab,USA,Broad match,existing searches,0.8799999840009001,1.348966712489999,0.6337339825781951,1.3489666,1.13979257143626e-07,0.21047282,1.8051737963412975
analyticsvidhya review,USA,Exact match,existing searches,1.0999999942053935,1.4525049521100002,0.9471094204556424,1.4525045,4.3646211200787377e-07,1.1968491,1.5098572156309633
analyticsvidhya review,USA,Phrase match,existing searches,1.099999994204353,1.4765429691100005,1.0257934824252013,1.4765426,3.770613554721081e-07,1.2184579,1.3940427746575506
analyticsvidhya review,USA,Broad match,existing searches,1.099999994205394,1.5548013610399998,1.1926905078448091,1.5548011,2.545870578796184e-07,1.4185642,1.1989698778193691
analyticsvidhya review,A,Broad match,existing searches,1.099999994205394,1.9358797252799995,1.2477174580719002,1.9358801,-3.3968429491437746e-07,1.3543844,1.1460927978653064
app deep learning,USA,Broad match,existing searches,1.0399999655961176,1.01073221991,0.7912680668586236,1.010732,1.6519961176797437e-07,1.2043381,1.708649712912673
applied data science program mit,USA,Broad match,existing,1.0399999655964796,1.1189171244100005,0.7912681271031767,1.118917,1.360371977288111e-07,0.6030308,1.7086495828222974
apps to learn data analysis,USA,Broad match,existing searches,1.0399999655964791,1.1860124759500008,0.7912680499379616,1.1860125,-3.053498454086423e-08,1.2680832,1.7086497494514339
aprendizaje no supervisado,USA,Exact match,existing searches,1.0999999942039551,1.47752932303,0.8674286364798596,1.4775292,1.549010326673539e-07,0.6817537,1.6485505923210828
aprendizaje no supervisado,USA,Phrase match,existing searches,1.099999994205394,1.76069293063,0.946112668922694,1.7606928,9.577587389841825e-08,0.832069,1.5114478850550686
aprendizaje no supervisado,USA,Broad match,existing searches,1.0999999942053953,1.7172639717200002,1.1130097259619436,1.7172639,3.472354026534674e-08,1.0321751,1.2848045790714941
artificial intelligence and machine learning course,USA,Broad match,existing,0.8799999840009285,1.0298322359899998,0.6086745480875493,1.0298321,1.1127991683679285e-07,0.3391797,1.8794937011834092
artificial intelligence and machine learning courses,USA,Broad match,new,0.8799999840009294,1.13708882259,0.6086746923791235,1.1370884,4.045831030197178e-07,0.21047306,1.879493255633254
artificial intelligence course and machine learning,USA,Broad match,new,0.8799999840009284,1.09913646659,0.6086747296725044,1.0991361,3.524695166845504e-07,0.21047288,1.8794931404770703
artificial intelligence machine learning course,USA,Broad match,new,0.8799999840009285,0.96020429569,0.608674608046949,0.96020424,5.203002695353121e-08,0.3391797,1.8794935160379926
artificial intelligence training,USA,Exact match,existing,0.5100000159080478,0.7705377288800009,0.341861004446102,0.770538,-2.435702554093311e-07,0.13872337,1.9393847559615156
artificial intelligence training,USA,Phrase match,existing,0.5100000159080378,0.7945757458800004,0.3418609450453446,0.79457605,-3.029710128332752e-07,0.13872355,1.9393850929432976
