Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,Bid,t_Clicks_OptCost
ai and cloud computing,USA,Broad match,existing searches,0.950000024888996,1.4234242481300006,0.665482942492641,1.4234241,1.234122881665911e-07,1.8557951729459268,0.38797092
ai and machine learning course fees,A,Exact match,new,0.0400025866516529,0.9866765999899996,-3.3368002250178115e-08,0.98667663,-3.3368002250178115e-08,0.0,0.0
ai course online,USA,Broad match,existing,0.8299999927486612,2.428855887250001,0.7523687990465704,2.4288557,2.296724859185417e-07,1.434137077375628,0.19910622
ai courses online,USA,Exact match,existing,0.8299999927486621,2.31152541171,0.7367894126026391,2.3115253,6.68613671095386e-08,1.4644618558806308,0.047449052
ai courses online,USA,Phrase match,existing,0.8299999927486621,2.50691363431,0.7367894373037744,2.5069134,2.1077179201967058e-07,1.4644618067840116,0.047448993
ai courses online,USA,Broad match,existing,0.8299999927486625,2.612840389910001,0.7367892023947418,2.6128402,2.142813384509168e-07,1.464462273695451,0.047448874
ai duet,USA,Broad match,existing searches,1.1099999546466068,1.2224747064300008,0.5160711529441304,1.2224746,1.313872761699031e-07,2.79612594660335,0.45941043
ai engineering,USA,Broad match,existing,0.8299999927486615,2.6883406706500006,0.752368576114173,2.6883407,6.740088487333651e-09,1.4341375023210967,0.19910622
ai learning,USA,Broad match,existing,0.8299999927486617,2.4974529640100003,0.6783221856973172,2.497453,-1.0309457731949578e-08,1.5906895179376228,0.48482764
ai online courses,USA,Exact match,existing searches,0.8299999927486619,2.31152541171,0.7367894126026391,2.3115253,6.68613671095386e-08,1.4644618558806306,0.047449052
ai online courses,USA,Broad match,existing searches,0.829999992748661,2.61284038991,0.7367892023947413,2.6128402,2.142813380068276e-07,1.4644622736954491,0.047448874
ai online tutorial,USA,Exact match,existing searches,0.8299999927486614,1.3267762243500008,0.8532386600723518,1.3267761,7.746126784446973e-08,1.264593414557381,0.19910628
ai online tutorial,USA,Phrase match,existing searches,0.829999992748661,1.64460769485,0.8532386739111268,1.6446077,3.169539808389743e-08,1.264593394046796,0.19910628
ai online tutorial,USA,Broad match,existing searches,0.8299999927486618,1.29870465635,0.8532386743897034,1.2987046,3.2173974595650634e-08,1.2645933933374942,0.19910622
ai pdf,USA,Broad match,existing searches,0.8299999927486612,1.0045970943500009,0.5687755611468757,1.0045971,2.6517053886010444e-08,1.897057581724451,0.19910622
ai programing,USA,Phrase match,existing searches,0.8299999927486613,2.1906829344500003,0.7045797573793826,2.190683,4.641899442603403e-08,1.5314092964953996,0.047449112
ai programing,USA,Broad match,existing searches,0.8299999927486641,2.456829486550001,0.7523687464605846,2.4568293,1.7708650013048557e-07,1.4341371776130662,0.047448993
ai programming languages,USA,Exact match,existing searches,0.8299999927486604,1.09479934165,0.7620460707855132,1.0947992,1.806926634984052e-07,1.4159248790050591,-0.0007469654
ai programming languages,USA,Phrase match,existing searches,0.8299999927486607,1.30847691475,0.7620460289582214,1.3084768,1.090630492583955e-07,1.4159249567225476,-0.0007469654
ai programming languages,USA,Broad match,existing searches,0.8299999927486482,1.2415216503500002,0.8098349509595888,1.2415216,5.3441430836187465e-08,1.332370243214022,-0.0007470846
ai robotics certification,USA,Exact match,existing searches,0.8299999927486594,1.20512387259,0.8210290680646246,1.2051238,9.043210202897001e-08,1.3142043717364795,0.047449112
ai robotics certification,USA,Phrase match,existing searches,0.8299999927486617,1.2635072395899998,0.8210289404490696,1.2635071,1.1182815895516285e-07,1.3142045760081134,0.047449112
ai robotics certification,USA,Broad match,existing searches,0.8299999927486615,1.37397606659,0.8688178806311377,1.3739761,-4.4822048295145584e-08,1.2419173392120328,0.047449112
ai tools,USA,Exact match,existing searches,0.8299999927486611,2.38282310775,0.7045797090836179,2.382823,1.173325192560526e-07,1.531409401466607,0.15091017
ai tools,USA,Phrase match,existing searches,0.8299999927486611,2.4412064747500004,0.7045797304796757,2.4412065,1.9519287519642603e-08,1.5314093549621128,0.15091014
ai tools,USA,Broad match,existing searches,0.8299999927486614,2.5516753017500005,0.7523686706617436,2.551675,2.204969486996333e-07,1.434137322097993,0.15091014
ai training,USA,Exact match,existing searches,0.8299999927486615,1.1398078857900007,0.6783225893021925,1.1398077,1.8467916085285202e-07,1.5906885714704777,0.1244981
ai training,USA,Phrase match,existing searches,0.8299999927486615,1.252350444190001,0.6783226674718614,1.2523503,1.1383721787439073e-07,1.5906883881600784,0.12449819
ai training,USA,Broad match,existing searches,0.8299999927486615,1.358277199790001,0.6783226709814072,1.3582771,1.1734676363950316e-07,1.5906883799300813,0.12449825
ai with matlab,USA,Exact match,existing searches,0.8299999927486602,1.03675470275,0.782839541855606,1.0367545,2.1380499259926466e-07,1.3783156482050556,0.047449112
ai with matlab,USA,Phrase match,existing searches,0.8299999927486588,1.23771076785,0.7828393815604036,1.2377106,1.727190797051748e-07,1.3783159304307449,0.047449112
ai with matlab,USA,Broad match,existing searches,0.8299999927484909,1.0646897493500005,0.8306284485954532,1.0646895,2.323288210703823e-07,1.2990164163020994,0.047449052
analyticsvidhya review,USA,Phrase match,existing searches,0.9500000248890004,1.432318386569,0.7351437778615721,1.4323182,1.759671934831175e-07,1.6799435287994118,0.673692
analyticsvidhya review,USA,Broad match,existing searches,0.9500000248890008,1.4571683103900004,0.7829327280383158,1.4571683,-3.0292983010937746e-08,1.5774024869928054,0.673692
apple ai,USA,Exact match,existing searches,0.8299999927486614,1.2695725956300004,0.7045799889901383,1.2695723,3.376343948868765e-07,1.5314087930878808,0.6364845
apple ai,USA,Phrase match,existing searches,0.8299999927486623,1.3821151540300007,0.7045799181481953,1.382115,1.4758316235763402e-07,1.5314089470632817,0.6364845
apple ai,USA,Broad match,existing searches,0.8299999927486615,1.369313932030001,0.7523690229342368,1.3693137,2.151415732232209e-07,1.4341366506095152,0.6364845
applied data science program mit,USA,Exact match,existing,0.5999999888153607,1.6186765194300017,1.0575349688890774,1.6186767,-1.4301506690017618e-07,0.7375642493215574,-0.065152936
