Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost,Bid
a1wizard,USA,Broad match,existing searches,1.2899999906169974,1.74597350678,0.9523269327596142,1.745974,-4.378840015029084e-07,0.65042245,1.760949869329595
ai and cloud computing,USA,Phrase match,existing searches,0.8300000108996394,0.7059503845099999,0.5727162859563424,0.7059506,-2.3328022225044265e-07,0.15031534,1.8840044200380612
ai and cloud computing,USA,Broad match,existing searches,1.2899999906169966,1.3499318099099995,1.047154489763439,1.3499321,-2.646368142400491e-07,1.185818,1.6014828797429346
ai free courses,USA,Broad match,existing searches,1.550000011358369,1.4172785966969992,1.1135428040601278,1.4172789,-2.891443704466923e-07,0.44282472,1.8095397926500145
ai hackathon 2025,USA,Broad match,existing searches,1.1099999770617237,2.0308501780399992,0.9206667006382658,2.0308504,-2.324214265492231e-07,0.6331526,1.5673424152083046
ai training courses,USA,Broad match,existing,1.550000011358369,1.4391558556969992,1.1135427742417685,1.4391562,-3.189627297839337e-07,0.5679474,1.8095398411057266
aiml course online,USA,Broad match,existing searches,1.369999997803096,1.451428198497,1.0145336028739835,1.4514287,-4.5331269249437867e-07,0.69009227,1.7554864541684825
analytics vidhya machine learning free course,USA,Phrase match,new,1.3699999978030957,1.8175549484799995,1.082481382043232,1.8175552,-2.406526908860229e-07,0.43916816,1.645293883745425
analytics vidhya machine learning free course,USA,Broad match,new,1.3699999978018624,2.03258086518,1.2706372864599071,2.032581,-2.2574712410516895e-07,0.5679473,1.4016588495560554
andrej karpathy machine learning course,USA,Broad match,new,0.5599999890733307,0.8428862330970004,0.2697259423789218,0.842886,2.620276644549336e-07,0.22529387,2.6990358412488424
andrew ng free machine learning course,USA,Broad match,new,1.3699999978030943,1.514520670497,1.014533574902594,1.5145211,-4.514817597556231e-07,0.49605435,1.7554865025684512
applied machine learning online course download,USA,Broad match,new,1.2899999906169974,1.5766854208669994,0.9739813727102612,1.5766858,-3.653802540526385e-07,0.6504226,1.7217988298231743
artificial intelligence ai and machine learning,USA,Broad match,existing searches,0.8300000108996392,0.8919755645099998,0.5727163083855034,0.89197576,-1.959499000836473e-07,0.02160871,1.884004346255216
artificial intelligence ai and machine learning course,USA,Broad match,new,1.2899999906169972,1.456748243197,0.9739813467107176,1.4567485,-2.423681855212579e-07,0.5957439,1.7217988757850233
artificial intelligence and machine learning course,USA,Broad match,existing,1.369999997803094,1.35225235499,1.0361879972324315,1.3522527,-3.667964989517714e-07,0.4960543,1.7188000651435058
artificial intelligence and machine learning engineering course,USA,Broad match,new,0.8300000108996395,0.9550680365100002,0.5727163102164363,0.95506823,-1.941189671228472e-07,0.02160871,1.8840043402321902
artificial intelligence and machine learning free course with certificate,USA,Broad match,new,1.3699999978030948,1.5189549062969996,1.0361880098107172,1.5189552,-3.244158910398198e-07,0.49605435,1.718800044278994
artificial intelligence course in pakistan,USA,Broad match,existing searches,1.369999997803096,1.536397929497,1.0145336344912017,1.5363984,-4.813001190928645e-07,0.60749125,1.7554863994599974
artificial intelligence free course with certificate,USA,Broad match,existing searches,1.369999997803095,1.2133883034900002,1.014533588857966,1.2133887,-3.779217430111004e-07,0.69915885,1.755486478420935
artificial intelligence in it,USA,Broad match,existing,1.1099999770617244,1.7249903195469998,0.7593910210698269,1.7249905,-1.6755169407467468e-07,0.46703732,1.9002067843090236
aws certified machine learning engineer associate course,USA,Phrase match,new,1.3699999978030954,1.4035284063970002,0.9749185881768616,1.4035288,-4.031504241552853e-07,0.34296054,1.826819201872608
aws certified machine learning engineer associate course,USA,Broad match,new,1.2899999906169968,1.6453074601969997,1.0471544650874414,1.6453078,-3.191151343173715e-07,0.54251456,1.601482917481577
aws machine learning engineer associate course,USA,Broad match,new,0.8300000108996396,1.1654739557969995,0.57271637313251,1.1654742,-2.2060986060168375e-07,0.02160871,1.8840041332638522
aws machine learning engineer course,USA,Broad match,new,1.3699999978030957,1.7075141232969993,1.1093611281874411,1.7075145,-4.011628396138889e-07,0.480806,1.6054285226794978
big data and machine learning course,USA,Broad match,new,0.8300000108996393,0.9138222667969996,0.572716328839236,0.91382253,-2.649031346502184e-07,0.02160871,1.884004278970735
big data and machine learning in quantitative investment,USA,Phrase match,existing searches,1.369999997803096,1.8676637238669995,1.0824813670325877,1.8676639,-1.364540456183505e-07,0.6019314,1.6452939065605259
big data and machine learning in quantitative investment,USA,Broad match,existing searches,1.3699999978030957,2.171649440767,1.270637258531282,2.1716497,-2.5367574929546777e-07,0.7307106,1.4016588803657986
course cs50,USA,Broad match,existing searches,1.369999997803096,1.7713686359669991,1.036188019588215,1.771369,-3.444407157271457e-07,0.5679474,1.7188000280603524
coursera ai,USA,Broad match,existing searches,1.369999997803096,2.0991491657700005,0.8428689819778863,2.0991495,-2.997909125390663e-07,0.43924063,2.1130211636981935
coursera ai for everyone,USA,Phrase match,existing searches,1.0499999720455004,2.295317842757,0.7751067421786915,2.295318,-4.5502888124104857e-08,0.27421796,1.7610477233398472
coursera ai for everyone,USA,Broad match,existing searches,1.1099999770617206,2.427314940457,0.9206668767973314,2.427315,-5.6262360992320743e-08,0.4775529,1.567342115315275
cs231n,USA,Broad match,existing searches,1.369999997803094,1.5288945051600005,1.0145336004663967,1.5288949,-3.961156345155814e-07,0.68654746,1.7554864583344199
cs50,USA,Broad match,existing searches,1.3699999978030957,1.7018888784600004,0.9413604332161648,1.7018893,-3.980445162365953e-07,0.68654764,1.8919426972931344
download python for data science and machine learning bootcamp course,USA,Phrase match,new,1.1099999770617246,1.0252958065969993,0.6249480671389152,1.0252962,-4.046456765216533e-07,0.5247537,2.308991812370048
download python for data science and machine learning bootcamp course,USA,Broad match,new,1.3699999978030957,1.707514123297,1.1093611281874418,1.7075145,-4.011628389477552e-07,0.6865476,1.6054285226794967
free ai and machine learning courses with certificates,USA,Broad match,new,1.550000011358369,1.620569206696999,1.1135428323569416,1.6205695,-2.608475566656665e-07,0.51590264,1.8095397466668617
free machine learning course with certificate google,USA,Phrase match,new,1.369999997803096,1.129999458397,0.974918663108914,1.1299998,-2.984160494268196e-07,0.4833312,1.8268190614636524
free machine learning course with certificate google,USA,Broad match,new,1.3699999978030963,1.4339851752969992,1.109361173317171,1.4339855,-2.964284646633786e-07,0.6121103,1.6054284573693383
futurelearn login,USA,Broad match,existing searches,0.8300000108996393,1.48442829088,0.5727165384652966,1.4844286,-3.533002979061451e-07,0.20395398,1.8840035893863267
geoffrey hinton,USA,Broad match,existing searches,0.8300000108996394,0.8832702152370002,0.5727164260982063,0.88327044,-2.272488091037417e-07,0.16033214,1.884003959028251
google free machine learning course with certificate,USA,Phrase match,new,1.289999990616998,1.04594609301,0.9127119944563424,1.0459464,-2.666243994475792e-07,0.45031655,1.837381340431495
google free machine learning course with certificate,USA,Broad match,new,1.369999997803096,1.4121384730099995,1.1093611528634388,1.4121388,-3.466845195365665e-07,0.6121103,1.60542848696926
google machine learning certificate,USA,Broad match,existing searches,0.8300000108996393,1.14362725351,0.5727164420857447,1.1436275,-2.708659154748716e-07,0.08535379,1.8840039064357572
google machine learning course certificate,USA,Broad match,new,0.8300000108996404,1.16550451251,0.5727165314766749,1.1655048,-3.00684274812113e-07,0.08535385,1.8840036123760417
google machine learning crash course certificate,USA,Broad match,new,1.1099999770617248,1.41527139131,0.7593909401076073,1.4152716,-2.4851391366986775e-07,0.5217158,1.9002069868989562
how to artificial intelligence,USA,Broad match,existing searches,1.2899999906169954,1.1157231441100002,0.952326934631622,1.1157235,-3.4660502667982485e-07,0.551581,1.7609498658680587
how to become a machine learning engineer,USA,Broad match,existing searches,1.369999997803096,1.4970776472969995,1.0361879800244318,1.497078,-2.945975317025784e-07,0.56794727,1.7188000936876642
how to become a software engineer,USA,Broad match,existing searches,0.689999998697317,1.148294057660001,0.3876769207047397,1.148294,8.56446200625527e-08,0.08535373,2.3137823027378
how to learn artificial intelligence,USA,Broad match,existing searches,0.8300000108996393,0.90555680179,0.499543104404212,0.90555704,-2.346098413319453e-07,0.02160871,2.1599737933654746
how to learn artificial intelligence and machine learning,USA,Broad match,existing searches,1.3699999978030943,1.4121384730099995,1.036187987542089,1.4121388,-3.466845193145218e-07,0.4808061,1.7188000812175794
how to learn computer science,USA,Broad match,existing searches,1.3699999978030966,1.433985175297,1.036188007995822,1.4339855,-2.964284639972448e-07,0.56794715,1.7188000472894944
how to learn cs,USA,Broad match,existing searches,1.3699999978030957,1.6549289227669994,1.0361881257241528,1.6549293,-3.575140674616506e-07,0.92211294,1.7187998520050118
how to make ai play games,USA,Phrase match,existing searches,0.8300000108996394,0.8696115234669998,0.5727162578877761,0.86961174,-2.1664530491793962e-07,0.2140603,1.8840045123722704
how to make ai play games,USA,Broad match,existing searches,1.369999997803096,1.5757996119669997,1.1093611694983565,1.5758001,-4.492588914217777e-07,0.5679472,1.6054284628957922
how to start learning artificial intelligence,USA,Broad match,existing searches,1.3699999978030957,1.6856674210099996,1.1093611971406758,1.6856679,-4.514188944870768e-07,0.5679474,1.6054284228928006
how to start with kaggle,USA,Broad match,existing searches,1.369999997803096,1.514520670497,1.014533574902594,1.5145211,-4.514817597556231e-07,0.6865476,1.7554865025684532
https teachablemachine withgoogle com,USA,Broad match,existing searches,1.3699999978030957,1.766934400167,1.0145336442847368,1.766935,-5.907158735496409e-07,0.7307106,1.7554863825138685
