Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff
ai and machine learning in finance course,USA,Broad match,new,0.5600000267334699,1.0059669882399995,0.43153193298410963,1.005967,-3.274846482881344e-08
ai machine learning training,USA,Broad match,existing,0.56000002673347,1.0735265672399996,0.4628664910986422,1.0735266,-5.362486854565418e-08
applied data science program mit,USA,Exact match,existing,0.6,1.6915737657399998,1.14357092665156,1.691574,-2.117303981030716e-07
applied data science program mit,USA,Phrase match,existing,0.6,1.9015732077399996,1.1435709861556795,1.9015733,-9.262163369605503e-08
applied data science program mit,USA,Broad match,existing,0.6,2.1636909635399997,1.1979223878716647,2.1636913,-3.1873233918844335e-07
applied data science program mit,A,Exact match,existing,0.6,2.32074661621,1.0148292339697047,2.3207467,-4.4022543832511474e-08
applied data science program mit,A,Phrase match,existing,0.6,2.32074661621,1.0148292339697047,2.3207467,-4.4022543832511474e-08
applied data science program mit,A,Broad match,existing,0.6,2.58286437201,1.0691805760810449,2.5828645,-1.5092395999616315e-07
apply for mit,USA,Exact match,existing searches,0.6,1.9716459113100004,1.0369518595674467,1.9716462,-2.783796357874735e-07
apply for mit,USA,Phrase match,existing searches,0.6,2.1816453533100004,1.0369516210483427,2.1816456,-2.7848016070919357e-07
apply for mit,USA,Broad match,existing searches,0.6,2.11577339981,1.0913030705253322,2.1157737,-2.780159276127847e-07
apply for mit,A,Exact match,existing searches,0.6,2.510737345310001,1.0369519449193758,2.510737,4.0301874104642366e-07
apply for mit,A,Phrase match,existing searches,0.6,2.51073734531,1.036951944919375,2.510737,4.0301874015824524e-07
apply for mit,A,Broad match,existing searches,0.6,2.4448653918099996,1.091303513605654,2.4448652,1.650643941530916e-07
artificial intelligence masters,USA,Broad match,existing,0.4799999757645884,0.8547085218299995,0.3031305961479316,0.8547085,2.9074109564319883e-08
automation bootcamp,USA,Phrase match,existing searches,0.47999997576458814,0.7943852516399995,0.5194918783890382,0.7943853,-6.234773242130842e-08
automation bootcamp,USA,Broad match,existing searches,0.4799999757645881,1.0565030074399997,0.491237769154935,1.0565032,-1.692491482518932e-07
aws training,USA,Phrase match,existing searches,0.4799999757643767,1.0344718889399995,0.43688633004870314,1.0344722,-3.381565580884427e-07
aws training,USA,Broad match,existing searches,0.4799999757646011,1.0473412476399997,0.4912377796987155,1.0473413,-9.910072296115402e-08
azure machine learning studio,USA,Broad match,existing searches,0.5600000267334699,0.9402102535399999,0.47770649248691455,0.94021016,8.994670763762258e-08
big data and machine learning in quantitative investment,USA,Exact match,existing searches,0.5600000267334699,1.12987697214,0.4597859391581274,1.1298772,-2.375233911777741e-07
big data mit,USA,Exact match,existing searches,0.6,2.8418696668299996,1.4142834689769113,2.84187,-4.026737845386208e-07
