Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost
ai and cloud computing,USA,Exact match,existing searches,0.8800000108372495,1.0203196211900007,0.6661533518876326,1.0203195,1.5936749098166558e-07,0.18886423
ai and cloud computing,USA,Phrase match,existing searches,0.8800000108372495,1.0924761111300003,0.7727963740389359,1.0924761,-1.840186003576605e-08,0.33917958
ai and cloud computing,USA,Broad match,existing searches,1.1,1.4753798372699998,0.8961534030391953,1.4753801,-2.257869460287055e-07,1.1293597
ai hackathon 2025,USA,Exact match,existing searches,0.5400000071933926,0.6860378414200001,0.4304803639457875,0.68603766,1.8177491956095082e-07,0.1387235
ai hackathon 2025,USA,Phrase match,existing searches,0.5400000071933926,0.8593054820400003,0.4304804612499002,0.85930526,2.1947438755276494e-07,0.1603322
ai hackathon 2025,USA,Broad match,existing searches,0.540000007193403,1.0263192033700002,0.4304804181984913,1.026319,1.764229786704874e-07,0.1603322
ai with matlab,USA,Exact match,existing searches,0.5400000071934049,0.8538155003200008,0.4304803951392604,0.8538154,1.2356142531366745e-07,0.0
ai with matlab,USA,Phrase match,existing searches,0.5400000071933926,1.1012750463200005,0.4304805593204888,1.1012748,1.9833568654092923e-07,0.02160871
ai with matlab,USA,Broad match,existing searches,0.5400000071933988,1.1197654951500002,0.430480395643622,1.1197655,-2.4945824961264413e-08,0.02160865
analytics vidhya machine learning free course,USA,Exact match,new,0.8800000108372495,1.0538009259200007,0.8100466433262736,1.0538008,1.046156794526354e-07,0.2526093
analytics vidhya machine learning free course,USA,Phrase match,new,0.8800000108372493,1.1144048203200003,0.8100466657847067,1.1144047,1.4197527375969798e-07,0.40292484
analytics vidhya machine learning free course,USA,Broad match,new,0.5900000222735023,0.9948902849500004,0.5795087341611211,0.99489015,1.315419499992032e-07,0.21406049
app deep learning,USA,Phrase match,existing searches,0.8800000108372495,0.8810208349200007,0.6661532877655741,0.88102067,1.6975123851015186e-07,0.4141581
app deep learning,USA,Broad match,existing searches,1.1,1.1154012885599998,0.789510389855471,1.1154016,-3.370732399865517e-07,1.2043381
applied data science program mit,USA,Exact match,existing,0.8800000108372495,1.0768005965000012,0.6661533532386639,1.0768005,1.3091619988081504e-07,0.2526095
applied data science program mit,USA,Phrase match,existing,0.8800000108372495,1.3623294111000013,0.6661532994018506,1.3623294,4.727706426344015e-08,0.4029249
applied data science program mit,USA,Broad match,existing,1.270000028067245,1.40322242821,0.8452231749369898,1.4032227,-2.518818578156612e-07,0.60625947
apps to learn data analysis,USA,Exact match,existing searches,0.8800000108372495,0.8825223508800006,0.6661534223283267,0.8825221,2.4470934634202024e-07,0.32758784
apps to learn data analysis,USA,Phrase match,existing searches,0.8800000108372495,1.0467149750800004,0.6661531762690416,1.046715,-4.6053422408931524e-08,0.4779032
