Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost
ai machine learning course free,USA,Broad match,new,0.3099999964632314,0.95556247163,0.1260173909682264,0.95556265,-1.7952737907389604e-07,0.07497847
ai online courses,USA,Broad match,existing searches,0.3099999964632332,2.0020681830100004,0.1260169954947416,2.0020685,-3.3658228471011853e-07,0.0
ai online tutorial,USA,Phrase match,existing searches,0.8299999927486611,1.64460769485,0.8532386739111266,1.6446077,3.1695397861852825e-08,0.20395392
ai robotics certification,USA,Broad match,existing searches,0.8299999927486615,1.37397606659,0.8688178806311377,1.3739761,-4.4822048295145584e-08,0.1603322
ai with matlab,USA,Broad match,existing searches,0.8299999927486615,1.0646897493500005,0.8306284485954532,1.0646895,2.323288210703823e-07,0.02160865
apple ai,USA,Broad match,existing searches,0.5599999790984276,0.8917483474300005,0.2748034383342363,0.8917485,-1.4051937080594712e-07,0.21406043
applied data science program mit,USA,Exact match,existing,0.599999988815432,1.6186765194300008,1.0575349688890767,1.6186767,-1.4301506756631e-07,0.06374502
applied data science program mit,USA,Phrase match,existing,0.5999999888154318,1.7312190778299994,1.0575350172564215,1.7312192,-9.464772277034684e-08,0.21406043
applied data science program mit,USA,Broad match,existing,0.5999999888153678,1.99736562993,1.1053240659422676,1.9973657,-8.318950728281038e-08,0.21406043
applied data science program mit,A,Exact match,existing,0.5999999888154319,2.1344488168300004,1.0575352216304157,2.1344485,2.885402055063935e-07,-0.0004348755
applied data science program mit,A,Phrase match,existing,0.5999999888154319,2.16275040223,1.0575352103888744,2.1627502,1.580893749242307e-07,0.14988053
applied data science program mit,A,Broad match,existing,0.5999999888154319,2.5258954988300006,1.105324171620528,2.5258954,1.416980426327541e-07,0.14988053
apply for mit,USA,Exact match,existing searches,0.599999988815432,1.6743879638299994,0.9400852046594672,1.674388,-8.72030205822938e-08,0.07497835
apply for mit,USA,Phrase match,existing searches,0.5999999888154319,1.9182418602299995,0.9400849359822578,1.9182421,-2.3667094040114025e-07,0.22529387
apply for mit,USA,Broad match,existing searches,0.5999999888154319,1.8684908907299995,0.9878741066342354,1.868491,-1.6285123827231018e-07,0.22529387
apply for mit,A,Broad match,existing searches,0.5999999888154319,2.3970207596300006,0.9878742123124956,2.3970203,4.196641802955981e-07,0.22529387
apps to learn data analysis,USA,Broad match,existing searches,0.950000024888994,1.2592686198700014,0.7829328261364046,1.2592685,9.7607428140023e-08,1.0679771
automation bootcamp,USA,Exact match,existing searches,0.8299999927486614,1.4027219023490003,0.8794958796286636,1.4027218,1.396918349882981e-07,0.18234527
automation bootcamp,USA,Phrase match,existing searches,0.8299999927486614,1.6648651492490003,0.8794961106671522,1.664865,1.3231174444960916e-07,0.33266068
automation bootcamp,USA,Broad match,existing searches,0.8299999927486615,1.4908544205700005,0.9272850536380852,1.4908544,3.8055046891472e-08,0.33266068
best ai books for beginners,USA,Broad match,existing searches,0.8299999927486615,1.5213779418500002,0.853238603356653,1.521378,-9.846372051036668e-08,0.08535373
best coding classes online,USA,Broad match,existing searches,0.8299999927486618,1.4436122591899998,0.856072407524503,1.4436125,-1.9713171650614925e-07,0.02160871
