Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff
a1wizard,USA,Phrase match,existing searches,0.4899999748992798,0.8217893523100005,0.5512939673784362,0.82178944,-9.118288890608284e-08
ai and cloud computing,USA,Broad match,existing searches,0.4899999748991959,0.6808879761650003,0.42657057332533965,0.68088806,-8.05900656208891e-08
ai data model,USA,Exact match,existing,0.9500000308777112,1.018867057860001,0.9969067732990822,1.018867,4.2021377932854875e-08
ai data model,USA,Phrase match,existing,0.9500000308777174,1.1622335371600006,1.0537191090212676,1.1622335,6.528957818829895e-08
ai data model,USA,Broad match,existing,1.2699999576041632,1.415588115160001,1.3918598376257545,1.4155881,-2.532766996132807e-08
ai learning,USA,Broad match,existing,0.48000000142761634,1.1810023278600006,0.28856093591511534,1.1810025,-1.6981303407881398e-07
ai online master degree,USA,Exact match,existing searches,0.9500000308776828,1.2487848742320002,0.9580534441782893,1.248785,-1.4468889819596598e-07
ai online master degree,USA,Phrase match,existing searches,0.950000030877403,1.6120774429320008,1.0148657839773805,1.6120776,-1.5087140492475726e-07
ai online master degree,USA,Broad match,existing searches,1.269999957604163,1.7264046185320003,1.353006493360339,1.7264048,-1.6757792398180982e-07
ai with machine learning course,USA,Broad match,new,1.3200000476393576,1.3856412277700003,1.3141112358452376,1.3856413,-1.0867103972245218e-07
analyticsvidhya review,USA,Exact match,existing searches,0.9500000308780459,1.0356038450100011,0.921876349935729,1.0356036,2.0254631705185488e-07
analyticsvidhya review,USA,Phrase match,existing searches,0.9500000308780463,1.6542620150800016,0.9218763200993803,1.6542617,3.0682041907148516e-07
analyticsvidhya review,USA,Broad match,existing searches,1.26999995760346,1.7434411959800016,1.2600171284827482,1.743441,2.1030037511415856e-07
andrej karpathy machine learning course,USA,Broad match,new,0.3799999902329778,1.1612872864469996,0.29597590224594983,1.1612873,-2.1292258178817747e-08
andrew ng free machine learning course,USA,Phrase match,new,0.48999997489927916,1.2436630962749993,0.4711190102955376,1.2436632,-9.552034985205182e-08
andrew ng free machine learning course,USA,Broad match,new,0.4899999748992798,1.1588769159749996,0.47111900667705653,1.158877,-9.913883092238507e-08
andrew ng machine learning free course,USA,Phrase match,new,0.48999997489927516,1.2436630962749997,0.47111901029553804,1.2436632,-9.552034940796261e-08
andrew ng machine learning free course,USA,Broad match,new,0.4899999748992798,1.1588769159749999,0.47111900667705675,1.158877,-9.913883070034046e-08
aprendizaje no supervisado,USA,Phrase match,existing searches,0.9500000308780463,1.9321033781600006,0.960394126756192,1.932103,3.403258330703096e-07
aprendizaje no supervisado,USA,Broad match,existing searches,0.9500000308780463,1.4436429977500007,0.9603944361292884,1.443643,2.385015940298274e-08
artificial intelligence and machine learning course,USA,Broad match,existing,0.37999999023297804,0.5566107594149998,0.2917904221194676,0.5566107,5.594667706887435e-08
artificial intelligence and machine learning course in india,USA,Phrase match,new,0.4899999748992796,1.2083568540650003,0.4265704718666665,1.2083571,-2.4165338352588606e-07
artificial intelligence and machine learning course in india,USA,Broad match,new,0.48999997489927716,0.9398225630550009,0.4265706623820883,0.9398226,-5.113796175404417e-08
artificial intelligence and machine learning free course with certificate,USA,Phrase match,new,0.4899999748992797,0.535688922825,0.4669333333994362,0.53568906,-1.330946471922445e-07
artificial intelligence and machine learning free course with certificate,USA,Broad match,new,0.4899999748990834,0.5875521218250005,0.4669335326025693,0.58755213,-8.397320061526159e-09
artificial intelligence application,USA,Broad match,existing,0.27000000407220004,0.31873841226500044,0.06983644903105268,0.31873834,7.093351850340213e-08
artificial intelligence course in pakistan,USA,Phrase match,existing searches,0.48999997489902514,0.8334436316250003,0.4669335086105503,0.8334437,-6.964224208427794e-08
artificial intelligence course in pakistan,USA,Broad match,existing searches,0.48999997489926717,0.5287313619250006,0.4669334822887129,0.52873135,1.5794629493193213e-08
artificial intelligence course online with certificate,USA,Broad match,existing searches,1.3200000476393612,1.5977675470420007,1.2493330391951685,1.5977677,-1.6364372923405313e-07
artificial intelligence free course with certificate,USA,Phrase match,existing searches,0.48999997489928004,0.6623297596750005,0.4669333065328344,0.66232985,-9.2906023652084e-08
artificial intelligence free course with certificate,USA,Broad match,existing searches,0.48999997489928004,0.6318161199650011,0.4669334302505693,0.631816,9.041635606887866e-08
artificial intelligence machine learning course,USA,Phrase match,new,0.4899999748992798,0.660164164705,0.46693341652842524,0.66016424,-7.231739995727793e-08
artificial intelligence machine learning course,USA,Broad match,new,0.4899999748992796,0.5753779844050005,0.46693346506400857,0.57537794,4.327340874521468e-08
aws machine learning engineer course,USA,Broad match,new,0.3000000081778227,0.45743085533500005,0.18932952076316167,0.45743087,-1.4005896553648256e-08
best site to learn data science,USA,Exact match,existing searches,0.9500000308780463,1.3132338766100005,0.921876186514099,1.3132336,2.6264210495341445e-07
best site to learn data science,USA,Phrase match,existing searches,0.9500000308780449,1.4821683661900003,0.9786884682140786,1.4821681,2.8776745386593916e-07
best site to learn data science,USA,Broad match,existing searches,0.9500000308780453,1.534031565190001,0.9786884737021164,1.5340313,2.9325549166792086e-07
best way to learn data science,USA,Exact match,existing searches,0.9500000308780463,1.3176082412520007,0.9622391204157428,1.3176082,3.985460184097178e-09
best way to learn data science,USA,Phrase match,existing searches,0.9500000308780451,1.5193302149420005,0.9622390384321433,1.5193301,7.101347265781044e-08
best way to learn data science,USA,Broad match,existing searches,0.9500000308780457,1.410037576552001,0.9622391158300314,1.4100375,5.900439359329823e-08
big data analytics courses,USA,Exact match,existing searches,0.950000030878045,1.3212702023099998,0.9580534445356468,1.32127,2.132963279333211e-07
big data analytics courses,USA,Phrase match,existing searches,0.9500000308780442,1.7684862756800006,0.9580534839701007,1.768486,2.5273078185783504e-07
big data analytics courses,USA,Broad match,existing searches,0.950000030878036,1.5195246982800008,0.958053474448824,1.5195246,1.2400021565106556e-07
big data course,USA,Exact match,existing searches,0.9500000308780464,1.4110578190200007,0.9218763004653132,1.4110575,3.4679099680801073e-07
big data course,USA,Phrase match,existing searches,0.9500000308780449,1.7999183980000015,0.9786884633076187,1.799918,3.424656387363001e-07
big data course,USA,Broad match,existing searches,0.9500000308780453,1.5509568206000017,0.9786885729956316,1.5509566,2.137350725295306e-07
big data mit,USA,Phrase match,existing searches,0.4899999748992797,2.157762360370001,0.4105542419312802,2.157762,3.0974133879979604e-07
big data mit,USA,Broad match,existing searches,0.48999997489927893,2.1287268723700006,0.41055432216858456,2.1287267,1.5156006405447897e-07
boosting,USA,Broad match,existing searches,1.3700000255888791,1.3796682167400005,1.150103341375697,1.3796682,-1.9038808085625192e-08
building a language model,USA,Phrase match,existing searches,0.9500000308780463,1.0152930415600006,0.9388766385048095,1.0152929,1.5864068902970985e-07
building a language model,USA,Broad match,existing searches,0.9500000308780457,1.075942956060001,0.938876681178638,1.0759428,2.0131451750060592e-07
coding for beginners,USA,Phrase match,existing searches,0.9500000308780459,1.0824395296850002,1.0266575691976345,1.0824393,2.2628686791037467e-07
cognitive data science,USA,Exact match,existing searches,0.9500000308780463,1.2909749826400017,0.9622391840426658,1.2909747,2.464263175738779e-07
cognitive data science,USA,Phrase match,existing searches,0.9500000308780464,1.5182649666100017,0.9622392827301494,1.5182647,3.153114787046718e-07
cognitive data science,USA,Broad match,existing searches,1.269999957604163,1.8273702369100016,1.3003800020581644,1.82737,1.8934072665288681e-07
cognitiveai,USA,Broad match,existing searches,0.4899999748992797,0.558227336830001,0.3411876623095085,0.55822736,-2.341856464305181e-08
course cs50,USA,Exact match,existing searches,0.4800000014276167,0.9487842524600006,0.4499331319880463,0.9487844,-1.584935210852123e-07
course cs50,USA,Phrase match,existing searches,0.4899999748992794,1.1177187420400008,0.5067452646764143,1.1177192,-4.313913957165738e-07
course cs50,USA,Broad match,existing searches,0.48999997489928004,1.2175914997800013,0.5067453140957972,1.2175918,-2.62762723357568e-07
cs109 data science,USA,Exact match,existing searches,0.9500000308780452,1.1791183056820007,0.9622391762722107,1.1791183,3.0039605691811744e-08
cs109 data science,USA,Phrase match,existing searches,0.9500000308780452,1.3224847849820012,1.0190513965103978,1.3224847,5.3307806835434235e-08
cs109 data science,USA,Broad match,existing searches,1.269999957604163,1.6315900552820015,1.3571922350477028,1.6315901,-7.266294477226154e-08
cs231n,USA,Phrase match,existing searches,0.4899999748992797,0.5715403638819998,0.4711188979486769,0.5715404,-5.1405018020034277e-08
cs231n,USA,Broad match,existing searches,1.3200000476393603,1.3907441645820005,1.3751090094406468,1.3907442,-4.470755032848217e-08
cs50,USA,Exact match,existing searches,0.480000001427616,1.1220962474600007,0.4944816301122834,1.1220965,-2.9108370047659093e-07
cs50,USA,Phrase match,existing searches,0.4899999748992786,1.5109568264400015,0.5512936141406546,1.5109574,-5.338276376498641e-07
cs50,USA,Broad match,existing searches,1.3700000255888773,2.0526882768300005,1.4243637681630084,2.0526881,1.5503434624974943e-07
data science,USA,Phrase match,existing searches,0.4899999748992797,1.0843020643800008,0.4983353581040608,1.0843021,-3.3766520690647894e-09
data science,USA,Broad match,existing searches,0.48999997489927904,0.9016136833800011,0.49833530274760063,0.9016137,-2.89307898748703e-08
data science for beginners,USA,Broad match,existing searches,0.9500000308780463,1.0876355434600007,0.9218764270487916,1.0876352,3.839675080108407e-07
data science framework,USA,Exact match,existing searches,0.9500000308780446,1.1889768093500004,0.9622391909036503,1.1889766,1.6388033485803533e-07
data science framework,USA,Phrase match,existing searches,0.9500000308780429,1.4162667933200002,0.9622392001841664,1.4162666,2.3276549576678462e-07
data science framework,USA,Broad match,existing searches,1.2699999576041696,1.725372063620001,1.3003799195121823,1.725372,1.0679474460317806e-07
data science masters,USA,Exact match,existing,0.9500000308780463,1.060869035512001,1.0500200662908858,1.060869,5.7011634746473305e-08
data science masters,USA,Phrase match,existing,0.9500000308780452,1.204235514812001,1.106832405738362,1.2042354,8.027983544600659e-08
data science nigeria,USA,Exact match,existing searches,0.9500000308780455,1.0644825845,0.9622391908404084,1.0644825,1.3401477061414369e-07
data science nigeria,USA,Phrase match,existing searches,0.9500000308780463,1.1817203525800002,1.019051498581816,1.1817203,9.577458026654995e-08
data science vs ai,USA,Phrase match,existing searches,0.9500000308780451,1.0463467160900004,0.97450296531514,1.0463465,1.7087057901932212e-07
data science vs ai,USA,Broad match,existing searches,1.2699999576041594,1.3554519863900008,1.3126437479730906,1.355452,4.489982741162635e-08
deepfake,USA,Exact match,existing searches,0.9500000308780457,1.740832972900001,0.9035820249477304,1.740833,-7.115212308228536e-08
deepfake,USA,Phrase match,existing searches,0.9500000308780445,2.1296935518800013,0.960394306999325,2.1296937,-1.9468677114886646e-07
deepfake,USA,Broad match,existing searches,1.3700000255888698,2.3151439649700007,1.4771832449077449,2.3151438,1.4134634351847808e-07
download python for data science and machine learning bootcamp course,USA,Exact match,new,0.48000000142761673,0.6390007457300007,0.49448165507753483,0.63900083,-8.730451472871437e-08
download python for data science and machine learning bootcamp course,USA,Phrase match,new,0.4800000014276147,1.0345200976000009,0.49448180996038293,1.0345203,-1.7084024572788792e-07
download python for data science and machine learning bootcamp course,USA,Broad match,new,0.4800000014276168,0.7855585202000007,0.4944817110321388,0.7855585,-1.5475883907711818e-09
edx data science,USA,Phrase match,existing searches,0.9500000308780453,1.1145336786520004,0.9218763271581649,1.1145334,2.54274558963985e-07
edx data science,USA,Broad match,existing searches,0.9500000308780451,1.166396877652001,0.9218763326462027,1.1663966,2.597625967659667e-07
edx mit data science,USA,Phrase match,existing searches,0.9500000308780463,1.2983691655720007,0.9622391723716985,1.298369,1.1554606071939588e-07
edx mit data science,USA,Broad match,existing searches,0.9500000308780463,1.2693336775720008,0.9622391930043586,1.2693336,7.657407596894927e-08
free machine learning course with certificate google,USA,Exact match,new,0.48000000142761656,0.5289342992300008,0.49029598313512546,0.52893436,-6.032047528137241e-08
