Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost
andrej karpathy machine learning course,A,Broad match,new,4.749999784534008,5.17828115286,4.0825947171605375,5.178281,3.2247669956575464e-07,3.5685067
azure machine learning studio,USA,Phrase match,existing searches,2.830000039024554,2.4367178428200003,1.5530484664467092,2.436718,-1.4424054661787977e-07,0.4712013
azure machine learning studio,USA,Broad match,existing searches,2.8300000390245525,2.46816265927,1.553048494917583,2.4681628,-1.1576967295923168e-07,0.4712013
best courses for data science and machine learning,USA,Broad match,new,3.1200000679233164,2.3550985783700003,1.5839622944954883,2.3550987,-1.459952341242854e-07,0.63417137
best data science and machine learning course,A,Broad match,new,4.749999784534008,5.36959117346,4.280383881856912,5.369591,-6.265450203102318e-08,3.7239838
best free online machine learning course,A,Broad match,new,4.749999784534008,5.17828115286,4.0825947171605375,5.178281,3.2247669956575464e-07,3.7239842
best free online machine learning courses,A,Broad match,new,4.749999784534008,5.17828115286,4.0825947171605375,5.178281,3.2247669956575464e-07,3.4938984
best machine learning courses for beginners,A,Broad match,new,4.749999784534008,5.358675504760001,4.280383850173209,5.3586755,2.487108474724664e-08,2.9900672
cnc machine online courses,USA,Exact match,existing searches,2.8300000390245543,1.7371861965200002,1.4656770855924184,1.7371862,3.053813646403114e-09,0.3249156
cnc machine online courses,USA,Phrase match,existing searches,2.8300000390245543,2.446065301620001,1.643244619094366,2.4460654,-1.2425280182526421e-07,0.3249156
cnc machine online courses,USA,Broad match,existing searches,2.830000039024551,2.47751011807,1.6432446475652394,2.4775102,-9.578192861070535e-08,0.3249156
cnc machinist certification online,USA,Phrase match,existing searches,2.83000003902455,2.41130964472,1.64324460937683,2.4113097,-7.436569315899534e-08,0.32491553
cnc machinist certification online,USA,Broad match,existing searches,2.830000039024554,2.28998542267,1.6432446284881763,2.2899854,4.350297899691213e-09,0.3249156
computer science online degree,USA,Phrase match,existing searches,2.830000039024552,3.90785862066,2.1314841613933373,3.9078586,1.0506801650933541e-08,0.70877934
computer science online degree,USA,Broad match,existing searches,2.830000039024554,3.78653439861,2.1314842401093284,3.7865343,8.922279270962009e-08,0.7087791
computer science online degree,A,Phrase match,existing searches,2.830000039024554,4.90152919256,2.881317257516665,4.9015293,-1.1957378909244198e-07,0.85317254
computer science online degree,A,Broad match,existing searches,2.830000039024554,4.78020497051,2.8813176938605247,4.780205,1.9756078106780706e-07,0.85317254
convolutional neural network,USA,Exact match,existing searches,3.120000067923315,2.6342300836299994,2.035310036346827,2.6342304,-2.9165991755064624e-07,0.78964895
convolutional neural network,USA,Phrase match,existing searches,3.120000067923307,3.53046475973,2.3812181862818185,3.530465,-1.2788901893046045e-07,0.7896487
convolutional neural network,USA,Broad match,existing searches,3.120000067923315,3.3536728049299995,2.3812181974432747,3.3536727,6.208637159943464e-08,0.7896488
convolutional neural network,A,Phrase match,existing searches,3.120000067923316,4.524135331629999,3.1310514016144357,4.524135,2.1886754808519981e-07,1.3582451
