Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost,Bid
ai and data management,USA,Exact match,existing searches,1.3700000215437926,1.679260738420001,1.4369719105238823,1.6792611,-3.499512761795387e-07,0.84706175,1.2394118597333086
ai and data management,USA,Phrase match,existing searches,1.3700000215437926,1.7327180356199998,1.4369719475920455,1.7327183,-3.128831129739496e-07,0.84706175,1.2394118277614103
ai and data management,USA,Broad match,existing searches,1.3700000215437926,1.8007587889199994,1.4369719723230143,1.8007591,-2.881521441455704e-07,0.84706175,1.2394118064305453
ai and machine learning for coders,USA,Exact match,existing searches,1.3700000215437915,1.92952503771,1.703068246547509,1.9295251,-9.92376316677479e-08,0.81820834,1.0457596350688851
ai and machine learning for coders,USA,Phrase match,existing searches,1.3700000215437922,1.9829823349099995,1.7030683134179951,1.9829826,-3.0058804734167666e-07,0.81820846,1.0457595940074351
ai and machine learning for coders,USA,Broad match,existing searches,1.3700000215437929,2.07169968449,1.7030682023656714,2.0716999,-1.732217920213941e-07,0.81820846,1.0457596621985
ai learning,USA,Exact match,existing,1.370000021543793,3.208823889409999,1.5479497610683244,3.208824,-2.98862654624088e-08,0.81820846,1.1505541541462987
ai learning,USA,Phrase match,existing,1.3700000215437915,3.26228118661,1.5479497981364894,3.2622812,7.1818995195371835e-09,0.81820846,1.1505541265944148
ai learning,USA,Broad match,existing,1.3700000215437875,3.14700870051,1.547949834009145,3.1470087,4.3054555476373935e-08,0.8182086,1.1505540999311235
algorithm and data structures,USA,Exact match,existing searches,1.3700000215437926,3.0228964831,1.5643442417746214,3.0228963,1.932745603561159e-07,0.7436006,1.1384962340427902
algorithm and data structures,USA,Phrase match,existing searches,1.3700000215437926,3.0763537803000003,1.564344278842786,3.0763535,2.303427248939727e-07,0.7436005,1.1384962070653746
algorithm and data structures,USA,Broad match,existing searches,1.37000002154379,3.00541272578,1.5643441956972972,3.0054123,3.8561581527929444e-07,0.7436005,1.1384962675768786
alphago,USA,Exact match,existing searches,1.3700000215437926,1.613390015120001,1.41071434473464,1.6133903,-3.113799382781224e-07,0.69540465,1.262480979692556
alphago,USA,Phrase match,existing searches,1.3700000215437926,1.6668473123199996,1.410714381802803,1.6668477,-3.935210648453591e-07,0.69540465,1.2624809465193982
alphago,USA,Broad match,existing searches,1.3700000215437926,1.60225250752,1.4107143226387897,1.6022528,-3.334757885387063e-07,0.6954045,1.262480999466645
amazon machine learning certification,USA,Phrase match,existing searches,1.3700000215437926,1.5969753898299994,1.3415613807357611,1.5969756,-1.751266656135897e-07,0.2682281,1.3275576157612445
amazon machine learning certification,USA,Broad match,existing searches,1.3700000215437924,1.67705304773,1.3415612712636302,1.6770533,-2.845987965294228e-07,0.2682281,1.3275577240906695
amazon machine learning course,USA,Broad match,new,1.4599948433398608,1.3938154150300006,1.2874744255595187,1.3938158,-3.408141155958333e-07,0.14564502,1.4741988335162288
amazon machine learning free course,USA,Phrase match,new,1.3700000215437926,1.59243096941,1.2874746822643854,1.5924313,-3.374289891944216e-07,0.1456449,1.383328194752958
analyticsvidhya review,USA,Exact match,existing searches,1.3700000215437926,1.96228138332,1.453559912487175,1.9622816,-2.0141968537501498e-07,0.81820846,1.2252677118478559
analyticsvidhya review,USA,Phrase match,existing searches,1.3700000215437886,2.01573868052,1.4535599495553395,2.0157387,-4.514223128637696e-08,0.81820846,1.2252676806015146
analyticsvidhya review,USA,Broad match,existing searches,1.3700000215437926,1.95114387572,1.4535598605890032,1.9511441,-2.235155347474205e-07,0.81820846,1.2252677555950424
andrew ng course machine learning,USA,Phrase match,new,1.3700000215437926,1.6580332230000003,1.2874746631054386,1.6580334,-1.479716793539865e-07,0.4239266,1.3833282153383037
andrew ng course machine learning,USA,Broad match,new,1.3700000215437922,1.4477555650200002,1.287474532696163,1.4477558,-2.4857863256677604e-07,0.4239264,1.3833283554566715
andrew ng coursera,USA,Exact match,existing searches,1.3700000215437926,1.996746621030001,1.461480996506838,1.9967471,-5.150860269420576e-07,0.8182086,1.2186268807215361
andrew ng coursera,USA,Phrase match,existing searches,1.3700000215437926,2.0502039182300003,1.4614810335750017,2.0502043,-3.588085739636427e-07,0.8182086,1.2186268498129855
andrew ng coursera,USA,Broad match,existing searches,1.3700000215437915,1.7135969024299995,1.4614808481335062,1.7135972,-2.7602916774505104e-07,0.8182086,1.2186270044397016
andrew ng machine learning course review,USA,Broad match,new,1.3700000215437915,2.03587893193,1.5528878325723947,2.0358794,-4.416204153478986e-07,0.37573028,1.146895474772741
apple ai,USA,Exact match,existing searches,1.3700000215437944,2.3245951201199992,1.8575270141839488,2.324595,1.4560217698189606e-07,0.96986556,0.9588016833173024
apple ai,USA,Phrase match,existing searches,1.3700000215437909,2.37805241732,1.8575271406590803,2.3780525,-5.5748237581809696e-08,0.96986544,0.9588016180345019
apple ai,USA,Broad match,existing searches,1.37000002154379,2.3890692396,1.857527117235956,2.389069,1.5924721674664968e-07,0.9698657,0.9588016301248387
