Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost
a course in machine learning pdf,USA,Phrase match,new,1.0400000112672965,1.0121069833900005,0.7306229755546121,1.0121069,8.794322292615676e-08,0.3879708
a course in machine learning pdf,USA,Broad match,new,1.0400000112670424,1.15232034649,0.7306229683314307,1.1523201,1.9992933109058697e-07,0.38797092
a first course in machine learning,USA,Phrase match,new,1.0400000112672965,1.0017810001899998,0.7306229606201451,1.0017809,1.3261340070513938e-07,0.38797092
a first course in machine learning pdf,USA,Phrase match,new,1.0400000112672965,1.0613390601900003,0.730622956874647,1.0613389,1.5867022495896776e-07,0.3879708
academy openai con,USA,Exact match,existing searches,1.040000011267007,1.789187217782001,0.9914407978753847,1.7891871,1.4407442039399146e-07,0.123711586
academy openai con,USA,Phrase match,existing searches,1.0400000112672965,1.9285554179000004,1.1133529433058842,1.9285554,4.852286417111885e-08,0.12371153
academy openai con,USA,Broad match,existing searches,1.0400000112672965,2.16339090583,1.1133529257503492,2.1633909,3.096732914542599e-08,0.12371153
ai,USA,Exact match,existing searches,1.020000024686544,1.6976258446820005,0.8786687543041927,1.6976256,2.0762755692516066e-07,0.33977494
ai,USA,Phrase match,existing searches,1.0200000246865422,1.8369940448,0.916336052437024,1.836994,-7.133288404403971e-09,0.33977485
ai,USA,Broad match,existing searches,1.0200000246865408,2.10444887483,0.9163361390817092,2.1044486,3.179299756794763e-07,0.33977485
ai academy,USA,Phrase match,existing searches,1.0200000246865435,0.96383593183,0.7832984993978254,0.96383595,-2.2836137647530563e-08,0.2363137
ai academy,USA,Broad match,existing searches,1.0200000246865435,1.0714299528299998,0.7832985071837137,1.0714297,2.2336832983249627e-07,0.2363137
ai and data management,USA,Phrase match,existing searches,1.0400000112672965,1.2598253733000002,0.7294990068754397,1.2598252,1.4365522482684412e-07,0.70254505
ai and data management,USA,Broad match,existing searches,1.0400000112672965,1.4456827113300004,0.72949892970616,1.4456825,1.8569523474454289e-07,0.7025453
ai and machine learning course,USA,Broad match,existing searches,0.6800000169552874,0.9164887378299996,0.4747749278629587,0.91648865,9.036906223336416e-08,0.047449112
ai and software engineering,USA,Phrase match,existing searches,1.0200000246865435,0.9766966931,0.69905375758555,0.9766967,-3.656003411123265e-08,0.38797086
ai certificate programs,USA,Phrase match,existing,0.6800000169552874,0.8077861908000002,0.4747749212306033,0.8077861,8.373670679073798e-08,0.047449112
ai certificate programs,USA,Broad match,existing,0.6800000169552874,0.8265717838300001,0.4747749183667432,0.8265717,8.08728467527331e-08,0.047448993
ai classes,USA,Phrase match,existing,1.0400000112672965,1.12709666766,0.814867630375149,1.1270965,1.3388467046127064e-07,0.38797104
ai classes,USA,Broad match,existing,1.0400000112672965,1.706053149589999,0.8148678659291106,1.706053,1.3102005302911834e-07,0.3879708
ai for biotechnology,USA,Broad match,existing searches,1.0400000112672965,2.16212542773,0.729498941905415,2.1621256,-1.5973337896824094e-07,0.1881175
ai in process engineering,USA,Phrase match,existing searches,1.0200000246865435,1.2159072466,0.6990537948711792,1.2159072,3.052791752722328e-08,0.3879708
ai in process engineering,USA,Broad match,existing searches,1.0200000246865453,1.45074273453,0.6990538965249342,1.4507427,1.2972382945619644e-08,0.38797075
ai learning,USA,Exact match,existing,0.749999972227085,1.926692119242001,0.5616881757987027,1.9266919,2.2947912259319025e-07,0.4848274
ai learning,USA,Phrase match,existing,1.0200000246865435,2.0999024482900004,0.7942497106725077,2.0999022,2.952748636708691e-07,0.67369175
ai learning,USA,Broad match,existing,1.0200000246865435,2.7882606723900003,0.7942495086784525,2.7882605,2.1249009796164842e-07,0.67369187
ai modeling course,USA,Broad match,existing searches,1.0400000112672965,0.8510753707299997,0.7306230561147501,0.85107553,-1.593221853335436e-07,0.23631358
ai pdf,USA,Phrase match,existing searches,1.0400000112672965,1.5877482043300004,0.7306229220424028,1.587748,1.5364030314657384e-07,0.3879708
