Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost
ai learning,USA,Exact match,existing,2.750000004467902,2.88749900656,1.433755071928652,2.8874993,-3.258679788231689e-07,1.0621014
ai learning,USA,Phrase match,existing,2.7500000044678985,3.21720800516,1.433755136698391,3.2172084,-3.803075294683822e-07,1.0621014
ai learning,USA,Broad match,existing,2.7500000044679025,3.3263113456600006,1.6895434814327055,3.3263113,-4.208773773939356e-09,1.0621015
alphago,USA,Broad match,existing searches,1.3500000080369128,2.524273559881054,0.6615328047998772,2.5242734,1.6434272387400028e-07,0.6223273
amazon machine learning certification,USA,Broad match,existing searches,3.5300000267176874,2.325716921460003,1.7983909932487907,2.3257165,4.2594608684609625e-07,1.2445893
amazon machine learning certification,A,Broad match,existing searches,4.689999880039533,4.97563615856,4.02147356090375,4.975637,-8.00515927323886e-07,3.184421
andrew ng machine learning course notes,USA,Exact match,new,0.8499999761041153,0.7783852968009994,0.4607224616798446,0.7783855,-2.2318038483959413e-07,0.38309145
andrew ng machine learning course notes,USA,Phrase match,new,0.849999976104113,1.6889759415010004,0.4607224577287225,1.6889759,1.1287072165799827e-08,0.38309145
andrew ng machine learning course notes,USA,Broad match,new,0.8499999761041136,1.3941911940710003,0.4607226138250286,1.3941911,4.817408871815587e-08,0.38309145
andrew ng machine learning course review,USA,Exact match,new,0.84999997610411,0.7441163935009993,0.4607224144284285,0.74411666,-2.70431800952764e-07,0.30560076
andrew ng machine learning course review,USA,Phrase match,new,0.8499999761041129,1.6547070382010003,0.4607224104773064,1.6547071,-3.5964343947370025e-08,0.30560088
andrew ng machine learning course review,USA,Broad match,new,3.4300000349808366,2.6697022417709992,1.7705025175736115,2.669702,1.887009308809695e-07,0.9054618
andrew ng machine learning course review,A,Broad match,new,4.689999880039533,5.370930147650002,4.044893575193642,5.37093,-4.7204734343608834e-08,3.2457147
andrew ng machine learning course slides,USA,Exact match,new,0.849999976104102,0.6551035105010001,0.4607224969883887,0.6551037,-1.7297067955723833e-07,0.38309133
andrew ng machine learning course slides,USA,Phrase match,new,0.8499999761041128,1.5656941552010004,0.4607225079384272,1.5656941,6.149677678202181e-08,0.3830912
andrew ng machine learning course slides,USA,Broad match,new,0.8499999761041132,1.2709094077710006,0.4607226640347335,1.2709093,9.838379355642247e-08,0.38309145
andrewng,USA,Broad match,existing searches,1.350000008036913,2.27978925385,0.6615325657320192,2.2797894,-1.939344236312479e-07,0.74513125
app deep learning,USA,Phrase match,existing searches,1.1399999969870271,1.32355047645,0.5878431934299804,1.3235508,-3.439006470706829e-07,0.26975936
app deep learning,USA,Broad match,existing searches,1.1399999969870278,1.4584905156500003,0.5878432640440128,1.4584907,-2.1368196989612898e-07,0.26975918
apple ai,USA,Broad match,existing searches,1.350000008036913,2.30678964955,0.661532653395215,2.3067899,-2.2548051736848154e-07,0.8967887
artificial intelligence in healthcare,USA,Exact match,existing searches,0.8499999761041128,0.9385202883499996,0.65556517827691,0.9385204,-8.35639103469177e-08,0.2363137
artificial intelligence in healthcare,USA,Phrase match,existing searches,0.8499999761041127,1.2754589172500002,0.6555653067725526,1.2754589,-1.4672912440616416e-08,0.23631388
artificial intelligence in healthcare,USA,Broad match,existing searches,0.8499999761041137,1.3562671091500007,0.6555652167740547,1.3562672,-1.0467141042802552e-07,0.23631358
artificial intelligence in medical devices,USA,Broad match,existing searches,1.3500000080369128,2.7209829909710157,0.6751210315136178,2.7209833,-2.758594290774852e-07,0.74513125
automatic machine learning,USA,Broad match,existing searches,1.350000008036913,1.1291564358499997,0.6356086386469357,1.1291565,-3.4448767394223985e-08,0.573478
aws machine learning speciality course,USA,Broad match,new,1.3500000080369132,1.192740359681001,0.6356085328034067,1.1927406,-1.9989694122202198e-07,0.30243242
best book about machine learning,USA,Exact match,existing searches,0.8499999761041128,0.9864520993109992,0.5185238089438726,0.98645234,-2.417687128275503e-07,0.27499485
best book about machine learning,USA,Phrase match,existing searches,0.8499999761039708,1.1071160192110008,0.5185237283327049,1.1071162,-2.031705910177095e-07,0.27499485
best book about machine learning,USA,Broad match,existing searches,0.8499999761041128,1.1391520739810006,0.5185237170474069,1.1391523,-2.14455889047116e-07,0.27499485
best book on machine learning,USA,Exact match,existing searches,0.8499999761041128,0.9864520993109992,0.5185238089438728,0.98645234,-2.417687126055057e-07,0.23631364
best book on machine learning,USA,Phrase match,existing searches,0.8499999761041132,1.1071160192110008,0.5185237283327049,1.1071162,-2.031705910177095e-07,0.23631376
best book on machine learning,USA,Broad match,existing searches,0.849999976104111,1.1391520739810002,0.5185237170474064,1.1391523,-2.144558894912052e-07,0.2363137
best coding classes online,USA,Exact match,existing searches,0.8499999761041128,0.6770239446899997,0.5185237054369556,0.67702425,-3.005721462834288e-07,0.18811786
best coding classes online,USA,Broad match,existing searches,0.8499999761041243,1.0929008453600044,0.5185239046327705,1.0929009,-2.687052536032297e-08,0.1881175
best course to learn machine learning,USA,Exact match,existing searches,0.8499999761041211,0.9426416476110032,0.5185236652234606,0.942642,-3.258844800679839e-07,0.23631388
best course to learn machine learning,USA,Phrase match,existing searches,0.849999976104113,1.2723506462110004,0.5185237895978412,1.2723508,-1.4190545472025917e-07,0.23631376
best course to learn machine learning,USA,Broad match,existing searches,0.8499999761039607,1.1319809702810004,0.5185237077649787,1.1319811,-1.6413367243117705e-07,0.23631376
best deep learning books,USA,Phrase match,existing searches,0.8499999761041128,1.1765401049900004,0.4607224150943705,1.1765403,-1.505565694337463e-07,0.302222
best deep learning books,USA,Broad match,existing searches,0.8499999761041125,1.0361704290600005,0.4607225120754423,1.0361705,-5.357549759388292e-08,0.302222
best deep learning books,A,Broad match,existing searches,4.68999988003898,4.93109638866,3.928811504207181,4.931097,-6.41979648108304e-07,3.402895
best free machine learning courses,A,Broad match,new,4.689999880039533,4.731018934650001,3.778181825084266,4.7310195,-5.622677239358609e-07,3.4938989
best machine learning and deep learning courses,A,Broad match,new,4.68999988003952,4.62111578676,3.778181774346975,4.6211166,-8.514235938505976e-07,3.5685067
best machine learning textbook,USA,Exact match,existing searches,0.8499999761039493,0.9864520993109992,0.5185238089438726,0.98645234,-2.417687128275503e-07,0.33977473
best machine learning textbook,USA,Phrase match,existing searches,0.8499999761039706,1.1071160192110003,0.5185237283327044,1.1071162,-2.0317059146179875e-07,0.33977476
best machine learning textbook,USA,Broad match,existing searches,0.8499999761041046,1.1391520739809995,0.5185237170474057,1.1391523,-2.14455890157339e-07,0.33977485
best online course on python,USA,Exact match,existing searches,0.8499999761041129,1.2006222567009996,0.5185238680291246,1.2006222,5.57351182983723e-08,0.236314
best online course on python,USA,Phrase match,existing searches,0.8499999761041128,1.409667335401,0.5185240730146781,1.4096673,8.190673739250087e-08,0.23631388
best online course on python,USA,Broad match,existing searches,0.8499999761041128,1.2692976594710006,0.5185238719725265,1.2692977,-5.953076942510904e-08,0.23631358
best online deep learning course,USA,Exact match,existing searches,3.5300000267176856,1.7451159407800003,1.7315659237509535,1.7451159,6.458218559934893e-08,1.296818
best online deep learning course,USA,Phrase match,existing searches,0.8499999761041128,1.25143251418,0.4607224225891186,1.2514327,-1.43061821278323e-07,0.39475703
best online deep learning course,USA,Broad match,existing searches,0.849999976104113,1.1110628382500003,0.4607225195701907,1.1110629,-4.6080749216415036e-08,0.39475703
best online deep learning course,A,Broad match,existing searches,4.689999880039355,5.00598879785,3.928811511701928,5.005989,-2.768570315225816e-07,3.5685067
book machine learning,USA,Broad match,existing searches,0.8499999761041128,1.5665470681810003,0.5185237250947576,1.5665473,-2.0640853826137123e-07,0.18811762
books to learn machine learning,USA,Broad match,existing searches,0.8499999761041128,1.4466291613810005,0.5185239858858526,1.4466292,-5.222088095280242e-09,0.23631358
coding classes online,USA,Exact match,existing searches,0.8300000016746474,0.5795696274300002,0.4286250070591353,0.57957,-3.679732896166854e-07,0.047449112
coding classes online,USA,Phrase match,existing searches,0.4800000021931881,0.7211765900300006,0.2405230656311968,0.7211766,-3.42680951392893e-08,0.0095149875
coding classes online,USA,Broad match,existing searches,0.8300000016746475,0.9954465281000004,0.4286251913537845,0.9954465,2.493761630528724e-08,0.047448993
computer science online degree,USA,Exact match,existing searches,3.530000026717687,1.9872833858899996,1.8178965370826643,1.9872832,1.560621185614508e-07,1.2968181
computer science online degree,USA,Phrase match,existing searches,3.530000026717687,2.764443380490001,1.817896885529216,2.7644434,-1.7031971832892623e-08,1.296818
computer science online degree,USA,Broad match,existing searches,3.5300000267176928,2.59823700586,1.7920602242056425,2.598237,-3.179869123570711e-08,1.6286736
course era machine learning,USA,Exact match,new,0.8499999761040018,0.7173699431800006,0.518523662605202,0.7173703,-3.285027386779049e-07,0.23631382
course era machine learning,USA,Broad match,new,0.8499999761041127,0.9067092658500004,0.5185237051467227,0.90670943,-1.6675192837656286e-07,0.2363137
course machine learning andrew ng,USA,Exact match,new,0.849999976104113,0.6881731526709997,0.4607224689580403,0.6881734,-2.606056727083584e-07,0.35379702
course machine learning andrew ng,USA,Phrase match,new,0.8499999761041127,1.2490584382710004,0.4607224592861676,1.2490586,-1.6596941709856594e-07,0.3537969
course machine learning andrew ng,USA,Broad match,new,0.8499999761041117,1.157460899471,0.4607225371586831,1.157461,-1.4770154632692822e-07,0.3537969
coursera,USA,Broad match,existing searches,1.350000008036913,1.8991394874500007,0.6615326044009899,1.8991395,-3.6056163388309415e-08,0.89678836
coursera deep learning,USA,Broad match,existing searches,3.430000034980842,1.987326563671,1.747082428410418,1.9873263,2.992895913322968e-07,1.3712051
coursera deep learning,A,Broad match,existing searches,4.689999880039532,4.6885544695500005,4.021473709547864,4.6885552,-7.710811029681963e-07,3.642894
coursera machine learning course by andrew ng,USA,Exact match,new,0.8499999761041127,0.7854269020009998,0.4607224933553699,0.7854271,-1.915048595257929e-07,0.55023456
coursera machine learning course by andrew ng,USA,Phrase match,new,0.8499999761041127,1.6960175467010006,0.4607224894042476,1.6960175,4.2962597257556474e-08,0.5502344
coursera machine learning course by andrew ng,USA,Broad match,new,0.849999976104113,1.4012327992710003,0.4607226455005535,1.4012327,7.984961358786792e-08,0.55023444
coursera tensorflow,USA,Broad match,existing searches,1.3500000080369128,0.8408419879710011,0.6356084587609104,0.840842,-2.0619697171930795e-08,0.6216739
curso cs50 harvard,USA,Broad match,existing searches,1.3500000080369128,1.695997797681,0.6356081597339174,1.6959978,-3.652462754466512e-08,0.19515109
curso cs50 harvard,A,Broad match,existing searches,4.6899998800396245,5.794870850560107,4.307644602772632,5.794872,-9.56538281471353e-07,3.184421
data science project for beginners,USA,Broad match,existing searches,1.3500000080369132,1.4669494602810005,0.7815256092678169,1.4669495,-2.609624516480835e-09,0.3433925
data science project for beginners,A,Broad match,existing searches,1.3500000080369126,2.3098213499810005,1.197560889127424,2.3098211,2.211357856829466e-07,0.48778594
deep learning,USA,Phrase match,existing searches,3.5300000267176865,2.25733789678,2.0593820648946624,2.2573376,3.265895704984701e-07,1.3712053
deep learning,USA,Broad match,existing searches,3.5300000267176874,2.7589557798499995,2.033545437633508,2.7589552,5.396003657232029e-07,1.7030604
deep learning,A,Broad match,existing searches,4.68999988003954,5.408875016950008,4.256628064893123,5.4088755,-4.484430586870758e-07,3.6428952
deep learning algorithms,USA,Phrase match,existing,1.1399999969870305,0.9377223384500002,0.6989604365945314,0.93772256,-2.2529359111622682e-07,0.62167394
deep learning algorithms,USA,Broad match,existing,1.13999999698703,1.51394905735,0.6989605634306275,1.513949,2.0751794505002863e-08,0.621674
deep learning algorithms,A,Exact match,existing,4.6899998800393465,4.24846249465,3.9198026025677857,4.248463,-6.591891112961434e-07,3.4665163
deep learning algorithms,A,Broad match,existing,1.3500000080369134,2.40071198955,1.1588867665809448,2.4007118,2.147239501759657e-07,0.766067
deep learning mit,USA,Phrase match,existing searches,1.1399999969870298,0.9190466702500004,0.6989604533234256,0.9190469,-2.085646969574029e-07,0.19537193
deep learning mit,USA,Broad match,existing searches,1.1399999969870338,1.268735811150001,0.6989605278133613,1.2687358,4.473917303293717e-08,0.19537187
deep learning mit,A,Exact match,existing searches,4.689999880039842,4.229786826450336,3.919802619297016,4.229788,-1.000087749503109e-06,2.8527875
