Region,Age,Clicks,All conv.,ConversionRate,AvgConversionRate,BidAdjustment,BidAdjustmentPct,GoogleAdsFormat
B,25 - 34,9175,1.0,0.00010899182561307902,3.3317785033650966e-05,2.2712806539509534,227.12806539509535,+227%
B,18 - 24,7969,0.0,0.0,3.3317785033650966e-05,-0.9,-90.0,-90%
B,Unknown,7606,0.0,0.0,3.3317785033650966e-05,-0.9,-90.0,-90%
USA,25 - 34,8610,4.0,0.0004645760743321719,0.0008525565147097035,-0.45507885246720503,-45.507885246720505,-46%
USA,18 - 24,6058,3.0,0.0004952129415648729,0.0008525565147097035,-0.4191435605491872,-41.91435605491872,-42%
A,18 - 24,5271,2.0,0.00037943464238284955,0.0005144022927089911,-0.2623776220268439,-26.23776220268439,-26%
A,25 - 34,6386,2.59,0.0004055746946445349,0.0005144022927089911,-0.21156126169527478,-21.15612616952748,-21%
USA,Unknown,8741,7.0,0.0008008237043816497,0.0008525565147097035,-0.060679625849400676,-6.067962584940068,-6%
A,35 - 44,2248,0.0,0.0,0.0005144022927089911,,,No adjustment (insufficient data)
A,45 - 54,1351,3.0,0.0022205773501110288,0.0005144022927089911,,,No adjustment (insufficient data)
A,55 - 64,551,1.0,0.0018148820326678765,0.0005144022927089911,,,No adjustment (insufficient data)
A,65+,485,0.0,0.0,0.0005144022927089911,,,No adjustment (insufficient data)
A,Unknown,4295,2.0,0.00046565774155995343,0.0005144022927089911,,,No adjustment (insufficient data)
B,35 - 44,2698,0.0,0.0,3.3317785033650966e-05,,,No adjustment (insufficient data)
B,45 - 54,1557,0.0,0.0,3.3317785033650966e-05,,,No adjustment (insufficient data)
B,55 - 64,617,0.0,0.0,3.3317785033650966e-05,,,No adjustment (insufficient data)
B,65+,392,0.0,0.0,3.3317785033650966e-05,,,No adjustment (insufficient data)
USA,35 - 44,4946,5.5,0.0011120097048119692,0.0008525565147097035,,,No adjustment (insufficient data)
USA,45 - 54,3298,6.68,0.0020254699818071558,0.0008525565147097035,,,No adjustment (insufficient data)
USA,55 - 64,1606,0.0,0.0,0.0008525565147097035,,,No adjustment (insufficient data)
USA,65+,1378,3.35,0.0024310595065312047,0.0008525565147097035,,,No adjustment (insufficient data)
