Region,Hour Group,Clicks,All conv.,ConversionRate,AvgConversionRate,BidAdjustment,BidAdjustmentPct,GoogleAdsFormat
B,9 - 11,6214,1.4,0.00022529771483746378,8.329046324195879e-05,1.704964122758856,170.49641227588558,+170%
B,6 - 8,6434,0.0,0.0,8.329046324195879e-05,-0.9,-90.0,-90%
B,3 - 5,5915,0.0,0.0,8.329046324195879e-05,-0.9,-90.0,-90%
B,0 - 2,6457,1.0,0.00015487068297971194,8.329046324195879e-05,0.8594047499749475,85.94047499749476,+86%
USA,15 - 17,5942,10.5,0.0017670817906428812,0.0009953496190049306,0.7753377877508665,77.53377877508665,+78%
USA,12 - 14,6554,8.68,0.001324382056759231,0.0009953496190049306,0.3305697128645513,33.05697128645513,+33%
USA,9 - 11,6693,6.05,0.0009039294785596892,0.0009953496190049306,-0.09184726522187836,-9.184726522187836,-9%
A,0 - 2,3512,1.0,0.0002847380410022779,0.0004938523753114661,,,No adjustment (insufficient data)
A,12 - 14,3050,1.0,0.0003278688524590164,0.0004938523753114661,,,No adjustment (insufficient data)
A,15 - 17,3108,0.0,0.0,0.0004938523753114661,,,No adjustment (insufficient data)
A,18 - 20,2658,0.0,0.0,0.0004938523753114661,,,No adjustment (insufficient data)
A,21 - 23,1963,2.0,0.0010188487009679063,0.0004938523753114661,,,No adjustment (insufficient data)
A,3 - 5,3474,1.5,0.0004317789291882556,0.0004938523753114661,,,No adjustment (insufficient data)
A,6 - 8,3082,4.279999999999999,0.0013887086307592471,0.0004938523753114661,,,No adjustment (insufficient data)
A,9 - 11,3634,2.31,0.000635663181067694,0.0004938523753114661,,,No adjustment (insufficient data)
B,12 - 14,4620,0.0,0.0,8.329046324195879e-05,,,No adjustment (insufficient data)
B,15 - 17,4191,1.0,0.00023860653781913624,8.329046324195879e-05,,,No adjustment (insufficient data)
B,18 - 20,3892,0.0,0.0,8.329046324195879e-05,,,No adjustment (insufficient data)
B,21 - 23,3098,0.0,0.0,8.329046324195879e-05,,,No adjustment (insufficient data)
USA,0 - 2,3649,0.4,0.00010961907371882709,0.0009953496190049306,,,No adjustment (insufficient data)
USA,18 - 20,4772,3.5,0.0007334450963956412,0.0009953496190049306,,,No adjustment (insufficient data)
USA,21 - 23,3780,4.4,0.0011640211640211642,0.0009953496190049306,,,No adjustment (insufficient data)
USA,3 - 5,1744,0.0,0.0,0.0009953496190049306,,,No adjustment (insufficient data)
USA,6 - 8,2562,2.0,0.00078064012490242,0.0009953496190049306,,,No adjustment (insufficient data)
