Region,Targeted location,Clicks,All conv.,ConversionRate,AvgConversionRate,BidAdjustment,BidAdjustmentPct,GoogleAdsFormat
A,Mexico,5012,0.0,0.0,0.0005144022927089911,-0.9,-90.0,-90%
B,Ghana,5052,0.0,0.0,3.3317785033650966e-05,-0.9,-90.0,-90%
B,Indonesia,8283,0.0,0.0,3.3317785033650966e-05,-0.9,-90.0,-90%
A,Australia,744,1.0,0.0013440860215053765,0.0005144022927089911,,,No adjustment (insufficient data)
A,Belgium,135,0.0,0.0,0.0005144022927089911,,,No adjustment (insufficient data)
A,Canada,892,1.0,0.0011210762331838565,0.0005144022927089911,,,No adjustment (insufficient data)
A,China,755,0.0,0.0,0.0005144022927089911,,,No adjustment (insufficient data)
A,Denmark,220,0.0,0.0,0.0005144022927089911,,,No adjustment (insufficient data)
A,France,1173,1.0,0.0008525149190110827,0.0005144022927089911,,,No adjustment (insufficient data)
A,Germany,769,1.0,0.0013003901170351106,0.0005144022927089911,,,No adjustment (insufficient data)
A,Ireland,27,0.0,0.0,0.0005144022927089911,,,No adjustment (insufficient data)
A,Israel,1668,2.0,0.001199040767386091,0.0005144022927089911,,,No adjustment (insufficient data)
A,Italy,1103,1.0,0.0009066183136899365,0.0005144022927089911,,,No adjustment (insufficient data)
A,Japan,1459,0.0,0.0,0.0005144022927089911,,,No adjustment (insufficient data)
A,Luxembourg,56,0.0,0.0,0.0005144022927089911,,,No adjustment (insufficient data)
A,Netherlands,490,0.0,0.0,0.0005144022927089911,,,No adjustment (insufficient data)
A,New Zealand,74,0.0,0.0,0.0005144022927089911,,,No adjustment (insufficient data)
A,Norway,154,1.0,0.006493506493506494,0.0005144022927089911,,,No adjustment (insufficient data)
A,South Korea,4110,0.78,0.00018978102189781023,0.0005144022927089911,,,No adjustment (insufficient data)
A,Spain,589,0.0,0.0,0.0005144022927089911,,,No adjustment (insufficient data)
A,Sweden,241,0.0,0.0,0.0005144022927089911,,,No adjustment (insufficient data)
A,Switzerland,170,0.0,0.0,0.0005144022927089911,,,No adjustment (insufficient data)
A,United Kingdom,746,1.81,0.0024262734584450402,0.0005144022927089911,,,No adjustment (insufficient data)
B,Argentina,1465,0.0,0.0,3.3317785033650966e-05,,,No adjustment (insufficient data)
B,Aruba,2,0.0,0.0,3.3317785033650966e-05,,,No adjustment (insufficient data)
B,Austria,1,0.0,0.0,3.3317785033650966e-05,,,No adjustment (insufficient data)
B,Bolivia,401,0.0,0.0,3.3317785033650966e-05,,,No adjustment (insufficient data)
B,Bosnia and Herzegovina,16,0.0,0.0,3.3317785033650966e-05,,,No adjustment (insufficient data)
B,Brazil,3296,0.0,0.0,3.3317785033650966e-05,,,No adjustment (insufficient data)
B,Chile,318,0.0,0.0,3.3317785033650966e-05,,,No adjustment (insufficient data)
B,China,279,0.0,0.0,3.3317785033650966e-05,,,No adjustment (insufficient data)
B,Colombia,546,0.0,0.0,3.3317785033650966e-05,,,No adjustment (insufficient data)
B,Costa Rica,36,0.0,0.0,3.3317785033650966e-05,,,No adjustment (insufficient data)
B,Croatia,51,0.0,0.0,3.3317785033650966e-05,,,No adjustment (insufficient data)
B,Ecuador,314,0.0,0.0,3.3317785033650966e-05,,,No adjustment (insufficient data)
B,Greece,82,0.0,0.0,3.3317785033650966e-05,,,No adjustment (insufficient data)
B,Hong Kong,57,0.0,0.0,3.3317785033650966e-05,,,No adjustment (insufficient data)
B,Iceland,7,0.0,0.0,3.3317785033650966e-05,,,No adjustment (insufficient data)
B,Morocco,4948,0.0,0.0,3.3317785033650966e-05,,,No adjustment (insufficient data)
B,Peru,1390,1.0,0.0007194244604316547,3.3317785033650966e-05,,,No adjustment (insufficient data)
B,Poland,79,0.0,0.0,3.3317785033650966e-05,,,No adjustment (insufficient data)
B,Portugal,7,0.0,0.0,3.3317785033650966e-05,,,No adjustment (insufficient data)
B,Qatar,104,0.0,0.0,3.3317785033650966e-05,,,No adjustment (insufficient data)
B,Russia,21,0.0,0.0,3.3317785033650966e-05,,,No adjustment (insufficient data)
B,Saudi Arabia,202,0.0,0.0,3.3317785033650966e-05,,,No adjustment (insufficient data)
B,Singapore,46,0.0,0.0,3.3317785033650966e-05,,,No adjustment (insufficient data)
B,Slovakia,27,0.0,0.0,3.3317785033650966e-05,,,No adjustment (insufficient data)
B,South Africa,1705,0.0,0.0,3.3317785033650966e-05,,,No adjustment (insufficient data)
B,Taiwan,138,0.0,0.0,3.3317785033650966e-05,,,No adjustment (insufficient data)
B,Thailand,876,0.0,0.0,3.3317785033650966e-05,,,No adjustment (insufficient data)
B,United Arab Emirates,164,0.0,0.0,3.3317785033650966e-05,,,No adjustment (insufficient data)
B,United States,101,0.0,0.0,3.3317785033650966e-05,,,No adjustment (insufficient data)
