Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost
advanced engineering mathematics course,A,Phrase match,existing searches,1.4955387537701523,1.949398047580001,0.4432525702850791,1.9493974,6.028549643932735e-07,0.12410259
advanced engineering mathematics course,A,Broad match,existing searches,6.225538844161093,4.497324835680002,2.846856128595346,4.4973254,-5.846996362635082e-07,2.4507864
best design courses for mechanical engineers,A,Broad match,existing searches,1.4955387537701523,1.2742094386800005,0.443252264378853,1.2742095,-6.067913038698691e-08,0.12410259
best online university courses,A,Exact match,existing searches,0.193687899791854,2.6082660975400005,4.591885600646606e-07,2.6082656,4.591885600646606e-07,0.0
capcprc,USA,Phrase match,existing searches,221.91553886590992,225.8389426744,223.74059024214904,225.83893,1.4451743766130676e-05,303.1117
capcprc,A,Exact match,existing searches,1.4955387537701523,2.07105875304,0.3767213850285253,2.0710585,2.413059911887672e-07,0.12410253
cce course engineering,A,Exact match,existing searches,1.4955387537701523,0.6562655092000003,0.4248886228322024,0.6562655,1.1992358661672142e-08,0.2539541
certificate mit,B,Broad match,existing searches,2.565538765538632,3.629681545650001,1.3326744617571782,3.6296813,1.9684934127184306e-07,0.81296587
certified software quality engineer csqe,A,Exact match,existing searches,1.4955387537701523,0.6925524327800008,0.376721188788149,0.69255245,-1.4539029979943052e-08,0.12805152
classes for engineering,A,Phrase match,existing,6.225538844161093,4.3215999527800015,2.45961951454758,4.3216,-7.547146907427305e-09,3.1242986
classes for engineering,A,Broad match,existing,6.225538844161093,4.597405132080002,2.591101344848557,4.5974054,-3.01574782923808e-07,3.1242986
computer engineer certification,USA,Exact match,existing searches,1.145538700051404,0.7346548537800004,0.0880651573726822,0.73465484,9.97277993519674e-09,0.003948927
course syllabus systems approach to civil engineering management,B,Broad match,new,1.5319815306190816,1.5292295355020002,0.5195413965402083,1.5292294,1.3295988599004718e-07,0.12410259
courses at university,A,Phrase match,existing,1.145538700051404,1.9730618156000004,0.0880657590432987,1.973061,8.5006197547699e-07,0.12204647
courses at university,A,Broad match,existing,1.145538700051404,2.18805451295,0.0880653371534911,2.188054,4.281721679433305e-07,0.12204647
courses for civil engineering students,A,Phrase match,existing searches,6.225538844161093,4.470775332480002,2.8468564415269384,4.4707756,-2.7176804451301e-07,2.4507866
curso mit gratuito,A,Exact match,existing searches,1.4955387537698737,1.0974865253500004,0.6734205778173465,1.0974866,-8.983096888570685e-08,0.12410259
electronic engineering degree,B,Exact match,existing,4.165538968933426,3.496239593832,2.61519311985205,3.4962394,1.7008016905961656e-07,1.5286168
electronic engineering degree,B,Broad match,existing,1.7155387234277495,2.272981260532,0.9545085174976372,2.2729814,-1.447261785969545e-07,0.12410259
embedded development course,A,Exact match,existing searches,1.4955387537701523,0.7728553976800007,0.3767211999680561,0.7728554,-3.359122868751285e-09,0.24614888
engineering courses at university,A,Phrase match,existing,1.145538700051404,1.7934684596800003,0.088065608575264,1.7934678,6.995939407783425e-07,0.12204647
engineering courses at university,A,Broad match,existing,1.145538700051404,1.9251484900800009,0.0880655080167072,1.9251479,5.990353839635532e-07,0.12204647
