Day,Budget,t_Clicks_OptCost,t_Clicks_ActCost,tm1_Clicks_OptCost,Actual_Clicks,Opt_Cost,Act_Cost,Opt_Conv,Act_Conv,Opt_Purch,Act_Purch,N_Opt,N_Obs,Avg_Cost_Change,Pct_New_Keywords,Eval_CV_MSE,Eval_Train_MSE,Eval_Train_R2,Eval_Best_Params,Hist_MSE,Hist_R2,Hist_Bias,Opt_Cost_Region_B,Act_Cost_Region_B,Opt_Clicks_Region_B,Act_Clicks_Region_B,Opt_Conv_Region_B,Act_Conv_Region_B,Opt_Purch_Region_B,Act_Purch_Region_B,Opt_Cost_Region_USA,Act_Cost_Region_USA,Opt_Clicks_Region_USA,Act_Clicks_Region_USA,Opt_Conv_Region_USA,Act_Conv_Region_USA,Opt_Purch_Region_USA,Act_Purch_Region_USA,Opt_Cost_Region_A,Act_Cost_Region_A,Opt_Clicks_Region_A,Act_Clicks_Region_A,Opt_Conv_Region_A,Act_Conv_Region_A,Opt_Purch_Region_A,Act_Purch_Region_A,Opt_Cost_Origin_new,Act_Cost_Origin_new,Opt_Clicks_Origin_new,Act_Clicks_Origin_new,Opt_Conv_Origin_new,Act_Conv_Origin_new,Opt_Purch_Origin_new,Act_Purch_Origin_new,Opt_Cost_Origin_existing,Act_Cost_Origin_existing,Opt_Clicks_Origin_existing,Act_Clicks_Origin_existing,Opt_Conv_Origin_existing,Act_Conv_Origin_existing,Opt_Purch_Origin_existing,Act_Purch_Origin_existing,Opt_Cost_Origin_existing searches,Act_Cost_Origin_existing searches,Opt_Clicks_Origin_existing searches,Act_Clicks_Origin_existing searches,Opt_Conv_Origin_existing searches,Act_Conv_Origin_existing searches,Opt_Purch_Origin_existing searches,Act_Purch_Origin_existing searches
2025-12-01,847,613.8697,91.778366,690.8462658886244,216,847.0639667341296,691.26,12.273948709807083,1.9680374466352113,0.3302859251055226,0.06040182237805382,41,89,,,7.045500373840332,4.219930171966553,0.9001609683036804,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.430553436279297,0.9004178643226624,-0.0003728192015514,281.07711994822387,39.34,246.29361,13.249867,4.5787233784617545,0.24632178750447348,0.08005406532645482,0.0043066721525415585,283.51125503950084,576.6899999999999,226.60237,60.33162,5.310532496929483,1.413899604816475,0.17347958148885292,0.04618796925781688,282.47559174640503,75.22999999999999,140.97366,18.196869,2.384692834415847,0.30781605431426323,0.07675227829021486,0.009907180967695378,12.52853342233428,0.0,1.9133205,0.0,0.04483955826824204,0.0,0.0014647773659265408,0.0,120.90277138064191,691.26,57.63031,91.778366,0.980796308423384,1.968037446635211,0.031577581270253105,0.060401822378053825,713.6326619311535,0.0,554.326,0.0,11.24831322667564,0.0,0.29724357890588565,0.0
2025-12-02,847,734.9435,94.77632,977.6303873084323,217,837.6619050196484,700.74,14.38465176091901,2.010947144798951,0.4029182595913049,0.06196814859375033,60,90,0.7097578768140852,0.9666666666666667,7.045500373840332,4.219930171966553,0.9001609683036804,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.48295783996582,0.8991323709487915,-0.0004037098085169,243.29408082829767,37.309999999999995,229.67534,12.53022,4.2697818442229405,0.2329431587173879,0.0746525540929201,0.00407276118339724,292.3579318414757,584.2499999999999,240.47769,59.319546,5.635707095571018,1.3901811904427006,0.18410208560040026,0.04541315795565075,302.0098923498751,79.18000000000002,264.7904,22.926552,4.47916282112505,0.38782279563886246,0.1441636198979846,0.012482229454702343,69.94569872923695,0.0,35.295456,0.0,0.5970536416685811,0.0,0.0192164066575721,0.0,21.52407629978238,700.74,2.2000957,94.77632,0.05035772022298184,2.010947144798951,0.0015749805788573973,0.061968148593750334,746.192129990629,0.0,697.448,0.0,13.73724025246552,0.0,0.38212687025899056,0.0
2025-12-03,847,801.65247,89.48017,908.5231611925228,211,847.4600000000019,689.72,16.935662652964595,1.923600567521671,0.5287598337215024,0.059437741454678096,28,97,39.17466314391611,0.8928571428571429,7.045500373840332,4.219930171966553,0.9001609683036804,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.448667526245117,0.8997974395751953,-0.0003813621845686,167.5001688832332,33.739999999999995,80.247246,11.527371,1.4918370838670618,0.21429969308998226,0.026083170678121194,0.003746800191241987,452.32276101193514,579.48,497.05923,59.92108,11.648814734083187,1.4042787302903093,0.38053274432994555,0.04587368339527466,227.6370701048334,76.5,224.34607,18.031708,3.795010835014342,0.3050221441413796,0.12214391871343558,0.009817257868161448,69.85569044802251,0.0,35.36537,0.0,0.6574602339864177,0.0,0.01149498673990152,0.0,5.902758395463315,689.72,1.1063095,89.48017,0.020566856488648148,1.923600567521671,0.0003595894175758652,0.0594377414546781,771.7015511565158,0.0,765.1809,0.0,16.25763559129962,0.0,0.5169052580677386,0.0
2025-12-04,847,630.43945,88.657646,666.4684559995615,228,847.3858389781715,707.33,14.015690316507348,1.9471564061892832,0.4403473887921047,0.06149282623222938,82,105,3.1307336952915468,0.975609756097561,7.045500373840332,4.219930171966553,0.9001609683036804,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.232055187225342,0.9045693278312684,-0.0002532130807876,110.06657382799051,27.5,59.93951,7.0667605,1.1143060317445537,0.13137467889592772,0.019482445320579706,0.002296945296160235,540.1297735101492,613.23,498.63202,66.81409,11.685674384980684,1.565819075490669,0.38173684143606823,0.0511507345187028,197.1894916400317,66.60000000000001,71.867966,14.776806,1.2157098997821112,0.24996265180268631,0.03912810203545675,0.008045146417366351,13.281127736885992,0.0,1.7027199,0.0,0.029553745221435855,0.0,0.0008286741906693519,0.0,54.90497862804095,707.33,16.71962,88.657646,0.30490864714936694,1.9471564061892834,0.006382544139611826,0.06149282623222938,779.1997326132444,0.0,612.01715,0.0,13.681227501589493,0.0,0.43313615719487614,0.0
2025-12-05,847,411.1612,91.23963,1068.3312979602479,189,842.1101834408628,717.8000000000001,8.526883017715981,1.9651287666969106,0.25946891231937674,0.06094094702275356,30,91,0.8043031768068117,0.9666666666666667,7.045500373840332,4.219930171966553,0.9001609683036804,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",6.416935443878174,0.8551303744316101,-0.0004930737300124,149.51777578797797,38.440000000000005,64.05908,10.997941,1.1908908921869537,0.2044573130745928,0.0208214494302652,0.0035747167374945606,451.25702516606304,598.09,224.62387,61.861713,5.264164703906625,1.449758073987865,0.1719648811583647,0.047359360681987726,241.3353824868217,81.27,122.47826,18.379972,2.0718274216224035,0.3109133796344527,0.06668258173074683,0.010006869603271266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,791.001065286921,717.8000000000001,396.61392,91.23963,8.260077390517832,1.9651287666969108,0.2542642215300443,0.06094094702275356,51.1091181539417,0.0,14.54726,0.0,0.2668054884770685,0.0,0.005204686585186399,0.0
2025-12-06,847,741.4735,46.430016,726.3173181795335,131,847.4600000008944,357.6600000000001,14.872552787688365,1.0018165425619612,0.40431244509586706,0.029234476356523865,52,65,,1.0,7.045500373840332,4.219930171966553,0.9001609683036804,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.605203151702881,0.8959200382232666,-0.0004172192570708,262.9817103488474,37.290000000000006,283.8471,12.252014,5.27686197963204,0.22777115244073834,0.09226026966889359,0.003982334203185381,292.4903025416661,294.17,284.45645,30.04707,6.666369461979416,0.7041670732727292,0.2177708139405846,0.023003080998038303,291.9879871103809,26.200000000000003,173.16994,4.1309304,2.92932134607691,0.06987831684849327,0.09428136148638888,0.00224906115530018,60.91566669591326,0.0,27.554642,0.0,0.4661109695643504,0.0,0.015001965172964649,0.0,72.35532349677209,357.6600000000001,40.003857,46.430016,0.6813165695458858,1.001816542561961,0.021437535493471365,0.029234476356523865,714.189009808209,0.0,673.91504,0.0,13.725125805773652,0.0,0.3678729608195035,0.0
2025-12-07,847,693.5905,141.49,766.1206468161633,251,840.8377490522482,1006.0999999999998,14.10072500105091,3.0577927895911263,0.39641345404434203,0.09582484437110578,25,86,78.52729782445141,0.84,7.045500373840332,4.219930171966553,0.9001609683036804,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.345458030700684,0.9017112851142884,-0.0002236956027727,248.6351134019301,39.03,222.74619,13.546897,4.140964509067672,0.2518436990532013,0.07240032120804901,0.0044032168509892024,317.42000367063577,861.5899999999999,306.00327,98.42323,7.171329085511086,2.3065943196898693,0.2342663695575953,0.07534969750693109,274.7826319796824,105.48,164.84105,29.519884,2.7884314064721516,0.4993547708480557,0.08974676327869775,0.0160719300131855,224.66565995021665,0.0,219.19528,0.0,4.074951695309574,0.0,0.0712461579908884,0.0,6.5660450837055455,1006.0999999999998,0.28209853,141.49,0.005244355077776071,3.0577927895911263,9.169192136967562e-05,0.09582484437110576,609.606044018326,0.0,474.1131,0.0,10.020528990554462,0.0,0.32507560482953357,0.0
2025-12-08,847,902.96844,92.87791,1144.3273772969003,215,847.4600000000004,746.8100000000001,18.966164000347934,2.0053850442672396,0.5933976382491066,0.06160149717483111,11,93,0.9457860954301834,0.9090909090909091,7.045500373840332,4.219930171966553,0.9001609683036804,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.666664123535156,0.8943631052970886,-0.0002971218289007,167.7073785584549,36.5,84.819756,13.375982,1.5768423643308425,0.24866630884515217,0.027569396796814402,0.004347663592524337,449.3313110918464,634.6700000000001,544.45447,63.174828,12.759544103624249,1.4805315162299764,0.4168170277397114,0.048364639132730584,230.42131034969904,75.64,273.69418,16.3271,4.62977753239284,0.27618721919211087,0.14901121371258066,0.008889194449576192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.015654983303268,746.8100000000001,0.9314898,92.87791,0.01731686926940919,2.005385044267239,0.0003027668782665554,0.06160149717483111,843.4443450166971,0.0,902.037,0.0,18.94884716432094,0.0,0.593094871952048,0.0
2025-12-09,847,1223.4695,103.45946,1293.3211606544733,203,799.3525929143698,765.9,25.61719588809287,2.242932347498188,0.7896642869175158,0.07064592530881887,4,84,,1.0,7.045500373840332,4.219930171966553,0.9001609683036804,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.309216976165772,0.9023589491844176,-0.0002708457449641,127.5756480025444,31.269999999999996,156.96931,8.678443,2.918139335640762,0.16133666524369045,0.05102053513561789,0.002820798478398109,447.8512966078836,654.9099999999999,714.50366,73.36226,16.744726195688663,1.7192785369152817,0.5470012836289163,0.056163806778187,223.9256483039418,79.72,351.99652,21.41876,5.954330356763443,0.3623171453392154,0.19164246815298158,0.011661320052233765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,765.9,0.0,103.45946,0.0,2.242932347498188,0.0,0.07064592530881889,799.3525929143698,0.0,1223.4695,0.0,25.617195888092873,0.0,0.7896642869175158,0.0
2025-12-10,847,1264.9707,89.31185,1326.7188493304125,181,847.4599999999938,643.56,26.576863848043402,1.9374398247018514,0.817527486636625,0.06042427898403482,24,75,,1.0,7.045500373840332,4.219930171966553,0.9001609683036804,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.474295139312744,0.8985182642936707,-0.0003338289111738,170.85179536482292,33.35,169.533,9.672882,3.151704721528237,0.17982379398980364,0.05510417529343767,0.003144026087932611,449.03564153118725,539.38,750.7939,62.956863,17.595204459144124,1.4754234243051316,0.5747839237492672,0.04819777269328387,227.57256310398353,70.83,344.64392,16.682116,5.829954667371044,0.282192606406916,0.1876393875939202,0.00908248020281834,0.0692386979372088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1843592692101763,643.56,0.20009804,89.31185,0.0037199242185308903,1.9374398247018512,6.503888350201647e-05,0.060424278984034824,846.2064020328464,0.0,1264.7708,0.0,26.573144101117776,0.0,0.8174624508528991,0.0
