Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff
artiflex artisan engineering training program,USA,Exact match,existing searches,1.4955387537701526,0.8404740416800005,0.4248885834013445,0.84047395,9.177079030031621e-08
broadcast engineering courses,USA,Phrase match,existing searches,1.4955387537701523,0.8760071107800003,0.4432524451668258,0.87600696,1.4991116481510858e-07
c course mit,USA,Phrase match,existing searches,1.4955387537701523,2.032953144700001,0.7399516121453744,2.0329528,3.592080575209877e-07
c course mit,USA,Broad match,existing searches,1.4955387537701523,2.3175393311500008,0.7399516074180061,2.3175392,1.1606211014481005e-07
controls courses,A,Broad match,existing searches,9.705538483424096,6.429614779920001,4.706411716908832,6.429615,-2.408319517144264e-07
coursera industrial engineering,USA,Exact match,existing searches,1.1455387000514041,0.44487537370000063,0.08806516156468569,0.4448753,7.376942812165055e-08
cs in engineering,USA,Exact match,existing searches,1.4955387537701523,4.32112111544,0.6734208056865825,4.3211207,3.76456846140627e-07
curso mit gratuito,USA,Exact match,existing searches,1.4955387537701523,1.1169377711500006,0.673420533248313,1.1169379,-1.0459768007287096e-07
diploma in electrical engineering study material,USA,Broad match,existing searches,1.1455387000514041,1.15610819958,0.08806520603446777,1.1561081,5.863456542520851e-08
diploma in semiconductor technology,USA,Broad match,existing searches,1.1455387000514041,0.9752154808100002,0.08806519318182637,0.9752155,-1.3822720745793049e-08
durban university of technology dut,USA,Exact match,existing searches,1.4955387537701526,2.65294929615,0.6734206306073975,2.6529496,-2.7545949699003813e-07
electrical university,USA,Exact match,existing,1.0608991509165575,0.5502993270100004,4.01676542027829e-08,0.5502993,4.01676542027829e-08
electromagnetic propulsion,USA,Exact match,existing,1.4955387537701526,1.23016828455,0.6734205500033386,1.2301683,-5.804033209599879e-08
electronic engineering msc,USA,Exact match,existing,1.4955387537701523,1.1056399159100005,0.6734205894138763,1.1056398,1.0057949517694453e-07
electronic engineering msc,USA,Broad match,existing,1.1455387000514041,0.9578899675100001,0.08806526000191295,0.9578899,5.299736582919934e-08
electronics learnership,USA,Exact match,existing searches,1.4955387537701523,1.4228339360200002,0.67342044572459,1.4228339,1.6494853705140144e-08
embedded engineering,USA,Exact match,existing,1.4955387537701528,0.953704555080001,0.4248886299586936,0.9537045,7.872349461202077e-08
engineer masters,USA,Exact match,existing,1.1455387000514041,1.8444110074100004,0.08806502009005412,1.8444111,-1.2730984821907043e-07
engineering learning app,USA,Exact match,existing searches,1.1455387000514041,0.5036505951800005,0.08806513690134454,0.5036505,1.0871073174989476e-07
engineering study,USA,Exact match,existing,1.1455387000514041,2.0698884934800006,0.08806528753212461,2.0698886,-9.828635683106768e-08
engineering training courses,USA,Phrase match,existing,1.1455387000514041,0.7386740120800004,0.08806523408012246,0.738674,2.7075575337320856e-08
engineering training courses,USA,Broad match,existing,1.1455387000514041,0.8703540424800005,0.0880651931262102,0.870354,4.572630785126819e-08
enterprise architecture training,USA,Broad match,existing searches,1.1455387000514041,1.0165596054100001,0.08806527118911389,1.0165596,4.579921997205361e-09
enterprise architecture training and certification,USA,Broad match,existing searches,1.1455387000514041,1.0165596054100001,0.08806527118911389,1.0165596,4.579921997205361e-09
fea ansys course,USA,Phrase match,existing searches,1.4955387537701523,1.1655058276,0.7399517010989167,1.1655058,6.073140879081507e-08
fea ansys course,USA,Broad match,existing searches,1.4955387537701523,1.4500920140500002,0.7399516069645815,1.4500921,-6.320524881253675e-08
free engineering courses,USA,Broad match,existing searches,1.1455387000514041,0.8578251591800006,0.0880652061579974,0.8578251,5.875809505617724e-08
http nptel iitm ac in,USA,Exact match,existing searches,1.4955387537701526,2.36994733285,0.673420447817346,2.3699474,-1.00621679877122e-07
human factors engineering course,USA,Phrase match,existing searches,1.1455387000514041,2.101285182980001,0.08806511118739868,2.1012847,4.406246545407555e-07
industrial engineering courses,USA,Broad match,existing searches,1.1455387000514041,1.6201419490800015,0.08806487502909821,1.6201419,8.525706451933956e-08
information technology training,USA,Exact match,existing,1.4955387537701526,1.3232011754500002,0.6734206039892763,1.3232013,-1.2326368392656661e-07
information technology training,A,Exact match,existing,9.705538483424096,4.140483517850001,3.5101542069559883,4.1404834,1.3848598712229432e-07
leed certification online course,USA,Broad match,existing searches,1.1455387000514041,2.5409228283400003,0.08806557240433133,2.5409224,4.2500442898329993e-07
magnetic propulsion,USA,Exact match,existing,1.4955387537701526,1.9175070796500002,0.6734206948767458,1.917507,2.7228430399262038e-08
master in civil engineering in australia,USA,Broad match,existing searches,1.1455387000514041,1.0630204947100002,0.08806511474707901,1.0630205,2.695182144130115e-08
