Location,Region,Opt_Conversions,Act_Conversions,Opt_Purchases,Act_Purchases,Opt_Clicks,Act_Clicks,Opt_Spend,Act_Spend
"Alabama, United States",USA,0.2291474814893803,0.006796814638058444,0.007132534186628146,0.0002115603123849876,9.3166541816077,0.2763441741000078,5.984633649930184,2.7272391300373
"Arizona, United States",USA,0.46432515986006007,0.013772492819223686,0.011019649905165945,0.00032685725932878013,14.394079955661862,0.4269472773959343,9.246162150409933,4.213540325824618
"Arkansas, United States",USA,0.015256398109687687,0.00045252476406020686,0.0009694706661436315,2.8755770615435205e-05,1.266341345072891,0.03756134405242824,0.8134453504759472,0.3706926972866233
Australia,A,0.0,0.050509411973169695,0.0,0.0012998394882496708,0.0,2.387461308168863,0.0,8.19642635932416
Austria,A,0.0,0.0026300395240654874,0.0,0.00014151795760925399,0.0,0.25993105399355126,0.0,0.8923728880003137
Austria,B,0.0,0.0034745622179472757,0.0,7.152579385397855e-06,0.0,0.02200556071366608,0.0,0.06410616558125466
Belgium,A,0.0,0.013647284128312322,0.0,0.0003989664813267841,0.0,0.7327958921348099,0.0,2.5157716884236936
"Boston, Massachusetts, United States",USA,0.0,0.0,7.386443170618145e-05,2.1909158564141106e-06,0.0964831501007917,0.002861816689708818,0.061976788607691215,0.02824325312659987
Brazil,B,0.0,0.05628356472797344,0.0,0.0012047861184496136,0.0,3.7066340194210046,0.0,10.798093140637258
Brazil,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Calgary, Alberta, Canada",USA,0.018090590643898445,0.0005365906293204034,0.0014403564182705383,4.2722859200075164e-05,1.8814214269654383,0.05580542544932195,1.208547377849979,0.5507434359686975
"California, United States",USA,3.3637644243264777,0.09977366161583583,0.11714437215902215,0.003474655616031754,153.01624586297436,4.538662406335079,98.2913131825103,44.79203425546698
Canada,A,0.0,0.06478754406979738,0.0,0.0022819032566660444,0.0,4.191252676598381,0.0,14.389047395037045
Canada,USA,0.018211194581524433,0.0005401679001825394,0.0005447501838330882,1.6158004441054068e-05,0.7115632319933388,0.021105898086602536,0.45707881598172273,0.20829399180867403
Chile,B,0.0,0.010635055855433619,0.0,0.00023862322410100344,0.0,0.7341460419671099,0.0,2.1386997740956737
China,B,0.0,0.011803377401218394,0.0,0.00021730665527478486,0.0,0.6685636801033551,0.0,1.9476465306199608
Colombia,B,0.0,0.01608867080335337,0.0,0.00036219344427241646,0.0,1.1143210579808411,0.0,3.2462181347297183
