Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost
5 day gen ai intensive course with google kaggle,USA,Exact match,existing searches,1.3256047021063997,0.9143048790419994,0.5473830369437633,0.9143044,5.033935008835755e-07,0.12204632
advanced fluid mechanics,USA,Exact match,existing searches,1.3256047021061903,0.653937256741999,0.54738286774206,0.65393686,3.9379644234394107e-07,0.247949
aerodynamic courses,USA,Broad match,existing searches,1.3256047021068451,2.104641166282,0.4756202369454523,2.104641,2.0558864077813157e-07,0.12204647
aerodynamics course,USA,Broad match,existing searches,1.3256047021068451,1.5334730634819993,0.4756203184258469,1.5334725,5.254876145333043e-07,0.247949
ai engineer certification free,USA,Exact match,existing searches,1.3256047021068562,0.587325079741999,0.5473828151851142,0.58732474,3.412394965485177e-07,0.24794894
ansys course,USA,Broad match,existing searches,1.325604702106845,2.09703639039,0.4756202984710542,2.0970361,2.671142427246309e-07,0.12204647
asq certified quality engineer,USA,Exact match,existing searches,1.3256047021068451,0.8030330265420007,0.5473829234498071,0.80303264,3.898995446505183e-07,0.12204647
automation engineer certification,USA,Exact match,existing searches,1.1256046493058962,0.8002493100120005,0.3979604558898386,0.800249,3.294898447414596e-07,0.003949046
automation engineer training,USA,Exact match,existing searches,1.3256047021068451,0.6767612573120014,0.5473828789207356,0.6767609,3.45370473109341e-07,0.12204647
automation engineering classes,USA,Exact match,existing searches,1.3256047021068451,0.736420849542001,0.5473828708928616,0.7364205,3.373425991881618e-07,0.003948927
become an engineer,USA,Exact match,existing,1.3256047021068456,1.2535195185420005,0.5473830534693684,1.2535189,5.795237507655315e-07,0.12204647
become an engineer online,USA,Exact match,existing searches,1.3256047021068451,0.6618818443119991,0.5473828714192379,0.66188145,3.9747362023945243e-07,0.12204635
boilermaker learnership,USA,Exact match,existing searches,1.325604702106845,1.7944677684700046,0.5473829124366794,1.7944673,4.384910616828108e-07,0.247949
bytebytego,USA,Exact match,existing searches,1.295604663757627,1.7556206431799997,0.4371495690756906,1.7556202,4.0201483852975173e-07,0.0
caltech devops program,USA,Exact match,existing searches,1.2956046637576268,0.9498171095800112,0.4371495728444764,0.94981676,3.461789795933257e-07,0.0
cameo training,USA,Exact match,existing searches,1.325604702106845,1.1922310878120008,0.5473829199157301,1.1922307,3.863654676194983e-07,0.12204647
catia course,USA,Broad match,existing searches,1.3256047021068451,1.2466858737100004,0.4756202213395475,1.2466855,3.687966703136425e-07,0.12204647
certified manufacturing engineer,USA,Exact match,existing searches,1.3256047021068451,0.832744803842,0.5473829774221697,0.83274436,4.438719072297204e-07,0.12204647
cisco certification,A,Exact match,existing searches,60.66560299538224,42.966460779832005,40.54581363551438,42.96646,-4.0180862015404273e-07,33.79868
civil engineering study,USA,Exact match,existing searches,1.3256047021068451,1.106684895742,0.5473829829574235,1.1066844,4.494071610405826e-07,0.247949
class central,USA,Phrase match,existing searches,1.125604649306169,1.4977650284000004,0.4946157573886478,1.4977648,2.0257907751286552e-07,0.0
class central,USA,Broad match,existing searches,1.1256046493061702,1.412978072919999,0.4946157534505471,1.4129778,2.582456215538542e-07,0.0
classes for engineering,USA,Phrase match,existing,5.275604495765932,3.685060011312,1.9074728359427373,3.6850603,-2.513680534832474e-07,0.8462341
classes for engineering,USA,Broad match,existing,5.275604495765878,3.481266543291999,2.02811746301551,3.481267,-4.321108328930734e-07,0.8462342
classes for engineering,A,Phrase match,existing,6.775604478247102,5.871427877512001,4.060345275964759,5.8714285,-6.12173058023302e-07,4.0948386
