Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost,Bid
accredited online graduate programs,USA,Broad match,existing,1.8699999654326849,2.5674691513400005,0.6983155325274395,2.567469,2.697329448686503e-07,0.24794912,3.481234258478945
advanced engineering mathematics course,USA,Broad match,existing searches,1.8699999654326849,2.23525229764,0.7463907368184666,2.235252,3.941060642276284e-07,0.0,3.2570071346608183
aeronautical engineer,A,Phrase match,existing searches,3.0200001167539234,2.142566061600003,0.7803649669726225,2.1425657,3.343661161281375e-07,0.7773968,5.030979500541618
aerospace companies,A,Broad match,existing,1.869999965432509,1.9519766832400016,0.2585447097826652,1.9519764,2.647448233972227e-07,0.37205154,9.402628880342515
aerospace companies near me,A,Broad match,existing,1.869999965432456,1.95197668324,0.258544709782663,1.9519764,2.647448211767767e-07,0.37205172,9.402628880342329
aerospace corporation,A,Broad match,existing searches,2.490000043580074,2.1922427384399983,0.4988107649826618,2.1922426,1.1606451000290009e-07,0.70277506,6.489435040093033
architecture ba,A,Broad match,existing,3.0200001167539234,2.0117357154399995,0.7803650279552583,2.0117352,5.145580415089057e-07,0.7773962,5.030979107389209
architecture certificate,A,Broad match,existing searches,1.8699999654324515,1.48991573284,0.2585450453552589,1.4899156,1.2348025890673853e-07,0.12805164,9.40261667641638
architecture degree,A,Broad match,existing,1.8699999654325128,2.1523493902400013,0.2585447208598133,2.1523492,1.566126819341207e-07,0.25000513,9.402628477494192
ashworth university,A,Broad match,existing searches,2.4900000435801246,2.4942593017000005,0.4988114276307867,2.4942589,4.210847661667572e-07,0.7027751,6.489426419176076
australia online courses,USA,Phrase match,existing searches,1.8699999654326849,4.18620342433,0.6983150881483589,4.186203,4.214003119784593e-07,0.12204647,3.481236473793644
avionics engineer,A,Broad match,existing searches,2.490000043580093,1.730181788040002,0.4988111005552609,1.7301817,9.400924039226768e-08,0.5768726,6.489430674359079
best aerospace engineering programs,A,Phrase match,existing searches,1.8699999654323705,1.616068693899999,0.2585450141667227,1.6160686,9.22917227086373e-08,0.12410259,9.402617810662758
best courses for robotics,USA,Phrase match,existing searches,1.8699999654326849,2.17026067453,0.7463909454879465,2.1702604,2.45147675492774e-07,0.12590253,3.2570062240951296
best courses for robotics,USA,Broad match,existing searches,1.869999965432685,2.18356852534,0.7463909864682345,2.1835682,2.8612796354465786e-07,0.12590253,3.2570060452705523
best online certification,USA,Broad match,existing searches,1.8699999654326849,5.486615908240003,0.698314440344495,5.4866166,-7.032407101092986e-07,0.0,3.4812397032248406
best robotics courses in the world,USA,Phrase match,existing searches,1.869999965432484,2.17026067453,0.7463909454879465,2.1702604,2.45147675492774e-07,0.12590253,3.2570062240947797
bioengineering,A,Phrase match,existing searches,1.869999965432447,1.616068693899999,0.2585450141667227,1.6160686,9.22917227086373e-08,0.12410259,9.402617810663141
certified manufacturing engineer,A,Phrase match,existing searches,2.490000043579954,1.3942737987000005,0.4988111665207402,1.3942736,1.5997471969342317e-07,0.5768726,6.4894298161614
civil engineering course,USA,Phrase match,existing searches,1.8699999654326849,2.993116564300002,0.7463907666468037,2.9931161,4.239344013612367e-07,0.0,3.257007004499633
civil engineering course,USA,Broad match,existing searches,1.869999965432685,2.673911071640001,0.7463907965240342,2.6739106,4.538116318286711e-07,0.0,3.2570068741251035
civil engineering courses,USA,Broad match,existing,1.8699999654318449,2.67391107164,0.7463907965240333,2.6739106,4.538116309404927e-07,0.0,3.2570068741236438
class central courses,USA,Phrase match,existing searches,1.8699999654326849,2.4501212630000007,0.7463909182276618,2.4501212,9.867810124575273e-08,0.12204647,3.25700634305011
classes for engineering,USA,Phrase match,existing,1.8699999654326849,1.99829358883,0.7463910085687695,1.9982932,4.2743778805309773e-07,0.247949,3.257005948831051
classes for engineering,USA,Broad match,existing,1.8699999654324344,2.2352522976400016,0.7463907368184683,2.235252,3.9410606600398523e-07,0.247949,3.257007134660374
columbia university online courses,USA,Phrase match,existing searches,1.8699999654326849,2.8062536358299988,0.6983143925133484,2.806254,-2.7423469850518245e-07,0.24794865,3.481239941672864
columbia university online courses,USA,Broad match,existing searches,1.8699999266598868,2.8195614866399987,0.6983144334936364,2.8195617,-2.3325441045329853e-07,0.24794865,3.481239665197334
control course,USA,Broad match,existing searches,1.869999965432685,2.669233686540001,0.7463908263181382,2.6692333,3.643964463506677e-07,0.12204647,3.2570067441133213
control engineering courses,USA,Phrase match,existing searches,1.869999965432454,1.9936162037300005,0.7463910383628738,1.9936157,4.572318923479202e-07,0.12204647,3.2570058188189397
control engineering courses,USA,Broad match,existing searches,1.8699999654326849,2.2305749125400003,0.7463907666125711,2.2305746,3.046908791937142e-07,0.12204647,3.257007004649013
controls courses,USA,Phrase match,existing searches,1.8699999654318449,2.17026067453,0.7463909454879469,2.1702604,2.451476759368632e-07,0.003949046,3.257006224093665
controls courses,USA,Broad match,existing searches,1.869999965432477,2.183568525340001,0.7463909864682359,2.1835682,2.861279648769255e-07,0.003949046,3.2570060452701837
course engineering,USA,Phrase match,existing,1.8699999654326849,2.7007837802000028,0.7463909894056302,2.7007833,5.274839383062613e-07,0.12204647,3.257006032452718
course engineering,USA,Broad match,existing,1.8699999654324773,3.0366917695400018,0.7463906850215691,3.0366912,5.807277458913518e-07,0.12204647,3.2570073606853356
coursera mechanical engineering courses,USA,Phrase match,existing searches,1.869999965432685,2.17026067453,0.7463909454879469,2.1702604,2.451476759368632e-07,0.12204647,3.2570062240951283
courses at university,USA,Phrase match,existing,1.8699999654326849,2.9357864242000007,0.7463905196589851,2.9357862,1.7694658271949493e-07,0.12204647,3.25700808227465
courses for electrical engineering,A,Broad match,existing searches,2.490000043580181,2.16884056204,0.498811398679404,2.1688402,3.921333835421592e-07,0.45482612,6.489426795827334
courses for engineering students,USA,Broad match,existing,1.8699999654326849,2.6739110716400005,0.7463907965240337,2.6739106,4.538116313845819e-07,0.0,3.2570068741251053
design engineer course,A,Broad match,existing searches,2.490000043579869,2.052680886640002,0.4988111623663203,2.0526807,1.5582029977423417e-07,0.5768726,6.489429870209319
doctor of engineering,A,Phrase match,existing,1.8699999654325268,1.1540077435000031,0.2585451113207428,1.1540076,1.8944574287083077e-07,0.24614906,9.402614277422805
doctoral degrees,A,Phrase match,existing,3.020000116753923,2.5102284692,0.7803651831816283,2.5102284,7.373796373499887e-08,0.7812531,5.0309781066518084
doctoral degrees,A,Broad match,existing,3.020000116753923,2.622485600540001,0.7803651915281602,2.6224854,2.012937851958441e-07,0.7812531,5.030978052842106
early childhood education online degree programs,USA,Phrase match,existing searches,1.8699999654326849,6.459038075229999,0.6983149612163269,6.4590383,-1.8236887822098424e-07,0.003948927,3.481237106574615
easiest engineering degree,A,Phrase match,existing searches,2.49000004358018,1.5899691206000035,0.4988112073919959,1.5899689,2.008459754065939e-07,0.58072865,6.489429284435473
easiest engineering degree,A,Broad match,existing searches,2.490000043579869,1.9258771099400007,0.4988111414265126,1.925877,1.348804921086355e-07,0.58072865,6.48943014263189
electrical engineering top schools,A,Phrase match,existing searches,2.490000043580096,2.021431744600003,0.4988111858612947,2.0214314,2.985245637354695e-07,0.5807286,6.489429564545177
embedded c,A,Broad match,existing searches,3.0200001167539234,3.562485948740001,0.7803647672519638,3.5624857,2.538547470010144e-07,0.7773969,5.030980788132475
embedded software engineer,A,Broad match,existing,2.490000043580158,1.7301817880400012,0.49881110055526,1.7301817,9.400923950408925e-08,0.5768726,6.48943067435926
embedded systems,A,Broad match,existing,3.0200001167539234,2.4737966658399992,0.7803646923826628,2.4737964,2.981947355706893e-07,0.65535045,5.030981270811944
engineer diploma,A,Broad match,existing searches,3.0200001167539234,2.051162509640001,0.7803650185663926,2.051162,5.05169175823994e-07,0.65535045,5.030979167918815
engineering and computer science,A,Phrase match,existing searches,2.490000043580152,2.195713270600004,0.4988113531424227,2.1957133,-1.1031466407018796e-08,0.702775,6.489427388253443
engineering and computer science,A,Broad match,existing searches,2.490000043579954,2.5316212599400023,0.4988112871769408,2.5316212,4.221234117807171e-08,0.7027751,6.489428246449635
engineering courses at university,USA,Phrase match,existing,1.869999965432684,2.5074514031000006,0.7463909267969,2.507451,3.456659185552269e-07,0.12204647,3.25700630565675
engineering degree programs,A,Broad match,existing,2.490000043580089,1.925877109939999,0.4988111414265102,1.925877,1.3488048966614485e-07,0.45482612,6.4894301426324965
engineering education,A,Phrase match,existing searches,2.490000043580068,1.8257364227000024,0.4988111449900414,1.8257363,1.384440209140081e-07,0.5768726,6.489430096271635
engineering graduate,A,Phrase match,existing,2.490000043580108,1.433700592900003,0.4988111571318756,1.4337004,1.5058585511873448e-07,0.45482612,6.489429938308984
engineering khan academy,A,Phrase match,existing searches,1.8699999654324275,1.9554472154000009,0.2585452979424203,1.9554468,3.760674203157066e-07,0.3720516,9.402607490481437
engineering khan academy,A,Broad match,existing searches,2.490000043580085,2.531621259939999,0.4988112871769377,2.5316212,4.221233806944724e-08,0.7027751,6.489428246450017
engineering master programs,A,Phrase match,existing,2.490000043580152,1.3942737987000036,0.4988111665207433,1.3942736,1.599747228020476e-07,0.58072865,6.489429816161875
