Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,Bid,t_Clicks_OptCost
5 day gen ai intensive course with google kaggle,USA,Broad match,existing searches,1.5499999640301825,1.30176948254,0.1858981723059303,1.3017696,-1.316796653938468e-07,10.839267154941025,-0.30974603
ai engineer certification free,USA,Broad match,existing searches,1.8700000366574727,1.6800044964,0.362950224702002,1.6800046,-1.003102050312066e-07,6.697888256304764,-0.093269944
aircraft and aerospace engineering,B,Broad match,existing,4.669999937735103,3.67095033032,2.533887661519646,3.67095,3.944069142391982e-07,2.3959230755378784,2.251193
airline certificate courses online,USA,Broad match,existing searches,1.8700000366575424,1.8372782047,0.3629501636233398,1.8372784,-1.6138886715921785e-07,6.6978893834516455,-0.09327006
automation and control engineering degree,USA,Broad match,existing searches,1.870000036657557,1.8024963899,0.3629500432355714,1.8024967,-2.817766355800444e-07,6.697891605090656,0.46975398
automation engineer training,USA,Broad match,existing searches,1.8700000366575984,1.7458336961000005,0.3629502665727178,1.7458338,-5.843948924777465e-08,6.69788748362256,0.46975386
best online cad certification programs,A,Broad match,existing searches,42.89000120188625,27.210362020600005,25.311961713898345,27.210361,5.398871145700923e-07,2.202792584497193,23.2316
certificate degree programs,USA,Broad match,existing,1.5499999640301452,1.83632832329,0.1858981208058692,1.8363285,-1.831797264983948e-07,10.839270157784032,-0.2143271
certification courses for aerospace engineers,USA,Broad match,existing searches,1.8700000366575709,1.293946893,0.3629501769775085,1.2939471,-2.076393432748347e-07,6.697889137013667,-0.093269944
certification schools,USA,Broad match,existing,42.89000120188629,18.2765915565,12.738971012066408,18.276592,-6.98138670429671e-07,4.376884248314791,7.634688
cisco certification,A,Broad match,existing searches,42.89000120188629,27.07821883104,24.892909182526207,27.078218,3.709569931231728e-07,2.239874863705817,17.40182
civil engineering certificate courses,USA,Broad match,existing searches,1.8700000366574687,1.5149170890400003,0.3629499211856912,1.5149175,-4.038265157824128e-07,6.697893857403455,-0.093269944
computer science,USA,Broad match,existing searches,42.89000120188633,15.84163289644,14.152378016488523,15.841633,5.342242204164904e-08,3.939762031334336,5.4585066
control theory courses,USA,Broad match,existing searches,1.8700000366574727,2.804578843139999,0.3629503870242763,2.804579,-1.764065098441847e-07,6.697885260808703,0.46975398
courses at university,USA,Exact match,existing,6.780000215206433,4.64781553339,2.44077379297252,4.6478148,7.827186134790054e-07,3.611149998883816,1.7949731
courses at university,USA,Phrase match,existing,6.780000215206535,4.6922548373,2.440773781086621,4.692255,-1.8284160141490704e-07,3.611150016469181,1.7886423
courses for engineering students,USA,Exact match,existing,7.939999968776938,4.494123056630001,2.467028692463741,4.4941235,-4.022323034647002e-07,4.183980506972449,2.1105735
courses for engineering students,B,Broad match,existing,6.780000215206493,7.5274913983,4.746365137542554,7.527492,-6.480562007027402e-07,1.8570000462147165,4.056774
design for manufacturing course,USA,Broad match,existing searches,1.5499999640301354,3.8304770871400016,0.1858983918427603,3.830477,8.785716465453677e-08,10.839254354300907,0.25327754
digital systems engineering course,B,Broad match,new,4.669999937735107,3.76011475122,2.533887586951506,3.7601144,3.198387741321085e-07,2.3959231460459525,2.346612
distributed system courses,USA,Broad match,existing searches,42.89000120188626,13.951143474139998,13.0352339454077,13.951143,2.093694906335486e-07,4.277407048923373,5.476538
embedded product development life cycle,B,Broad match,existing searches,8.160000163946382,5.716884366720008,4.47830521270542,5.7168856,-1.199991418232571e-06,2.368753291543036,3.539223
engineering certification programs,USA,Broad match,existing searches,42.89000120188625,14.645426512339998,13.51983189640372,14.645425,1.6695055258253433e-06,4.124089854792019,5.349681
engineering courses at university,B,Exact match,existing,6.780000215206493,7.54162958073,4.803020743602315,7.5416303,-6.873669233797841e-07,1.8350951932716095,3.5533695
engineering courses at university,B,Phrase match,existing,2.930000038042934,4.148266951730001,1.2734815284511924,4.1482673,-3.174045204445975e-07,2.9910131905001545,0.98248744
engineering postgraduate courses,USA,Broad match,existing,4.0,2.6986439068000005,0.5845942337195562,2.6986437,2.224127935157583e-07,8.895058657890498,0.71472037
estudiar arquitectura online,B,Exact match,existing searches,8.160000163946378,4.812611169160019,4.298031277001511,4.8126116,-4.1073500067767554e-07,2.4681067980805578,2.7376761
find your next course,B,Broad match,existing searches,6.780000215206494,7.355250807900001,4.862896176476051,7.355252,-9.811930166137015e-07,1.812500197393809,4.3340683
graduate degree programs,USA,Broad match,existing,1.8700000366575715,3.91597070459,0.3629504657136575,3.9159706,1.4070145049061014e-07,6.697883808675787,0.002149105
infosys springboard certificate,B,Exact match,existing searches,2.930000038042936,2.393738838650001,1.2734815802347788,2.3937385,3.304255136171719e-07,2.991013068876576,1.2184055
