Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff
ansys course,USA,Phrase match,existing searches,5.470000209691413,3.3749519473100005,2.115758050062686,3.3749523,-3.689741792101131e-07
ansys course,USA,Broad match,existing searches,5.4700002096906815,3.5384591962100007,2.2994779492617585,3.5384595,-3.4320345143612485e-07
ansys course,A,Broad match,existing searches,6.749999906543168,5.678921276660001,4.237954551310574,5.678921,5.397323299405343e-08
architectural drafting degree online,USA,Phrase match,existing searches,1.1299999924305535,1.3959332214800004,0.14768679012929242,1.3959333,-4.897440630813321e-08
architecture course free online,USA,Broad match,existing searches,1.1299999924305535,1.1268111233310003,0.14768681569855402,1.1268111,-2.340514471121935e-08
best courses for robotics,USA,Phrase match,existing searches,5.470000209691413,3.5494280936610103,2.223127830256164,3.5494282,-1.3090258832448853e-07
best courses for robotics,USA,Broad match,existing searches,5.470000209691356,3.7516037497610046,2.4068477425664856,3.7516038,-9.202061157509434e-08
best courses for robotics,A,Phrase match,existing searches,6.749999906543169,5.6898901741109995,4.161604432304969,5.68989,2.662740854475487e-07
best courses for robotics,A,Broad match,existing searches,6.749999906543168,5.892065830211002,4.345324344615299,5.892066,-1.716810880125763e-07
best online courses,USA,Exact match,existing,3.919999825048503,1.6712538119809999,1.26088787284068,1.6712539,-1.076204405592307e-07
best robotics courses in the world,USA,Phrase match,existing searches,5.470000209691413,3.5494280936610014,2.2231278302561552,3.5494282,-1.3090259720627273e-07
best robotics courses in the world,USA,Broad match,existing searches,5.470000209691412,3.7516037497610073,2.4068477425664883,3.7516038,-9.202060891055908e-08
best robotics courses in the world,A,Phrase match,existing searches,6.749999906543162,5.689890174111,4.16160443230497,5.68989,2.6627408633572713e-07
best robotics courses in the world,A,Broad match,existing searches,6.749999906543168,5.892065830211002,4.345324344615299,5.892066,-1.716810880125763e-07
boston university engineering courses,USA,Broad match,existing searches,5.470000209691373,3.779497843301002,2.2994776778575816,3.7794979,-1.8561180592513438e-08
civil engineering course,USA,Phrase match,existing searches,5.470000209691414,3.7026581831810006,2.115757829749299,3.7026584,-2.3165969764704641e-07
civil engineering course,USA,Broad match,existing searches,5.470000209691413,3.866165432080999,2.2994777289483697,3.8661654,3.25296074521475e-08
civil engineering course,A,Broad match,existing searches,6.7499999065431675,6.006627512531,4.237954450206476,6.0066276,-4.7130865432620794e-08
civil engineering courses,USA,Phrase match,existing,5.470000209691414,3.7026581831810006,2.115757829749299,3.7026584,-2.3165969764704641e-07
civil engineering courses,USA,Broad match,existing,5.470000209691414,3.866165432080999,2.2994777289483697,3.8661654,3.25296074521475e-08
civil engineering online,USA,Broad match,existing searches,1.1299999924305535,1.2704665179809997,0.14768679099888304,1.2704666,-4.810481568640057e-08
class central courses,USA,Broad match,existing searches,5.470000209690417,3.767704026681,2.2994779515085755,3.7677042,-2.2174734493063397e-07
class central courses,A,Broad match,existing searches,6.74999990654317,5.9081661071310005,4.237954553557392,5.9081664,-3.0140781781540227e-07
classes for engineering,USA,Broad match,existing,5.470000209691413,3.718365564081,2.1035448453157413,3.7183657,-1.0516948822925087e-07
columbia university online courses,USA,Phrase match,existing searches,1.1299999924305535,8.043165173651001,0.14768692505480985,8.043164,9.204161379727793e-07
control course,USA,Phrase match,existing searches,5.470000209691414,3.379302386081002,2.1157581842301107,3.3793027,-3.5401604403517695e-07
control course,USA,Broad match,existing searches,5.470000209691414,3.4967268626810006,2.2994780461908273,3.4967272,-3.6548367221556077e-07
control course,A,Broad match,existing searches,6.7499999065431675,5.637188943131002,4.237954648239644,5.637189,3.169301354688514e-08
controls courses,USA,Broad match,existing searches,5.470000209691413,3.501392784751001,2.174962225592676,3.501393,-2.950066892992709e-07
course engineering,USA,Broad match,existing,5.470000209691414,4.120970423380999,1.9961749865218685,4.120971,-7.794693424045818e-07
coursera mechanical engineering courses,USA,Phrase match,existing searches,5.470000209691414,3.5049012889810003,2.1157580604501165,3.5049014,-1.2016816963722476e-07
coursera mechanical engineering courses,USA,Broad match,existing searches,5.470000209691414,3.6684085378809996,2.299477959649188,3.6684086,-9.439744275141493e-08
coursera mechanical engineering courses,A,Broad match,existing searches,1.24999997900133,1.8132573781310006,0.24234132149800502,1.813257,3.9914235316906854e-07
coursera mechanical engineering courses,B,Phrase match,existing searches,5.470000209691411,6.660327604031,4.907137682651911,6.660327,6.463283632740513e-07
courses at university,USA,Exact match,existing,5.470000209691415,3.96732865831,2.2231279518280664,3.9673293,-6.053771337555247e-07
courses at university,USA,Broad match,existing,5.470000209691413,4.06694414661,2.4068477396733545,4.066944,2.42955469076378e-08
courses at university,A,Broad match,existing,6.749999906543168,6.207406227060002,4.345324460931462,6.2074065,-2.937835041905146e-07
courses for civil engineering students,USA,Exact match,existing searches,5.470000209691413,3.5780029662610007,2.223127759313674,3.5780032,-2.0184507842913035e-07
