Location,Region,Opt_Conversions,Act_Conversions,Opt_Purchases,Act_Purchases,Opt_Clicks,Act_Clicks,Opt_Spend,Act_Spend
"Alabama, United States",USA,0.010639897821276154,0.010913871684786188,0.0003311816235519025,0.00033970944124829067,0.4325958456282015,0.44373504613143844,2.413109102929345,4.364415956629855
"Arizona, United States",USA,0.02155979295363852,0.022114950519172012,0.0005116702494617419,0.000524845589812084,0.6683535815627941,0.6855634660943324,3.7282145169529746,6.742952031375704
"Arkansas, United States",USA,0.0007083931970481227,0.0007266340884870804,4.501497795851101e-05,4.6174098810447274e-05,0.058799435328105054,0.06031350141592367,0.3279954120486488,0.5932215863380385
Australia,A,0.24422281411565439,0.028092884029475313,0.006284976310704517,0.0007229591193761621,11.543838989512805,1.3278846661464765,25.18620267915724,5.1859169032778345
Austria,A,0.012716751763886381,0.001462804504272504,0.0006842668030582296,7.871102465649009e-05,1.256817115908496,0.14457133176246467,2.7421077720039455,0.564608457519195
Austria,B,0.018120930420367245,0.0019159737708873996,3.730294213741848e-05,3.944138466085214e-06,0.1147658926623259,0.012134500548953531,0.23744568208839745,0.04778509787612125
Belgium,A,0.0659872686029843,0.007590497599489625,0.0019290804030584578,0.000221901595241593,3.543210422735078,0.4075745333553767,7.730531924689843,1.5917403941466037
"Boston, Massachusetts, United States",USA,0.0,0.0,3.429712606362744e-06,3.5180265760340777e-06,0.004479956977379433,0.004595314393594184,0.024990126632278002,0.04519783514956483
Brazil,B,0.29353642164692395,0.031036380121162263,0.00628333702331793,0.0006643537970209192,19.331257564694276,2.043944852334587,39.99553814808711,8.048959611331133
Brazil,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Calgary, Alberta, Canada",USA,0.0008399919332586438,0.0008616214487989096,6.687939582407352e-05,6.860151823266452e-05,0.08735916105889895,0.08960863067508659,0.48730746932942104,0.8813577854165143
"California, United States",USA,0.15618810007011225,0.16020989218966927,0.005439309836653415,0.005579370272929046,7.104931768812695,7.287881421090777,39.6327789558784,71.68094168251298
Canada,A,0.31326035513485606,0.03603425363720625,0.011033445314680923,0.0012691742202434182,20.265520491356252,2.331137322375708,44.21505765608865,9.104016901597754
Canada,USA,0.000845591879480368,0.0008673655917909023,2.529413047192524e-05,2.5945445998251327e-05,0.03303968270817332,0.03389044365275711,0.18430218391305028,0.33333403422804064
Chile,B,0.05546514786167407,0.005864476383724514,0.0012444948656503232,0.00013158372474682972,3.8288015900700962,0.4048292913404168,7.921625354409628,1.594198890327703
China,B,0.06155831071552258,0.006508722564185405,0.0011333222815170959,0.00011982915418672053,3.4867690283856647,0.3686652864149172,7.213974736080392,1.4517867236311048
Colombia,B,0.08390745823397551,0.008871756881613197,0.0018889522738928294,0.00019972390640432823,5.81153339356528,0.6144687547716798,12.023811941015758,2.419749331266482
"Colorado, United States",USA,0.02771973379753524,0.028433507810364016,0.0008229166684891609,0.0008441065015871766,1.0749096772599775,1.1025882473130046,5.996068508832203,10.844655571198713
"Connecticut, United States",USA,0.017275834094019442,0.017720681130297577,0.00048251769230765864,0.0004949423639157944,0.630273947255069,0.6465032937487819,3.515798440578612,6.358770432604404
"Delaware, United States",USA,0.000559994622172429,0.000574414299199273,3.6011982366808815e-05,3.693927904835782e-05,0.04703954826248404,0.048250801132738934,0.262396329638919,0.47457726907043074
Denmark,A,0.1460459944842209,0.016799631110923394,0.0018814957853214463,0.0002164279495770249,3.455810066969536,0.3975208941507547,7.5398429280275385,1.552476940911611
"District of Columbia, United States",USA,0.0,0.0,4.28714075795343e-06,4.397533220042597e-06,0.005599946221724291,0.00574414299199273,0.031237658290347504,0.056497293936956045
"Edmonton, Alberta, Canada",USA,0.0008399919332586437,0.0008616214487989096,3.0224342343571684e-05,3.100260920130031e-05,0.039479620863156255,0.04049620809354875,0.2202254909469499,0.3983059222555401
Egypt,B,0.2326878473728658,0.024602699863003286,0.0023576931915406537,0.0002492851200242148,7.253657439519507,0.7669483340381353,15.007504393573909,3.020206811157216
Finland,A,0.008740035576554213,0.0010053639204622021,0.0006381097238533281,7.340158836185897e-05,1.17203877081592,0.1348193017339813,2.5571394452415097,0.526522907881252
"Florida, United States",USA,0.04388957851276413,0.04501972069974302,0.001756012854457725,0.0018012296069294478,2.2937379724182696,2.352800969520222,12.794944835726337,23.141291596577194
France,A,0.20349424832891172,0.02340788816012145,0.004569074995107872,0.0005255794567118343,8.392182160607355,0.9653504364278064,18.309957459514525,3.7700767796239982
Georgia,USA,0.0,0.0,3.858426682158087e-06,3.957779898038338e-06,0.005039951599551862,0.005169728692793457,0.028113892461312753,0.05084756454326044
"Georgia, United States",USA,0.00923991126584508,0.009477835936788005,0.0005466104466390623,0.0005606854855554312,0.7139931432698471,0.7323782314790731,3.982801432019307,7.203404976961896
Germany,A,0.3664434716181885,0.04215189309321875,0.009619706321714305,0.0011065522075490986,17.668855921562,2.032443701606388,38.549687565251574,7.937499705986123
Hong Kong,A,0.03369283714761649,0.0038756779133817887,0.0026414221305815244,0.00030384207084017836,4.851593748545244,0.5580775122485684,10.58514620472455,2.1795142890744446
Hong Kong,B,0.007550387675153019,0.0007983224045364165,9.792022311072351e-05,1.0353363473473686e-05,0.30126046823860547,0.03185306394100302,0.6232949154820433,0.12543588192481828
Hungary,B,0.02642635686303557,0.002794128415877458,0.0006800424517288593,7.190268216790873e-05,2.092212424784902,0.221215138297041,4.328697270177298,0.8711349093074472
Iceland,A,0.0017480071153108427,0.00020107278409244042,0.000185580009174346,2.1347218091815807e-05,0.34086138748561434,0.03920919289802588,0.7436870869829894,0.1531274676164715
"Idaho, United States",USA,0.0011199892443448582,0.001148828598398546,3.7512481632092514e-05,3.8478415675372723e-05,0.04899952944008754,0.050261251179936385,0.2733295100405406,0.4943513219483654
"Illinois, United States",USA,0.018566621698126888,0.019044706089951898,0.0006600053196869306,0.000677000239225558,0.8621117208344546,0.8843108136172809,4.809037493798998,8.697758401594383
India,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Indiana, United States",USA,0.010281501263085798,0.010546246533298654,0.0003946313067696133,0.00040479293290492113,0.515475049709721,0.5287483624129309,2.8754264456264877,5.2005759068968045
Indonesia,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Iowa, United States",USA,0.003359967733034574,0.003446485795195638,0.00012518451013224016,0.00012840797002524384,0.1635184296743493,0.16772897536618772,0.9121396220781471,1.6497209829591166
Ireland,A,0.04807019567104817,0.005529501562542111,0.002239332110703775,0.0002575897649745774,4.113060742326413,0.47312426096951227,8.973824182928071,1.8477381092387561
Israel,A,0.0297598211381671,0.0034232641491737984,0.0007052040348625149,8.111942874890008e-05,1.2952732724453346,0.14899493301249836,2.82601093053536,0.5818843769425918
Italy,A,0.13193083702808583,0.01517596837937694,0.006187427844343643,0.0007117381457637973,11.364668260193444,1.3072747057770013,24.795290235999516,5.105426824146099
Japan,A,0.10206613546300008,0.011740639863157595,0.00399758373608636,0.0004598409722803708,7.342503887863194,0.844606229580296,16.01978260960024,3.298522706271736
"Kansas, United States",USA,0.0027999731108621453,0.0028720714959963646,0.00013483057683763536,0.00013830241977033967,0.17611830867322895,0.18065329709817135,0.982424353231429,1.7768398943172676
