Day,Budget,t_Clicks_OptCost,t_Clicks_ActCost,tm1_Clicks_OptCost,Actual_Clicks,Opt_Cost,Act_Cost,Opt_Conv,Act_Conv,Opt_Purch,Act_Purch,N_Opt,N_Obs,Avg_Cost_Change,Pct_New_Keywords,Eval_CV_MSE,Eval_Train_MSE,Eval_Train_R2,Eval_Best_Params,Hist_MSE,Hist_R2,Hist_Bias,Opt_Cost_Region_C,Act_Cost_Region_C,Opt_Clicks_Region_C,Act_Clicks_Region_C,Opt_Conv_Region_C,Act_Conv_Region_C,Opt_Purch_Region_C,Act_Purch_Region_C,Opt_Cost_Region_USA,Act_Cost_Region_USA,Opt_Clicks_Region_USA,Act_Clicks_Region_USA,Opt_Conv_Region_USA,Act_Conv_Region_USA,Opt_Purch_Region_USA,Act_Purch_Region_USA,Opt_Cost_Region_A,Act_Cost_Region_A,Opt_Clicks_Region_A,Act_Clicks_Region_A,Opt_Conv_Region_A,Act_Conv_Region_A,Opt_Purch_Region_A,Act_Purch_Region_A,Opt_Cost_Region_B,Act_Cost_Region_B,Opt_Clicks_Region_B,Act_Clicks_Region_B,Opt_Conv_Region_B,Act_Conv_Region_B,Opt_Purch_Region_B,Act_Purch_Region_B,Opt_Cost_Origin_new,Act_Cost_Origin_new,Opt_Clicks_Origin_new,Act_Clicks_Origin_new,Opt_Conv_Origin_new,Act_Conv_Origin_new,Opt_Purch_Origin_new,Act_Purch_Origin_new,Opt_Cost_Origin_existing,Act_Cost_Origin_existing,Opt_Clicks_Origin_existing,Act_Clicks_Origin_existing,Opt_Conv_Origin_existing,Act_Conv_Origin_existing,Opt_Purch_Origin_existing,Act_Purch_Origin_existing,Opt_Cost_Origin_existing searches,Act_Cost_Origin_existing searches,Opt_Clicks_Origin_existing searches,Act_Clicks_Origin_existing searches,Opt_Conv_Origin_existing searches,Act_Conv_Origin_existing searches,Opt_Purch_Origin_existing searches,Act_Purch_Origin_existing searches
2025-12-01,847,277.50577,120.78253,426.66593817058805,278,847.4600000000343,726.9199999999998,5.4628819937215605,2.5800988664058027,0.1771558677942587,0.07012214836719577,101,115,,,8.169256114959717,4.776092052459717,0.8953478336334229,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.430553436279297,0.9004178643226624,-0.0003728192015514,0.0,35.660000000000004,0.0,19.531975,0.0,0.41568076910319557,0.0,0.003637841775970818,425.45998520949394,576.6899999999999,117.8951,65.596825,2.762926495826943,1.5372919671383616,0.09025673648690706,0.05021883723327861,422.0000147905403,75.22999999999999,159.61072,21.31521,2.6999554978946176,0.360565506850569,0.08689913130735168,0.011604942877444553,0.0,39.34,0.0,14.338533,0.0,0.26656062331367714,0.0,0.00466052648050179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.3299969098618,726.9199999999998,74.97563,120.78253,1.4121715302200197,2.580098866405803,0.04570044378003719,0.07012214836719577,640.1300030901725,0.0,202.53017,0.0,4.050710379143234,0.0,0.13145542132064733,0.0
2025-12-02,847,221.64648,129.23552,459.878355815062,283,847.4600000000125,737.42,4.142203481185109,2.747579646926313,0.12913098067103954,0.07426069976534666,194,113,0.07608060089451253,0.8505154639175257,8.169256114959717,4.776092052459717,0.8953478336334229,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.48295783996582,0.8991323709487915,-0.0004037098085169,0.0,36.68,0.0,23.105467,0.0,0.49173197277455255,0.0,0.004303405993496225,393.0700000408595,584.2499999999999,55.73143,67.43905,1.3060920275601196,1.5804655264730487,0.04266621067813146,0.05162919128140772,393.07000004085006,79.18000000000002,148.2917,26.216644,2.5084846658216855,0.4434775353247107,0.08073656714997646,0.014273499175854526,61.31999991830297,37.309999999999995,17.623335,12.474357,0.32762678780330323,0.23190461235400103,0.005728202842931642,0.004054603314588172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.7900012858275,737.42,63.64051,129.23552,1.245333887711643,2.747579646926313,0.039537639467087965,0.07426069976534665,624.6699987141849,0.0,158.00598,0.0,2.89686958460882,0.0,0.08959334104896277,0.0
2025-12-03,847,189.44785,125.01679,441.0684415225074,276,847.4599997834978,724.63,3.285650923611957,2.6717208283744593,0.1053227541683506,0.07158684277035635,213,115,0.06609730832020158,0.8544600938967136,8.169256114959717,4.776092052459717,0.8953478336334229,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.448667526245117,0.8997974395751953,-0.0003813621845686,0.0,34.910000000000004,0.0,24.090927,0.0,0.512704682279232,0.0,0.004486949242215732,421.8700048158514,579.48,11.892498,66.34469,0.27870623151010826,1.5548188605901743,0.009104518318768318,0.05079138963599495,418.2899949808322,76.5,175.501,23.100258,2.9687537000147284,0.3907611861424176,0.09555050733167135,0.012576802710594831,7.299999986814217,33.739999999999995,2.0543275,11.480919,0.03819099208712043,0.21343609936263455,0.0006677285179109442,0.0037317011815508104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.969996512071,724.63,68.69804,125.01679,1.1939338686133083,2.671720828374459,0.03848237278006996,0.07158684277035635,589.4900032714268,0.0,120.74978,0.0,2.091716850236882,0.0,0.06684037479255975,0.0
2025-12-04,847,160.50247,130.35843,410.30460319923765,292,843.6900111238957,745.9399999999999,3.240261914075669,2.827967041002531,0.10433382835813573,0.07435849266139018,55,123,,1.0,8.169256114959717,4.776092052459717,0.8953478336334229,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.232055187225342,0.9045693278312684,-0.0002532130807876,0.0,38.61,0.0,29.937,0.0,0.6371211419129627,0.0,0.005575783338270846,449.3400100740624,613.23,79.75648,73.08296,1.869130203917286,1.712733263328779,0.06105902293437199,0.05594999181270604,384.9500009213216,66.60000000000001,77.61541,17.98811,1.3129328372936284,0.3042846749769848,0.042257260578806036,0.009793522132590311,9.40000012851183,27.5,3.1305695,9.350361,0.058198872864755107,0.1738279607838036,0.001017544844957718,0.0030391953778229923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468.33001010769584,745.9399999999999,84.00871,130.35843,1.9410605899375537,2.8279670410025304,0.0633741307443481,0.07435849266139019,375.36000101619993,0.0,76.493744,0.0,1.2992014128654292,0.0,0.040959700469511175,0.0
2025-12-05,847,129.72163,137.64256,476.92639171013417,250,847.4600000000067,754.8499999999999,2.7295140976840253,2.9338104928451147,0.08877710042489259,0.07720663048852096,188,113,0.8945714067555709,0.9840425531914894,8.169256114959717,4.776092052459717,0.8953478336334229,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",6.416935443878174,0.8551303744316101,-0.0004930737300124,0.0,37.04999999999999,0.0,27.913029,0.0,0.5940468912216581,0.0,0.005198817839069302,661.0899966647323,598.09,82.08477,70.32925,1.923694831488171,1.6481986573259821,0.0628414899017741,0.053841834778098605,186.37000333527453,81.27,47.63686,24.426998,0.8058192661958536,0.41320413090633495,0.025935610523118487,0.013299137728888312,0.0,38.440000000000005,0.0,14.973276,0.0,0.2783608133911391,0.0,0.0048668401424647205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.04000068400548,754.8499999999999,18.58347,137.64256,0.31517502469484504,2.9338104928451147,0.010145450980583084,0.07720663048852094,737.4199993160015,0.0,111.13816,0.0,2.4143390630745043,0.0,0.07863164913596732,0.0
2025-12-06,847,223.90767,67.88111,408.0881552785879,182,847.2500200943134,382.88,3.998363812256946,1.444394493668016,0.129053855174017,0.03535527537481948,240,85,0.05085907629529809,0.8041666666666667,8.169256114959717,4.776092052459717,0.8953478336334229,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.605203151702881,0.8959200382232666,-0.0004172192570708,0.0,25.220000000000002,0.0,15.698541,0.0,0.33409734033014055,0.0,0.002923862137081439,423.640011097721,294.17,32.328545,31.468603,0.7576345043685261,0.7374814197937435,0.024749705762154885,0.024091363368098504,423.61000899659246,26.200000000000003,191.57913,7.3255043,3.24072930788842,0.12391734828980379,0.10430414941186211,0.003988328670117507,0.0,37.290000000000006,0.0,13.388466,0.0,0.24889838525432856,0.0,0.0043517211995220285,3.740000105099527,0.0,0.86191535,0.0,0.020199387776878245,0.0,0.0006598549843899806,0.0,371.59000895231827,382.88,122.49403,67.88111,2.1332870871951646,1.4443944936680162,0.06876663918000407,0.03535527537481947,471.9200110368957,0.0,100.55172,0.0,1.844877331697453,0.0,0.05962736082709726,0.0
2025-12-07,847,279.24518,189.25116,382.25831880633893,340,847.0100145803891,1059.52,5.160330931954442,4.044794448592704,0.15032232029590897,0.10510430958578725,60,110,3.467109104681025,0.8666666666666667,8.169256114959717,4.776092052459717,0.8953478336334229,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.345458030700684,0.9017112851142884,-0.0002236956027727,0.0,53.42,0.0,44.35456,0.0,0.943956582150555,0.0,0.008261062200828959,366.60000926260165,861.5899999999999,51.611874,95.86896,1.209548303467523,2.2467336830597273,0.03951240927297242,0.07339422539631736,362.25000301759223,105.48,167.81943,34.243385,2.838813033526696,0.5792569430007688,0.09136831579254656,0.01864361290020182,118.16000230019516,39.03,59.813835,14.784278,1.1119695949602217,0.27484724038165365,0.019441595230389977,0.004805409088439108,4.669999937735107,0.0,2.346612,0.0,0.043624709281574164,0.0,0.0007627312327061797,0.0,263.2100024688175,1059.52,90.316376,189.25116,1.685793613860565,4.044794448592704,0.05153638287951945,0.10510430958578725,579.1300121738366,0.0,186.58215,0.0,3.4309125910830116,0.0,0.09802320587370572,0.0
2025-12-08,847,196.37843,127.29468,426.66789613287744,266,847.4599999999941,777.01,3.9003229304136355,2.7236692669625593,0.1241829365539848,0.07428602530266733,129,112,1.3096332608208927,0.9612403100775194,8.169256114959717,4.776092052459717,0.8953478336334229,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.666664123535156,0.8943631052970886,-0.0002971218289007,0.0,30.2,0.0,20.656189,0.0,0.4396063665471435,0.0,0.0038472273053625976,595.4800025443045,634.6700000000001,86.53143,70.01927,2.02790462703317,1.6409342565134049,0.06624571946418392,0.05360452802713495,227.11999768372183,75.64,101.331665,22.477364,1.7141141268557327,0.3802243498427916,0.055169438422809414,0.012237670483460243,24.859999771967843,36.5,8.515323,14.141856,0.15830417652473205,0.2629042940592193,0.002767778666991466,0.00459659948670953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.7599983844595,777.01,132.13701,127.29468,2.787083609341206,2.7236692669625593,0.09019915092912514,0.07428602530266733,266.70000161553446,0.0,64.24143,0.0,1.1132391749478783,0.0,0.03398378084883176,0.0
2025-12-09,847,225.67316,139.6146,423.83241449127786,279,847.3799912147676,800.4499999999999,4.281558831012,3.0126285126375465,0.13782456540012913,0.0824686133226598,56,107,0.6889854129983287,0.8928571428571429,8.169256114959717,4.776092052459717,0.8953478336334229,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.309216976165772,0.9023589491844176,-0.0002708457449641,0.0,34.550000000000004,0.0,24.226257,0.0,0.5155847881980852,0.0,0.004512154569018385,463.8399927298275,654.9099999999999,70.4575,80.4963,1.6512040798876653,1.886468286242611,0.05394001315258353,0.06162540742921422,377.0599985293074,79.72,152.38203,22.742512,2.577676225198444,0.3847095639312186,0.08296352474551089,0.012382028865780149,6.479999955632824,31.269999999999996,2.8336248,12.149527,0.05267852592589052,0.22586587426563223,0.0009210275020347157,0.003949022458647047,1.1400000240698545,0.0,0.17194438,0.0,0.0040295966464996445,0.0,0.00013163514962159282,0.0,60.540000516598475,800.4499999999999,15.494282,139.6146,0.2839264926931615,3.012628512637547,0.00862945890715484,0.0824686133226598,785.6999906740994,0.0,210.00694,0.0,3.9936026672287084,0.0,0.12906346895812065,0.0
2025-12-10,847,229.02084,132.29169,390.0156790015781,238,847.2999960573986,683.07,4.222607088545635,2.8390234235115095,0.1323694075833895,0.07260007891422403,141,93,2.3202754814431668,0.9858156028368794,8.169256114959717,4.776092052459717,0.8953478336334229,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.474295139312744,0.8985182642936707,-0.0003338289111738,0.0,39.510000000000005,0.0,32.776733,0.0,0.6975565226776104,0.0,0.00610468524866391,407.50000098339484,539.38,49.606785,67.26663,1.1625581131612321,1.576424861087156,0.03797737704162271,0.05149719454840845,406.94999542033685,70.83,164.42418,20.584187,2.7813794241331107,0.3481996295805454,0.08951979244909139,0.01120694224615403,32.849999653666984,33.35,14.989883,11.664146,0.2786695512512917,0.21684241016619824,0.0048722380926753996,0.0037912568709976588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.3299991220819,683.07,91.518684,132.29169,1.6217630404453047,2.83902342351151,0.051790807006313104,0.07260007891422404,600.9699969353169,0.0,137.50215,0.0,2.600843867694332,0.0,0.08057859484684965,0.0
