Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost
accredited online phd programs,A,Broad match,existing,35.76000077061339,21.516326774006004,19.91537259901058,21.516325,1.7770577613873684e-06,20.749393
ansys course,USA,Exact match,existing searches,2.4899999137831554,1.889944490386,0.3413634862432386,1.8899449,-4.206171129172986e-07,0.06505573
ansys course,A,Exact match,existing searches,26.65000043599285,14.766805304286,13.150449289080616,14.766804,1.5628309224524628e-06,10.171027
best robotics courses in the world,USA,Phrase match,existing searches,2.4899999137831554,1.942703475086,0.3413630619924328,1.9427037,-2.488214709828185e-07,0.06505561
certified engineering technologist,USA,Phrase match,existing searches,1.8800000257023664,0.7492543727600007,0.1644288570129304,0.7492542,1.4607543041833537e-07,0.48758054
civil engineering course,USA,Phrase match,existing searches,1.8800000257023664,1.818224401686,0.1644288017485611,1.8182241,3.29229640216866e-07,-0.07544303
computer science course online,A,Phrase match,existing,49.209998411110135,25.767595845516,23.44532306795863,25.767595,5.543783068162611e-07,20.601479
computer science mit,A,Broad match,existing searches,1.460000005180305,1.878002709110001,0.1175543725087433,1.8780025,1.847340851401924e-07,0.3486967
course engineering,B,Broad match,existing,4.240000057833585,5.508582011796001,2.57921327743626,5.5085816,3.734598195137552e-07,2.0806189
courses for civil engineering students,USA,Phrase match,existing searches,1.8800000257023664,1.6283778711860006,0.1644287869040792,1.6283776,3.143851583509161e-07,-0.17086196
courses for electrical engineering,USA,Broad match,existing searches,1.8800000257023664,1.362963551646,0.1644290629680214,1.3629632,3.520305213999819e-07,-0.093269944
courses for engineering students,USA,Phrase match,existing,1.8800000257023664,1.6309116986260002,0.1644287016853873,1.6309115,2.2916646646997665e-07,-0.17086196
courses offered by mit usa,USA,Broad match,existing searches,1.8800000257023664,1.900747108939999,0.1644287591017421,1.9007471,4.816424215015047e-08,-0.093269944
courses on embedded systems,USA,Exact match,existing searches,1.8800000257023664,0.9130990019860004,0.1644287816109393,0.91309893,7.067343932298797e-08,0.2252891
distance learning system,B,Exact match,existing searches,1.460000005180309,1.7267512288360012,0.1175539698867214,1.7267512,2.0530642297345025e-08,0.3643099
e tech knowledge,USA,Exact match,existing searches,1.8800000257023664,0.6532809655200004,0.1644287924300193,0.65328085,1.1129484167593517e-07,0.22528914
engineering online programs,USA,Broad match,existing,1.8800000257023664,2.0805645929960006,0.1644289242414229,2.0805647,-1.443239456833112e-07,0.0021489859
engineering short courses,USA,Exact match,existing searches,1.8800000257023664,1.7667774374859997,0.1644288714307016,1.7667773,1.6049320161748429e-07,-0.17086208
engineering systems,B,Exact match,existing,1.460000005180309,2.019693065326001,0.1175539976761594,2.0196931,-7.088920916942244e-08,0.17204809
free engineering courses,USA,Broad match,existing searches,2.4899999137831554,1.4318517167860003,0.3413634021573994,1.4318517,-2.7865793894577e-08,0.15189815
gis training,USA,Phrase match,existing searches,1.8800000257023664,1.772926753026001,0.1644286565599362,1.7729268,-5.4377563785124046e-08,0.3921614
gis training,USA,Broad match,existing searches,1.8800000257023664,2.157112428426,0.1644287793628898,2.1571124,6.84253897986764e-08,0.46975386
how to learn engineering,USA,Broad match,existing searches,1.8800000257023664,2.100798708986,0.1644284554230726,2.100799,-3.747237169449136e-07,0.46975368
industrial engineering courses,B,Phrase match,existing searches,12.710000304432633,12.114573756566,9.46697978149886,12.1145735,2.778672687497874e-07,6.9490848
industrial engineering courses,B,Broad match,existing searches,15.44000031237917,13.348758554566,10.701164579498862,13.348758,8.107305511373397e-07,7.852455
