Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff
aerodynamic courses,USA,Broad match,existing searches,1.9800000556415054,2.177857797671,0.6571044140345252,2.1778579,-7.815297475843863e-08
ansys course,USA,Broad match,existing searches,1.9800000556415054,2.459461833714001,0.6571046369061397,2.4594622,-3.3211851846459695e-07
cameo sysml training,B,Phrase match,existing searches,39.5700013605029,37.138269671914,36.05386174630823,37.138275,-5.474570372143717e-06
cameo sysml training,B,Broad match,existing searches,39.570001360502914,37.314851491004006,36.17116293147184,37.314857,-5.991906149915849e-06
certificate mit,B,Phrase match,existing searches,17.980000132282672,19.164247993950003,15.627121691230887,19.16425,-1.426216012845316e-06
certificate mit,B,Broad match,existing searches,17.980000132282676,19.355905753349997,15.591634017204978,19.355906,2.205130833488056e-07
classes for engineering,USA,Exact match,existing,1.8700000259490148,2.491092405634,0.620966158227994,2.4910922,2.0058639238484943e-07
classes for engineering,USA,Phrase match,existing,1.8700000259490148,2.491092405634,0.620966158227994,2.4910922,2.0058639238484943e-07
classes for engineering,USA,Broad match,existing,1.9800000556415052,2.686828153123999,0.7574210333730225,2.6868281,1.66799072331969e-08
classes for engineering,B,Broad match,existing,6.409999803304364,7.861227709524,5.6234187667292,7.861228,-2.7967277738127905e-07
course engineering,USA,Exact match,existing,1.8700000259490146,2.0900034968640004,0.6209658448483144,2.0900035,6.416002396036902e-09
course engineering,USA,Broad match,existing,1.980000055640817,2.186529006254,0.7574207441919274,2.1865292,-1.532918982860565e-07
digital systems engineering course,USA,Broad match,new,1.9800000556414084,1.5623423437290123,0.37597077886389996,1.5623422,1.768283774961077e-07
engineering courses at university,USA,Exact match,existing,1.8700000259490146,2.1794748883510002,0.6209660153651604,2.1794748,5.7723558821720644e-08
engineering courses at university,USA,Phrase match,existing,1.8700000259490146,2.1794748883510002,0.6209660153651604,2.1794748,5.7723558821720644e-08
engineering courses at university,USA,Broad match,existing,1.980000055641505,2.297839054851,0.7574211452288075,2.2978392,-1.098828867895918e-07
engineering short courses,USA,Exact match,existing searches,1.8700000259490146,2.1318088493340004,0.6209661684029091,2.1318088,9.155201796673396e-08
engineering short courses,USA,Broad match,existing searches,1.9800000556415052,2.250173015834,0.7574211790572667,2.250173,-7.605442764457848e-08
engineering short courses,A,Broad match,existing searches,6.409999803304364,5.867150631514002,4.312000003424097,5.867151,-1.5202481673526336e-07
engineering short courses,B,Broad match,existing searches,6.409999803304364,7.424572572234001,5.6234191508320235,7.424573,-3.7240711225905443e-07
industrial engineering courses,USA,Broad match,existing searches,1.2800000282886064,1.8853591566709997,0.3646057730345251,1.885359,1.0782761594718693e-07
infosys certificate,B,Broad match,existing searches,2.929999997982206,3.9979745734700143,1.1206642974385201,3.9979749,-2.991190970469404e-07
mechanical engineering short term courses,USA,Broad match,existing searches,1.9800000556415032,2.2649110277510025,0.6571045835829117,2.2649112,-1.4702316741832533e-07
mit professional certificate,B,Phrase match,existing searches,25.329999633967475,25.092127317887,21.880678886871987,25.09213,-3.343123740506826e-06
mit professional certificate,B,Broad match,existing searches,25.32999963396747,25.283785077287003,21.845191212846085,25.283787,-1.696394637207277e-06
mit xpro certificate,B,Phrase match,existing searches,25.32999963396747,21.596619171630003,18.84188847018347,21.59662,-1.3880623797035696e-06
mitx,B,Phrase match,existing searches,17.980000132282672,18.16224554363,16.10829308810937,18.162249,-3.0678201952127893e-06
mitx certificate,B,Broad match,existing searches,17.98000013228265,17.346286273917002,15.846245504339976,17.346287,-4.997646385618282e-07
network engineer skills,USA,Phrase match,existing searches,54.22999933795832,24.138762198951,23.390210651423686,24.138762,6.785652573171319e-07
network engineer skills,USA,Broad match,existing searches,51.61000014601535,23.921502579941,23.11367045809194,23.921503,-4.870756029617951e-07
network engineer skills,A,Exact match,existing searches,51.61000014601535,37.234358827051004,36.67504511254676,37.234367,-8.54355446477939e-06
network engineer skills,A,Phrase match,existing searches,60.829998991403926,44.214597910151,43.40364775012445,44.214603,-5.513921266242505e-06
network engineer skills,A,Broad match,existing searches,54.229999337958404,39.178300448251,38.30806965429806,39.178307,-6.131338842862988e-06
online degrees in ohio,B,Phrase match,existing searches,25.940000304192704,24.332478455450996,22.080135992911323,24.332483,-4.83617498048261e-06
online engineering masters canada,B,Phrase match,existing searches,1.8700000259490128,2.190678362474,0.547400955781495,2.1906786,-2.3402258220173167e-07
oxford university courses,USA,Exact match,existing searches,1.2800000282886081,1.9728426171800006,0.3646055890580524,1.9728429,-3.1456743587732205e-07
production engineering courses,USA,Broad match,existing searches,2.479999888746677,2.2359976914910016,0.706963434555882,2.2359974,2.530602154493522e-07
skill lync,USA,Broad match,existing searches,51.610000146015295,24.123838795264,22.145538700659507,24.12384,-1.5367672503430185e-06
software engineer free courses with certificates,B,Broad match,existing searches,2.929999997982206,2.9041426603340126,1.1206644002937294,2.9041426,4.2154691293205815e-08
vlsi courses,USA,Phrase match,existing searches,92.68999621745462,31.104057680814,30.06468821689341,31.104057,3.688022829351212e-07
vlsi courses,USA,Broad match,existing searches,1.1400000240696926,1.1066999564440014,0.08542133667776608,1.1066997,2.51320100064234e-07
vlsi courses,A,Phrase match,existing searches,51.610000146015345,35.695940517614005,34.59417238158953,35.69595,-9.036829354158726e-06
vlsi courses,A,Broad match,existing searches,51.61000014601533,35.795150755714005,34.71147346384389,35.79516,-7.63051646401891e-06
