Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff
1 year masters degree programs,A,Exact match,existing,1.1300000071816863,0.7955960581919999,0.3213798950335831,0.795596,5.465959018735589e-08
a mechanical engineer,A,Phrase match,existing searches,1.1300000071817862,1.2578014555925012,0.11088005933700806,1.2578014,4.205642945009913e-08
advanced fluid mechanics,A,Phrase match,existing searches,1.1300000071817862,1.2848732322428824,0.11088012158614413,1.2848731,1.0430556551810355e-07
advanced system engineering,A,Broad match,existing searches,1.1300000071817133,1.3383121837424006,0.05183712137210028,1.3383123,-8.451474053927654e-08
aerodynamics course,B,Phrase match,existing searches,1.1300000071816658,1.3726997917984,0.34959953487853923,1.3726997,5.424957194577473e-08
aerospace companies,A,Phrase match,existing,1.1300000071817435,1.4262978712920014,0.021294800460702534,1.4262978,8.744037782726366e-08
aerospace companies,B,Phrase match,existing,1.1300000071816794,1.824632124892001,0.06868811129641994,1.824632,7.628512843638191e-08
aerospace companies near me,A,Phrase match,existing,1.1300000071817435,1.3649222625920008,0.021294809741658982,1.3649222,9.67213342750739e-08
aerospace companies near me,B,Phrase match,existing,1.1300000071816794,1.296195508792001,0.06868815596302147,1.2961954,1.2095172996495762e-07
aerospace corporation,A,Phrase match,existing searches,1.1300000071817435,1.4262978712920014,0.021294800460702534,1.4262978,8.744037782726366e-08
aerospace corporation,B,Phrase match,existing searches,1.1300000071816794,1.824632124892001,0.06868811129641994,1.824632,7.628512843638191e-08
aerospace propulsion,A,Broad match,existing,1.1300000071816867,1.2699773013840006,0.061029523635892646,1.2699775,-1.4898678801777976e-07
aircraft maintenance online courses,A,Phrase match,existing searches,1.1300000071816925,2.1228354988425897,0.11087952235638365,2.122836,-6.141334845111146e-07
alison courses,B,Phrase match,existing searches,1.130000007181653,1.6540743476400048,0.158273256445852,1.6540744,-8.282569341488966e-08
alison courses,B,Broad match,existing searches,1.1300000071816796,2.0246730392400054,0.15827327422535697,2.024673,5.416310111527878e-08
an engineer,A,Broad match,existing,1.130000007181808,1.6395723663400008,0.11088000164731282,1.6395724,-1.5633265793013607e-08
apply mit,A,Broad match,existing searches,1.1300000071816867,0.9863495892840004,0.051837212498722085,0.98634964,-5.299276351067306e-08
apply mit,B,Exact match,existing searches,1.1300000071816931,0.717571877084,0.32903810604594463,0.717572,-9.67166591259172e-08
architect online course,A,Exact match,existing searches,1.1300000071816863,1.5245336537504004,0.15061488200662598,1.5245337,-9.487630858728835e-08
architect online course,A,Broad match,existing searches,6.870000191927996,4.5338921648424,2.7461449009340138,4.533891,9.638231128761277e-07
architectural drafting degree online,A,Broad match,existing searches,1.1300000071816498,1.608016320184512,0.15061492534045673,1.6080164,-5.1542477841337586e-08
architectural drawings course,A,Broad match,existing searches,1.1300000071816498,1.4961082713840002,0.15061483552431998,1.4961084,-1.4135861459152466e-07
architecture courses,A,Exact match,existing searches,1.1300000071816803,0.9263791255839994,0.15061489867054723,0.9263792,-7.821238734440072e-08
architecture ma,B,Phrase match,existing,1.1300000071816927,1.2320829653931067,0.15827334167484497,1.232083,2.4032995593614714e-09
architecture programs,A,Exact match,existing searches,1.1300000071816803,0.8078953623840004,0.15061497688976822,0.80789536,6.8336447611727635e-12
artificial intelligence course online,A,Broad match,existing,1.1300000071817795,2.0718405089984007,0.11087964397764871,2.071841,-4.925122194521236e-07
asq certified quality engineer,B,Phrase match,existing searches,1.1300000071816927,1.4609960444504,0.15827347117006552,1.4609959,1.3189852010597747e-07
autocad course,A,Exact match,existing searches,1.1300000071816803,1.0380244022983998,0.1506150132793873,1.0380244,-2.3208192034829267e-08
autocad courses,A,Exact match,existing searches,1.1300000071816803,1.0380244022983998,0.1506150132793873,1.0380244,-2.3208192034829267e-08
