Location,Region,Opt_Conversions,Act_Conversions,Opt_Purchases,Act_Purchases,Opt_Clicks,Act_Clicks,Opt_Spend,Act_Spend
"Alabama, United States",USA,0.14272198146623935,0.018180117735803098,0.004442420249940378,0.0005658814595068974,5.80277529908789,0.7391653132056786,9.833513228096372,10.909027142909384
"Arizona, United States",USA,0.28919980455001126,0.03683865962254838,0.006863467402335068,0.0008742776982802356,8.96519394105035,1.1419984482989998,15.19261881907187,16.854270414320194
"Arkansas, United States",USA,0.009502279292357514,0.0012104131018837324,0.0006038241116423814,7.691592653491809e-05,0.788726739681849,0.10046907169785922,1.3365940310033904,1.4827803883566153
Australia,A,0.07124099845354498,0.11720623930044956,0.00183335856337906,0.003016255627622271,3.367394723452822,5.5400637321702675,22.135011268033058,17.62442476884909
Austria,A,0.0037095391600725745,0.006102962394236629,0.0001996039986477202,0.00032839003577535026,0.36661974654188056,0.603165630440706,2.409914158345816,1.9188312248338124
Austria,B,0.0017509060219158838,0.011146736871563288,3.6043373330419812e-06,2.2946177204764497e-05,0.011089071472133932,0.07059600018656749,0.12150287916959118,0.1466453680161063
Belgium,A,0.019248811449173838,0.03166829283607323,0.0005627222604435727,0.0009257949965460848,1.0335719419198772,1.700440518641601,6.794013906769081,5.409556179051651
"Boston, Massachusetts, United States",USA,0.0,0.0,4.600564660132429e-05,5.8602610693270925e-06,0.06009346588052183,0.007654786415074988,0.10183573569549641,0.11297374387478973
Brazil,B,0.028362488922509924,0.18056320389823582,0.0006071174259070647,0.0038650722037735885,1.867851953296349,11.891246005109787,20.4660408906516,24.701061561291908
Brazil,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Calgary, Alberta, Canada",USA,0.011267524852597844,0.0014352724528265603,0.0008971101087258238,0.00011427509085187829,1.1718225846701757,0.14926833509396226,1.98579684606218,2.2029880055584
"California, United States",USA,2.0950835710920432,0.26687455987857067,0.07296208015678775,0.009294007789635936,95.3044810448901,12.140012830157989,161.50511207957635,179.16929692642435
Canada,A,0.09137958939884619,0.15033840421596512,0.0032185103731882394,0.005295118052519502,5.911552199629057,9.725731205165959,38.858608893994735,30.940152719208346
Canada,USA,0.011342641684948494,0.001444840935845404,0.00033929164368476665,4.321942538628731e-05,0.4431893108688485,0.05645404981117804,0.751038550754286,0.8331813610765743
Chile,B,0.0053592315154142,0.03411830377437663,0.00012024733299905188,0.0007655267408247418,0.36995185154731025,2.355212611487393,4.053559870190769,4.892359613221546
China,B,0.005947973665283418,0.03786639404743979,0.00010950545923676231,0.0006971410942868583,0.336903500383648,2.1448179530366365,3.6914493158235007,4.45531782564723
Colombia,B,0.008107424425646341,0.05161403618903451,0.00018251700297647452,0.001161952144375476,0.5615301521119399,3.5748514041842765,6.152681980054891,7.4258513001313835
"Colorado, United States",USA,0.3718283201357288,0.047363990943276486,0.011038479831405249,0.0014060963903216692,14.418675969707706,1.836670315467055,24.43421183343817,27.10663767095736
"Connecticut, United States",USA,0.23173542780176234,0.02951877011313293,0.0064724194062238125,0.0008244654791909555,8.454399481065916,1.0769327637708626,14.327015065660152,15.893993591384483
"Delaware, United States",USA,0.007511683235065228,0.0009568483018843735,0.00048305928931390507,6.153274122793448e-05,0.6309813917454792,0.08037525735828738,1.0692752248027122,1.186224310685292
Denmark,A,0.04260233633320461,0.07008969182659386,0.0005488415929437313,0.000902958415476867,1.0080768274176604,1.6584957599183252,6.626425995896632,5.276118680801734
"District of Columbia, United States",USA,0.0,0.0,5.7507058251655375e-05,7.325326336658865e-06,0.0751168323506523,0.009568483018843735,0.1272946696193705,0.14121717984348717
"Edmonton, Alberta, Canada",USA,0.011267524852597844,0.0014352724528265603,0.0004054247606741704,5.164355067344501e-05,0.5295736680720987,0.06745780528284834,0.8974274208165621,0.9955811178965847
Egypt,B,0.02248309240975155,0.1431333903782656,0.00022780834709562047,0.0014502889763563982,0.7008730896894123,4.461945880212855,7.679461580146464,9.26856612191272
Finland,A,0.0025495114502217006,0.00419447587232758,0.00018613975117287397,0.0003062385521382091,0.34188948547473,0.5624792144791285,2.2473538847995407,1.7893968515313923
"Florida, United States",USA,0.5887281735482373,0.07499298566018776,0.023554891059878038,0.0030004536674954714,30.767854530827176,3.9192506445183937,52.13989667609416,57.84255686389234
France,A,0.05936027509551185,0.09765998173540305,0.001332821693334777,0.002192768514266282,2.448040894502877,4.027535732608943,16.091791201972548,12.81266858195707
Georgia,USA,0.0,0.0,5.1756352426489844e-05,6.592793702992979e-06,0.06760514911558707,0.008611634716959362,0.11456520265743347,0.12709546185913845
"Georgia, United States",USA,0.12394277337857629,0.015787996981092164,0.00733214992708606,0.0009339791079240055,9.577396124708168,1.2199815849025764,16.23007037646974,18.005190430044614
Germany,A,0.10689336657344524,0.17586178989907847,0.0028061157417679497,0.004616643228953046,5.15409234776819,8.479552423497436,33.87957206197428,26.975724646203304
Hong Kong,A,0.009828366640604654,0.01616970448782282,0.0007705158529161995,0.0012676586151522734,1.415233806018066,2.3283535567290397,9.302804932529641,7.407115527852915
Hong Kong,B,0.0007295441757982848,0.004644473696484703,9.4613854992352e-06,6.02337151625068e-05,0.029108812614351567,0.18531450048973966,0.31894505782017685,0.38494409104227906
Hungary,B,0.002553404615293997,0.016255657937696462,6.57080180911798e-05,0.00041831484891054226,0.20215669111370474,1.2869836612959114,2.215029461703534,2.6733836498199377
Iceland,A,0.0005099022900443401,0.000838895174465516,5.413460324938169e-05,8.906266616994895e-05,0.09943094655864632,0.16358455902077562,0.6535928524025509,0.5204062431746779
"Idaho, United States",USA,0.015023366470130457,0.0019136966037687471,0.0005031867597019845,6.409660544576507e-05,0.6572722830682075,0.08372422641488268,1.113828359169492,1.2356503236305127
"Illinois, United States",USA,0.2490498576585877,0.031724305448976406,0.008853211617842345,0.0011277339895286323,11.564236340382921,1.473067960750993,19.597014387902092,21.740384836904852
India,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Indiana, United States",USA,0.1379145041957976,0.0175677348225971,0.005293524712064877,0.0006742962892894486,6.914504417877543,0.8807788618845659,11.717474338463056,12.999041404592994
Indonesia,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Iowa, United States",USA,0.04507009941039137,0.0057410898113062405,0.0016792061009483366,0.00021389952903043887,2.1934115046390468,0.27939970415023707,3.717004352885619,4.123541651429826
