Region,Targeted location,Clicks,Conversions,ConversionRate,AvgConversionRate,BidAdjustment,BidAdjustmentPct,GoogleAdsFormat
B,United Arab Emirates,1046,2.0,0.0019120458891013384,0.00022180196586584484,7.620509208010466,762.0509208010466,+762%
A,Denmark,2924,9.0,0.0030779753761969904,0.00039041137976589144,6.883928429654601,688.3928429654601,+688%
C,Brazil,5268,6.0,0.0011389521640091116,0.00017046100231069358,5.681599595039231,568.1599595039231,+568%
B,Turkiye,7457,4.0,0.0005364087434625185,0.00022180196586584484,1.4184129359203292,141.8412935920329,+142%
A,France,8321,7.46,0.0008965268597524336,0.00039041137976589144,1.2963645688044036,129.63645688044036,+130%
A,Netherlands,7811,7.0,0.000896172065036487,0.00039041137976589144,1.2954557973537373,129.54557973537374,+130%
B,Hungary,2007,1.0,0.0004982561036372695,0.00022180196586584484,1.246400755251357,124.6400755251357,+125%
USA,United States,64499,77.61,0.0012032744693716182,0.0005523764786266388,1.1783593544085953,117.83593544085953,+118%
A,Norway,2542,2.0,0.0007867820613690008,0.00039041137976589144,1.0152641601809647,101.52641601809647,+102%
B,Brazil,20464,0.0,0.0,0.00022180196586584484,-0.9,-90.0,-90%
A,United Kingdom,13084,0.0,0.0,0.00039041137976589144,-0.9,-90.0,-90%
A,Sweden,3826,0.0,0.0,0.00039041137976589144,-0.9,-90.0,-90%
A,Spain,9206,0.0,0.0,0.00039041137976589144,-0.9,-90.0,-90%
USA,"Michigan, United States",2589,0.0,0.0,0.0005523764786266388,-0.9,-90.0,-90%
USA,"Florida, United States",3548,0.0,0.0,0.0005523764786266388,-0.9,-90.0,-90%
USA,"Colorado, United States",2053,0.0,0.0,0.0005523764786266388,-0.9,-90.0,-90%
USA,"Connecticut, United States",1077,0.0,0.0,0.0005523764786266388,-0.9,-90.0,-90%
USA,"Arizona, United States",1369,0.0,0.0,0.0005523764786266388,-0.9,-90.0,-90%
B,Thailand,4956,0.0,0.0,0.00022180196586584484,-0.9,-90.0,-90%
USA,"California, United States",12064,0.0,0.0,0.0005523764786266388,-0.9,-90.0,-90%
A,Hong Kong,4947,0.0,0.0,0.00039041137976589144,-0.9,-90.0,-90%
B,China,2965,0.0,0.0,0.00022180196586584484,-0.9,-90.0,-90%
A,New Zealand,1613,0.0,0.0,0.00039041137976589144,-0.9,-90.0,-90%
A,Finland,1250,0.0,0.0,0.00039041137976589144,-0.9,-90.0,-90%
A,Austria,1438,0.0,0.0,0.00039041137976589144,-0.9,-90.0,-90%
