Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost
cmu software architecture,USA,Exact match,existing,19.26999995921648,5.004856480580001,4.307542456608443,5.004856,3.70960860252012e-07,1.5000117
cmu software architecture,USA,Phrase match,existing,19.26999995921648,5.004856480580001,4.307542456608443,5.004856,3.70960860252012e-07,1.4757352
cmu software architecture,USA,Broad match,existing,19.26999995921648,5.004856480580001,4.307542456608443,5.004856,3.70960860252012e-07,1.9956465
courses of marketing management,USA,Phrase match,existing searches,1.3900000384562303,0.8947904190300003,0.2549941620109573,0.8947904,8.034516940647052e-09,0.107434094
e lms,A,Exact match,existing searches,20.66999929129121,15.24582368174,14.16719692984028,15.245823,7.752458586196553e-07,9.066106
e lms,A,Phrase match,existing searches,20.669999291291216,15.24582368174,14.16719692984028,15.245823,7.752458586196553e-07,8.958535
e lms,A,Broad match,existing searches,20.66999929129121,15.24582368174,14.16719692984028,15.245823,7.752458586196553e-07,9.331601
lms,A,Exact match,existing searches,20.66999929129121,15.27413588881,14.082054318184694,15.274136,2.992103897980769e-07,9.478183
lms,A,Phrase match,existing searches,27.56999927259321,19.86403245841,18.671950887784693,19.864033,-2.869513302528049e-07,12.884391
lms,A,Broad match,existing searches,20.66999929129121,15.27413588881,14.082054318184696,15.274136,2.9921039157443374e-07,9.8937435
lms learning program,USA,Exact match,existing,1.6899999487991988,1.5234235744000006,0.3599324445248175,1.5234237,-9.732241146309661e-08,0.29265165
lms learning program,USA,Phrase match,existing,1.6899999487991997,1.5234235744,0.3599324445248169,1.5234237,-9.732241212923044e-08,0.29265177
mit idss,USA,Phrase match,existing searches,1.6899999487991972,0.7838523370900002,0.3599325401463357,0.7838523,5.7903751460308683e-08,0.107434094
mit idss,USA,Broad match,existing searches,1.689999948799197,0.7838523370900002,0.3599325401463357,0.7838523,5.7903751460308683e-08,0.107433915
mit opencourseware system dynamics,USA,Exact match,existing searches,15.32000059006966,4.52530907803,3.5705010216754776,4.5253086,4.690212112024028e-07,1.1293359
mit opencourseware system dynamics,USA,Phrase match,existing searches,15.32000059006966,4.52530907803,3.5705010216754776,4.5253086,4.690212112024028e-07,1.1718297
mit opencourseware system dynamics,USA,Broad match,existing searches,15.32000059006966,4.52530907803,3.5705010216754776,4.5253086,4.690212112024028e-07,1.5890421
principles of systems,USA,Phrase match,existing searches,15.32000059006966,3.9813304191400007,3.319875085907121,3.98133,5.012322858988227e-07,0.89779806
principles of systems,USA,Broad match,existing searches,15.320000590069636,3.9813304191400007,3.319875085907121,3.98133,5.012322858988227e-07,1.4177097
project management cert,A,Phrase match,existing,15.32000059006966,11.33747733518,10.399073311532693,11.337478,-3.4884099520127165e-07,6.5552125
project management cert,A,Broad match,existing,15.320000590069656,11.33747733518,10.399073311532693,11.337478,-3.4884099520127165e-07,6.745071
road transport management course,USA,Exact match,existing searches,1.3900000384562303,0.8400333311199999,0.254994073116765,0.8400334,-8.085967539983585e-08,0.17203873
skill sprint e learning platform,USA,Phrase match,existing searches,10.180000387605808,3.1480313788,2.2385025868955504,3.1480315,-9.43597902036686e-08,1.3260164
skill sprint e learning platform,USA,Broad match,existing searches,10.180000387605812,3.1480313788,2.2385025868955504,3.1480315,-9.43597902036686e-08,1.5626839
