Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff
academy asana com,USA,Exact match,existing searches,1.69000000955626,1.0822781423799999,0.5202627877466686,1.0822781,9.941340195496196e-09
academy asana com,USA,Phrase match,existing searches,1.69000000955626,1.0822781423799999,0.5202627877466686,1.0822781,9.941340195496196e-09
academy asana com,USA,Broad match,existing searches,1.69000000955626,1.0822781423799999,0.5202627877466686,1.0822781,9.941340195496196e-09
academy asana com workflow specialist,USA,Exact match,existing searches,1.69000000955626,1.2842725370199999,0.5144486878187975,1.2842724,1.0469272937463359e-07
academy asana com workflow specialist,USA,Phrase match,existing searches,1.69000000955626,1.28427253702,0.5144486878187977,1.2842724,1.0469272959667819e-07
academy asana com workflow specialist,USA,Broad match,existing searches,1.69000000955626,1.2842725370199999,0.5144486878187975,1.2842724,1.0469272937463359e-07
ardiland institute of technology,A,Exact match,existing searches,8.339999701426915,9.61953614448,8.87144921515871,9.619538,-2.1627099417997897e-06
ardiland institute of technology,A,Phrase match,existing searches,8.339999701426917,9.619536144480001,8.871449215158712,9.619538,-2.162709940023433e-06
ardiland institute of technology,A,Broad match,existing searches,8.339999701426898,9.61953614448,8.87144921515871,9.619538,-2.1627099417997897e-06
certificate for project,A,Phrase match,existing searches,8.33999970142693,9.8829166812,8.729077569871874,9.88292,-3.5839977545748525e-06
certificate for project,A,Broad match,existing searches,8.339999701426928,9.8829166812,8.729077569871874,9.88292,-3.5839977545748525e-06
class central certificate,B,Exact match,existing searches,30.740000650086124,79.92425971121,78.71030562013792,79.92425,1.1969510779863413e-05
class central certificate,B,Phrase match,existing searches,30.740000650086124,79.92425971121,78.71030562013792,79.92425,1.1969510779863413e-05
class central certificate,B,Broad match,existing searches,30.740000650086124,79.92425971121,78.71030562013792,79.92425,1.1969510779863413e-05
cost engineer certification,A,Exact match,existing searches,8.339999701426922,9.83270453441,9.071154644368649,9.832706,-1.9170060152617907e-06
