Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost
application architecture course,USA,Broad match,existing searches,0.5500000160904099,1.3363836838099994,0.252243621477846,1.3363837,-1.6560789184438818e-08,0.0
architecture class online,USA,Broad match,existing searches,0.5500000160903005,1.0165644996459997,0.252243649273685,1.0165645,1.1235049779401152e-08,0.0
best computer architecture course,USA,Broad match,existing searches,0.55000001609032,1.1355455266099996,0.2522434340578146,1.1355457,-2.039808206788507e-07,0.0
complex problem solving,USA,Broad match,existing searches,31.080000373299494,9.64378731730014,8.688949041390718,9.643786,8.869412546630429e-07,5.601168
computer architecture course,USA,Broad match,existing searches,0.5500000160903921,1.4615957711100005,0.2522435162424465,1.4615959,-1.2179618869012645e-07,0.0
course on systems thinking,USA,Broad match,existing searches,0.5500000160903974,1.1030666968100005,0.1869454523794584,1.1030668,-1.0521484083980681e-07,0.0
course system engineering,USA,Broad match,existing searches,0.5500000160903974,1.3234351168100005,0.186945487064517,1.3234352,-7.052978223676122e-08,0.0
courses on systems thinking,USA,Broad match,existing searches,0.5500000160903974,1.22906751471,0.1869455082936792,1.2290676,-4.930062003083435e-08,0.0
data architecture courses,USA,Broad match,existing searches,0.5500000160903302,1.0086983535099996,0.252243647317983,1.0086983,9.279347734647558e-09,0.0
digital architecture course,USA,Broad match,existing searches,0.5500000160903582,1.01924460191,0.2522435690807152,1.0192447,-6.895792004080192e-08,0.0
free systems thinking course,USA,Broad match,new,0.550000016090396,1.49552748091,0.1869455326296654,1.4955275,-2.49646339156584e-08,0.0
free ux design course with certificate,USA,Broad match,existing searches,0.5500000160903975,0.6917625299099998,0.252243780196102,0.69176245,8.255282202274118e-08,0.0
google career certificate program,USA,Broad match,existing searches,0.5500000160903036,0.8446388160099996,0.0226939832081807,0.8446388,-8.452891053778444e-09,0.0
google it support professional certificate coursera,USA,Broad match,existing searches,0.5500000160903563,0.7505796468460134,0.0226939237319997,0.7505797,-6.7929072034012e-08,0.0
google management certificate,USA,Broad match,existing searches,0.5500000160903511,0.7907257405999997,0.0226940242532589,0.7907257,3.2592187171331943e-08,0.0
google project manager certificate,USA,Broad match,existing searches,0.5500000160903511,0.7907257405999997,0.0226940242532589,0.7907257,3.2592187171331943e-08,0.0
grow google certificate,USA,Broad match,existing searches,0.5500000160903653,0.8367859338999998,0.0226940726519834,0.8367859,2.1386266868539397e-08,0.0
how to learn dsge models,USA,Broad match,existing searches,14.429999677094196,4.78658663781,4.092830891922244,4.786586,8.300097071867185e-07,1.9611502
how to solve algorithm problems,USA,Broad match,existing,25.349999162828063,9.159394639200002,8.29221047706011,9.159393,1.3286531270750856e-06,3.9112585
human centered systems thinking course,USA,Broad match,new,0.5500000160903935,1.1450940446100004,0.1869454459390409,1.1450942,-1.1165525837242285e-07,0.0
information architecture course,USA,Broad match,existing searches,0.5500000160903227,1.01362752261,0.2522436315043481,1.0136275,-6.5342871113927e-09,0.0
information architecture courses,USA,Broad match,existing,0.5500000160903227,0.9298872537099996,0.2522436565839925,0.9298873,-4.105928752551336e-08,0.0
information architecture degree,USA,Broad match,existing searches,0.5500000160903227,1.0684988367099997,0.25224374408915,1.0684987,1.0605051481427097e-07,0.0
learn software architecture,USA,Broad match,existing,0.5500000160903986,0.9617918771699998,0.2522435826257798,0.961792,-1.1501750019071721e-07,0.0
learn software engineering,USA,Exact match,existing searches,0.9900000283114032,0.7692091370299998,0.3385714793876353,0.76920915,-9.469633965863976e-09,-0.029488683
learn software engineering,USA,Phrase match,existing searches,0.9900000283114248,0.9651376733400004,0.3385715016938821,0.9651377,-4.676803189163081e-08,-0.029488623
learning software engineering for beginners,USA,Exact match,existing searches,0.9900000283114306,0.8147519698900014,0.3385714760583669,0.814752,-1.2798902382371581e-08,-0.029488683
learning software engineering for beginners,USA,Phrase match,existing searches,0.9900000283114228,1.0106805062000004,0.3385714983646122,1.0106806,-5.0097301862450656e-08,-0.029488623
learning to solve problems,USA,Broad match,existing searches,25.349999162828063,8.530143505009999,7.731272762688985,8.530143,7.208913466172362e-07,4.44326
learnvern,USA,Phrase match,existing searches,0.9900000283114236,1.005814305666,0.2529200233249966,1.0058144,-1.2743183930297164e-07,0.12872034
learnvern,USA,Broad match,existing searches,0.9900000283114314,1.057824156736,0.2703712801681595,1.0578243,-9.7299949652907e-08,0.058624268
lms programme,USA,Exact match,existing searches,3.849999864056025,1.84222809643,1.1397802051946484,1.8422279,1.6063898433671397e-07,0.2585987
lms programme,USA,Phrase match,existing searches,3.849999864056025,2.16503707943,1.1952696877483282,2.1650367,4.011157903605067e-07,0.2585987
masters in systems thinking,USA,Broad match,existing searches,0.5500000160903974,1.4044276637100002,0.1869455737136622,1.4044276,1.611936295553562e-08,0.0
mindset training,USA,Broad match,existing searches,25.349999162828063,8.541531293946,7.570123045998308,8.541531,6.848151414828862e-07,3.8430805
mit edx courses,USA,Broad match,existing searches,0.5500000160903653,0.7523829097099998,0.2522436136551597,0.752383,-8.398812034737801e-08,0.0
mit opencourseware physics,USA,Broad match,existing searches,25.349999162828063,8.567580304109999,7.5808428144096816,8.567579,1.0347008192468363e-06,4.3024306
process design courses,USA,Broad match,existing searches,14.42999967709428,4.9418857687100015,4.0935822718723855,4.941885,7.742031655766368e-07,1.9595854
software architect course,USA,Broad match,existing searches,0.5500000160902814,1.3946092308100002,0.2522436559732692,1.3946092,1.7934634000127403e-08,0.0
software architect courses,USA,Broad match,existing searches,0.5500000160903085,1.3946092308100002,0.2522436559732692,1.3946092,1.7934634000127403e-08,0.0
software architecture class,USA,Broad match,existing searches,0.5500000160902587,1.2270520355899992,0.2522434618671598,1.2270522,-1.76171475407827e-07,0.0
