Location,Region,Opt_Conversions,Act_Conversions,Opt_Purchases,Act_Purchases,Opt_Clicks,Act_Clicks,Opt_Spend,Act_Spend
Afghanistan,B,0.0,0.001237044784159653,0.0,3.4522102826944636e-07,0.0,0.0428842191842013,0.0,0.02454136008015951
"Alabama, United States",USA,0.001467580722344855,0.00247063948602872,5.3727119192255684e-05,9.04484094986407e-05,0.05937097086439621,0.09994970818850113,0.9420241196955915,0.5724048110408874
"Alaska, United States",USA,0.0,0.0,5.254485984572684e-07,8.84581021991596e-07,0.0005806451918278358,0.0009775032585672481,0.009212949825873755,0.005598091061524571
Albania,B,0.0,0.0,0.0,8.630525706736159e-08,0.0,0.010721054796050325,0.0,0.006135340020039877
Algeria,B,0.0,0.00041234826138655096,0.0,1.3609675152930096e-07,0.0,0.016906278716848588,0.0,0.009674959262370575
Andorra,A,0.0,0.0,0.0,4.819919141747034e-08,0.0,0.0003304438081933291,0.0,0.00084132200335751
Angola,B,0.0,0.00041234826138655096,0.0,3.651376260542221e-08,0.0,0.00453583087525206,0.0,0.002595720777709179
Anguilla,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,B,0.0,0.008741783141394878,0.0,2.0912427674014536e-06,0.0,0.25977940467352706,0.0,0.1486640081778893
"Arizona, United States",USA,0.0023225807673113432,0.0039100130342689925,9.799616361228053e-05,0.00016497436060143266,0.10829032827589137,0.18230435772279177,1.7182151425254553,1.0440439829743324
"Arkansas, United States",USA,0.00043548389387087675,0.000733127443925436,1.931023599330461e-05,3.250835255819115e-05,0.021338710799672964,0.035923244752346366,0.33857590610086047,0.20572984651102796
Armenia,B,0.0,0.0016493930455462038,0.0,3.5849876012596353e-07,0.0,0.044533612229747506,0.0,0.02548525854478103
Aruba,B,0.0,0.0004123482613865509,0.0,1.3277731856517165e-08,0.0,0.0016493930455462036,0.0,0.0009438984646215194
Australia,A,0.0,0.026270282751369656,0.0,0.00015806924825359395,0.0,1.0836904689700226,0.0,2.7591155100109543
Austria,A,0.0,0.004956657122899935,0.0,2.831702495776382e-05,0.0,0.1941357373135808,0.0,0.49427667697253713
Austria,B,0.0,0.0008246965227731018,0.0,6.970809224671512e-08,0.0,0.00865931348911757,0.0,0.004955466939262978
Azerbaijan,B,0.0,0.0004123482613865509,0.0,1.161801537445252e-07,0.0,0.014432189148529282,0.0,0.008259111565438295
Bahrain,B,0.0,0.00041234826138655096,0.0,2.555963382379554e-07,0.0,0.03175081612676442,0.0,0.01817004544396425
Bangladesh,B,0.0,0.14709287180181047,0.0,3.565071003474859e-05,0.0,4.428620327291557,0.0,2.53436737750878
Barbados,B,0.0,0.0008246965227731019,0.0,1.228190196727838e-07,0.0,0.015256885671302385,0.0,0.008731060797749055
Belarus,B,0.0,0.00041234826138655085,0.0,2.3236030748905037e-08,0.0,0.002886437829705856,0.0,0.001651822313087659
Belgium,A,0.0,0.01057420186218653,0.0,3.841475555972386e-05,0.0,0.2633637151300833,0.0,0.6705336366759356
Belize,B,0.0,0.0,0.0,1.6597164820646457e-08,0.0,0.0020617413069327546,0.0,0.0011798730807768994
Benin,B,0.0,0.0,0.0,1.9916597784775747e-08,0.0,0.0024740895683193053,0.0,0.0014158476969322793
Bermuda,A,0.0,0.0,0.0,7.229878712620549e-08,0.0,0.0004956657122899935,0.0,0.001261983005036265
Bhutan,B,0.0,0.0,0.0,6.638865928258583e-08,0.0,0.008246965227731018,0.0,0.004719492323107598
Bolivia,B,0.0,0.0012329213015457874,0.0,5.410675731530745e-07,0.0,0.0672127666060078,0.0,0.03846386243332692
Bosnia and Herzegovina,B,0.0,0.0,0.0,3.651376260542221e-08,0.0,0.00453583087525206,0.0,0.002595720777709179
Botswana,B,0.0,0.0008246965227731018,0.0,2.423186063814383e-07,0.0,0.03010142308121822,0.0,0.01722614697934273
Brazil,B,0.0,0.10638585143773015,0.0,3.781166089439676e-05,0.0,4.697059045454202,0.0,2.687986852625932
Brazil,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brunei,B,0.0,0.0,0.0,3.9833195569551494e-08,0.0,0.004948179136638611,0.0,0.0028316953938645585
Bulgaria,B,0.0,0.0020617413069327546,0.0,2.2904087452492113e-07,0.0,0.028452030035672014,0.0,0.016282248514721213
Burundi,B,0.0,0.0,0.0,2.655546371303433e-08,0.0,0.0032987860910924072,0.0,0.0018877969292430388
Cabo Verde,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"California, United States",USA,0.05038838974681958,0.08482773277846578,0.0014164780592911808,0.002384609290033845,1.565274275869888,2.635104409282659,24.835809493099173,15.09105397910486
Cambodia,B,0.0,0.0008246965227731017,0.0,3.717764919824806e-07,0.0,0.0461830052752937,0.0,0.026429157009402543
Cameroon,B,0.0,0.0012370447841596527,0.0,2.2240200859666254e-07,0.0,0.02762733351289891,0.0,0.015810299282410453
Canada,A,0.0,0.038002690161273806,0.0,0.0001994964532769097,0.0,1.367706922112189,0.0,3.482231771896734
Canada,USA,0.0015793549217717133,0.002658808863302915,1.037760981953105e-05,1.747047518433402e-05,0.011467742538599756,0.01930568935670315,0.18195575906100664,0.11056229846511026
Central African Republic,B,0.0,0.0,0.0,6.638865928258583e-09,0.0,0.0008246965227731018,0.0,0.0004719492323107597
Chad,B,0.0,0.0,0.0,6.638865928258583e-09,0.0,0.0008246965227731018,0.0,0.0004719492323107597
Chile,B,0.0,0.030109670046445946,0.0,8.912677508687148e-06,0.0,1.1071550818228892,0.0,0.633591844377195
China,B,0.0,0.014844537409915834,0.0,8.039666639121145e-06,0.0,0.9987074890782264,0.0,0.5715305203283301
Colombia,B,0.0,0.0020617413069327546,0.0,8.4313597288884e-07,0.0,0.10473645839218393,0.0,0.05993755250346649
"Colorado, United States",USA,0.006241935812149234,0.010508160029597917,0.00019494143002764654,0.0003281795591588821,0.21541936616812707,0.36265370892844906,3.418004385399163,2.076891783825616
Comoros,B,0.0,0.0,0.0,3.3194329641292913e-09,0.0,0.0004123482613865509,0.0,0.00023597461615537985
"Connecticut, United States",USA,0.0027580646611822203,0.004643140478194429,8.052499771357638e-05,0.0001355620416202121,0.08898387564761584,0.14980237437543079,1.411884560815153,0.8579074551786405
Costa Rica,B,0.0,0.0004123482613865509,0.0,4.979149446193937e-08,0.0,0.006185223920798263,0.0,0.003539619242330698
Cote d'Ivoire,B,0.0,0.0016493930455462036,0.0,5.709424698302382e-07,0.0,0.07092390095848676,0.0,0.04058763397872534
Croatia,B,0.0,0.0020617413069327546,0.0,2.2572144156079182e-07,0.0,0.028039681774285462,0.0,0.016046273898565833
Curacao,B,0.0,0.0,0.0,1.3277731856517165e-08,0.0,0.0016493930455462036,0.0,0.0009438984646215194
Cyprus,A,0.0,0.0,0.0,7.711870626795254e-07,0.0,0.005287100931093265,0.0,0.01346115205372016
Czechia,A,0.0,0.0,0.0,5.060915098834384e-07,0.0,0.0034696599860299547,0.0,0.008833881035253855
Czechia,B,0.0,0.0008246965227731017,0.0,7.63469581749737e-08,0.0,0.00948401001189067,0.0,0.005427416171573737
"Delaware, United States",USA,0.00029032259591391785,0.0004887516292836241,1.2348042063745805e-05,2.0787654016802506e-05,0.01364516200795414,0.02297132657633033,0.21650432090803323,0.1315551399458274
Democratic Republic of the Congo,B,0.0,0.0,0.0,8.29858241032323e-08,0.0,0.010308706534663774,0.0,0.005899365403884497
Denmark,A,0.0,0.008921982821219884,0.0,4.087291432201484e-05,0.0,0.28021634934794304,0.0,0.7134410588471686
Djibouti,B,0.0,0.0,0.0,1.6597164820646457e-08,0.0,0.0020617413069327546,0.0,0.0011798730807768994
