Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff
4 week certificate programs online,A,Broad match,existing searches,8.909999821721664,8.26557693893,7.537598351779426,8.265576,5.763201365027726e-07
a certification,A,Broad match,existing searches,8.909999821721666,8.380154360910002,7.552461852212492,8.380156,-1.2024444906444387e-06
alison course certificate,A,Broad match,existing searches,8.90999982172167,8.352294134520003,7.562066542528578,8.352294,1.663193192058543e-07
asana,USA,Exact match,existing searches,0.5099999954792516,1.1070014457299997,0.17102863593843476,1.1070015,-9.73150442451498e-08
asana,USA,Broad match,existing searches,0.7499999687939982,1.2019410058500002,0.2930984422208498,1.2019411,-1.2669547100330192e-07
basecamp,USA,Exact match,existing searches,0.5099999954793404,1.1892048292300008,0.17102863122432455,1.1892049,-1.0202915445844951e-07
basecamp,USA,Phrase match,existing searches,0.5099999954793433,1.2649078885300002,0.17102854645083765,1.2649081,-1.8680264135539915e-07
basecamp,USA,Broad match,existing searches,0.7499999687939982,1.3640989883900008,0.2930982931614241,1.3640991,-1.5654560714395416e-07
berkeley cto program,USA,Broad match,existing searches,0.9599999690679392,0.9278264373000005,0.2572433083708623,0.9278264,3.2728467269649286e-08
business development manager,USA,Broad match,existing searches,0.9599999690680202,0.9133450058200003,0.21095886499663608,0.9133451,-9.267548306546303e-08
business dynamics,USA,Broad match,existing searches,0.9599999690679856,0.9603821481080002,0.2109589422554916,0.96038204,1.0379266202065196e-07
certificate in design thinking,A,Exact match,existing searches,0.5099999954792231,1.0821101443900034,0.043987490428821774,1.08211,9.704961034806558e-08
certificate in systems thinking,USA,Broad match,existing searches,27.780001276349793,13.16391978441,9.653724529130459,13.163919,3.3555746092872596e-07
certification in project management,USA,Broad match,existing searches,0.7499999687939981,2.8108412596500005,0.12278240650058647,2.8108413,-6.229518989542271e-08
clickup,USA,Exact match,existing searches,0.5099999954793298,1.1111824517399993,0.17102873374530936,1.1111825,4.918303542211788e-10
clickup,USA,Phrase match,existing searches,0.5099999954793049,1.2212414988399993,0.1710285195232879,1.2212417,-2.1373019110093594e-07
coding certificate free,B,Broad match,existing searches,10.230000006484762,16.922939612408,15.751098825474102,16.922937,2.2192195245906987e-06
computer science,USA,Exact match,existing searches,0.5099999954793325,1.0089519499299997,0.17102884039859712,1.0089518,1.667497628865533e-07
computer science,USA,Broad match,existing searches,0.9599999690678929,1.35656022509,0.38127487381360226,1.3565603,-1.2437441654356007e-07
coursera,USA,Exact match,existing searches,0.5099999954793322,1.02873516413,0.26454705330160033,1.0287352,3.3023632717288365e-09
coursera,USA,Broad match,existing searches,0.7499999687939773,1.20362932329,0.33938289527715204,1.2036294,-5.121408941377581e-08
design patterns certification,A,Phrase match,existing searches,8.909999821721666,9.20039180058,8.16098955410478,9.200392,3.117082059134191e-08
design thinking course,B,Exact match,existing,0.5099999954792196,1.2332282582980012,0.04398756425198069,1.2332281,1.708727692673051e-07
donella meadows systems thinking pdf,USA,Broad match,existing searches,0.9599999690679144,1.091940736878,0.2556178332448824,1.0919408,-2.37344877085377e-08
enterprise architecture certification,USA,Broad match,existing,0.7499999687939805,0.5674783266600008,0.122782347303235,0.56747836,-3.208557419753788e-08
freecodecamp courses with certificate,USA,Broad match,existing searches,0.7499999687939564,0.9475506931900035,0.1674414664863597,0.9475506,9.838333236977803e-08
google it support professional certificate,A,Exact match,existing searches,0.7499999687939382,0.6950531203199999,0.020679195587791632,0.6950529,1.9854799671037426e-07
google project manager certificate,USA,Broad match,existing searches,0.9599999690680209,0.8522705029800002,0.25724323504710833,0.85227054,-4.0595286687761245e-08
grow google certificate,A,Broad match,existing searches,10.074999945872992,8.332052673420002,7.634368683418323,8.332052,4.4258504061645e-07
how to become project manager in civil engineering,USA,Broad match,existing searches,0.9599999690680202,1.2113729323779998,0.2093333806430755,1.211373,-3.915672919241331e-08
i want to learn programming,USA,Broad match,existing searches,0.9599999690680202,1.1650518242880004,0.21095878525220324,1.1650519,-1.1281527112494416e-07
ibm project manager certification,USA,Broad match,existing searches,33.04000056274496,13.998284200410003,11.161679843644256,13.998285,-1.0931690983539966e-06
industrial engineering free online courses,USA,Broad match,existing searches,0.9599999690680202,0.8993925447599989,0.20933335973192269,0.8993926,-6.00678820017464e-08
learn system design,B,Phrase match,existing searches,0.50999999547922,1.34711573624,0.043987493747324136,1.3471156,1.0036811270985879e-07
learn system design,B,Broad match,existing searches,30.889999757865358,72.24785669224,70.74522085563875,72.247856,5.521032875321907e-07
lms,USA,Exact match,existing searches,0.5099999954793298,0.9463852737300005,0.17102886179610155,0.94638515,1.2854262254613502e-07
lms,USA,Phrase match,existing searches,0.5099999954793277,1.1663662335300005,0.17102862805362107,1.1663663,-1.0519985793600029e-07
lms,USA,Broad match,existing searches,0.7499999687940023,1.2360337763500004,0.2930983691882878,1.2360339,-1.4012338822588788e-07
management,USA,Broad match,existing searches,0.9599999690680205,1.3527653477500006,0.38127490499716243,1.3527654,-9.31908563650552e-08
metadata certification,A,Exact match,existing searches,15.530000308299433,13.926328849019999,13.275320481481547,13.926331,-1.717386250987829e-06
microsoft project management certification,USA,Broad match,existing searches,33.04000056274496,14.819481964820001,11.354661341422174,14.819483,-8.38524725210732e-07
msc systems engineering,USA,Broad match,existing searches,0.9599999690680202,1.3729625920000006,0.21095871722125303,1.3729627,-1.2124157655613033e-07
online courses for plc programming,USA,Broad match,existing searches,0.6549993865945166,0.7363803112399993,0.04632112621192308,0.73638034,-2.7428823989872342e-08
online learnerships for 2025 with stipend,USA,Broad match,existing searches,0.9599999690680203,1.1566334675999999,0.20933345071996445,1.1566335,-2.8684485009478067e-08
pm4r bid,USA,Broad match,existing searches,0.9599999690680203,0.9191324481299996,0.20933339684520957,0.9191324,3.665004966180163e-08
post graduate diploma in technology management,USA,Broad match,existing searches,0.9599999690680202,1.0029932214900004,0.20933341523847449,1.0029932,-4.561330202434988e-09
system design certification,A,Exact match,existing,19.070000509687386,18.30245699833,17.499731504422073,18.302454,3.003579024607461e-06
system design certification,A,Phrase match,existing,19.070000509687386,18.768948035730002,17.85616351891863,18.768944,4.249108908283006e-06
system design certification,A,Broad match,existing,19.070000509687386,19.164740866330003,18.04208237519536,19.164738,3.1649139877742982e-06
system design certification,B,Exact match,existing,25.18999939197302,72.88748404331001,71.8542661363581,72.88749,-5.275537645843542e-06
system design certification,B,Phrase match,existing,25.189999391973018,73.91306297971,72.72590165330162,73.91306,-6.960640064335166e-08
system design certification,B,Broad match,existing,25.18999939197302,74.30885581031,72.91182056918299,74.30885,2.6608959444729408e-06
system requirement analysis,USA,Broad match,existing searches,0.9599999690680203,1.2155780514699999,0.2093332728368822,1.2155782,-1.4696292249816167e-07
university of technology pretoria,USA,Broad match,existing searches,0.9599999690680202,1.2013405393899994,0.20933346264973451,1.2013406,-1.6754714948774563e-08
