Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost,Bid
360 learning,USA,Exact match,existing searches,0.6400000149747895,0.6839631788500005,0.0481297366388493,0.68396324,-6.034296218260239e-08,0.0,17.28661068125716
360 learning,A,Phrase match,existing searches,5.589999863566966,3.932179160259,3.0571289135434547,3.9321787,4.245259681567859e-07,1.1236439,2.3770668585297003
application architecture course,USA,Broad match,existing searches,0.9599999821739562,1.4789440099590008,0.3011401359431926,1.478944,6.598164481452784e-08,0.05705905,4.144249895210139
architecture class online,USA,Broad match,existing searches,0.959999982173956,1.076543540249001,0.3011401598550189,1.0765436,-2.9315818439457075e-08,0.012436926,4.144249566138839
best computer architecture course,USA,Broad match,existing searches,0.6400000149747896,1.058254985759001,0.2127338933441449,1.058255,2.8559904219349625e-08,0.0,3.9109894826269156
bms system training,USA,Broad match,existing searches,0.7600000122093578,0.9457009771490008,0.1390449145460038,0.9457009,9.328364425353897e-08,0.0,7.105617771768847
company secretary training,A,Phrase match,existing searches,0.6400000149747695,0.7840129758000007,0.048129799473249,0.784013,2.4914375007512035e-09,0.0,17.286588113246427
computer architecture course,USA,Broad match,existing searches,1.2999999637740969,1.545277874359,0.3737352298582677,1.5452777,1.596296910211237e-07,0.05705899,4.521917705074868
coursera certificate,A,Broad match,existing searches,0.6400000149747802,0.9754583827600009,0.1135695568665986,0.9754584,-8.001799223222861e-10,0.0,7.325907068955993
data architecture courses,USA,Broad match,existing searches,0.6400000149747898,0.9783806435590005,0.2127339474683022,0.9783805,1.4228870626187273e-07,0.0,3.910988487585868
define system,USA,Broad match,existing searches,0.570000009156979,1.107209286679001,0.0905381059539034,1.1072091,2.0026084923685522e-07,0.0,8.18439931006891
digital architecture course,USA,Broad match,existing searches,0.959999982173956,1.004553707340001,0.3011402208592881,1.0045537,3.1688450752298536e-08,0.05705905,4.144248726606626
donella meadows systems thinking pdf,USA,Phrase match,existing searches,0.959999982173956,0.7531018540690005,0.186125724060303,0.7531017,1.4756417876515826e-07,0.016698718,6.70514504712848
donella meadows systems thinking pdf,USA,Broad match,existing searches,0.6400000149747895,0.792252355289001,0.0977193052287287,0.7922523,5.311920114881019e-08,0.0,8.514182714662047
embedded systems certificate,USA,Exact match,existing searches,0.6400000149747896,0.449943743530001,0.1135695799023764,0.44994366,8.18402426938647e-08,0.0,7.325905583012703
energy systems modeling principles and applications,USA,Broad match,existing searches,19.14000007191705,6.54116109496,5.506714259442116,6.541161,3.4626747691390853e-08,3.0359018,4.5184839672456425
formation gestion de projet gratuite,USA,Exact match,existing searches,2.179999972143671,1.0004226020300009,0.3025887063467123,1.0004225,1.2430783291605962e-07,0.2466917,9.365848441612085
free software development certifications,USA,Broad match,existing searches,0.9599999821739562,0.8723274772000008,0.2274512951206856,0.8723274,8.986708455172021e-08,0.012436986,5.486888857519825
free ux design course with certificate,USA,Broad match,existing searches,0.959999982173958,0.7478453757300008,0.3011401237978566,0.7478454,-3.5570658418748735e-08,0.012436926,4.144250062352628
freecodecamp courses,USA,Phrase match,existing searches,0.64000001497479,0.7185902187000004,0.113569516814777,0.7185902,1.8752643216046763e-08,0.0,7.325909652536023
freecodecamp courses with certificate,USA,Exact match,existing searches,2.179999972143671,0.6703270429300004,0.3535119050668412,0.6703271,-8.40498274312651e-08,0.24669176,8.016703039324591
freecodecamp courses with certificate,USA,Phrase match,existing searches,2.179999972143669,0.6896949892300004,0.3535118882912034,0.68969506,-7.102314292239954e-08,0.24669176,8.016703419751131
gestion de proyectos,USA,Exact match,existing searches,0.6400000149747909,0.3736091915100008,0.0977193776100069,0.37360913,6.589583456673155e-08,0.0,8.514176408160294
google coursera free courses with certificate,USA,Phrase match,existing searches,0.5700000091570182,0.6839695139800008,0.0905378623877461,0.68396956,-4.330530800622513e-08,0.0,8.184421327848964
grow google certificates cybersecurity,B,Phrase match,existing searches,10.23000030813801,20.18513761281,19.12279926060663,20.185139,-1.0895825788281854e-06,17.128942,0.6954525966277141
