Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost
asana workflow specialist certification,B,Phrase match,existing searches,13.409999916719846,34.480718453310004,33.431012113473884,34.480717,1.747987738554002e-06,17.4502
best business certification programs,A,Broad match,existing searches,13.409999916719844,11.362397684010002,10.414919449242088,11.362397,4.90101310646196e-07,3.4208183
cm2 certification,A,Broad match,existing searches,13.409999916719856,11.575503108600005,10.679906842807156,11.575503,-2.407041961305368e-07,4.380433
design thinking for software development,USA,Exact match,existing searches,0.9600000139140668,0.6230745532499995,0.3035983064161982,0.6230745,8.129946849066982e-08,0.016698718
design thinking for software development,USA,Phrase match,existing searches,0.9600000139140668,0.6431527937199997,0.3544134701039718,0.64315265,1.3954900968116138e-07,0.016698837
design thinking for software development,USA,Broad match,existing searches,0.960000013914069,0.7950547597300001,0.3544134757410474,0.7950546,1.451860852652587e-07,0.058624387
dynamic models,USA,Phrase match,existing,0.9600000139140668,0.8792904064700002,0.3144854948565359,0.8792903,1.2374371238799142e-07,0.016698718
dynamic models,USA,Broad match,existing,0.9600000139140668,0.9854986465700002,0.3144854105241628,0.98549855,9.901598407857649e-08,0.058624268
embedded systems certificate,B,Broad match,existing searches,13.409999916719846,34.41372019746,32.96926350094969,34.413715,4.834911173645651e-06,17.868534
free online mba courses with certificates,A,Phrase match,existing searches,0.759999971337713,1.06882387612,0.1780515334381152,1.0688242,-2.958999585356281e-07,0.049319983
google certification courses,A,Broad match,existing searches,13.409999916719848,11.49541001852,10.35092919404948,11.495409,1.0066791809038025e-06,3.8450933
grow google certificate,A,Exact match,existing searches,11.040000314418132,6.40109664615,5.550278369744666,6.4010963,3.021558594440421e-07,3.6212018
grow google certificates cybersecurity,B,Exact match,existing searches,13.409999916719848,37.21269976668,36.12848484091401,37.212696,3.691240550551811e-06,17.73567
grow google certificates cybersecurity,B,Phrase match,existing searches,13.409999916719846,37.96030193684,36.8904914271583,37.960297,5.305980629088936e-06,17.854803
grow google certificates cybersecurity,B,Broad match,existing searches,13.409999916719846,38.00878243601,36.8024288908211,38.008774,8.6322990640042e-06,18.191011
how to learn system architecture,USA,Phrase match,existing searches,0.9600000139140668,1.0724990380499997,0.286776663133923,1.0724989,1.204703488077996e-07,0.016698718
how to learn system architecture,USA,Broad match,existing searches,0.9600000139140668,1.26379677222,0.2867768065713489,1.2637967,8.50938404184376e-08,0.058624327
ibm free certification,A,Broad match,existing searches,13.409999916719846,11.53655023954,10.551906184173484,11.53655,6.713637308308762e-07,4.3358107
learn system design,USA,Phrase match,existing searches,0.9600000139140656,0.6882644606300004,0.3544134808250077,0.6882643,1.5027004551804168e-07,0.016698718
learn system design,USA,Broad match,existing searches,0.960000013914066,0.7903439699300008,0.3544134794362263,0.7903438,1.48881264205869e-07,0.058624387
learn system design and architecture,USA,Broad match,existing searches,0.9600000139140668,1.1905153003600004,0.2679453102019193,1.1905153,2.0590102955964085e-08,0.058624387
learn system design for free,USA,Phrase match,existing searches,0.9600000139140654,0.5795585260199998,0.3144854650306199,0.57955843,9.39177964287552e-08,0.016698837
learn system design for free,USA,Broad match,existing searches,0.9600000139140654,0.7903439699300006,0.3144854603894427,0.7903438,1.488812639838244e-07,0.058624506
