Location,Region,Opt_Conversions,Act_Conversions,Opt_Purchases,Act_Purchases,Opt_Clicks,Act_Clicks,Opt_Spend,Act_Spend
Afghanistan,B,0.0028975435511411443,0.0010094473579459016,8.086149967965519e-07,2.817056094947205e-07,0.10044817643955967,0.03499417507545792,0.061661285327489004,0.019178365029401942
"Alabama, United States",USA,0.0007252014230393325,0.0025435727716153415,2.654912448820792e-05,9.311844683841604e-05,0.029338019982501184,0.10290022389620916,0.318289891473331,0.5467664774925836
"Alaska, United States",USA,0.0,0.0,2.5964913924897715e-07,9.106938566104258e-07,0.0002869244008068575,0.001006359157909136,0.003112859574311305,0.005347349413130402
Albania,B,0.0,0.0,2.0215374919913796e-07,7.042640237368013e-08,0.025112044109889917,0.00874854376886448,0.015415321331872251,0.0047945912573504855
Algeria,B,0.0009658478503803814,0.00033648245264863383,3.1878091219864063e-07,1.1105701912772636e-07,0.039599761865595634,0.013795780558593988,0.024308775946413935,0.007560701598129611
Andorra,A,0.0,0.0,8.078657219987148e-08,5.2450567507807735e-08,0.0005538562325121248,0.0003595903740181648,0.0015466583584183176,0.0009487882500113429
Angola,B,0.0009658478503803813,0.0003364824526486339,8.552658619963528e-08,2.97957856196339e-08,0.010624326354184194,0.0037013069791349724,0.006521866717330568,0.002028480916571359
Anguilla,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,B,0.020475974428064078,0.007133427996151036,4.898340845979112e-06,1.7064859036699415e-06,0.6084841457396402,0.2119839451686393,0.37352509381075066,0.11617663431272328
"Arizona, United States",USA,0.00114769760322743,0.004025436631636545,4.8424564469934244e-05,0.00016984440425784443,0.05351140075047893,0.18768598295005387,0.5805483106090584,0.9972806655488199
"Arkansas, United States",USA,0.00021519330060514312,0.0007547693684318519,9.54210586739991e-06,3.346799923043315e-05,0.010544471729652014,0.03698369905316075,0.11439758935594047,0.19651509093254224
Armenia,B,0.003863391401521525,0.0013459298105945353,8.397155735964192e-07,2.925404406291329e-07,0.10431156784108118,0.03634010488605246,0.06403287322470012,0.019915994453609708
Aruba,B,0.0009658478503803813,0.00033648245264863383,3.110057679986738e-08,1.0834831134412328e-08,0.003863391401521525,0.0013459298105945353,0.0023715878972111154,0.0007376294242077668
Australia,A,0.044031570484713914,0.028587434734444098,0.00026493956352947846,0.00017201163614185544,1.816371514523513,1.1792766315925713,5.072266086432872,3.1115510659121988
Austria,A,0.008307843487681871,0.005393855610272472,4.746211116742449e-05,3.0814708410837044e-05,0.3253905366008733,0.21125934473567182,0.9086617855707615,0.557413096881664
Austria,B,0.0019316957007607626,0.0006729649052972677,1.6327802819930374e-07,5.688286345566472e-08,0.02028280485798801,0.007066131505621311,0.012450836460358357,0.0038725544770907764
Azerbaijan,B,0.0009658478503803812,0.00033648245264863383,2.721300469988395e-07,9.480477242610787e-08,0.03380467476331334,0.011776885842702185,0.02075139410059726,0.00645425746181796
Bahrain,B,0.0009658478503803815,0.0003364824526486339,5.986861033974471e-07,2.085704993374373e-07,0.07437028447928937,0.025909148853944807,0.04565306702131397,0.014199366415999514
Bangladesh,B,0.3445372451876897,0.12003002050882068,8.350504870764391e-05,2.90915215958971e-05,10.373205913085295,3.6138215414463275,6.367713504011845,1.9805350039978542
Barbados,B,0.0019316957007607628,0.0006729649052972678,2.8768033539877325e-07,1.0022218799331403e-07,0.03573637046407411,0.012449850747999452,0.02193718804920282,0.006823072173921844
Belarus,B,0.0009658478503803811,0.0003364824526486338,5.44260093997679e-08,1.896095448522157e-08,0.006760934952662668,0.0023553771685404365,0.004150278820119452,0.001290851492363592
Belgium,A,0.017723399440387994,0.011506891968581272,6.438689804329757e-05,4.1803102303722764e-05,0.4414234173121635,0.28659352809247735,1.2326867116593991,0.7561842352590403
Belize,B,0.0,0.0,3.887572099983422e-08,1.3543538918015409e-08,0.004829239251901906,0.0016824122632431691,0.0029644848715138943,0.0009220367802597087
Benin,B,0.0,0.0,4.665086519980106e-08,1.625224670161849e-08,0.005795087102282288,0.002018894715891803,0.003557381845816673,0.0011064441363116504
Bermuda,A,0.0,0.0,1.211798582998072e-07,7.867585126171159e-08,0.0008307843487681871,0.0005393855610272472,0.0023199875376274763,0.0014231823750170142
Bhutan,B,0.0,0.0,1.5550288399933687e-07,5.4174155672061635e-08,0.019316957007607626,0.0067296490529726765,0.011857939486055577,0.003688147121038835
Bolivia,B,0.0028878850726373403,0.0010060825334194151,1.2673485045945956e-06,4.4151936872730233e-07,0.15743319961200217,0.05484663978172732,0.09664220681135295,0.030058399036466503
Bosnia and Herzegovina,B,0.0,0.0,8.552658619963528e-08,2.97957856196339e-08,0.010624326354184194,0.0037013069791349724,0.006521866717330568,0.002028480916571359
Botswana,B,0.0019316957007607626,0.0006729649052972676,5.675855265975796e-07,1.9773566820302496e-07,0.07050689307776783,0.02456321904335027,0.04328147912410286,0.013461736991791746
Brazil,B,0.2491887453981384,0.08681247278334754,8.856666758182233e-05,3.085489036302271e-05,11.001972863682925,3.8328716181205884,6.753689434282954,2.1005841927876685
Brazil,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brunei,B,0.0,0.0,9.330173039960212e-08,3.250449340323698e-08,0.011590174204564575,0.004037789431783606,0.007114763691633346,0.0022128882726233008
Bulgaria,B,0.004829239251901906,0.0016824122632431691,5.364849497977122e-07,1.8690083706861264e-07,0.0666435016762463,0.023217289232755733,0.04090989122689174,0.01272410756758398
Burundi,B,0.0,0.0,6.220115359973476e-08,2.1669662268824656e-08,0.00772678280304305,0.0026918596211890707,0.004743175794422231,0.0014752588484155337
Cabo Verde,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"California, United States",USA,0.024899299502019093,0.08733184772335481,0.0006999491671304301,0.0024550029639575552,0.7734764534750861,2.712892699933553,8.3914911974497,14.415117180446279
Cambodia,B,0.0019316957007607621,0.0006729649052972676,8.708161503962864e-07,3.033752717635451e-07,0.10817495924260269,0.03768603469664698,0.06640446112191123,0.02065362387781747
Cameroon,B,0.002897543551141144,0.0010094473579459016,5.209346613977785e-07,1.8148342150140648e-07,0.06471180597548555,0.022544324327458468,0.03972409727828618,0.012355292855480095
Canada,A,0.0636962360200569,0.041354690963959044,0.00033437562233526805,0.00021709289891481623,2.2924109463676845,1.4883445580611843,6.401618945493416,3.9270345667969484
Canada,USA,0.0007804343701946524,0.0027372969095128498,5.1280705001672985e-06,1.7986203668055908e-05,0.005666756915935435,0.019875593368705435,0.06147897659264827,0.10561015090932542
Central African Republic,B,0.0,0.0,1.555028839993369e-08,5.417415567206164e-09,0.0019316957007607626,0.0006729649052972677,0.0011857939486055577,0.0003688147121038834
Chad,B,0.0,0.0,1.555028839993369e-08,5.417415567206164e-09,0.0019316957007607626,0.0006729649052972677,0.0011857939486055577,0.0003688147121038834
Chile,B,0.07052621003477544,0.02456994869240324,2.0876262176910978e-05,7.272880398974275e-06,2.5933014782713237,0.9034553853615819,1.5919283760029612,0.49513375099946355
China,B,0.03477052261369373,0.01211336829535082,1.8831399252319698e-05,6.560490251886665e-06,2.339283493621284,0.8149605003149912,1.4359964717613305,0.4466346163578029
Colombia,B,0.004829239251901906,0.0016824122632431691,1.9748866267915785e-06,6.880117770351827e-07,0.24532535399661684,0.085466542972753,0.1505958314729058,0.0468394684371932
"Colorado, United States",USA,0.0030844373086737183,0.010818360947523212,9.632983066137053e-05,0.000337867420802468,0.10644895269934414,0.37335924758428946,1.1548709020694943,1.983866632271379
Comoros,B,0.0,0.0,7.775144199966845e-09,2.708707783603082e-09,0.0009658478503803813,0.00033648245264863383,0.0005928969743027788,0.0001844073560519417
"Connecticut, United States",USA,0.0013628909038325733,0.004780206000068395,3.979123058990575e-05,0.00013956383352554776,0.04397116442365091,0.15422454094957508,0.4770457297632075,0.8194812975622341
Costa Rica,B,0.0009658478503803813,0.00033648245264863383,1.1662716299950266e-07,4.0630616754046225e-08,0.01448771775570572,0.005047236789729508,0.008893454614541682,0.002766110340779126
Cote d'Ivoire,B,0.0038633914015215255,0.0013459298105945353,1.3373248023942973e-06,4.658977387797301e-07,0.1661258302654256,0.05787498185556502,0.10197827958007796,0.03171806524093398
