Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff
alison courses,USA,Broad match,existing searches,25.349999162828055,8.233680091846,7.421397052752983,8.23368,3.204226608488625e-07
application architecture course,USA,Broad match,existing searches,0.5500000160903946,1.3363836838099996,0.2522436214778463,1.3363837,-1.6560788962394213e-08
architecture class online,USA,Broad match,existing searches,0.5500000160903968,1.0165644996459995,0.25224364927368503,1.0165645,1.1235049779401152e-08
best computer architecture course,USA,Broad match,existing searches,0.5500000160903991,1.1355455266099994,0.25224343405781435,1.1355457,-2.039808209008953e-07
best computer architecture course,B,Broad match,existing searches,0.5500000160903974,1.4540919106099996,0.25059104372004604,1.4540919,4.062453262676513e-09
cm2 certification,B,Broad match,existing searches,11.729999872240107,26.005676901500003,24.831015622775332,26.00568,-3.1827285127405958e-06
computer architecture course,USA,Broad match,existing searches,0.5500000160903997,1.4615957711100003,0.25224351624244656,1.4615959,-1.2179618869012643e-07
course on systems thinking,USA,Broad match,existing searches,0.550000016090396,1.1030666968100005,0.18694545237945848,1.1030668,-1.0521484083980681e-07
course system engineering,USA,Broad match,existing searches,0.5500000160903971,1.3234351168100005,0.18694548706451708,1.3234352,-7.052978223676121e-08
courses on systems thinking,USA,Broad match,existing searches,0.5500000160903986,1.22906751471,0.18694550829367929,1.2290676,-4.930062003083435e-08
cpim certification,B,Exact match,existing searches,11.72999987224012,25.736918816,24.775524207979217,25.736921,-2.4944248053770934e-06
cpim certification,B,Phrase match,existing searches,11.729999872240132,25.94396643671,24.83101384672129,25.943966,5.248447649819354e-07
cpim certification,B,Broad match,existing searches,11.729999872240112,26.22342522351,24.932657792250843,26.223427,-1.5953376575339462e-06
data architecture courses,USA,Broad match,existing searches,0.5500000160903966,1.0086983535099996,0.252243647317983,1.0086983,9.279347734647558e-09
digital architecture course,USA,Broad match,existing searches,0.5500000160903988,1.0192446019099997,0.252243569080715,1.0192447,-6.895792026284653e-08
edx edu,USA,Broad match,existing searches,25.349999162828027,8.28064403311,7.515931759035446,8.280643,5.699752350096787e-07
embedded systems certificate,A,Broad match,existing searches,14.429999677094278,9.7653341008,8.768861503677808,9.765334,-2.8533495566307465e-08
free systems thinking course,USA,Broad match,new,0.5500000160903986,1.4955274809099999,0.1869455326296654,1.4955275,-2.4964633915658396e-08
free ux design course with certificate,USA,Broad match,existing searches,0.5500000160903962,0.6917625299099995,0.25224378019610183,0.69176245,8.255282180069656e-08
free ux design course with certificate,B,Broad match,existing searches,0.5500000160903974,1.53122324951,0.25059123046703125,1.531223,1.9080943847171739e-07
grow google certificates cybersecurity,A,Exact match,existing searches,14.429999677094278,9.050333017429999,8.424902493080786,9.050331,1.901707342710779e-06
human centered systems thinking course,USA,Broad match,new,0.5500000160903977,1.1450940446100004,0.18694544593904094,1.1450942,-1.1165525837242285e-07
ibm free certification,B,Exact match,existing searches,11.729999872240121,25.660496897599998,24.731957323453727,25.6605,-2.6751539081715237e-06
ibm free certification,B,Phrase match,existing searches,11.729999872240125,25.867544518309998,24.7874469621958,25.867544,3.441156621875052e-07
information architecture course,USA,Broad match,existing searches,0.5500000160903962,1.01362752261,0.25224363150434814,1.0136275,-6.5342871113927e-09
information architecture courses,USA,Broad match,existing,0.5500000160903962,0.9298872537099996,0.2522436565839925,0.9298873,-4.1059287525513355e-08
information architecture degree,USA,Broad match,existing searches,0.5500000160903962,1.0684988367099997,0.25224374408915007,1.0684987,1.0605051481427097e-07
learn software architecture,USA,Broad match,existing,0.5500000160904,0.9617918771699998,0.25224358262577984,0.961792,-1.1501750019071721e-07
learn software engineering,USA,Exact match,existing searches,0.990000028311423,0.7692091370300003,0.33857147938763577,0.76920915,-9.469633521774767e-09
learn software engineering,USA,Phrase match,existing searches,0.9900000283114226,0.9651376733400003,0.33857150169388217,0.9651377,-4.676803189163081e-08
learn system design for free,USA,Broad match,existing searches,0.9900000283114228,0.9230693704700002,0.27037150927538955,0.92306936,1.2597990872720288e-08
learning software engineering for beginners,USA,Exact match,existing searches,0.9900000283114248,0.8147519698899999,0.33857147605836535,0.814752,-1.2798903936683814e-08
learning software engineering for beginners,USA,Phrase match,existing searches,0.9900000283114224,1.0106805062000004,0.3385714983646122,1.0106806,-5.009730186245065e-08
masters in systems thinking,USA,Broad match,existing searches,0.5500000160903964,1.4044276637100002,0.18694557371366227,1.4044276,1.611936295553562e-08
metadata certification,A,Broad match,existing searches,14.429999677094273,10.087672234536,8.969603658676931,10.087672,9.544578460918274e-10
mind luster certificate value,A,Broad match,existing searches,0.5500000160903156,0.86375725036,0.02269410853718501,0.86375713,1.1687611323196734e-07
mit edx courses,USA,Broad match,existing searches,0.5500000160903995,0.7523829097099998,0.2522436136551597,0.752383,-8.398812034737801e-08
software architect course,USA,Broad match,existing searches,0.5500000160903995,1.3946092308100002,0.25224365597326925,1.3946092,1.7934634000127403e-08
software architect courses,USA,Broad match,existing searches,0.5500000160903995,1.3946092308100002,0.25224365597326925,1.3946092,1.7934634000127403e-08
software architecture class,USA,Broad match,existing searches,0.5500000160903966,1.227052035589999,0.2522434618671596,1.2270522,-1.7617147562987157e-07
software architecture course,USA,Broad match,existing,0.5500000160903995,1.4319773244099998,0.2522435712056541,1.4319774,-6.68329811492896e-08
software architecture courses,USA,Broad match,existing searches,0.5500000160904,1.3606871807100005,0.25224356288926075,1.3606873,-7.514937450103787e-08
system architect course,USA,Broad match,existing searches,0.550000016090398,1.3366408723099994,0.18694547588665955,1.336641,-8.170763976522721e-08
system architecture course,USA,Broad match,existing,0.5500000160903995,1.45666660201,0.25224353205608163,1.4566667,-1.0598255362204156e-07
system design certification,A,Exact match,existing,20.58000040854077,15.040561351100001,13.89887491158584,15.04056,1.5824232431072005e-06
system design certification,A,Phrase match,existing,20.58000040854077,15.82079944811,14.527555086232558,15.820798,1.5278829490483758e-06
system design certification,A,Broad match,existing,20.58000040854077,16.113287837210002,14.628854663076702,16.113287,8.651641039136848e-07
system design certification,B,Exact match,existing,16.44999974578169,42.69595913750002,41.44408886295626,42.69596,-1.8610351375514256e-06
system design certification,B,Phrase match,existing,14.42999967709428,40.20668293621001,38.803254739302965,40.20668,2.6383584454947595e-06
system design certification,B,Broad match,existing,14.429999677094276,40.71230823631,39.1176912271471,40.71231,-2.5547056239361154e-06
system design thinking course,USA,Broad match,new,0.5500000160903968,0.9031533457100005,0.18694572222825,0.90315324,1.0502930591904658e-07
system thinking course,USA,Broad match,existing,0.550000016090396,1.1011283528100004,0.1869453322182646,1.1011286,-2.2537603472372325e-07
system thinking courses,USA,Broad match,existing searches,0.550000016090396,1.1557492372100007,0.18694535461112372,1.1557494,-2.0298317560119017e-07
system thinking online course,USA,Broad match,existing searches,0.550000016090396,0.93438981181,0.18694553976867923,0.9343899,-7.743026486650706e-08
systems architecture course,USA,Broad match,existing searches,0.5500000160903995,1.33664087231,0.25224355633099615,1.336641,-8.17076390990934e-08
systems course,USA,Broad match,existing searches,0.5500000160903964,0.96283725651,0.18694559486601803,0.9628373,-2.2332926064017045e-08
systems design certificate,A,Broad match,existing searches,14.42999967709428,10.01536888971,9.028724025627664,10.015369,-5.255732027364957e-07
systems engineering textbook,USA,Broad match,existing searches,0.9900000283114215,1.30816791095,0.2703710559771606,1.3081683,-3.8109559330479215e-07
systems thinking course,USA,Broad match,existing,0.5500000160903966,1.47687031261,0.18694545260938966,1.4768704,-1.0498490965460405e-07
systems thinking course free,USA,Broad match,new,0.5500000160903953,1.36006921171,0.18694549440195551,1.3600693,-6.319234380214311e-08
systems thinking course harvard,USA,Broad match,existing searches,0.5500000160903977,1.2257599459099997,0.18694540123226533,1.2257601,-1.5636203398727844e-07
systems thinking coursera,USA,Broad match,existing,0.5500000160903966,1.1403187607100003,0.186945447759866,1.1403189,-1.0983443332612808e-07
systems thinking courses,USA,Broad match,existing,0.5500000160903964,1.0948299589100003,0.18694548034096958,1.09483,-7.725332973329557e-08
systems thinking free course,USA,Broad match,new,0.5500000160903986,1.4241475474100003,0.1869454991083035,1.4241476,-5.848599582414238e-08
technical architecture courses,USA,Broad match,existing searches,0.5500000160903971,1.2246817545099993,0.25224353830058766,1.2246819,-9.973804759866312e-08
training on people management,USA,Phrase match,existing searches,0.5500000160903974,0.6555014869099997,0.14259356464208583,0.6555013,1.8085302333492592e-07
ui ux design free course with certificate,USA,Phrase match,existing searches,26.610000548023717,9.571121291110002,9.000894383379899,9.57112,1.0289640055560767e-06
web designing free course with certificate,USA,Broad match,existing searches,14.429999677094282,4.57485444671,4.041882766545663,4.574854,5.496152732931137e-07
www coursera org,USA,Broad match,existing searches,0.5500000160903993,0.7649295199099998,0.2522436249438743,0.7649296,-7.269940571763556e-08
www ocw mit edu courses,USA,Broad match,existing searches,0.5500000160904011,0.8880010852099998,0.20054417936817237,0.8880012,-1.1832698754155047e-07
