Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,t_Clicks_OptCost,Bid
360 learning,USA,Phrase match,existing searches,0.7599999711321438,1.1022163381700003,0.2454532733087027,1.1022164,-2.478318572585181e-08,0.036887586,4.025205894195572
360 learning,USA,Broad match,existing searches,0.7599999711321441,0.9886730717,0.2321681187924378,0.98867303,4.0369891429747895e-08,0.036887586,4.25553675332605
aipmm,USA,Broad match,existing searches,0.5100000127344196,0.6994698788400012,0.0951891090150195,0.6994698,7.407620727928332e-08,0.036887586,6.965082701321782
an introduction to systems thinking,USA,Broad match,existing searches,0.5100000127344166,0.5828346683699998,0.095189310522786,0.58283436,3.053862961399645e-07,0.036887586,6.965067956827312
application for leadership development program,USA,Broad match,existing searches,0.7599999711321433,1.0268779682400009,0.1527627991916915,1.0268779,8.814356533548563e-08,0.036887586,6.467542933878905
best bim certification,USA,Broad match,existing searches,0.7599999711321441,0.7356048820099998,0.2321681377968956,0.7356048,5.9374349214991184e-08,0.036887586,4.2555364049829505
best books on system thinking,USA,Broad match,existing searches,0.5100000127344151,1.0229199931699993,0.0951892540533305,1.0229198,2.191145183072507e-07,0.036887586,6.965072088739017
best problem solving courses,USA,Broad match,existing searches,0.759999971132144,1.0231376431299997,0.2321681521250558,1.0231375,1.929117989796225e-07,0.036887646,4.2555361423543046
bms system training,USA,Broad match,existing searches,0.7599999711321441,1.00504497051,0.232168171403402,1.0050448,1.5258550045693653e-07,0.036887646,4.2555357889910574
business development courses,USA,Broad match,existing searches,0.7599999711321441,0.9466199774000008,0.232168127939399,0.94661987,1.091214973936161e-07,0.036887586,4.255536585666389
business dynamics john sterman,USA,Broad match,existing searches,0.6399999987038127,0.8230538307999998,0.174594515500012,0.8230538,5.358213484019103e-08,0.036887586,4.765327226529629
business management short course,USA,Broad match,existing,2.2,1.5279486842000003,0.5610573358380315,1.5279486,6.626481985350098e-08,0.25810534,5.097518234438766
carnegie mellon software architecture certification,USA,Broad match,existing,0.759999971132144,1.06747952263,0.1757716850483655,1.0674794,1.506054638777954e-07,0.036887586,5.620927865599788
ceo training,USA,Exact match,existing searches,1.8199999771564588,1.4418315392600003,0.7145911556349698,1.4418316,-4.9485116893066574e-08,0.59510136,3.3109841223839687
ceo training,USA,Phrase match,existing searches,1.8199999771564843,1.4402216075099998,0.7223261593021446,1.4402217,-5.977973405180137e-08,0.5951015,3.275528568132262
ceo training,USA,Broad match,existing searches,1.8199999771564583,1.57710375387,0.7992354829959765,1.5771039,-9.935570810526428e-08,0.6370269,2.9603289901923775
certificate courses,USA,Phrase match,existing searches,0.5100000127343405,0.9211003874799996,0.1084743236562997,0.92110026,1.2865279019891318e-07,0.036887586,6.112045636305182
certificate in design thinking,A,Phrase match,existing searches,16.029999446814056,11.79138802967,10.809121365164994,11.7913885,-4.819877155171071e-07,5.194004,1.9279087149504106
certificate in design thinking,A,Broad match,existing searches,20.69000043734345,17.59276708377,16.447759354239665,17.592768,-6.316841023590314e-07,6.963215,1.6352987655800888
certificate in design thinking,B,Broad match,existing searches,11.490000438123246,27.05410121028,25.70427952353531,27.0541,1.1736589051736246e-06,24.300303,0.5811094824067575
clickup,USA,Broad match,existing searches,0.759999971132144,0.6350469970800001,0.2321680867768842,0.63504696,3.815666027584541e-08,0.036887646,4.255537340156767
cm2 certification,USA,Broad match,existing searches,0.6399999987038132,0.8083921785400006,0.1745944733665081,0.80839217,1.144863093216486e-08,0.036887586,4.765328376508378
cmu software architecture,USA,Broad match,existing,0.7599999711321437,1.0366967804099994,0.2321680075790362,1.0366967,1.0797042415688909e-07,0.036887586,4.255538791818443
complex problem solving,USA,Broad match,existing searches,0.6399999987038131,1.0029392416400011,0.1745944793147142,1.0029391,1.3660612663279892e-07,0.036887646,4.765328214159857
complex problem solving skills,USA,Broad match,existing searches,0.6399999987038132,1.07993280621,0.1745944592518395,1.0799326,2.357525414886652e-07,0.036887646,4.765328761749874
cpim certification,USA,Broad match,existing searches,0.7599999711321446,1.89054760641,0.232168051661465,1.8905475,9.244820819986901e-08,0.036887586,4.255537983806818
cpim course online,USA,Broad match,existing searches,0.7599999711321446,0.917568267,0.2321681386354369,0.9175681,1.794221801132423e-07,0.036887586,4.255536389612873
