Location,Region,Opt_Conversions,Act_Conversions,Opt_Purchases,Act_Purchases,Opt_Clicks,Act_Clicks,Opt_Spend,Act_Spend
Afghanistan,B,0.0033093524816763696,0.0009692795258326643,9.235381622876758e-07,2.7049600699443093e-07,0.1147242193647808,0.033601690228865694,0.06264020353740515,0.01798892746171675
"Alabama, United States",USA,0.0009554743178195528,0.0016698365668458323,3.4979256525398496e-05,6.113156632036458e-05,0.038653708801997734,0.06755323005340706,0.31346291558753514,0.3978689539533084
"Alaska, United States",USA,0.0,0.0,3.4209541834130555e-07,5.978637292945191e-07,0.0003780313819266282,0.0006606672865858881,0.0030656519861861626,0.0038911389139687862
Albania,B,0.0,0.0,2.3088454057191894e-07,6.762400174860773e-08,0.0286810548411952,0.008400422557216423,0.01566005088435129,0.0044972318654291875
Algeria,B,0.0011031174938921232,0.0003230931752775548,3.6408716013264144e-07,1.0663784891126605e-07,0.04522781724957705,0.013246820186379746,0.024694695625323185,0.007091788710869103
Andorra,A,0.0,0.0,7.706603792002142e-08,3.8210342559027596e-08,0.0005283490096772235,0.0002619623013634238,0.0015428990034931883,0.0007431893752309098
Angola,B,0.0011031174938921232,0.0003230931752775548,9.768192101119647e-08,2.8610154585949426e-08,0.012134292432813354,0.0035540249280531025,0.006625406143379391,0.0019026750199892717
Anguilla,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,B,0.023386090870513004,0.006849575315884159,5.594510021550343e-06,1.6385815808316487e-06,0.6949640211520375,0.20354870042485948,0.37945507912081966,0.10897138750847646
"Arizona, United States",USA,0.0015121255277065126,0.0026426691463435526,6.380079552065348e-05,0.00011150158551342781,0.07050285272931615,0.12321444894826813,0.5717440954237194,0.7256974074551786
"Arkansas, United States",USA,0.0002835235364449711,0.000495500464939416,1.2572006624042978e-05,2.197149205157358e-05,0.013892653285803585,0.02427952278203139,0.11266271049234147,0.1429993550883529
Armenia,B,0.004412469975568493,0.0012923727011102191,9.590588608372018e-07,2.8089969957113986e-07,0.11913668934034931,0.03489406292997592,0.06504944213499766,0.018680809287167394
Aruba,B,0.001103117493892123,0.0003230931752775547,3.5520698549525986e-08,1.040369257670888e-08,0.004412469975568492,0.001292372701110219,0.0024092385975925056,0.0006918818254506441
Australia,A,0.04200374626933927,0.02082600295839219,0.00025273807135871025,0.000125310818422331,1.7327205772364545,0.8591053673213483,5.059937281955911,2.4372895560697687
Austria,A,0.007925235145158353,0.003929434520451356,4.527629727801258e-05,2.2448576253428712e-05,0.3104050431853688,0.15390285205101148,0.9064531645522481,0.4366237579481595
Austria,B,0.0022062349877842464,0.0006461863505551096,1.8648366738501147e-07,5.461938602772163e-08,0.023165467371734586,0.00678495668082865,0.012648502637360656,0.0036323795836158824
Azerbaijan,B,0.001103117493892123,0.0003230931752775548,3.1080611230835244e-07,9.103231004620271e-08,0.03860911228622431,0.011308261134714417,0.021080837728934425,0.006053965972693137
Bahrain,B,0.0011031174938921232,0.0003230931752775548,6.837734470783753e-07,2.0027108210164598e-07,0.08494004702969347,0.024878174496371717,0.04637784300365574,0.013318725139924902
Bangladesh,B,0.3935040724211982,0.11525379748500936,9.537307560547728e-05,2.793391456846335e-05,11.847481884401402,3.470020702480938,6.468805634535879,1.8577027013349796
Barbados,B,0.0022062349877842464,0.0006461863505551096,3.285664615831154e-07,9.623415633455715e-08,0.040815347274008554,0.011954447485269526,0.02228545702773068,0.0063999068854184585
Belarus,B,0.001103117493892123,0.0003230931752775547,6.216122246167047e-08,1.820646200924054e-08,0.007721822457244861,0.002261652226942883,0.004216167545786885,0.0012107931945386273
Belgium,A,0.01690716830967115,0.008382793643629562,6.142163222225707e-05,3.0453643019544998e-05,0.42109416071274713,0.2087839541866488,1.229690505784071,0.5923219320590352
Belize,B,0.0,0.0,4.440087318690749e-08,1.3004615720886102e-08,0.005515587469460616,0.0016154658763877737,0.0030115482469906325,0.0008648522818133053
Benin,B,0.0,0.0,5.3281047824288985e-08,1.560553886506332e-08,0.006618704963352738,0.0019385590516653283,0.0036138578963887586,0.0010378227381759662
Bermuda,A,0.0,0.0,1.1559905688003211e-07,5.731551383854139e-08,0.0007925235145158352,0.0003929434520451357,0.0023143485052397822,0.0011147840628463646
Bhutan,B,0.0,0.0,1.7760349274762997e-07,5.2018462883544406e-08,0.022062349877842464,0.006461863505551095,0.01204619298796253,0.003459409127253221
Bolivia,B,0.0032983213067374483,0.0009660485940798887,1.4474684658931841e-06,4.239504725008869e-07,0.17980815150441606,0.052664187570241425,0.09817647285189461,0.02819418438711375
Bosnia and Herzegovina,B,0.0,0.0,9.768192101119647e-08,2.8610154585949426e-08,0.012134292432813354,0.0035540249280531025,0.006625406143379391,0.0019026750199892717
Botswana,B,0.002206234987784246,0.0006461863505551094,6.482527485288493e-07,1.8986738952493707e-07,0.08052757705412499,0.023585801795261496,0.04396860440606323,0.012626843314474256
Brazil,B,0.28460431342416775,0.08335803922160913,0.00010115406929441264,2.9627115535322716e-05,12.565611372925174,3.680354359586626,6.860909216294059,1.9703064684270721
Brazil,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brunei,B,0.0,0.0,1.0656209564857797e-07,3.121107773012664e-08,0.013237409926705477,0.0038771181033306567,0.007227715792777517,0.0020756454763519324
Bulgaria,B,0.005515587469460616,0.0016154658763877737,6.127320499793234e-07,1.794636969482282e-07,0.0761151070785565,0.022293429094151277,0.04155936580847072,0.011934961489023612
Burundi,B,0.0,0.0,7.104139709905197e-08,2.080738515341776e-08,0.008824939951136984,0.002584745402220438,0.004818477195185011,0.0013837636509012883
Cabo Verde,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"California, United States",USA,0.032805563323592794,0.05733270712992336,0.0009222037239935744,0.0016116911482456997,1.019078097828708,1.7809938378139076,8.264231341761347,10.489537727331355
Cambodia,B,0.002206234987784246,0.0006461863505551094,9.945795593867275e-07,2.9130339214784864e-07,0.12354915931591777,0.03618643563108613,0.06745868073259016,0.019372691112618037
Cameroon,B,0.003309352481676369,0.0009692795258326642,5.949717007045604e-07,1.7426185065987375e-07,0.07390887209077225,0.021647242743596168,0.04035474650967447,0.01158902057629829
Canada,A,0.060762777857929086,0.030126974468300555,0.0003189763309509687,0.00015815260785181524,2.186836551054028,1.0842619653432113,6.386058975458306,3.0760608240807357
Canada,USA,0.0010282453588404286,0.0017970150195136157,6.756384512240784e-06,1.1807808653566752e-05,0.007466119793050906,0.01304817891007129,0.06054662672717671,0.07684999355088352
Central African Republic,B,0.0,0.0,1.7760349274762993e-08,5.20184628835444e-09,0.002206234987784246,0.0006461863505551094,0.0012046192987962528,0.00034594091272532206
Chad,B,0.0,0.0,1.7760349274762993e-08,5.20184628835444e-09,0.002206234987784246,0.0006461863505551094,0.0012046192987962528,0.00034594091272532206
Chile,B,0.08054963940400282,0.023592263658767047,2.384326890136932e-05,6.983478642115837e-06,2.9618704711003505,0.8675051756202345,1.6172014086339697,0.4644256753337449
China,B,0.03971222978011643,0.011631354309991971,2.1507782971737988e-05,6.299435855197229e-06,2.671750570206722,0.7825316705222377,1.4587939708422624,0.4189344453103651
Colombia,B,0.005515587469460615,0.0016154658763877737,2.2555643578949003e-06,6.60634478621014e-07,0.28019184344859926,0.0820656665204989,0.1529866509471241,0.0439344959161159
"Colorado, United States",USA,0.004063837355711253,0.007102173330798297,0.00012691740020462434,0.0002218074435682666,0.14024964269477905,0.2451075633233645,1.1373568868750663,1.4436125370824198
Comoros,B,0.0,0.0,8.880174637381496e-09,2.60092314417722e-09,0.001103117493892123,0.0003230931752775547,0.0006023096493981264,0.00017297045636266103
"Connecticut, United States",USA,0.0017956490641514841,0.003138169611282969,5.2426122860805076e-05,9.162261651438505e-05,0.05793330928025577,0.10124726166928735,0.46981116688302943,0.5963170385657165
Costa Rica,B,0.001103117493892123,0.0003230931752775547,1.3320261956072244e-07,3.90138471626583e-08,0.016546762408381845,0.004846397629163321,0.009034644740971896,0.0025945568454399156
Cote d'Ivoire,B,0.004412469975568493,0.0012923727011102191,1.5273900376296177e-06,4.4735878079848194e-07,0.18973620894944518,0.05557202614773942,0.10359725969647776,0.029750918494377703
Croatia,B,0.005515587469460616,0.001615465876387774,6.038518753419419e-07,1.7686277380405099e-07,0.07501198958466437,0.021970335918873724,0.0409570561590726,0.011761991032660951
Curacao,B,0.0,0.0,3.5520698549525986e-08,1.040369257670888e-08,0.004412469975568492,0.001292372701110219,0.0024092385975925056,0.0006918818254506441
Cyprus,A,0.0,0.0,1.2330566067203427e-06,6.113654809444415e-07,0.008453584154835577,0.004191396821814781,0.024686384055891013,0.011891030003694557
Czechia,A,0.0,0.0,8.091933981602248e-07,4.012085968697898e-07,0.005547664601610846,0.00275060416431595,0.016200439536678476,0.007803488439924552
Czechia,B,0.002206234987784246,0.0006461863505551094,2.0424401665977444e-07,5.982123231607606e-08,0.02537170235951883,0.007431143031383759,0.013853121936156908,0.003978320496341204
"Delaware, United States",USA,0.00018901569096331408,0.000330333643292944,8.03924233102068e-06,1.4049797638421198e-05,0.008883737475275762,0.01552568123476837,0.07204282167537482,0.09144176447826648
Democratic Republic of the Congo,B,0.0,0.0,2.2200436593453744e-07,6.502307860443051e-08,0.02757793734730308,0.008077329381938869,0.015057741234953162,0.0043242614090665266
Denmark,A,0.014265423261285035,0.0070729821368124435,6.535200015617816e-05,3.240237049005541e-05,0.44803996020628556,0.22214403155618342,1.3083783549622237,0.6302245901958116
Djibouti,B,0.0,0.0,4.440087318690749e-08,1.3004615720886102e-08,0.005515587469460616,0.0016154658763877737,0.0030115482469906325,0.0008648522818133053
Dominica,B,0.0,0.0,8.880174637381496e-09,2.60092314417722e-09,0.001103117493892123,0.0003230931752775547,0.0006023096493981264,0.00017297045636266103
Dominican Republic,B,0.001103117493892123,0.0003230931752775547,7.104139709905197e-08,2.080738515341776e-08,0.008824939951136984,0.002584745402220438,0.004818477195185011,0.0013837636509012883
Ecuador,B,0.002206234987784246,0.0006461863505551094,7.104139709905197e-08,2.080738515341776e-08,0.008824939951136984,0.002584745402220438,0.004818477195185011,0.0013837636509012883
Egypt,B,0.1323299745672991,0.03875825730629547,3.842451565594975e-05,1.1254194444854833e-05,4.773189396071217,1.3980241694259794,2.6061938529456934,0.7484431646812344
El Salvador,B,0.0,0.0,2.6640523912144493e-08,7.80276943253166e-09,0.003309352481676369,0.0009692795258326642,0.0018069289481943793,0.0005189113690879831
Equatorial Guinea,B,0.0,0.0,3.5520698549525986e-08,1.040369257670888e-08,0.004412469975568492,0.001292372701110219,0.0024092385975925056,0.0006918818254506441
Eritrea,B,0.0,0.0,2.6640523912144493e-08,7.80276943253166e-09,0.003309352481676369,0.0009692795258326642,0.0018069289481943793,0.0005189113690879831
Estonia,A,0.0,0.0,6.935943412801928e-07,3.438930830312484e-07,0.004755141087095012,0.0023576607122708145,0.013886091031438695,0.006688704377078188
Estonia,B,2.2062349877842464e-05,6.461863505551095e-06,1.7760349274762997e-07,5.2018462883544406e-08,0.022062349877842464,0.006461863505551095,0.01204619298796253,0.003459409127253221
Eswatini,B,0.0,0.0,1.2432244492334094e-07,3.641292401848108e-08,0.015443644914489721,0.004523304453885766,0.00843233509157377,0.0024215863890772547
Ethiopia,B,0.28792469708078305,0.08433054967919455,5.607830283506416e-05,1.6424829655479145e-05,6.966186973928758,2.040333401877758,3.8035854359491688,1.0923084319302045
Faroe Islands,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fiji,B,0.0,0.0,2.3088454057191894e-07,6.762400174860773e-08,0.0286810548411952,0.008400422557216423,0.01566005088435129,0.0044972318654291875
Finland,A,0.0034369103079503385,0.0017040647703690718,2.959335856128822e-05,1.4672771542666596e-05,0.2028860197160538,0.10059352372355473,0.5924732173413843,0.28538472008866933
Finland,B,0.001103117493892123,0.0003230931752775547,2.752854137588264e-07,8.062861746949382e-08,0.03419664231065581,0.010015888433604197,0.01867159913134192,0.005362084147242492
"Florida, United States",USA,0.005670470728899423,0.009910009298788321,0.00017806066524664956,0.0003111880710977972,0.19676533429280998,0.3438773226679548,1.5956718588098977,2.0253378047207535
France,A,0.027003917884602893,0.013388893222684592,0.00016037442491156459,7.951572286533644e-05,1.0994942891383022,0.545143549137285,3.210772826269325,1.5465770898555233
Gabon,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Georgia,B,0.003309352481676369,0.0009692795258326644,8.968976383755313e-07,2.626932375618993e-07,0.11141486688310444,0.032632410703033035,0.06083327458921078,0.017470016092628767
"Georgia, United States",USA,0.004725392274082852,0.0082583410823236,0.00016138351360251089,0.00028204221429468934,0.17833630442388684,0.3116697924468927,1.4462213244833222,1.835644782664775
Germany,A,0.05205294443340007,0.02580852593032452,0.00026907607139775477,0.00013341141104484486,1.8447305672880259,0.9146413752103943,5.387031870696467,2.594845703618722
Ghana,B,0.04633093474346917,0.0135699133616573,1.0922614803979241e-05,3.199135467337981e-06,1.3568345174873113,0.39740460559139235,0.7408408687596956,0.2127536613260731
Greece,A,0.0005283490096772235,0.0002619623013634238,1.464254720480407e-06,7.259965086215245e-07,0.010038631183867247,0.004977283725905053,0.029315081066370575,0.014120598129387285
Greece,B,0.002206234987784246,0.0006461863505551094,4.173682079569304e-07,1.2224338777632935e-07,0.051846522212929784,0.015185379238045072,0.02830855352171194,0.008129611449045069
Grenada,B,0.0,0.0,6.216122246167047e-08,1.820646200924054e-08,0.007721822457244861,0.002261652226942883,0.004216167545786885,0.0012107931945386273
Guatemala,B,0.0,0.0,4.440087318690749e-08,1.3004615720886102e-08,0.005515587469460616,0.0016154658763877737,0.0030115482469906325,0.0008648522818133053
Guernsey,A,0.0,0.0,7.706603792002142e-08,3.8210342559027596e-08,0.0005283490096772235,0.0002619623013634238,0.0015428990034931883,0.0007431893752309098
Guinea,B,0.0,0.0,4.440087318690749e-08,1.3004615720886102e-08,0.005515587469460616,0.0016154658763877737,0.0030115482469906325,0.0008648522818133053
Guinea-Bissau,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guyana,B,0.0,0.0,2.664052391214449e-07,7.80276943253166e-08,0.03309352481676369,0.009692795258326642,0.018069289481943793,0.005189113690879831
Haiti,B,0.0,0.0,1.3320261956072244e-07,3.90138471626583e-08,0.016546762408381845,0.004846397629163321,0.009034644740971896,0.0025945568454399156
"Hawaii, United States",USA,9.450784548165705e-05,0.00016516682164647204,1.8815248008771806e-06,3.2882505111198552e-06,0.002079172600596455,0.0036336700762223846,0.016861085924023893,0.021401264026828324
Honduras,B,0.001103117493892123,0.0003230931752775547,7.104139709905197e-08,2.080738515341776e-08,0.008824939951136984,0.002584745402220438,0.004818477195185011,0.0013837636509012883
